Date,Open,High,Low,Close,Volume
20-Oct-17,14.47,14.49,13.59,13.59,2898374
19-Oct-17,14.10,14.35,13.82,14.31,2702713
18-Oct-17,14.63,14.79,14.19,14.24,1558684
17-Oct-17,14.74,14.76,14.54,14.64,1585535
16-Oct-17,14.53,14.76,14.38,14.74,2070898
13-Oct-17,14.25,14.76,14.25,14.53,3028731
12-Oct-17,14.23,14.49,14.06,14.25,3191733
11-Oct-17,14.56,14.69,14.18,14.27,3019104
10-Oct-17,14.52,14.60,13.92,14.45,3036590
9-Oct-17,15.09,15.21,14.46,14.48,3055765
6-Oct-17,15.79,16.02,14.92,15.06,3920960
5-Oct-17,16.03,16.17,15.54,15.98,4538592
4-Oct-17,16.52,16.60,15.27,16.24,10582890
3-Oct-17,14.91,15.02,14.73,14.87,1955358
2-Oct-17,15.19,15.20,14.70,14.99,3112678
29-Sep-17,14.87,15.21,14.59,15.08,3277493
28-Sep-17,14.84,15.04,14.54,14.70,3348165
27-Sep-17,14.43,15.20,14.36,14.94,4056968
26-Sep-17,14.91,15.00,14.12,14.36,3357008
25-Sep-17,14.64,14.93,14.36,14.63,3090394
22-Sep-17,15.63,15.70,14.59,14.61,4266781
21-Sep-17,15.20,16.06,15.19,15.78,7383731
20-Sep-17,13.90,14.92,13.90,14.92,6072144
19-Sep-17,13.81,13.99,13.52,13.96,3706008
18-Sep-17,13.99,14.08,13.65,13.67,3599509
15-Sep-17,13.43,13.96,13.40,13.88,10928293
14-Sep-17,13.34,13.55,13.17,13.42,3413109
13-Sep-17,13.50,14.07,13.35,13.52,11511539
12-Sep-17,13.70,13.70,13.07,13.28,2419137
11-Sep-17,13.87,14.07,13.54,13.67,2775357
8-Sep-17,13.89,14.10,13.84,13.85,2812022
7-Sep-17,14.07,14.10,13.83,13.91,1460269
6-Sep-17,14.11,14.23,13.92,14.07,2094255
5-Sep-17,14.21,14.29,13.68,14.08,2101020
1-Sep-17,13.97,14.36,13.82,14.32,2549469
31-Aug-17,14.11,14.18,13.68,13.94,2762997
30-Aug-17,13.82,14.24,13.74,14.09,3447114
29-Aug-17,13.23,14.05,13.19,13.86,2413690
28-Aug-17,13.20,13.66,13.13,13.49,2907996
25-Aug-17,13.19,13.24,12.85,13.10,1805324
24-Aug-17,12.69,13.17,12.61,13.13,2674550
23-Aug-17,12.74,12.91,12.55,12.64,1995162
22-Aug-17,12.45,12.86,12.14,12.78,3007727
21-Aug-17,12.48,12.53,12.22,12.41,1515368
18-Aug-17,12.26,12.81,12.04,12.51,3424906
17-Aug-17,12.57,13.06,12.29,12.29,5433486
16-Aug-17,12.35,12.88,12.35,12.60,1847217
15-Aug-17,12.52,12.60,12.28,12.29,1502558
14-Aug-17,12.20,12.63,12.05,12.42,2461142
11-Aug-17,11.80,12.06,11.44,12.05,3625435
10-Aug-17,12.63,12.66,11.72,11.74,4302079
9-Aug-17,13.13,13.35,12.43,12.58,3019886
8-Aug-17,13.93,13.95,13.31,13.37,2835918
7-Aug-17,13.65,13.90,13.28,13.90,3148423
4-Aug-17,13.12,13.36,13.02,13.23,1526302
3-Aug-17,13.16,13.25,12.87,13.09,1684709
2-Aug-17,13.12,13.19,12.56,13.15,3295003
1-Aug-17,12.99,13.37,12.76,13.11,6419791
31-Jul-17,13.25,13.38,12.78,12.95,1833141
28-Jul-17,13.14,13.69,13.01,13.33,3254138
27-Jul-17,13.77,13.90,12.70,13.22,3903129
26-Jul-17,13.86,14.03,13.64,13.70,1761160
25-Jul-17,13.65,13.78,13.40,13.74,2028847
24-Jul-17,13.48,13.82,13.39,13.75,2208035
21-Jul-17,13.71,13.80,13.21,13.53,3428895
20-Jul-17,13.45,13.85,13.40,13.61,2802100
19-Jul-17,13.85,14.05,13.32,13.37,5257934
18-Jul-17,12.84,13.88,12.84,13.81,7856540
17-Jul-17,12.88,13.64,12.82,12.91,8043231
14-Jul-17,12.62,13.11,12.54,12.84,3974667
13-Jul-17,12.38,12.67,12.01,12.52,15374007
12-Jul-17,13.05,13.26,12.44,13.17,4457991
11-Jul-17,13.02,13.28,11.94,12.92,24010181
10-Jul-17,10.45,10.51,10.18,10.26,1132523
7-Jul-17,10.59,10.73,10.34,10.44,1448589
6-Jul-17,10.18,10.77,10.09,10.54,4403134
5-Jul-17,10.08,10.38,9.80,10.29,4304968
3-Jul-17,10.11,10.33,9.90,10.08,1264240
30-Jun-17,9.94,10.24,9.83,10.07,2132541
29-Jun-17,9.71,9.98,9.68,9.93,2320918
28-Jun-17,9.88,9.92,9.53,9.76,3593859
27-Jun-17,10.08,10.14,9.71,9.72,4034459
26-Jun-17,10.47,10.50,9.87,10.04,3319929
23-Jun-17,10.12,10.48,9.93,10.44,2916470
22-Jun-17,9.99,10.33,9.82,10.09,4736900
21-Jun-17,9.62,9.96,9.49,9.94,4689431
20-Jun-17,9.90,10.20,9.47,9.55,4531233
19-Jun-17,9.57,10.14,9.50,9.88,5510920
16-Jun-17,8.73,9.48,8.59,9.43,4713439
15-Jun-17,8.51,8.98,8.50,8.79,3494741
14-Jun-17,8.61,8.74,8.45,8.63,1618671
13-Jun-17,8.39,8.60,8.35,8.60,2157715
12-Jun-17,8.46,8.52,8.04,8.35,1803486
9-Jun-17,8.61,8.84,8.36,8.46,1777049
8-Jun-17,8.57,8.72,8.44,8.63,1046552
7-Jun-17,8.52,8.68,8.29,8.59,1818932
6-Jun-17,8.42,8.68,8.38,8.51,1272840
5-Jun-17,8.48,8.58,8.21,8.41,2647535
2-Jun-17,8.17,8.44,8.06,8.40,1495094
1-Jun-17,8.03,8.22,7.91,8.13,3417295
31-May-17,7.75,8.08,7.46,8.02,3327914
30-May-17,7.93,8.05,7.54,7.66,2801830
26-May-17,8.32,8.36,7.91,7.93,1566000
25-May-17,8.50,8.79,8.26,8.29,4879033
24-May-17,8.28,8.46,8.07,8.44,4928119
23-May-17,8.41,8.42,8.10,8.26,2774286
22-May-17,7.81,8.43,7.62,8.41,4730672
19-May-17,7.79,8.00,7.71,7.77,4114328
18-May-17,7.50,7.75,7.41,7.74,2472413
17-May-17,7.77,7.86,7.56,7.57,3453047
16-May-17,7.66,7.92,7.64,7.89,4753851
15-May-17,7.49,8.06,7.49,7.69,5583519
12-May-17,6.85,7.36,6.81,7.35,1743136
11-May-17,6.82,7.00,6.72,6.87,1934894
10-May-17,6.67,6.98,6.65,6.86,1915209
9-May-17,6.66,6.86,6.41,6.65,2902198
8-May-17,6.92,7.00,6.73,6.78,1744776
5-May-17,7.06,7.08,6.80,6.91,2269509
4-May-17,7.52,7.54,7.04,7.06,3083281
3-May-17,7.54,7.67,7.47,7.48,1274013
2-May-17,7.84,7.88,7.48,7.61,2135759
1-May-17,7.70,7.84,7.58,7.83,1335363
28-Apr-17,7.81,7.89,7.58,7.68,1148688
27-Apr-17,7.64,7.84,7.51,7.82,1217181
26-Apr-17,7.61,7.74,7.56,7.60,1477753
25-Apr-17,7.49,7.74,7.49,7.62,1798308
24-Apr-17,7.41,7.48,7.30,7.45,2161670
21-Apr-17,7.34,7.45,7.22,7.26,1212168
20-Apr-17,7.25,7.43,7.17,7.37,1363031
19-Apr-17,7.17,7.32,7.10,7.18,1195814
18-Apr-17,7.17,7.23,6.99,7.09,1150153
17-Apr-17,7.17,7.27,7.09,7.20,906271
13-Apr-17,6.87,7.20,6.87,7.13,1414115
12-Apr-17,6.99,7.04,6.86,6.92,817979
11-Apr-17,6.92,7.01,6.76,6.98,1343909
10-Apr-17,6.99,7.07,6.88,6.92,1022678
7-Apr-17,6.82,7.00,6.75,6.99,1209801
6-Apr-17,7.01,7.03,6.71,6.85,3262073
5-Apr-17,7.26,7.36,6.90,6.97,3208119
4-Apr-17,7.20,7.34,7.19,7.23,1949032
