Date,Open,High,Low,Close,Volume
20-Oct-17,81.95,81.95,80.45,81.21,9188325
19-Oct-17,81.53,82.47,80.51,81.59,15565183
18-Oct-17,80.26,80.84,79.76,80.01,7181878
17-Oct-17,80.00,80.71,79.56,80.24,7041810
16-Oct-17,81.13,81.21,79.55,79.95,7377562
13-Oct-17,81.27,81.58,80.65,81.17,5682947
12-Oct-17,82.57,82.82,81.02,81.30,6763601
11-Oct-17,83.06,83.29,82.31,82.57,6770178
10-Oct-17,81.90,83.06,81.86,83.04,5750138
9-Oct-17,82.36,82.76,81.56,81.98,3959787
6-Oct-17,82.94,83.22,81.95,82.14,5797031
5-Oct-17,82.22,83.53,82.13,83.51,6717111
4-Oct-17,83.23,83.26,82.07,82.42,6711405
3-Oct-17,83.50,84.23,82.13,83.19,6513179
2-Oct-17,81.21,83.63,81.18,83.52,9805354
29-Sep-17,81.20,81.96,79.31,81.02,13301278
28-Sep-17,83.51,83.60,79.21,80.91,17739851
27-Sep-17,83.98,84.55,83.46,83.86,6800751
26-Sep-17,83.67,84.73,83.55,83.76,7900004
25-Sep-17,83.41,84.28,82.86,83.61,8473407
22-Sep-17,82.47,83.37,82.01,83.27,5654657
21-Sep-17,82.73,83.41,82.23,82.62,6194703
20-Sep-17,82.36,82.90,81.84,82.64,6355125
19-Sep-17,83.39,83.39,82.13,82.29,6310482
18-Sep-17,82.53,83.50,81.54,82.97,7886494
15-Sep-17,82.79,83.50,82.30,82.36,12401948
14-Sep-17,83.14,83.14,81.57,82.29,9605350
13-Sep-17,84.50,84.51,83.37,83.68,7594819
12-Sep-17,84.15,84.75,83.80,84.51,8907882
11-Sep-17,85.68,86.00,84.14,84.52,10125177
8-Sep-17,85.29,86.27,84.90,85.10,11611092
7-Sep-17,83.12,85.62,82.90,85.47,13147848
6-Sep-17,82.85,83.43,82.51,82.95,10694595
5-Sep-17,83.24,83.62,81.35,82.56,13738483
1-Sep-17,83.36,84.10,82.25,83.75,14311629
31-Aug-17,81.50,84.13,81.47,83.71,30895655
30-Aug-17,75.82,81.44,75.74,81.23,35927090
29-Aug-17,74.29,75.80,74.22,75.74,10688590
28-Aug-17,74.90,75.94,74.20,74.69,18800009
25-Aug-17,74.23,74.43,73.69,73.79,3729031
24-Aug-17,73.81,74.30,73.65,74.02,4929321
23-Aug-17,73.27,74.20,73.06,73.74,6499314
22-Aug-17,72.66,73.76,72.65,73.34,4729252
21-Aug-17,72.08,72.96,72.08,72.60,5531782
18-Aug-17,72.32,72.63,71.84,72.11,6052601
17-Aug-17,73.09,73.41,72.28,72.34,9065427
16-Aug-17,73.19,73.77,73.12,73.35,5237298
15-Aug-17,73.00,73.38,72.73,73.12,5212091
14-Aug-17,72.87,73.12,72.56,72.81,4952756
11-Aug-17,72.52,72.68,71.82,72.40,7029745
10-Aug-17,73.52,73.78,72.53,72.70,8812963
9-Aug-17,72.83,74.68,72.83,73.90,12054582
8-Aug-17,73.42,73.67,72.81,73.27,7943896
7-Aug-17,72.80,73.50,72.28,73.44,7556523
4-Aug-17,73.73,73.76,72.58,73.16,14960878
3-Aug-17,75.77,76.00,74.30,74.37,11161061
2-Aug-17,75.54,75.90,75.17,75.84,7086183
1-Aug-17,76.35,76.36,75.52,75.70,7296609
31-Jul-17,76.00,76.49,75.83,76.09,7994072
28-Jul-17,75.01,76.03,74.75,75.94,8954646
27-Jul-17,75.43,75.99,74.45,74.96,13870979
26-Jul-17,74.10,74.27,73.62,74.19,10695344
25-Jul-17,74.72,75.29,73.62,73.74,9061164
24-Jul-17,73.70,74.42,73.19,74.39,8943242
21-Jul-17,73.32,74.41,73.28,73.76,8874021
20-Jul-17,72.86,73.74,72.77,73.42,9271390
19-Jul-17,72.00,72.74,71.77,72.72,8312410
18-Jul-17,71.30,71.73,70.72,71.69,6096667
17-Jul-17,70.58,71.86,70.40,71.15,7612423
14-Jul-17,70.74,71.03,70.42,70.57,5234624
13-Jul-17,69.99,70.98,69.52,70.58,7533925
12-Jul-17,69.77,70.13,69.60,69.80,5585245
11-Jul-17,68.99,69.50,68.61,69.35,6442685
10-Jul-17,69.24,69.74,69.12,69.29,6485909
7-Jul-17,69.69,69.69,68.54,69.25,6535797
6-Jul-17,70.66,70.74,69.19,69.48,7989034
5-Jul-17,70.83,71.28,70.16,70.86,7219556
3-Jul-17,71.11,71.60,70.56,70.70,3453349
30-Jun-17,71.56,71.64,70.32,70.78,6727125
29-Jun-17,72.00,72.17,70.02,70.86,11437399
28-Jun-17,70.97,72.09,70.83,71.92,10606185
27-Jun-17,71.40,71.90,70.64,70.65,10768678
26-Jun-17,71.25,71.76,70.72,71.24,14129108
23-Jun-17,71.24,71.37,69.84,70.52,22911223
22-Jun-17,68.32,71.44,68.29,70.48,28962895
21-Jun-17,65.82,67.69,65.61,67.50,13981339
20-Jun-17,64.89,66.00,64.02,65.59,13114602
19-Jun-17,64.23,64.98,64.08,64.82,7900091
16-Jun-17,64.79,64.84,63.76,64.12,10246580
15-Jun-17,64.71,65.16,64.10,64.81,6858063
14-Jun-17,64.92,65.36,64.54,64.99,6795699
13-Jun-17,65.61,65.65,65.01,65.15,8185266
12-Jun-17,64.60,66.70,64.55,65.43,10459196
9-Jun-17,64.11,64.94,63.95,64.70,9338911
8-Jun-17,64.16,64.58,64.06,64.12,8744915
7-Jun-17,65.03,65.17,64.20,64.32,7790401
6-Jun-17,65.19,65.38,64.64,64.85,7282818
5-Jun-17,65.59,65.79,65.04,65.48,6184771
2-Jun-17,64.90,65.55,64.76,65.40,6459346
1-Jun-17,65.01,65.71,64.51,64.62,9316328
31-May-17,64.47,64.92,64.18,64.89,9190184
30-May-17,64.47,64.77,64.30,64.49,6979904
26-May-17,64.37,64.75,64.31,64.50,4021883
25-May-17,64.50,64.83,64.21,64.56,5659024
24-May-17,64.73,64.79,64.23,64.31,5993126
23-May-17,64.36,64.80,64.30,64.69,5094633
22-May-17,64.24,64.64,64.12,64.36,7162917
19-May-17,64.38,64.80,64.08,64.23,8429358
18-May-17,64.45,64.67,63.88,64.43,7925979
17-May-17,65.37,65.62,64.46,64.51,8976053
16-May-17,65.74,66.03,65.48,65.72,5960979
15-May-17,66.08,66.17,65.73,65.95,6202813
12-May-17,66.87,66.90,65.74,66.06,8091201
11-May-17,66.77,66.84,66.06,66.71,8055549
10-May-17,67.69,67.80,66.71,66.92,7190500
9-May-17,67.22,67.75,67.10,67.61,5557392
8-May-17,67.78,67.82,67.08,67.21,7126917
5-May-17,68.10,68.45,67.51,67.80,5788814
4-May-17,67.42,68.57,67.33,68.08,8702934
3-May-17,67.11,67.58,66.27,67.21,13591221
2-May-17,68.29,69.16,68.16,68.59,12987185
1-May-17,68.54,68.81,68.05,68.11,5372585
28-Apr-17,68.83,68.96,68.24,68.55,6257542
27-Apr-17,68.17,68.76,68.05,68.58,6734653
26-Apr-17,67.41,68.60,67.27,68.22,15156261
25-Apr-17,66.60,67.53,66.56,67.12,9007022
24-Apr-17,66.49,66.49,65.71,66.25,9117141
21-Apr-17,66.54,66.68,65.75,65.93,7241809
20-Apr-17,66.36,66.67,66.16,66.50,6380448
19-Apr-17,66.19,66.40,65.89,66.28,5343052
18-Apr-17,66.59,66.87,65.70,66.06,7358074
17-Apr-17,66.81,67.15,66.60,66.70,5684319
13-Apr-17,66.18,66.82,66.09,66.51,6098366
12-Apr-17,66.33,66.37,65.79,66.22,7819118
11-Apr-17,66.43,66.53,65.82,66.02,7329370
10-Apr-17,66.56,67.24,66.39,66.42,6549610
7-Apr-17,66.42,66.84,66.27,66.58,7618920
6-Apr-17,66.43,66.80,66.23,66.48,8716029
