Date,Open,High,Low,Close,Volume
20-Oct-17,101.20,101.43,100.36,100.85,71398
19-Oct-17,100.45,100.74,99.77,100.19,28786
18-Oct-17,101.58,101.85,100.81,101.66,32774
17-Oct-17,101.05,101.41,100.54,100.98,49167
16-Oct-17,102.49,102.73,101.60,102.48,45034
13-Oct-17,102.93,102.93,101.19,101.55,44856
12-Oct-17,103.33,103.90,103.07,103.30,28889
11-Oct-17,103.66,104.12,103.36,103.82,52393
10-Oct-17,103.55,104.06,102.72,104.02,71644
9-Oct-17,102.28,102.94,102.02,102.58,70196
6-Oct-17,101.70,102.12,101.59,101.63,40792
5-Oct-17,102.49,102.61,101.64,102.60,75206
4-Oct-17,103.02,103.97,102.83,103.88,60258
3-Oct-17,103.05,103.86,102.81,102.91,104775
2-Oct-17,102.00,102.98,101.90,102.75,65379
29-Sep-17,102.34,102.34,101.41,101.75,65899
28-Sep-17,102.65,102.78,102.10,102.65,53491
27-Sep-17,100.23,101.23,100.00,101.21,120614
26-Sep-17,98.34,98.75,97.07,97.18,50562
25-Sep-17,99.58,99.70,98.70,99.02,37566
22-Sep-17,99.75,100.03,99.22,99.27,37248
21-Sep-17,101.34,101.34,100.01,100.07,73579
20-Sep-17,100.95,102.43,100.74,101.61,89393
19-Sep-17,101.37,101.83,100.72,101.51,66492
18-Sep-17,100.41,100.48,99.28,99.82,130778
15-Sep-17,101.47,101.78,100.58,100.75,95083
14-Sep-17,102.60,103.54,102.24,103.47,77761
13-Sep-17,101.34,101.86,100.90,101.47,88052
12-Sep-17,100.50,100.75,99.79,100.56,116747
11-Sep-17,100.93,101.11,100.12,100.86,87637
8-Sep-17,99.30,100.14,98.88,99.45,133519
7-Sep-17,98.40,99.99,98.10,99.70,148910
6-Sep-17,96.08,97.02,95.88,96.66,79518
5-Sep-17,94.71,95.67,94.41,95.66,114330
1-Sep-17,92.48,93.63,92.21,93.21,110785
31-Aug-17,91.82,92.67,91.56,92.49,127567
30-Aug-17,91.00,91.77,90.78,91.39,209906
29-Aug-17,89.98,91.98,89.98,91.69,64314
28-Aug-17,90.49,91.00,90.11,90.87,69224
25-Aug-17,90.12,90.30,89.46,89.57,96646
24-Aug-17,89.14,89.64,88.64,89.33,54441
23-Aug-17,89.02,89.59,88.73,88.92,88708
22-Aug-17,88.91,89.78,88.91,89.51,77524
21-Aug-17,87.44,87.89,86.96,87.85,95533
18-Aug-17,87.38,87.81,86.19,86.43,219221
17-Aug-17,88.03,88.35,87.03,87.41,178881
16-Aug-17,87.60,88.12,87.18,87.60,170375
15-Aug-17,87.13,87.46,86.62,87.28,88328
14-Aug-17,85.99,86.90,85.76,86.56,213507
11-Aug-17,82.27,84.60,81.44,83.73,353470
10-Aug-17,83.24,84.68,78.27,81.06,2828819
9-Aug-17,73.39,73.66,72.92,73.17,116401
8-Aug-17,74.81,75.18,73.84,73.90,163899
7-Aug-17,75.83,75.92,75.33,75.51,81537
4-Aug-17,75.86,76.48,75.34,75.86,90627
3-Aug-17,76.90,77.57,76.60,77.01,98470
2-Aug-17,77.32,78.55,76.96,78.00,84629
1-Aug-17,77.63,78.01,77.03,77.26,125920
31-Jul-17,80.47,80.50,79.02,79.35,85355
28-Jul-17,81.78,81.78,80.33,80.53,185012
27-Jul-17,82.50,82.50,79.30,80.31,185980
26-Jul-17,81.71,83.14,81.57,82.85,222627
25-Jul-17,83.15,83.22,81.01,81.76,161317
24-Jul-17,80.78,81.67,80.59,80.98,136441
21-Jul-17,81.14,82.58,80.97,82.25,283798
20-Jul-17,78.14,80.94,78.14,80.85,662837
19-Jul-17,73.22,76.33,72.90,76.16,1066875
18-Jul-17,76.58,77.72,76.47,77.49,126572
17-Jul-17,76.74,77.15,75.50,75.67,253213
