Date,Open,High,Low,Close,Volume
20-Oct-17,30.39,30.66,30.29,30.65,420381
19-Oct-17,29.84,30.21,29.58,30.17,603286
18-Oct-17,29.57,30.34,29.57,30.18,466023
17-Oct-17,29.05,29.55,29.00,29.40,523914
16-Oct-17,29.00,29.32,28.79,29.00,403273
13-Oct-17,29.01,29.01,28.36,28.86,881338
12-Oct-17,28.98,29.11,28.70,29.00,871525
11-Oct-17,29.69,29.92,29.60,29.62,49616
10-Oct-17,30.01,30.20,29.53,29.69,637318
9-Oct-17,30.84,30.84,29.90,30.00,1127697
6-Oct-17,31.03,31.41,30.95,31.22,407071
5-Oct-17,31.17,31.23,30.94,31.14,466231
4-Oct-17,30.43,31.04,30.10,31.02,436639
3-Oct-17,30.55,30.59,30.08,30.32,396803
2-Oct-17,29.66,30.42,29.54,30.38,594632
29-Sep-17,29.50,29.93,29.40,29.72,1062749
28-Sep-17,30.02,30.02,29.38,29.50,1038799
27-Sep-17,28.98,30.00,28.98,29.99,824701
26-Sep-17,29.00,29.18,28.90,29.06,508527
25-Sep-17,29.22,29.38,28.97,29.05,714639
22-Sep-17,29.27,29.46,29.21,29.28,581178
21-Sep-17,29.76,29.76,28.81,29.23,569760
20-Sep-17,29.90,30.27,29.73,29.75,582875
19-Sep-17,30.11,30.12,29.60,29.91,685332
18-Sep-17,30.20,30.32,29.95,30.11,377491
15-Sep-17,29.98,30.59,29.81,30.15,1050810
14-Sep-17,30.32,30.38,29.71,29.91,582944
13-Sep-17,30.68,30.77,30.25,30.30,420728
12-Sep-17,30.73,30.84,30.58,30.75,520068
11-Sep-17,30.65,30.96,30.42,30.70,520317
8-Sep-17,30.13,30.54,30.04,30.40,566288
7-Sep-17,30.27,30.27,30.00,30.13,370494
6-Sep-17,30.41,30.41,29.88,30.02,799982
5-Sep-17,30.19,30.43,29.93,30.36,528607
1-Sep-17,30.30,30.59,30.05,30.32,468627
31-Aug-17,29.62,30.28,29.56,30.23,834772
30-Aug-17,27.82,29.69,27.79,29.51,1378586
29-Aug-17,29.13,29.26,28.25,28.28,926699
28-Aug-17,29.20,29.38,29.14,29.31,593022
25-Aug-17,29.28,29.45,29.06,29.15,607564
24-Aug-17,29.60,29.77,29.14,29.17,610847
23-Aug-17,29.53,29.82,29.41,29.51,488954
22-Aug-17,29.68,30.00,29.68,29.83,365221
21-Aug-17,30.09,30.13,29.42,29.65,655710
18-Aug-17,30.09,30.33,29.70,30.11,1282896
17-Aug-17,30.45,31.28,30.23,30.35,1580485
16-Aug-17,29.71,29.71,29.18,29.23,375717
15-Aug-17,29.77,29.84,29.51,29.59,1155088
14-Aug-17,29.52,29.83,29.52,29.68,626048
11-Aug-17,28.64,29.37,28.61,29.30,610322
10-Aug-17,29.45,29.56,28.74,28.78,765413
9-Aug-17,29.27,29.51,29.00,29.50,471035
8-Aug-17,29.68,29.70,29.37,29.44,514912
7-Aug-17,29.55,29.73,29.30,29.71,731008
4-Aug-17,29.25,29.60,29.01,29.59,714978
3-Aug-17,30.50,30.70,29.07,29.26,1846334
2-Aug-17,30.94,30.94,30.18,30.56,652769
1-Aug-17,31.05,31.24,30.69,30.85,513022
31-Jul-17,-,31.38,30.70,30.75,695806
28-Jul-17,32.48,32.66,30.64,31.04,1025042
27-Jul-17,33.15,33.19,32.38,32.67,505672
26-Jul-17,33.04,33.23,32.80,33.12,570398
25-Jul-17,32.50,33.38,32.24,33.10,710058
24-Jul-17,32.28,32.51,32.05,32.42,454205
21-Jul-17,32.83,32.87,32.24,32.29,297692
20-Jul-17,32.49,32.83,32.42,32.62,318115
19-Jul-17,32.10,32.95,32.00,32.39,632484
18-Jul-17,32.37,32.37,31.70,31.94,440870
17-Jul-17,32.50,32.84,32.07,32.34,249176
14-Jul-17,32.09,32.56,32.09,32.38,502561
13-Jul-17,32.31,32.42,31.89,32.01,375026
12-Jul-17,32.08,32.51,31.95,32.32,535398
11-Jul-17,31.98,32.14,31.53,31.91,433108
10-Jul-17,32.31,32.42,31.90,31.97,478171
7-Jul-17,31.99,32.54,31.86,32.33,502947
6-Jul-17,32.27,32.33,31.79,31.83,586754
5-Jul-17,32.51,32.64,32.21,32.42,533618
3-Jul-17,33.28,33.28,32.37,32.52,211460
30-Jun-17,33.42,33.64,33.12,33.15,564669
29-Jun-17,33.91,33.95,33.10,33.37,750062
28-Jun-17,33.63,34.00,33.41,33.92,688766
27-Jun-17,33.36,33.58,33.10,33.39,546072
26-Jun-17,34.01,34.03,33.31,33.41,393505
23-Jun-17,33.61,34.00,33.57,33.95,606451
22-Jun-17,33.30,33.59,33.26,33.56,359395
21-Jun-17,33.26,33.50,33.15,33.27,436078
20-Jun-17,33.32,33.41,33.13,33.27,396212
19-Jun-17,33.14,33.35,33.04,33.23,336751
16-Jun-17,32.43,32.98,32.42,32.95,691462
15-Jun-17,32.40,32.76,32.40,32.71,434020
