Date,Open,High,Low,Close,Volume
20-Oct-17,21.40,21.95,21.26,21.62,1072530
19-Oct-17,21.51,21.51,21.34,21.45,499587
18-Oct-17,21.50,21.59,21.40,21.50,449140
17-Oct-17,21.34,21.54,21.24,21.51,478828
16-Oct-17,21.31,21.50,21.23,21.50,394350
13-Oct-17,21.19,21.31,21.12,21.20,333993
12-Oct-17,21.30,21.32,21.06,21.21,347771
11-Oct-17,21.19,21.29,21.15,21.26,244660
10-Oct-17,21.03,21.16,20.88,20.99,548430
9-Oct-17,21.16,21.29,21.08,21.18,372196
6-Oct-17,21.36,21.44,21.11,21.12,280695
5-Oct-17,21.33,21.49,21.28,21.48,343664
4-Oct-17,21.26,21.42,21.08,21.18,635664
3-Oct-17,21.53,21.63,21.33,21.45,350009
2-Oct-17,21.59,21.77,21.36,21.67,1103645
29-Sep-17,21.70,21.98,21.67,21.89,679790
28-Sep-17,21.41,21.90,21.36,21.82,1165559
27-Sep-17,21.29,21.64,21.19,21.55,1085591
26-Sep-17,20.98,21.37,20.85,21.33,941216
25-Sep-17,20.84,21.12,20.78,21.12,615507
22-Sep-17,20.80,21.04,20.79,20.98,470373
21-Sep-17,20.51,20.79,20.45,20.76,922432
20-Sep-17,20.61,20.82,20.56,20.79,976730
19-Sep-17,20.78,20.87,20.71,20.78,738342
18-Sep-17,20.74,20.82,20.66,20.76,823233
15-Sep-17,20.99,21.01,20.52,20.74,1424839
14-Sep-17,21.41,21.54,21.37,21.41,540621
13-Sep-17,21.21,21.77,21.21,21.70,1454192
12-Sep-17,21.35,21.40,21.15,21.16,518611
11-Sep-17,21.47,21.70,21.16,21.29,884580
8-Sep-17,21.24,21.32,21.11,21.16,532706
7-Sep-17,21.15,21.44,21.11,21.28,597148
6-Sep-17,20.78,21.03,20.75,20.93,1260593
5-Sep-17,20.77,20.88,20.51,20.57,880870
1-Sep-17,20.71,20.93,20.54,20.61,1185427
31-Aug-17,20.40,20.67,20.35,20.65,907380
30-Aug-17,20.21,20.24,20.11,20.15,567871
29-Aug-17,20.28,20.31,20.04,20.07,325630
28-Aug-17,20.56,20.59,20.27,20.33,355907
25-Aug-17,20.52,20.73,20.43,20.49,512592
24-Aug-17,20.46,20.50,20.21,20.25,487321
23-Aug-17,20.46,20.58,20.28,20.29,429595
22-Aug-17,20.30,20.52,20.27,20.41,554392
21-Aug-17,20.43,20.50,20.22,20.22,371944
18-Aug-17,20.22,20.28,20.10,20.12,228892
17-Aug-17,20.71,20.80,20.24,20.28,360931
16-Aug-17,20.78,20.86,20.46,20.49,427324
15-Aug-17,20.69,20.82,20.51,20.69,532154
14-Aug-17,20.64,20.70,20.52,20.57,227457
11-Aug-17,20.38,20.67,20.35,20.55,222396
10-Aug-17,20.53,20.62,20.32,20.41,418262
9-Aug-17,20.57,20.76,20.53,20.70,330784
8-Aug-17,20.93,21.00,20.69,20.76,662961
7-Aug-17,20.94,20.95,20.67,20.80,283969
4-Aug-17,20.98,21.05,20.79,20.92,150732
3-Aug-17,20.84,21.00,20.82,20.92,240210
2-Aug-17,20.86,20.89,20.67,20.78,301199
1-Aug-17,20.92,21.09,20.84,20.84,591171
31-Jul-17,20.76,21.08,20.69,20.95,409597
28-Jul-17,20.62,20.74,20.39,20.46,504294
27-Jul-17,20.34,20.34,19.92,20.06,471505
26-Jul-17,20.15,20.36,20.10,20.14,534122
25-Jul-17,20.50,20.50,20.02,20.10,901040
24-Jul-17,20.49,20.59,20.36,20.37,320595
21-Jul-17,20.83,20.87,20.57,20.70,820613
20-Jul-17,20.90,20.97,20.77,20.92,450969
19-Jul-17,20.88,20.98,20.68,20.73,280999
18-Jul-17,20.82,20.91,20.58,20.80,393670
17-Jul-17,20.89,21.05,20.89,21.00,392070
14-Jul-17,20.83,20.98,20.77,20.88,228402
13-Jul-17,20.79,20.84,20.60,20.74,277259
12-Jul-17,20.64,20.98,20.55,20.95,547832
11-Jul-17,20.50,20.64,20.42,20.47,545572
10-Jul-17,20.64,20.90,20.64,20.68,558731
7-Jul-17,20.42,20.66,20.40,20.60,652182
6-Jul-17,20.62,20.73,20.39,20.43,962373
5-Jul-17,20.96,20.96,20.49,20.56,1007573
3-Jul-17,21.04,21.18,20.87,21.09,457310
30-Jun-17,21.07,21.24,20.96,21.13,418148
29-Jun-17,21.49,21.50,20.90,21.15,748387
28-Jun-17,21.60,21.74,21.46,21.55,1405395
27-Jun-17,21.90,21.90,21.59,21.59,834210
26-Jun-17,22.36,22.41,21.85,21.86,466311
