Date,Open,High,Low,Close,Volume
20-Oct-17,40.72,40.93,40.67,40.84,8971913
19-Oct-17,40.99,41.24,40.98,41.10,3248835
18-Oct-17,40.94,41.10,40.91,41.01,3415952
17-Oct-17,40.77,40.90,40.59,40.83,4775233
16-Oct-17,40.94,41.00,40.64,40.86,4132566
13-Oct-17,41.05,41.10,40.92,41.01,4354724
12-Oct-17,40.82,41.11,40.79,41.02,4153036
11-Oct-17,40.72,40.73,40.65,40.66,992148
10-Oct-17,40.55,40.84,40.53,40.78,3734000
9-Oct-17,40.68,40.71,40.54,40.60,3559660
6-Oct-17,40.53,40.62,40.46,40.61,2771814
5-Oct-17,40.54,40.72,40.51,40.66,2766880
4-Oct-17,40.88,40.90,40.65,40.80,5537444
3-Oct-17,41.00,41.05,40.85,40.94,4059522
2-Oct-17,40.81,41.08,40.80,40.91,2238126
29-Sep-17,40.53,40.61,40.40,40.60,3118532
28-Sep-17,40.60,40.64,40.38,40.38,3788485
27-Sep-17,40.40,40.59,40.33,40.39,3599281
26-Sep-17,40.55,40.64,40.27,40.41,3287558
25-Sep-17,40.45,40.69,40.40,40.65,4429387
22-Sep-17,40.63,40.74,40.38,40.58,2769085
21-Sep-17,40.19,40.49,40.18,40.33,5038622
20-Sep-17,39.94,40.19,39.86,40.18,4008280
19-Sep-17,39.85,39.92,39.70,39.92,3798407
18-Sep-17,40.08,40.10,39.91,40.05,3539397
15-Sep-17,40.30,40.34,40.08,40.24,3006781
14-Sep-17,40.07,40.38,40.00,40.35,2650424
13-Sep-17,40.20,40.28,40.00,40.10,2716286
12-Sep-17,40.30,40.48,40.28,40.37,4349903
11-Sep-17,39.96,40.28,39.91,40.27,3879499
8-Sep-17,39.97,40.10,39.83,40.05,2015586
7-Sep-17,40.07,40.24,40.00,40.15,3007910
6-Sep-17,39.78,40.13,39.78,40.00,2571263
5-Sep-17,39.82,39.98,39.71,39.89,3921919
1-Sep-17,40.26,40.35,40.14,40.20,2974256
31-Aug-17,39.83,40.25,39.82,40.23,2956912
30-Aug-17,39.80,39.85,39.61,39.74,2971967
29-Aug-17,39.16,39.39,39.07,39.32,2460711
28-Aug-17,39.71,39.74,39.27,39.46,2381132
25-Aug-17,39.56,39.68,39.46,39.47,1644056
24-Aug-17,39.63,39.71,39.39,39.46,3247437
23-Aug-17,39.36,39.41,39.18,39.32,2572929
22-Aug-17,38.86,39.17,38.84,39.13,1940096
21-Aug-17,38.75,38.82,38.60,38.68,2051734
18-Aug-17,38.96,38.98,38.71,38.75,2460202
17-Aug-17,39.43,39.52,39.03,39.05,2809282
16-Aug-17,39.31,39.37,39.16,39.24,2011381
15-Aug-17,39.05,39.14,38.89,38.95,2217886
14-Aug-17,38.97,39.08,38.92,39.01,1734732
11-Aug-17,38.80,39.06,38.62,38.79,2329225
10-Aug-17,39.35,39.39,38.88,38.90,3208819
9-Aug-17,39.53,39.59,39.27,39.53,3262264
8-Aug-17,40.25,40.33,40.12,40.15,2272320
7-Aug-17,40.40,40.46,40.22,40.30,2706597
4-Aug-17,40.60,40.70,40.45,40.53,2476285
3-Aug-17,40.91,40.92,40.56,40.69,2898645
2-Aug-17,40.70,40.83,40.56,40.75,1815469
1-Aug-17,40.83,40.90,40.59,40.61,2444841
31-Jul-17,-,-,40.46,40.52,5326854
28-Jul-17,40.29,40.96,40.28,40.93,6233161
27-Jul-17,40.71,40.79,40.50,40.75,3673080
26-Jul-17,41.41,41.48,40.79,40.85,4652408
25-Jul-17,42.15,42.20,41.81,41.96,3378368
24-Jul-17,42.07,42.30,42.03,42.24,2990577
21-Jul-17,42.79,42.83,42.37,42.66,2280071
20-Jul-17,42.68,42.94,42.67,42.77,2959505
19-Jul-17,42.60,42.81,42.40,42.42,1771157
18-Jul-17,42.28,42.44,42.16,42.43,1880327
17-Jul-17,42.67,42.73,42.10,42.26,2323926
14-Jul-17,42.69,42.88,42.60,42.75,2011314
13-Jul-17,42.55,42.67,42.28,42.50,2109934
