Date,Open,High,Low,Close,Volume
20-Oct-17,109.40,110.29,107.49,107.63,286814
19-Oct-17,111.15,111.45,109.03,109.40,334917
18-Oct-17,110.57,112.19,110.03,111.16,141051
17-Oct-17,111.21,112.25,110.58,110.81,163218
16-Oct-17,111.88,113.38,110.64,111.25,158283
13-Oct-17,114.11,114.11,110.50,111.14,211655
12-Oct-17,113.25,114.87,113.04,114.12,299193
11-Oct-17,111.28,113.85,110.07,112.91,186153
10-Oct-17,109.67,111.66,109.17,111.05,182575
9-Oct-17,109.67,110.12,108.00,109.63,199113
6-Oct-17,113.79,114.44,109.56,109.95,317903
5-Oct-17,110.60,115.47,110.00,114.54,533402
4-Oct-17,103.72,112.13,103.72,110.88,634062
3-Oct-17,98.33,104.44,98.06,103.73,626688
2-Oct-17,101.98,102.86,96.80,98.51,1297826
29-Sep-17,99.23,106.00,96.42,101.49,2768479
28-Sep-17,111.53,113.41,109.50,112.27,371328
27-Sep-17,107.04,111.91,107.04,110.77,272121
26-Sep-17,108.45,110.40,107.40,108.09,161887
25-Sep-17,108.24,109.70,107.09,108.65,223745
22-Sep-17,109.20,109.68,107.32,108.46,195782
21-Sep-17,109.90,110.99,107.75,109.23,262293
20-Sep-17,109.26,111.36,109.06,110.15,175438
19-Sep-17,109.02,110.45,109.00,109.53,132832
18-Sep-17,109.13,110.62,106.99,108.97,218679
15-Sep-17,107.00,108.27,106.09,108.23,239954
14-Sep-17,105.34,109.53,104.33,107.14,233105
13-Sep-17,108.99,111.52,105.38,105.68,412148
12-Sep-17,107.66,109.40,106.85,109.02,240552
11-Sep-17,107.95,108.83,106.30,107.66,153122
8-Sep-17,108.53,109.08,106.64,107.58,186042
7-Sep-17,106.57,109.12,106.28,108.52,270351
6-Sep-17,104.94,106.24,103.53,106.14,181129
5-Sep-17,104.51,105.00,101.84,104.94,282177
1-Sep-17,106.00,107.15,103.35,104.99,250428
31-Aug-17,105.00,107.32,105.00,105.82,239715
30-Aug-17,105.32,105.96,103.49,105.04,219025
29-Aug-17,99.80,106.27,99.20,104.97,284863
28-Aug-17,101.02,101.40,99.13,101.20,183269
25-Aug-17,103.53,103.80,100.94,101.06,180865
24-Aug-17,101.14,103.83,100.50,102.95,166420
23-Aug-17,98.93,102.88,98.93,101.24,195536
22-Aug-17,98.45,100.63,98.45,99.62,224481
21-Aug-17,100.00,101.93,97.86,98.75,246467
18-Aug-17,101.10,101.47,98.30,99.92,337185
17-Aug-17,103.82,103.82,101.00,101.51,365294
16-Aug-17,102.46,103.21,101.16,102.87,179047
15-Aug-17,102.37,103.34,101.76,102.45,188833
14-Aug-17,101.99,102.85,101.38,102.32,209688
11-Aug-17,102.25,103.00,101.34,101.75,218738
10-Aug-17,100.58,102.76,99.67,102.24,611483
9-Aug-17,106.32,106.67,99.91,100.52,645120
8-Aug-17,110.48,111.00,105.07,107.59,1133074
7-Aug-17,120.81,122.45,114.22,115.10,696742
4-Aug-17,116.00,118.12,114.25,117.61,631565
3-Aug-17,112.58,114.78,110.49,110.95,251686
2-Aug-17,110.41,114.24,109.63,112.15,218295
1-Aug-17,112.17,112.24,107.93,110.83,319322
31-Jul-17,117.22,117.29,110.62,111.78,379702
28-Jul-17,116.58,117.41,116.00,117.21,250790
27-Jul-17,115.96,117.81,115.20,116.83,379620
26-Jul-17,115.83,116.08,114.97,115.83,376126
25-Jul-17,115.98,116.49,114.60,115.55,201018
24-Jul-17,115.35,115.70,114.33,115.21,222523
21-Jul-17,114.65,115.74,113.06,114.92,188967
20-Jul-17,112.82,115.49,112.00,114.49,364772
19-Jul-17,108.92,112.89,108.79,112.43,412982
18-Jul-17,106.32,109.39,105.84,108.42,314285
17-Jul-17,106.22,107.83,105.50,106.33,209752
14-Jul-17,106.98,108.26,106.11,106.15,183985
13-Jul-17,106.56,108.16,105.56,106.67,272001
12-Jul-17,107.38,107.98,104.64,106.43,253012
11-Jul-17,100.25,108.40,100.25,106.56,458774
10-Jul-17,102.56,103.10,99.01,100.10,325114
7-Jul-17,100.04,102.20,99.75,102.08,194532
6-Jul-17,103.32,103.79,99.69,100.19,322115
5-Jul-17,100.75,104.22,100.75,103.33,368705
3-Jul-17,100.52,101.10,99.51,100.74,132191
30-Jun-17,99.86,101.05,99.20,100.25,139482
29-Jun-17,97.30,100.05,97.23,99.88,212043
28-Jun-17,98.03,98.60,95.65,97.33,250873
27-Jun-17,102.72,102.72,97.50,97.57,292578
26-Jun-17,104.55,104.60,101.62,103.04,210389
23-Jun-17,102.92,104.06,101.77,103.81,167963
22-Jun-17,104.76,105.50,102.45,102.91,265830
21-Jun-17,104.98,107.58,102.31,104.72,327279
20-Jun-17,101.24,105.88,101.24,104.23,379030
19-Jun-17,98.47,101.33,97.81,101.22,222696
16-Jun-17,97.11,98.06,96.12,97.73,203868
15-Jun-17,98.22,98.92,96.70,97.09,153907
14-Jun-17,99.94,101.34,98.51,98.81,239298
13-Jun-17,97.00,100.57,96.93,99.70,296905
12-Jun-17,94.52,97.19,94.04,96.96,283124
9-Jun-17,93.91,96.86,93.38,94.99,240333
8-Jun-17,97.45,97.96,92.65,94.14,349965
7-Jun-17,97.28,98.18,96.41,97.42,215363
6-Jun-17,98.95,99.80,96.84,97.38,194049
5-Jun-17,101.09,101.40,98.15,99.65,132693
2-Jun-17,100.43,102.22,100.12,101.76,166271
1-Jun-17,99.71,101.00,99.00,100.61,185829
31-May-17,101.20,101.62,97.73,98.61,441771
30-May-17,106.00,106.23,101.00,101.20,423992
26-May-17,107.97,108.16,105.82,106.13,219092
25-May-17,110.50,111.95,106.65,108.02,352939
24-May-17,108.19,108.66,105.82,106.31,148557
23-May-17,107.25,108.15,106.09,107.80,142020
22-May-17,107.04,107.95,106.50,107.04,164674
19-May-17,104.61,107.88,104.60,106.27,360526
18-May-17,103.00,106.29,103.00,104.29,238952
17-May-17,102.44,104.84,101.55,103.72,282120
16-May-17,103.06,103.20,100.76,102.95,262621
15-May-17,104.12,104.38,101.50,103.21,296567
12-May-17,103.50,106.79,103.10,104.11,318730
11-May-17,103.73,106.63,100.76,103.73,650835
10-May-17,108.00,109.59,104.96,106.01,586373
9-May-17,109.72,110.00,107.33,109.13,313801
8-May-17,112.58,112.86,108.75,109.66,400586
5-May-17,114.65,114.91,112.04,113.04,172424
4-May-17,113.52,114.13,112.16,113.25,278719
3-May-17,116.94,117.19,113.00,113.25,354995
2-May-17,119.99,120.20,116.05,117.24,203837
1-May-17,119.00,119.85,117.54,119.03,137370
28-Apr-17,118.69,119.48,118.24,118.73,116341
27-Apr-17,119.83,119.91,118.26,118.43,140863
26-Apr-17,116.52,120.00,116.50,119.26,299810
25-Apr-17,114.95,118.08,114.66,116.74,353575
24-Apr-17,115.55,116.02,114.00,114.45,338805
21-Apr-17,117.06,117.98,114.50,114.76,292215
20-Apr-17,116.69,118.22,115.60,115.82,199372
19-Apr-17,116.51,117.58,114.42,116.19,224995
18-Apr-17,116.06,116.17,113.61,113.94,280889
17-Apr-17,117.81,118.19,115.96,116.25,219510
13-Apr-17,118.22,118.50,116.78,117.07,170347
12-Apr-17,118.16,118.99,117.07,117.75,161022
11-Apr-17,118.00,120.37,118.00,118.25,253045
10-Apr-17,115.91,119.59,115.91,117.93,281219
7-Apr-17,116.26,117.33,115.05,116.31,218394
6-Apr-17,117.39,118.18,114.37,115.98,407374
5-Apr-17,119.08,119.83,116.43,117.09,269163
4-Apr-17,120.72,121.99,118.89,119.00,302799
3-Apr-17,121.25,121.80,119.99,120.81,240271
31-Mar-17,121.49,121.76,120.84,120.94,142016
30-Mar-17,121.75,121.84,120.48,121.35,128944
29-Mar-17,120.05,123.34,120.05,121.40,216325
28-Mar-17,121.42,122.78,120.01,120.13,222321
27-Mar-17,120.45,122.20,119.62,121.41,196994
24-Mar-17,121.50,123.33,120.58,121.17,168930
23-Mar-17,119.50,122.81,119.16,121.12,230081
22-Mar-17,118.71,120.31,118.00,119.50,191576
21-Mar-17,122.56,123.30,118.30,119.06,363021
20-Mar-17,123.57,123.57,122.07,122.47,202950
17-Mar-17,122.54,123.57,122.00,123.08,246200
16-Mar-17,124.51,124.75,122.62,122.97,168900
15-Mar-17,123.30,124.71,122.50,123.95,347796
14-Mar-17,123.15,124.36,122.11,123.47,270743
13-Mar-17,125.00,125.59,123.01,123.33,405168
10-Mar-17,126.00,126.99,122.79,125.07,494551
9-Mar-17,129.18,129.81,125.11,125.44,433988
8-Mar-17,127.75,130.89,127.75,129.59,366447
7-Mar-17,127.91,129.54,126.00,127.40,297887
6-Mar-17,130.97,131.04,128.26,128.99,384735
3-Mar-17,130.37,136.95,129.85,131.35,588159
2-Mar-17,128.29,131.39,127.88,129.84,602733
1-Mar-17,125.00,128.62,124.37,128.31,398389
28-Feb-17,125.04,126.42,124.25,124.78,139582
27-Feb-17,123.43,125.74,122.64,125.41,218320
24-Feb-17,122.98,124.00,120.39,123.74,348791
23-Feb-17,125.81,127.16,122.72,124.30,377492
22-Feb-17,128.89,129.21,123.84,125.17,462071
21-Feb-17,130.35,130.57,128.75,129.43,209540
17-Feb-17,129.84,130.58,128.03,129.59,203590
16-Feb-17,132.09,132.50,128.71,129.81,318468
15-Feb-17,132.49,133.30,130.06,132.51,512172
14-Feb-17,130.80,132.73,128.87,132.41,507603
13-Feb-17,128.30,131.33,127.65,129.42,358503
10-Feb-17,128.06,129.48,127.04,128.23,284593
9-Feb-17,129.87,130.83,126.75,127.93,453163
8-Feb-17,124.63,130.00,124.28,128.90,675550
7-Feb-17,119.97,125.02,118.19,123.93,687359
6-Feb-17,118.71,120.94,118.52,120.76,402611
3-Feb-17,115.80,118.84,115.06,118.68,330721
2-Feb-17,115.94,116.60,112.50,115.30,331086
1-Feb-17,115.96,115.96,113.67,114.92,308374
31-Jan-17,113.49,117.01,112.00,114.98,488172
30-Jan-17,115.50,116.59,113.00,113.48,302004
27-Jan-17,117.96,118.49,115.51,115.75,196245
26-Jan-17,119.63,120.40,116.58,116.74,334485
25-Jan-17,119.93,119.93,119.11,119.75,322509
24-Jan-17,120.96,121.35,117.34,118.86,402626
23-Jan-17,120.00,121.44,118.84,120.23,328840
20-Jan-17,118.93,120.39,117.52,120.01,452594
19-Jan-17,122.73,123.34,118.41,118.65,381086
18-Jan-17,123.50,123.84,120.28,122.29,302962
17-Jan-17,120.49,122.51,118.59,121.79,350014
13-Jan-17,120.71,122.91,119.14,119.91,466056
12-Jan-17,118.58,120.50,114.75,118.38,407084
11-Jan-17,124.32,125.00,117.50,119.06,613615
10-Jan-17,120.99,125.45,120.77,123.81,550107
9-Jan-17,119.17,120.39,118.33,120.02,323938
6-Jan-17,118.63,121.09,117.67,118.36,282052
5-Jan-17,117.39,121.25,117.00,117.74,376643
4-Jan-17,112.90,118.14,112.31,116.88,382686
3-Jan-17,112.14,113.51,110.75,112.38,301512
30-Dec-16,112.06,113.45,110.86,111.75,218864
29-Dec-16,111.48,112.83,110.00,111.43,218005
28-Dec-16,113.44,113.86,111.21,111.70,170296
27-Dec-16,114.41,115.71,112.98,113.21,156492
23-Dec-16,113.25,115.39,113.11,114.24,169531
22-Dec-16,114.15,114.19,111.02,113.06,449796
21-Dec-16,114.49,116.32,113.80,114.02,262620
20-Dec-16,113.87,116.34,113.34,114.66,384260
19-Dec-16,115.42,115.80,112.65,113.36,160695
16-Dec-16,117.16,117.75,113.83,114.57,543237
15-Dec-16,116.89,117.85,115.03,117.08,217194
14-Dec-16,115.03,116.88,114.80,116.47,229551
13-Dec-16,116.63,118.29,114.60,115.58,264898
12-Dec-16,114.68,117.14,112.12,115.96,460989
9-Dec-16,119.48,120.30,114.18,115.06,539853
8-Dec-16,116.91,118.51,115.50,118.19,457204
7-Dec-16,120.00,120.00,114.00,116.84,645128
6-Dec-16,119.49,120.49,116.09,120.19,360888
5-Dec-16,110.10,122.25,110.00,117.45,1188146
2-Dec-16,108.00,112.99,107.10,112.32,578112
1-Dec-16,109.87,111.69,107.35,109.28,777857
30-Nov-16,114.81,116.29,110.25,111.65,947425
29-Nov-16,116.09,118.81,115.57,116.30,358104
28-Nov-16,116.80,120.93,114.78,117.06,618331
25-Nov-16,117.61,120.13,116.50,117.47,261698
23-Nov-16,113.48,117.07,111.77,116.67,469047
22-Nov-16,120.99,122.10,113.60,114.88,684170
21-Nov-16,118.33,122.63,114.68,121.57,963084
18-Nov-16,126.75,126.75,116.25,118.66,1544640
17-Nov-16,128.48,130.79,125.51,126.42,747591
16-Nov-16,133.49,134.63,127.71,129.21,585193
15-Nov-16,132.92,134.34,130.01,134.02,522612
14-Nov-16,130.93,134.39,129.86,132.86,390091
11-Nov-16,128.99,131.86,127.56,130.97,438964
10-Nov-16,129.72,134.51,126.73,129.92,971895
9-Nov-16,123.79,128.95,116.56,127.49,1302320
8-Nov-16,119.84,124.81,118.22,120.25,660421
7-Nov-16,117.88,119.81,117.00,119.18,514634
4-Nov-16,111.01,116.87,110.92,115.11,449595
3-Nov-16,113.21,114.55,110.82,111.45,411289
2-Nov-16,115.79,115.79,110.65,113.29,665323
1-Nov-16,117.35,118.29,114.28,116.30,332684
31-Oct-16,116.79,117.66,115.63,117.39,204719
28-Oct-16,116.07,119.00,114.13,116.89,301085
27-Oct-16,118.38,119.59,116.02,116.23,227992
26-Oct-16,117.65,120.51,117.02,117.77,338392
25-Oct-16,118.00,119.71,116.76,118.24,380095
24-Oct-16,123.10,123.10,119.05,119.83,484445
21-Oct-16,124.06,125.09,123.00,123.11,317564
20-Oct-16,120.00,127.24,118.50,124.84,594936
19-Oct-16,123.75,124.24,121.44,121.80,408304
18-Oct-16,127.70,128.00,124.44,125.21,359535
17-Oct-16,126.62,127.83,123.81,126.87,336029
14-Oct-16,129.05,129.36,126.27,126.39,270600
13-Oct-16,126.00,129.65,124.43,128.53,394135
12-Oct-16,129.49,130.26,127.16,127.40,381219
11-Oct-16,130.00,131.66,127.01,129.81,641919
10-Oct-16,131.50,133.02,130.07,132.08,375170
7-Oct-16,137.30,137.88,129.59,131.17,837637
6-Oct-16,133.23,135.00,131.08,133.10,516743
5-Oct-16,133.01,136.98,132.73,133.45,620771
4-Oct-16,134.81,134.81,131.08,133.14,527923
3-Oct-16,133.31,133.31,129.75,132.68,569427
30-Sep-16,131.54,135.16,129.26,132.73,845719
29-Sep-16,128.35,132.47,127.52,129.97,902492
28-Sep-16,125.54,130.24,122.94,130.14,903398
27-Sep-16,125.60,127.45,122.61,124.91,1013573
26-Sep-16,120.51,126.47,119.27,126.06,3348676
23-Sep-16,109.39,109.49,106.50,107.56,483648
22-Sep-16,108.03,110.68,107.91,109.76,332221
21-Sep-16,108.53,109.34,106.01,107.96,395950
20-Sep-16,105.88,111.82,105.72,108.29,826360
19-Sep-16,105.01,106.67,103.50,105.41,425653
16-Sep-16,103.99,106.41,102.78,105.12,435460
15-Sep-16,102.17,106.69,99.93,105.09,1134580
14-Sep-16,98.00,102.47,97.37,102.18,599932
13-Sep-16,100.74,100.74,96.43,98.11,508526
12-Sep-16,99.36,102.28,98.28,100.77,858118
9-Sep-16,100.41,102.00,98.20,99.84,1733509
8-Sep-16,100.23,110.21,98.60,104.78,3939455
7-Sep-16,84.14,104.58,82.93,104.03,3124007
6-Sep-16,83.39,85.25,83.12,84.20,307270
2-Sep-16,81.96,83.00,81.60,82.73,208179
1-Sep-16,81.41,82.41,80.77,82.28,327205
31-Aug-16,80.73,81.95,80.62,81.75,307213
30-Aug-16,81.08,82.43,81.06,81.77,394808
29-Aug-16,81.44,82.59,79.71,80.65,303862
26-Aug-16,82.06,84.04,81.16,81.63,369014
25-Aug-16,82.24,83.19,79.62,81.54,334648
24-Aug-16,85.32,88.23,82.24,82.53,530146
23-Aug-16,85.00,85.82,84.37,85.04,196058
22-Aug-16,82.92,86.68,82.55,84.38,416366
19-Aug-16,83.59,84.25,83.02,83.28,242327
18-Aug-16,81.66,84.30,81.45,84.16,297405
17-Aug-16,81.34,82.57,80.00,81.38,454396
16-Aug-16,84.78,85.29,81.44,81.56,503597
15-Aug-16,85.56,86.46,84.90,85.07,328136
12-Aug-16,88.17,88.49,85.20,85.58,355143
11-Aug-16,85.48,87.62,84.50,87.54,489926
10-Aug-16,92.57,92.64,85.42,86.59,852582
9-Aug-16,93.00,95.00,92.46,92.65,316409
8-Aug-16,95.37,95.75,93.71,93.96,245319
5-Aug-16,95.26,95.75,95.01,95.62,164176
4-Aug-16,95.49,95.95,94.20,95.40,191886
3-Aug-16,94.44,95.75,93.83,95.02,275457
2-Aug-16,95.94,96.40,92.42,94.07,332418
1-Aug-16,94.25,96.25,93.71,96.11,504870
29-Jul-16,93.91,95.73,93.45,94.32,369481
28-Jul-16,94.13,94.57,93.05,94.32,280516
27-Jul-16,92.74,94.43,92.49,94.16,370310
26-Jul-16,92.91,93.47,91.62,93.17,351530
25-Jul-16,94.48,94.74,92.00,93.20,191801
22-Jul-16,94.00,95.37,93.01,94.68,236515
21-Jul-16,94.73,96.64,93.33,93.75,403010
20-Jul-16,91.40,94.23,90.76,93.94,507832
19-Jul-16,90.42,92.18,90.42,90.94,360456
18-Jul-16,90.58,91.66,90.01,90.66,320851
15-Jul-16,91.34,92.05,89.52,90.39,521967
14-Jul-16,92.75,92.98,90.21,91.00,607020
13-Jul-16,94.22,95.05,90.65,92.26,2429996
12-Jul-16,97.38,97.74,96.35,97.10,242721
11-Jul-16,96.40,98.20,95.09,96.35,507871
8-Jul-16,94.05,95.63,92.84,94.83,391196
7-Jul-16,93.49,94.38,92.14,93.47,300099
6-Jul-16,91.20,94.51,90.25,92.93,307498
5-Jul-16,93.27,93.27,90.84,92.20,277941
