Date,Open,High,Low,Close,Volume
20-Oct-17,45.57,46.14,45.47,45.66,349615
19-Oct-17,45.53,45.76,44.90,45.11,288748
18-Oct-17,45.27,45.59,44.61,45.58,366691
17-Oct-17,45.29,45.66,44.93,44.96,292309
16-Oct-17,45.65,45.95,45.27,45.43,312383
13-Oct-17,46.04,46.14,45.59,45.62,426247
12-Oct-17,46.25,46.55,45.93,46.05,627284
11-Oct-17,45.83,46.60,45.82,45.88,10098
10-Oct-17,46.03,46.22,45.65,45.77,547522
9-Oct-17,46.50,46.52,45.88,46.00,178475
6-Oct-17,46.44,46.57,46.17,46.31,369146
5-Oct-17,45.85,46.59,45.84,46.38,269587
4-Oct-17,45.81,46.24,45.52,45.75,207695
3-Oct-17,46.12,46.85,45.32,45.89,385720
2-Oct-17,45.00,46.12,44.86,46.12,310908
29-Sep-17,43.20,44.97,43.03,44.87,395807
28-Sep-17,43.46,43.50,42.84,43.25,253704
27-Sep-17,43.12,43.48,42.83,43.41,377211
26-Sep-17,43.20,43.58,42.71,42.92,353239
25-Sep-17,42.89,43.37,42.86,43.00,385632
22-Sep-17,42.04,43.06,41.91,43.03,240207
21-Sep-17,41.87,42.23,41.54,42.02,146302
20-Sep-17,42.02,42.37,41.65,41.83,207654
19-Sep-17,42.29,42.29,41.72,41.93,206627
18-Sep-17,42.39,42.69,42.03,42.25,221746
15-Sep-17,42.29,42.55,41.84,42.29,570368
14-Sep-17,43.08,43.14,42.29,42.50,184130
13-Sep-17,42.80,43.29,42.74,43.14,205289
12-Sep-17,43.60,43.60,42.84,43.03,140639
11-Sep-17,42.65,43.57,42.25,43.53,394321
8-Sep-17,42.39,42.57,42.22,42.29,241610
7-Sep-17,42.84,42.84,42.25,42.44,328353
6-Sep-17,43.49,43.49,42.70,42.80,297320
5-Sep-17,43.50,43.77,43.06,43.35,197856
1-Sep-17,43.08,43.62,42.78,43.61,253149
31-Aug-17,41.97,43.03,41.89,43.02,243618
30-Aug-17,41.44,42.00,41.30,41.84,118967
29-Aug-17,41.52,41.77,41.26,41.45,161930
28-Aug-17,41.64,42.47,41.53,41.78,175116
25-Aug-17,41.61,41.86,41.45,41.50,131945
24-Aug-17,41.48,41.73,41.10,41.66,111828
23-Aug-17,41.53,41.92,41.20,41.32,107619
22-Aug-17,41.68,42.14,41.42,41.72,340722
21-Aug-17,41.57,41.78,41.34,41.42,337277
18-Aug-17,41.53,41.83,41.18,41.58,141983
17-Aug-17,42.93,43.03,41.83,41.86,260894
16-Aug-17,42.67,43.09,42.38,43.06,249383
15-Aug-17,42.74,42.88,42.46,42.60,155335
14-Aug-17,42.82,43.06,42.37,42.55,484198
11-Aug-17,41.50,42.70,41.28,42.50,287171
10-Aug-17,42.04,42.50,41.64,41.68,416527
9-Aug-17,42.83,43.39,42.39,42.52,650569
8-Aug-17,43.31,43.74,42.49,42.92,705438
7-Aug-17,40.81,43.02,39.92,42.39,643527
4-Aug-17,40.85,41.26,40.62,41.19,245704
3-Aug-17,40.32,40.80,40.26,40.76,229966
2-Aug-17,41.00,41.11,40.01,40.38,226011
1-Aug-17,41.24,41.63,40.95,41.02,468392
31-Jul-17,-,-,41.01,41.13,526856
28-Jul-17,39.17,42.01,39.17,42.00,988115
27-Jul-17,39.62,39.75,38.79,39.49,190779
26-Jul-17,39.90,39.98,39.52,39.58,180669
25-Jul-17,40.03,40.19,39.85,39.90,167091
24-Jul-17,39.78,40.04,39.48,39.96,142109
21-Jul-17,40.48,40.72,39.59,39.79,199760
20-Jul-17,40.42,40.65,40.22,40.40,410793
19-Jul-17,40.13,40.57,40.12,40.39,185840
18-Jul-17,40.23,40.29,39.68,39.96,124248
17-Jul-17,40.16,40.27,39.66,40.25,316401
14-Jul-17,40.11,40.56,39.92,40.26,408717
13-Jul-17,40.76,42.00,39.89,40.09,1016917
12-Jul-17,39.42,39.43,38.94,39.33,514262
11-Jul-17,38.92,39.22,38.52,38.99,276463
10-Jul-17,38.87,38.97,38.47,38.81,117148
7-Jul-17,38.70,39.14,38.52,38.99,153956
6-Jul-17,39.23,39.38,38.51,38.56,366815
5-Jul-17,39.92,39.92,39.28,39.48,286406
3-Jul-17,39.81,39.99,39.24,39.93,197637
30-Jun-17,39.26,39.76,39.10,39.49,255654
29-Jun-17,39.22,39.26,38.54,39.22,299367
28-Jun-17,39.05,39.38,38.72,39.18,426048
27-Jun-17,39.56,39.56,38.91,38.93,309309
26-Jun-17,39.47,39.97,39.22,39.65,186566
23-Jun-17,39.17,39.60,39.12,39.31,1087126
22-Jun-17,40.12,40.16,38.99,39.18,570654
21-Jun-17,40.68,40.68,40.07,40.09,202532
20-Jun-17,41.38,41.73,40.56,40.59,364860
19-Jun-17,40.95,41.50,40.70,41.43,174116
16-Jun-17,39.88,40.90,39.88,40.89,432919
15-Jun-17,40.43,40.76,40.24,40.64,211881
14-Jun-17,41.38,41.78,40.61,40.90,196922
13-Jun-17,40.69,41.33,40.69,41.27,201942
12-Jun-17,41.41,41.55,40.31,40.59,301362
9-Jun-17,42.00,42.10,41.15,41.37,293645
8-Jun-17,41.40,42.16,41.18,41.99,171948
7-Jun-17,41.55,41.57,41.18,41.49,189589
6-Jun-17,41.50,41.88,41.40,41.47,134711
5-Jun-17,42.35,42.45,41.72,41.82,181434
2-Jun-17,42.07,42.66,41.88,42.45,263638
1-Jun-17,40.83,42.31,40.72,41.96,339207
31-May-17,41.13,41.31,40.49,40.78,255283
30-May-17,41.02,41.22,40.84,41.00,200918
26-May-17,40.88,41.38,40.72,41.20,211087
25-May-17,40.84,41.30,40.49,40.88,329854
24-May-17,40.25,40.75,40.14,40.67,246898
23-May-17,40.33,40.68,40.05,40.13,170901
22-May-17,40.07,40.61,39.95,40.28,177893
19-May-17,40.36,40.58,40.00,40.03,246564
18-May-17,40.44,40.74,40.27,40.30,222676
17-May-17,40.64,41.06,40.48,40.48,333117
16-May-17,41.80,41.90,41.04,41.29,204030
15-May-17,41.33,41.82,41.30,41.71,238970
12-May-17,41.81,41.96,41.20,41.29,218553
11-May-17,42.21,42.39,41.40,41.96,222473
10-May-17,42.37,43.12,42.17,42.30,351398
9-May-17,43.21,43.62,42.01,42.38,788008
8-May-17,42.17,43.58,40.36,42.94,813479
5-May-17,42.35,43.24,42.29,43.20,432517
4-May-17,42.72,42.72,42.08,42.34,762795
3-May-17,42.60,42.74,42.24,42.58,162103
2-May-17,42.84,42.97,42.66,42.85,136071
1-May-17,41.83,42.80,41.50,42.73,282443
28-Apr-17,42.11,42.21,41.48,41.88,212640
27-Apr-17,42.68,42.96,41.92,42.06,416197
26-Apr-17,42.17,42.68,42.01,42.61,241815
25-Apr-17,42.07,42.48,42.07,42.08,167599
24-Apr-17,41.64,42.06,41.18,41.85,326561
21-Apr-17,40.72,41.03,40.51,41.00,305383
20-Apr-17,41.00,41.00,40.59,40.84,229582
19-Apr-17,40.81,41.14,40.61,41.00,285437
18-Apr-17,40.55,40.86,40.44,40.62,210447
17-Apr-17,40.33,40.69,40.28,40.62,135825
13-Apr-17,40.46,40.60,40.06,40.15,274622
12-Apr-17,40.89,40.90,40.31,40.48,257245
11-Apr-17,39.91,40.92,39.60,40.90,484363
10-Apr-17,40.63,41.03,40.39,40.57,338158
