Date,Open,High,Low,Close,Volume
20-Oct-17,27.93,28.23,27.50,27.77,20026
19-Oct-17,28.42,28.42,27.04,27.41,54510
18-Oct-17,29.87,29.93,28.71,28.82,53943
17-Oct-17,30.77,30.77,29.60,29.86,54604
16-Oct-17,31.00,32.00,30.00,30.39,61972
13-Oct-17,30.57,30.85,29.90,30.45,20553
12-Oct-17,30.90,30.90,30.01,30.31,19120
11-Oct-17,30.18,31.24,30.11,31.15,31274
10-Oct-17,30.21,30.49,29.71,30.00,27355
9-Oct-17,29.67,29.99,29.43,29.63,12012
6-Oct-17,29.80,30.00,29.41,29.59,12202
5-Oct-17,30.21,30.21,29.40,29.67,32262
4-Oct-17,32.03,32.03,29.83,30.20,113413
3-Oct-17,28.35,30.69,28.08,30.67,134379
2-Oct-17,27.30,28.50,26.90,27.96,81341
29-Sep-17,27.37,27.60,26.89,27.27,35378
28-Sep-17,27.37,27.81,26.86,27.24,50155
27-Sep-17,26.70,27.50,26.54,27.22,64125
26-Sep-17,25.83,27.10,25.54,26.60,63876
25-Sep-17,25.96,26.10,25.41,25.78,47879
22-Sep-17,25.57,25.88,25.26,25.88,29749
21-Sep-17,25.60,25.60,25.38,25.50,7343
20-Sep-17,25.60,25.60,25.30,25.55,17359
19-Sep-17,25.42,25.62,25.11,25.60,14874
18-Sep-17,25.74,25.74,25.10,25.26,24230
15-Sep-17,25.65,25.65,25.12,25.59,11111
14-Sep-17,25.40,25.53,25.10,25.53,12542
13-Sep-17,26.50,26.50,24.95,25.23,22128
12-Sep-17,25.22,26.07,25.00,25.33,28595
11-Sep-17,25.28,25.95,25.02,25.02,14672
8-Sep-17,25.62,25.62,25.11,25.28,9000
7-Sep-17,25.63,25.88,25.19,25.43,18151
6-Sep-17,25.68,25.86,25.50,25.63,13129
5-Sep-17,25.50,25.88,25.21,25.84,35000
1-Sep-17,25.21,25.79,25.11,25.70,22910
31-Aug-17,24.87,25.44,24.77,25.15,18038
30-Aug-17,24.45,24.96,24.43,24.72,42988
29-Aug-17,24.20,24.69,24.00,24.66,59101
28-Aug-17,24.14,24.72,23.83,24.42,17615
25-Aug-17,23.50,24.40,22.90,24.20,35249
24-Aug-17,24.00,24.33,23.50,23.50,49924
23-Aug-17,24.23,24.64,24.00,24.00,15523
22-Aug-17,24.19,24.47,23.80,24.45,36757
21-Aug-17,25.03,25.03,23.90,24.06,40393
18-Aug-17,24.83,25.36,24.75,25.06,40343
17-Aug-17,25.02,25.27,24.79,24.83,35133
16-Aug-17,25.03,25.39,24.65,25.13,35712
15-Aug-17,24.75,25.39,24.50,25.08,48112
14-Aug-17,24.70,24.78,24.38,24.59,33799
11-Aug-17,25.20,25.36,24.30,24.38,39551
10-Aug-17,26.00,26.03,25.46,25.60,51857
9-Aug-17,27.13,27.13,26.21,26.47,42256
8-Aug-17,26.80,27.96,26.62,27.50,77826
7-Aug-17,24.61,26.96,24.61,26.96,83625
4-Aug-17,23.69,25.67,23.43,24.60,114519
3-Aug-17,23.19,23.80,22.95,23.80,35285
2-Aug-17,22.65,23.29,22.65,23.29,27118
1-Aug-17,22.79,22.79,22.37,22.58,6567
31-Jul-17,22.41,22.71,21.80,22.15,32002
28-Jul-17,22.45,23.12,22.25,23.12,24805
27-Jul-17,23.50,23.50,21.44,22.62,28299
26-Jul-17,23.50,23.50,23.14,23.50,74415
25-Jul-17,23.35,23.50,23.30,23.50,22838
24-Jul-17,23.08,23.50,23.00,23.35,35609
21-Jul-17,22.99,23.19,22.65,22.96,15404
20-Jul-17,23.03,23.15,22.51,22.94,25228
19-Jul-17,23.30,23.30,23.00,23.01,7027
18-Jul-17,23.38,23.39,23.04,23.39,15285
17-Jul-17,23.09,23.49,23.00,23.30,12436
14-Jul-17,22.75,22.99,22.56,22.95,5486
13-Jul-17,22.57,22.57,22.32,22.50,5825
12-Jul-17,22.86,22.86,22.50,22.54,5373
11-Jul-17,23.37,23.37,22.60,22.61,16188
10-Jul-17,23.35,23.35,23.13,23.15,1729
7-Jul-17,23.49,23.49,23.15,23.32,5879
6-Jul-17,23.55,23.67,23.31,23.31,8278
5-Jul-17,23.24,23.75,23.20,23.75,12354
3-Jul-17,23.38,23.45,23.11,23.11,11013
30-Jun-17,23.57,23.68,23.31,23.31,5045
29-Jun-17,23.56,23.98,23.30,23.42,16549
28-Jun-17,22.90,23.69,22.82,23.53,7410
27-Jun-17,23.55,23.55,22.91,22.91,13186
26-Jun-17,23.74,23.74,23.38,23.54,10924
