Date,Open,High,Low,Close,Volume
20-Oct-17,51.95,52.70,51.75,52.62,485735
19-Oct-17,51.80,51.97,50.78,51.65,746567
18-Oct-17,53.85,54.15,51.82,51.92,1059203
17-Oct-17,54.47,54.81,54.28,54.37,302224
16-Oct-17,55.02,55.12,54.31,54.45,288737
13-Oct-17,55.08,55.29,54.80,54.87,408769
12-Oct-17,54.57,55.20,53.97,55.05,382851
11-Oct-17,54.27,54.89,53.26,54.53,387510
10-Oct-17,54.75,54.75,54.39,54.56,603393
9-Oct-17,54.80,54.95,54.03,54.53,396066
6-Oct-17,54.49,55.03,54.21,54.65,347525
5-Oct-17,54.64,54.76,54.32,54.50,229021
4-Oct-17,54.62,54.85,54.39,54.63,272290
3-Oct-17,54.19,54.64,54.00,54.61,320302
2-Oct-17,53.96,54.14,52.84,53.98,601490
29-Sep-17,54.95,55.20,53.94,53.97,1411370
28-Sep-17,55.06,55.43,54.60,54.94,496945
27-Sep-17,54.51,55.68,54.29,55.11,569093
26-Sep-17,53.62,54.57,53.25,54.21,731495
25-Sep-17,53.44,54.33,53.12,53.63,633476
22-Sep-17,51.94,53.32,51.94,53.19,441947
21-Sep-17,52.10,52.89,52.10,52.54,340664
20-Sep-17,51.17,52.94,50.86,52.64,408569
19-Sep-17,51.35,51.74,51.28,51.70,248975
18-Sep-17,51.17,51.55,50.87,51.43,247199
15-Sep-17,50.51,50.97,49.55,50.95,569903
14-Sep-17,50.40,50.65,49.95,50.46,298229
13-Sep-17,50.61,50.70,50.25,50.36,187640
12-Sep-17,50.86,50.89,50.34,50.63,191886
11-Sep-17,50.57,50.97,50.43,50.73,248593
8-Sep-17,50.05,50.68,49.47,50.31,257181
7-Sep-17,51.34,51.34,50.03,50.10,300582
6-Sep-17,51.41,51.72,50.51,51.37,332101
5-Sep-17,51.31,51.66,51.06,51.48,226950
1-Sep-17,51.25,51.77,51.25,51.42,366231
31-Aug-17,50.62,51.31,50.44,51.20,228392
30-Aug-17,50.97,51.00,50.28,50.54,272763
29-Aug-17,51.21,51.32,50.78,51.01,273391
28-Aug-17,51.06,51.31,50.81,51.23,203200
25-Aug-17,51.25,51.26,50.59,50.95,154720
24-Aug-17,51.01,51.26,50.87,51.08,126211
23-Aug-17,51.00,51.80,50.66,50.94,183507
22-Aug-17,51.09,51.37,50.85,51.25,156941
21-Aug-17,50.62,51.08,50.50,51.02,178549
18-Aug-17,50.26,50.95,50.04,50.62,301423
17-Aug-17,51.30,51.91,50.65,50.71,276944
16-Aug-17,51.98,52.38,51.30,51.47,466193
15-Aug-17,51.92,52.16,51.61,51.91,275395
14-Aug-17,50.91,51.87,50.87,51.86,292271
11-Aug-17,51.04,51.32,50.61,50.70,396300
10-Aug-17,51.19,51.55,50.88,51.04,375009
9-Aug-17,51.61,51.85,50.58,51.30,400630
8-Aug-17,51.72,52.74,51.51,51.76,218257
7-Aug-17,51.48,51.89,51.39,51.88,209378
4-Aug-17,51.61,51.68,51.24,51.41,403568
3-Aug-17,51.56,52.43,49.44,51.50,302024
2-Aug-17,52.15,52.40,51.35,51.60,278667
1-Aug-17,52.52,52.87,52.22,52.22,231812
31-Jul-17,52.74,53.09,52.21,52.25,329161
28-Jul-17,52.98,53.25,52.76,52.86,268872
27-Jul-17,53.86,53.86,52.85,53.10,224836
26-Jul-17,54.12,54.12,53.60,53.65,417700
25-Jul-17,54.01,54.28,53.75,53.96,261768
24-Jul-17,53.59,53.88,53.36,53.85,211121
21-Jul-17,53.25,53.87,52.86,53.72,457029
20-Jul-17,52.61,53.00,52.37,52.95,315465
19-Jul-17,52.53,52.94,52.16,52.69,197971
18-Jul-17,52.07,52.39,50.92,52.31,323201
17-Jul-17,52.52,53.07,51.98,52.19,517648
14-Jul-17,52.43,53.00,52.36,52.62,487360
13-Jul-17,52.25,52.69,51.62,52.33,654835
12-Jul-17,48.50,52.32,48.31,51.72,1814498
11-Jul-17,46.25,46.80,46.24,46.62,447390
10-Jul-17,46.42,46.95,46.02,46.11,267994
7-Jul-17,46.01,46.96,45.10,46.49,298152
6-Jul-17,46.29,46.53,45.81,45.92,270023
5-Jul-17,47.01,47.07,46.43,46.50,211066
3-Jul-17,46.95,47.18,46.74,47.01,156598
30-Jun-17,46.73,47.00,46.45,46.83,432532
29-Jun-17,47.89,47.89,46.54,46.62,308230
28-Jun-17,47.25,48.05,46.98,47.81,257704
27-Jun-17,47.33,47.57,46.89,47.06,241803
26-Jun-17,47.81,47.87,47.20,47.37,198322
23-Jun-17,46.99,47.86,46.99,47.71,363223
22-Jun-17,47.29,47.53,46.89,47.04,274222
21-Jun-17,47.76,47.78,47.24,47.28,141020
20-Jun-17,47.96,48.21,47.66,47.69,158009
19-Jun-17,48.12,48.18,47.34,48.00,190376
16-Jun-17,47.34,47.94,47.31,47.90,416904
15-Jun-17,47.41,48.01,47.15,47.94,181807
14-Jun-17,48.14,48.43,47.51,47.71,334874
13-Jun-17,48.04,48.59,47.76,48.15,191137
12-Jun-17,47.64,48.20,47.47,47.92,288963
9-Jun-17,47.47,47.86,47.26,47.72,308076
8-Jun-17,47.23,47.63,46.87,47.46,243166
7-Jun-17,47.52,47.63,47.15,47.22,359227
6-Jun-17,48.77,48.83,47.29,47.34,449372
5-Jun-17,49.45,49.56,48.95,49.05,353930
2-Jun-17,48.78,50.00,48.72,49.53,399364
1-Jun-17,47.90,48.74,47.56,48.72,311947
31-May-17,47.27,47.92,46.74,47.87,279280
30-May-17,47.05,47.22,46.69,47.13,157505
26-May-17,47.23,47.23,46.36,47.12,191396
25-May-17,47.14,47.86,47.10,47.29,169308
24-May-17,47.44,47.97,47.03,47.06,294316
23-May-17,46.93,47.44,46.65,47.41,216823
22-May-17,46.58,47.01,46.31,46.90,137668
19-May-17,46.61,46.88,46.43,46.57,324643
18-May-17,45.82,46.37,45.68,45.88,202274
17-May-17,45.51,46.11,45.46,45.81,315123
16-May-17,46.14,46.22,45.76,46.11,223216
15-May-17,45.74,46.35,45.45,46.11,213856
12-May-17,45.79,45.91,45.51,45.69,172689
11-May-17,45.86,46.00,45.62,45.83,332401
10-May-17,45.55,46.32,45.53,46.07,317417
9-May-17,45.73,45.89,45.37,45.56,199795
8-May-17,45.63,46.05,45.43,45.70,228156
5-May-17,45.33,45.76,45.03,45.71,317103
4-May-17,45.74,45.87,45.11,45.29,274012
3-May-17,45.86,45.96,45.34,45.57,370969
2-May-17,46.30,46.56,45.86,46.04,342552
1-May-17,45.98,46.29,45.66,46.28,254285
28-Apr-17,46.57,46.79,45.88,45.91,270238
27-Apr-17,46.65,47.05,46.50,46.54,233324
26-Apr-17,46.60,46.80,46.32,46.61,310278
25-Apr-17,46.52,47.04,44.98,46.62,320645
24-Apr-17,46.43,46.50,45.96,46.34,256227
21-Apr-17,45.81,46.02,45.60,45.88,387274
20-Apr-17,45.68,45.93,45.53,45.81,281514
19-Apr-17,45.34,45.76,45.34,45.45,266955
18-Apr-17,45.31,45.72,44.97,45.30,284787
17-Apr-17,44.90,45.45,44.87,45.32,431814
13-Apr-17,45.52,45.55,44.35,44.90,837685
12-Apr-17,45.11,46.87,42.15,45.55,1434049
11-Apr-17,41.18,42.42,41.18,42.18,581839
10-Apr-17,41.33,41.60,41.05,41.38,353366
7-Apr-17,41.30,41.65,41.16,41.31,311730
6-Apr-17,41.43,41.49,41.16,41.43,445535
5-Apr-17,41.74,42.12,41.38,41.44,352932
4-Apr-17,41.71,42.00,41.40,41.70,404551
3-Apr-17,43.10,43.31,41.72,41.75,384203
31-Mar-17,43.03,43.39,42.81,43.09,308170
30-Mar-17,42.58,43.08,42.55,43.06,439897
29-Mar-17,42.20,42.61,42.00,42.56,213272
28-Mar-17,42.22,42.42,42.04,42.30,352183
27-Mar-17,42.19,42.97,41.85,42.32,249723
24-Mar-17,42.20,42.68,42.20,42.40,296825
23-Mar-17,42.76,42.84,42.05,42.16,448137
22-Mar-17,43.00,43.30,42.69,42.95,205263
21-Mar-17,43.61,43.81,42.98,43.00,300589
20-Mar-17,43.83,43.83,43.03,43.34,206199
17-Mar-17,43.37,43.91,42.82,43.80,786125
16-Mar-17,43.54,43.64,43.19,43.60,232133
15-Mar-17,43.01,43.65,42.86,43.55,312839
14-Mar-17,42.86,42.92,42.52,42.77,189167
13-Mar-17,42.30,43.08,42.30,42.94,282240
10-Mar-17,42.21,42.62,42.21,42.40,259757
9-Mar-17,41.84,42.23,41.72,42.13,235078
8-Mar-17,42.19,42.19,41.95,41.99,168139
7-Mar-17,41.87,42.19,41.87,42.03,215995
6-Mar-17,42.07,42.20,41.79,42.10,141297
3-Mar-17,42.18,42.38,41.82,42.18,205057
2-Mar-17,42.02,42.38,41.78,42.20,242238
1-Mar-17,41.64,42.38,41.64,42.19,375880
28-Feb-17,41.75,41.82,41.36,41.38,264187
27-Feb-17,41.75,42.13,41.72,41.85,260033
24-Feb-17,41.69,41.88,41.55,41.85,148847
23-Feb-17,41.88,42.08,41.71,41.78,173725
22-Feb-17,41.72,41.92,41.52,41.80,215188
21-Feb-17,41.71,42.00,41.49,41.96,190329
17-Feb-17,41.66,41.66,41.30,41.55,260575
16-Feb-17,41.57,41.63,41.30,41.60,199309
15-Feb-17,40.87,41.49,40.83,41.48,277374
14-Feb-17,41.06,41.15,40.61,41.14,304241
13-Feb-17,41.19,41.56,41.00,41.27,275392
10-Feb-17,40.65,41.11,40.46,41.02,246282
9-Feb-17,39.85,40.64,39.75,40.60,361523
8-Feb-17,39.00,40.02,37.54,39.72,369818
7-Feb-17,39.86,39.94,39.38,39.59,242913
6-Feb-17,40.00,40.06,39.62,39.69,224126
3-Feb-17,39.66,40.20,39.47,40.14,265949
2-Feb-17,39.18,39.62,39.06,39.51,273766
1-Feb-17,40.00,40.44,39.15,39.28,532742
31-Jan-17,39.53,39.87,39.20,39.75,302579
30-Jan-17,39.90,39.90,39.11,39.59,325134
27-Jan-17,40.18,40.31,39.69,39.99,280222
26-Jan-17,40.29,40.39,40.12,40.21,182567
25-Jan-17,40.21,40.70,40.04,40.32,227127
24-Jan-17,39.71,40.23,39.49,40.16,237096
23-Jan-17,39.78,39.86,39.28,39.67,194082
20-Jan-17,39.41,39.93,39.41,39.91,231311
19-Jan-17,39.88,40.00,39.42,39.48,238636
18-Jan-17,39.36,39.87,39.34,39.87,330865
17-Jan-17,39.82,39.82,39.38,39.43,204285
13-Jan-17,39.50,40.00,39.50,39.96,244794
12-Jan-17,39.34,39.43,38.97,39.40,191335
11-Jan-17,39.17,39.48,39.00,39.41,201413
10-Jan-17,38.64,39.37,38.59,39.26,230515
9-Jan-17,38.87,39.03,38.62,38.71,197299
6-Jan-17,38.93,39.11,38.70,38.83,291404
5-Jan-17,39.22,39.39,38.47,39.11,244523
4-Jan-17,38.48,39.50,38.48,39.38,347969
3-Jan-17,39.39,39.45,38.35,38.62,528792
30-Dec-16,39.28,39.33,38.67,39.17,461255
29-Dec-16,38.89,39.16,38.65,39.14,226854
28-Dec-16,39.30,39.45,38.76,38.87,367578
27-Dec-16,39.59,39.88,39.00,39.27,397779
23-Dec-16,39.70,40.12,39.55,39.72,201857
22-Dec-16,39.61,39.80,39.40,39.59,182674
21-Dec-16,39.72,39.93,39.53,39.63,240001
20-Dec-16,40.08,40.14,39.52,39.85,299281
19-Dec-16,39.90,39.95,39.41,39.76,307872
16-Dec-16,40.31,40.38,39.88,39.90,1154025
15-Dec-16,40.08,40.37,39.85,40.20,340343
14-Dec-16,40.27,40.70,39.90,39.97,302871
13-Dec-16,40.80,40.88,40.29,40.50,236130
12-Dec-16,40.53,40.87,40.33,40.54,261555
9-Dec-16,40.34,40.72,40.29,40.68,281174
8-Dec-16,39.33,40.28,39.22,40.18,288895
7-Dec-16,38.93,39.60,38.93,39.53,290847
6-Dec-16,38.68,39.14,38.36,39.08,286019
5-Dec-16,38.80,39.09,38.49,38.82,534073
2-Dec-16,38.87,39.01,38.43,38.53,295957
1-Dec-16,38.90,39.14,38.51,38.73,369210
30-Nov-16,39.08,39.55,38.89,38.95,533437
29-Nov-16,39.23,39.48,38.87,38.90,348788
28-Nov-16,39.24,39.40,38.96,39.12,265077
25-Nov-16,39.22,39.40,39.08,39.21,103380
23-Nov-16,38.95,39.42,38.72,39.25,416417
22-Nov-16,38.42,38.79,38.22,38.77,357501
21-Nov-16,38.34,38.44,37.82,38.43,208463
18-Nov-16,37.68,38.18,37.60,38.16,314743
17-Nov-16,37.63,37.91,37.34,37.58,297801
16-Nov-16,37.68,37.81,37.43,37.68,367087
15-Nov-16,36.26,37.86,36.22,37.70,713681
14-Nov-16,36.33,36.49,35.69,36.38,759204
11-Nov-16,36.17,36.46,35.90,36.15,671611
10-Nov-16,35.89,36.40,35.82,36.05,503222
9-Nov-16,35.35,36.15,35.22,35.63,963642
8-Nov-16,35.32,36.06,35.17,35.86,468314
7-Nov-16,35.24,35.46,34.96,35.29,550242
4-Nov-16,35.16,35.29,34.83,34.88,318406
3-Nov-16,35.11,35.32,34.99,35.04,297330
2-Nov-16,35.35,35.88,35.09,35.17,466399
1-Nov-16,36.95,36.95,35.25,35.28,617637
31-Oct-16,36.91,37.11,36.72,36.97,463101
28-Oct-16,36.61,37.04,36.41,36.98,205858
27-Oct-16,36.60,36.79,36.50,36.67,254793
26-Oct-16,36.54,36.70,36.30,36.53,235568
25-Oct-16,36.76,37.12,36.44,36.64,254730
24-Oct-16,36.80,37.17,36.76,36.82,205147
21-Oct-16,36.64,36.75,36.52,36.56,219925
20-Oct-16,37.02,37.13,36.51,36.87,347389
19-Oct-16,37.57,37.69,37.26,37.27,311549
18-Oct-16,37.83,38.01,37.49,37.49,217667
17-Oct-16,37.36,37.70,37.25,37.59,508511
