Date,Open,High,Low,Close,Volume
20-Oct-17,75.55,75.78,74.41,74.62,772902
19-Oct-17,75.12,76.00,74.67,75.51,877095
18-Oct-17,77.58,78.00,75.10,75.33,1462415
17-Oct-17,78.38,78.69,76.81,77.58,4044575
16-Oct-17,77.73,79.50,77.73,78.76,4362852
13-Oct-17,77.60,77.70,76.90,77.67,5082859
12-Oct-17,77.50,77.73,76.93,77.24,6311266
11-Oct-17,77.17,78.13,77.06,78.13,50888
10-Oct-17,76.44,78.11,76.07,77.70,1376454
9-Oct-17,75.34,79.64,75.00,76.84,4078758
6-Oct-17,68.20,75.75,68.10,75.25,7584373
5-Oct-17,67.57,67.95,67.48,67.70,1023333
4-Oct-17,67.67,67.93,66.87,67.50,883181
3-Oct-17,67.55,67.81,67.40,67.51,4941478
2-Oct-17,68.00,68.07,67.41,67.64,909164
29-Sep-17,67.86,68.17,67.72,67.83,537677
28-Sep-17,67.45,67.86,67.45,67.86,269843
27-Sep-17,67.40,67.99,67.35,67.70,459386
26-Sep-17,67.39,67.78,67.30,67.54,216255
25-Sep-17,67.50,68.24,67.21,67.40,665106
22-Sep-17,67.52,67.92,67.36,67.57,296596
21-Sep-17,67.50,67.66,67.23,67.42,335341
20-Sep-17,67.31,67.79,67.04,67.66,431105
19-Sep-17,67.54,67.93,66.86,67.21,890821
18-Sep-17,68.54,68.54,67.14,67.49,1157164
15-Sep-17,68.23,68.98,68.12,68.49,2073275
14-Sep-17,68.86,69.02,68.25,68.44,1371010
13-Sep-17,69.17,69.29,68.68,68.97,873412
12-Sep-17,68.99,69.45,68.78,69.20,687275
11-Sep-17,69.46,69.58,68.70,69.01,533353
8-Sep-17,69.50,69.50,68.90,69.05,602062
7-Sep-17,69.25,69.76,68.86,69.66,567448
6-Sep-17,69.02,69.23,68.65,69.21,400007
5-Sep-17,69.30,69.39,68.50,68.97,721992
1-Sep-17,69.23,69.68,68.82,69.40,696087
31-Aug-17,69.31,69.31,68.86,69.01,894090
30-Aug-17,68.42,69.28,68.30,69.21,886307
29-Aug-17,68.80,68.80,68.31,68.66,909771
28-Aug-17,68.96,69.00,68.50,68.81,920171
25-Aug-17,69.18,69.25,68.75,68.89,654848
24-Aug-17,69.00,69.19,68.43,68.97,1548939
23-Aug-17,69.00,69.07,68.55,68.97,1425339
22-Aug-17,68.43,69.70,67.74,69.36,2474458
21-Aug-17,67.00,69.39,66.62,68.04,7223582
18-Aug-17,62.11,62.31,61.29,61.95,772349
17-Aug-17,63.00,63.68,62.18,62.21,653821
16-Aug-17,62.57,63.58,62.35,63.13,1468579
15-Aug-17,62.39,63.11,61.50,62.45,1729566
14-Aug-17,66.25,66.69,60.71,62.42,3941754
11-Aug-17,65.29,66.42,65.29,65.88,678742
10-Aug-17,66.03,66.26,65.20,65.42,941411
9-Aug-17,66.66,66.99,65.59,66.26,765432
8-Aug-17,66.85,67.77,66.56,67.07,822187
7-Aug-17,65.85,67.06,65.63,66.85,619616
4-Aug-17,65.64,66.27,65.16,65.94,923085
3-Aug-17,65.12,65.51,64.53,65.45,1477501
2-Aug-17,63.58,66.20,62.61,65.22,3215485
1-Aug-17,66.60,66.72,65.11,66.52,2261659
31-Jul-17,-,-,66.46,66.51,907014
28-Jul-17,67.20,67.75,66.82,67.24,512741
27-Jul-17,68.19,68.19,66.67,67.60,746818
26-Jul-17,69.24,69.24,67.39,68.01,864661
25-Jul-17,69.22,69.77,69.10,69.25,458176
24-Jul-17,70.33,70.74,68.76,69.13,783755
21-Jul-17,70.64,70.80,69.70,70.41,1157028
20-Jul-17,72.00,72.08,70.66,70.69,890633
