Date,Open,High,Low,Close,Volume
20-Oct-17,46.65,46.94,46.51,46.58,692446
19-Oct-17,45.94,46.46,45.78,46.40,610652
18-Oct-17,45.39,46.26,45.23,46.00,637925
17-Oct-17,45.25,45.54,44.88,45.34,625654
16-Oct-17,45.20,45.64,44.40,45.12,694178
13-Oct-17,44.78,45.83,44.00,45.23,625093
12-Oct-17,45.64,45.71,45.15,45.41,431460
11-Oct-17,45.29,45.65,45.29,45.59,23663
10-Oct-17,45.80,46.18,45.15,45.29,540907
9-Oct-17,46.75,46.93,45.85,45.86,1011678
6-Oct-17,46.08,46.69,46.08,46.50,677414
5-Oct-17,45.64,46.34,45.63,46.10,604407
4-Oct-17,46.05,46.21,45.58,45.65,480581
3-Oct-17,46.05,46.17,45.62,46.00,675928
2-Oct-17,46.39,46.52,45.34,45.95,734147
29-Sep-17,46.24,46.78,46.10,46.35,1139551
28-Sep-17,46.14,46.41,45.83,46.32,821763
27-Sep-17,45.18,46.23,44.98,46.14,690028
26-Sep-17,44.93,45.44,44.93,45.05,478549
25-Sep-17,43.84,44.97,43.84,44.82,734908
22-Sep-17,43.46,44.06,43.36,43.91,612016
21-Sep-17,43.72,43.76,43.42,43.44,411311
20-Sep-17,43.59,43.82,43.32,43.69,490111
19-Sep-17,43.99,44.09,43.33,43.65,669238
18-Sep-17,44.90,45.12,44.05,44.05,618106
15-Sep-17,45.36,45.48,44.80,44.94,1848385
14-Sep-17,45.26,45.71,44.90,45.35,605686
13-Sep-17,45.24,45.41,44.98,45.17,550456
12-Sep-17,45.42,45.43,45.07,45.29,375128
11-Sep-17,45.04,45.46,44.86,45.42,786446
8-Sep-17,44.89,44.91,44.55,44.73,642452
7-Sep-17,45.69,45.83,44.93,44.96,976173
6-Sep-17,45.94,46.04,45.02,45.58,1042843
5-Sep-17,45.70,46.07,45.36,45.76,899135
1-Sep-17,45.84,45.98,45.41,45.76,492471
31-Aug-17,44.66,45.84,44.66,45.75,896756
30-Aug-17,44.03,44.32,43.78,44.27,447035
29-Aug-17,44.20,44.23,43.73,44.06,410397
28-Aug-17,44.51,44.54,44.15,44.35,435465
25-Aug-17,44.15,44.52,43.97,44.39,397971
24-Aug-17,43.90,44.32,43.90,44.09,751594
23-Aug-17,43.84,43.84,43.43,43.73,453267
22-Aug-17,44.04,44.24,43.76,44.08,472697
21-Aug-17,43.89,44.20,43.73,43.96,487363
