Date,Open,High,Low,Close,Volume
20-Oct-17,37.23,37.37,36.94,37.01,2340233
19-Oct-17,36.78,37.16,36.78,37.08,2029703
18-Oct-17,36.86,37.19,36.77,36.89,2647189
17-Oct-17,35.91,36.88,35.76,36.81,4381434
16-Oct-17,36.31,36.46,35.78,35.90,5243508
13-Oct-17,36.50,36.59,36.23,36.28,2590564
12-Oct-17,36.65,36.67,36.43,36.56,1751177
11-Oct-17,36.69,36.92,36.44,36.66,2746475
10-Oct-17,36.70,37.02,36.67,36.86,2428699
9-Oct-17,37.38,37.54,36.59,36.89,2677226
6-Oct-17,37.85,37.97,37.61,37.69,3022654
5-Oct-17,37.88,38.26,37.71,37.79,2628322
4-Oct-17,37.73,38.06,37.66,37.78,3329312
3-Oct-17,37.20,37.74,37.15,37.70,4134699
2-Oct-17,36.83,37.02,36.66,37.02,4157828
29-Sep-17,36.59,37.10,36.20,36.69,5125415
28-Sep-17,37.15,37.15,36.63,36.65,4144042
27-Sep-17,37.46,37.46,36.98,37.17,3276744
26-Sep-17,37.47,37.61,37.36,37.42,1400090
25-Sep-17,37.51,37.64,37.18,37.36,1951997
22-Sep-17,37.48,37.73,37.48,37.57,1935910
21-Sep-17,37.40,37.67,37.19,37.53,2306324
20-Sep-17,37.27,37.53,37.12,37.38,3965733
19-Sep-17,37.25,37.46,36.98,37.13,3127078
18-Sep-17,37.73,37.85,37.31,37.36,2276621
15-Sep-17,37.72,38.03,37.48,37.72,3344455
14-Sep-17,37.57,37.83,37.45,37.74,3561469
13-Sep-17,38.18,38.30,37.03,37.56,6978447
12-Sep-17,39.12,39.12,38.10,38.19,4420049
11-Sep-17,39.26,39.59,38.77,39.20,3326646
8-Sep-17,38.97,39.26,38.78,38.80,3423696
7-Sep-17,39.04,39.17,38.86,38.90,2066714
6-Sep-17,38.94,39.14,38.72,39.06,1718879
5-Sep-17,38.27,39.26,38.27,38.92,3132378
1-Sep-17,38.63,38.83,38.22,38.51,1770598
31-Aug-17,38.08,38.82,37.92,38.60,2745633
30-Aug-17,37.76,38.07,37.54,37.92,1971643
29-Aug-17,37.24,37.92,37.11,37.77,2657797
28-Aug-17,38.02,38.23,37.46,37.49,3264486
25-Aug-17,37.63,38.06,37.63,37.91,2976625
24-Aug-17,37.24,37.59,37.11,37.54,4864663
23-Aug-17,37.51,37.52,37.19,37.19,2260765
22-Aug-17,37.68,38.00,37.52,37.60,3056843
21-Aug-17,37.39,37.68,37.22,37.63,2504575
18-Aug-17,37.92,38.07,37.41,37.42,3632428
17-Aug-17,38.16,38.48,37.90,37.95,3998790
16-Aug-17,38.21,38.36,38.06,38.21,2818219
15-Aug-17,38.46,38.51,37.98,38.19,3626841
14-Aug-17,38.47,38.66,38.05,38.44,4719040
11-Aug-17,37.53,38.31,37.19,38.20,3819623
10-Aug-17,38.12,38.24,37.38,37.39,3691144
9-Aug-17,38.81,38.98,38.17,38.33,5540947
8-Aug-17,38.86,39.08,38.42,38.96,4143085
