Date,Open,High,Low,Close,Volume
20-Oct-17,80.64,81.29,80.64,81.19,432643
19-Oct-17,79.39,80.30,78.95,80.30,370908
18-Oct-17,78.91,79.97,78.90,79.47,288494
17-Oct-17,78.11,78.99,77.68,78.72,456898
16-Oct-17,77.90,78.25,77.60,77.97,383361
13-Oct-17,78.23,78.23,77.68,77.84,370725
12-Oct-17,77.07,78.42,76.69,78.36,354799
11-Oct-17,75.43,77.24,75.43,76.89,60078
10-Oct-17,76.39,76.39,74.82,75.24,428156
9-Oct-17,77.21,77.42,75.67,75.92,353956
6-Oct-17,77.72,78.34,77.27,77.38,428307
5-Oct-17,76.93,77.83,76.93,77.63,327427
4-Oct-17,76.18,77.35,75.84,76.92,590663
3-Oct-17,76.42,76.88,75.49,76.12,446301
2-Oct-17,74.15,76.62,74.06,76.50,629435
29-Sep-17,73.24,74.46,73.04,74.00,726787
28-Sep-17,74.20,74.20,73.03,73.23,493017
27-Sep-17,73.97,74.33,73.48,74.13,306976
26-Sep-17,74.10,74.37,73.69,73.75,366264
25-Sep-17,73.22,73.90,73.05,73.81,383640
22-Sep-17,73.22,73.64,73.22,73.60,368492
21-Sep-17,72.78,73.49,72.18,73.23,445016
20-Sep-17,72.85,73.27,71.91,72.79,910466
19-Sep-17,75.18,75.45,72.63,72.81,809580
18-Sep-17,75.79,75.95,75.06,75.18,716367
15-Sep-17,76.94,76.94,75.51,75.60,1612576
14-Sep-17,77.25,77.52,76.77,76.99,540798
13-Sep-17,77.46,78.01,77.15,77.57,618826
12-Sep-17,77.75,77.75,77.22,77.59,423878
11-Sep-17,78.02,78.57,77.35,77.73,722598
8-Sep-17,76.74,77.75,76.60,77.42,354245
7-Sep-17,77.06,78.45,76.82,76.93,496377
6-Sep-17,76.55,76.93,75.68,76.75,365141
5-Sep-17,76.50,77.50,76.33,76.43,446210
1-Sep-17,77.02,77.22,76.33,76.71,307306
31-Aug-17,75.49,77.02,75.31,76.96,314948
30-Aug-17,74.71,75.37,74.52,75.32,425668
29-Aug-17,74.17,74.97,73.96,74.76,349256
28-Aug-17,74.38,75.50,74.30,74.54,364724
25-Aug-17,74.19,74.47,73.82,74.29,272504
24-Aug-17,73.54,74.32,73.25,73.99,308775
23-Aug-17,74.60,74.65,73.32,73.33,433942
22-Aug-17,74.16,75.59,73.47,74.96,439612
21-Aug-17,73.13,74.30,72.88,74.07,382553
18-Aug-17,73.91,73.91,72.67,73.09,397822
17-Aug-17,74.78,75.16,73.92,73.92,264561
16-Aug-17,74.73,75.13,74.25,74.87,389190
15-Aug-17,74.39,74.64,74.11,74.44,303684
14-Aug-17,74.18,74.88,74.16,74.31,231226
11-Aug-17,73.18,74.51,72.99,73.72,355241
10-Aug-17,74.03,74.17,72.92,73.45,538016
9-Aug-17,75.18,75.53,74.11,74.28,532044
8-Aug-17,75.92,76.13,75.42,75.52,441103
7-Aug-17,75.51,76.30,75.43,75.92,451817
4-Aug-17,75.42,75.67,74.71,75.32,505649
3-Aug-17,74.97,75.47,74.36,75.27,577987
2-Aug-17,74.91,75.32,74.39,75.16,717689
1-Aug-17,74.66,75.24,74.45,75.01,745975
31-Jul-17,-,74.90,-,74.52,947800
28-Jul-17,73.15,75.87,72.00,74.74,2063064
27-Jul-17,82.63,82.63,78.85,79.70,1076392
26-Jul-17,83.80,84.22,82.53,82.58,337339
25-Jul-17,84.13,84.48,83.29,84.01,506973
24-Jul-17,82.15,84.18,82.12,84.10,526998
21-Jul-17,83.34,83.66,82.01,82.14,351158
20-Jul-17,83.57,83.95,83.14,83.48,268842
19-Jul-17,83.08,83.75,82.78,83.47,316093
18-Jul-17,83.12,83.49,82.68,83.01,458577
17-Jul-17,84.18,84.42,83.02,83.26,433228
14-Jul-17,83.11,84.65,82.68,84.17,443572
13-Jul-17,83.13,83.35,82.34,82.92,496595
12-Jul-17,82.31,83.33,82.07,83.14,325440
11-Jul-17,81.50,82.05,81.13,81.81,528612
10-Jul-17,81.62,81.94,80.99,81.38,677304
7-Jul-17,80.02,81.95,80.02,81.88,502423
6-Jul-17,80.25,80.60,79.73,79.79,544273
5-Jul-17,79.33,80.76,79.33,80.56,437513
3-Jul-17,79.95,80.28,78.89,79.29,238665
30-Jun-17,79.62,79.94,78.84,79.61,322653
29-Jun-17,80.19,80.56,78.53,78.97,343980
28-Jun-17,79.33,80.64,79.30,79.97,315854
27-Jun-17,79.83,80.93,78.87,78.91,333225
26-Jun-17,80.79,81.24,80.10,80.15,199090
23-Jun-17,80.31,81.02,79.88,80.53,516219
22-Jun-17,80.26,80.77,80.02,80.25,500887
21-Jun-17,80.41,81.13,80.27,80.37,334845
20-Jun-17,80.07,81.33,80.01,80.19,307480
19-Jun-17,79.90,80.41,79.58,80.12,701722
16-Jun-17,78.96,79.55,78.54,79.33,497152
15-Jun-17,79.06,79.20,78.71,78.91,382766
14-Jun-17,79.29,80.11,79.14,79.88,698651
13-Jun-17,77.88,79.45,77.49,79.00,565277
12-Jun-17,78.33,78.69,75.96,77.71,475538
9-Jun-17,79.69,79.96,78.13,78.43,333833
8-Jun-17,78.87,79.75,78.64,79.67,683979
7-Jun-17,78.67,79.29,78.66,78.83,317090
6-Jun-17,78.36,79.06,77.88,78.67,296421
5-Jun-17,78.87,79.04,78.34,78.60,297311
2-Jun-17,78.66,79.24,78.52,78.97,293630
1-Jun-17,77.72,78.51,77.37,78.51,473938
31-May-17,77.32,77.75,76.91,77.36,736925
30-May-17,76.66,76.88,76.12,76.75,229021
26-May-17,76.61,76.70,76.07,76.53,261464
25-May-17,76.35,76.76,75.74,76.61,342937
24-May-17,75.18,75.80,75.12,75.68,244650
23-May-17,75.58,75.99,74.98,75.25,366139
22-May-17,74.71,76.04,74.50,75.49,629460
19-May-17,73.32,75.04,72.94,74.83,875333
18-May-17,72.59,74.06,72.14,73.22,438060
17-May-17,72.30,73.10,71.91,72.75,690786
16-May-17,73.35,73.84,72.39,73.21,349209
15-May-17,73.51,73.94,72.99,73.32,781678
12-May-17,73.87,73.94,73.17,73.61,337620
11-May-17,74.68,74.92,73.30,73.93,562187
10-May-17,75.37,75.60,74.68,74.97,447039
9-May-17,75.64,75.93,75.35,75.48,406740
8-May-17,76.13,76.18,75.43,75.59,300144
5-May-17,75.94,76.22,75.63,76.18,237127
4-May-17,75.87,76.10,75.32,75.92,324241
3-May-17,76.07,76.11,75.48,75.86,411235
2-May-17,75.41,76.36,75.22,76.30,497583
1-May-17,76.11,76.22,75.14,75.53,753140
28-Apr-17,75.41,77.37,75.41,75.64,981298
27-Apr-17,73.05,74.05,72.88,73.84,734330
26-Apr-17,72.95,73.33,72.75,73.18,522188
25-Apr-17,72.35,73.14,72.06,72.73,409794
24-Apr-17,71.85,72.41,71.65,72.02,529776
21-Apr-17,71.49,71.49,70.73,71.14,235147
20-Apr-17,71.30,71.83,70.66,71.60,316181
19-Apr-17,70.62,71.29,70.33,71.04,408974
18-Apr-17,70.63,70.63,69.47,70.07,378251
17-Apr-17,70.08,70.69,69.93,70.62,334650
13-Apr-17,70.31,70.48,69.65,69.88,463285
12-Apr-17,71.03,71.03,70.10,70.41,257155
11-Apr-17,70.44,71.11,70.01,71.08,281465
10-Apr-17,70.35,70.79,70.24,70.53,332240
7-Apr-17,70.11,70.73,69.93,70.30,404132
6-Apr-17,70.21,70.57,69.47,70.41,484792
5-Apr-17,70.71,71.22,70.05,70.20,530868
4-Apr-17,71.39,71.64,70.16,70.53,598123
3-Apr-17,70.53,71.44,70.52,71.42,719340
31-Mar-17,70.86,71.07,70.55,70.60,438564
30-Mar-17,70.97,71.22,70.74,71.01,228903
29-Mar-17,70.43,71.19,70.30,71.05,650577
28-Mar-17,69.92,70.60,69.79,70.37,316204
27-Mar-17,69.61,70.36,69.12,70.06,438092
24-Mar-17,69.60,70.56,69.60,70.13,327804
23-Mar-17,69.23,70.30,68.95,69.54,358881
22-Mar-17,69.15,69.40,68.52,69.35,332556
21-Mar-17,69.98,70.13,69.06,69.32,435573
20-Mar-17,70.03,70.30,69.32,69.85,544601
17-Mar-17,68.82,70.22,68.64,70.07,971717
16-Mar-17,69.76,69.84,68.83,68.87,410118
15-Mar-17,68.03,69.80,68.03,69.63,722941
14-Mar-17,68.30,68.62,67.22,67.80,388133
13-Mar-17,67.35,68.40,67.08,68.29,419843
10-Mar-17,67.14,67.69,66.71,67.42,835267
9-Mar-17,65.63,66.82,65.25,66.81,578476
8-Mar-17,65.81,65.93,65.47,65.53,252031
7-Mar-17,65.64,65.94,65.09,65.55,444435
6-Mar-17,65.83,66.13,65.37,65.77,571775
3-Mar-17,66.76,67.04,65.89,66.13,574774
2-Mar-17,67.22,67.31,66.69,66.77,289037
1-Mar-17,67.11,67.44,66.74,67.21,512251
28-Feb-17,66.93,67.37,66.36,66.45,680061
27-Feb-17,66.90,67.35,66.44,66.93,635537
24-Feb-17,65.18,66.73,65.14,66.71,676580
23-Feb-17,65.00,65.64,64.56,65.46,551713
22-Feb-17,65.09,65.40,64.43,64.75,845806
21-Feb-17,64.20,65.30,64.19,65.17,769649
17-Feb-17,63.03,64.36,63.02,64.19,823411
16-Feb-17,62.44,63.20,61.91,63.19,742457
15-Feb-17,61.80,62.50,61.80,62.24,371294
14-Feb-17,61.97,62.30,61.75,62.06,428615
13-Feb-17,61.91,62.40,61.66,62.32,595014
10-Feb-17,61.55,61.90,61.28,61.51,357947
9-Feb-17,60.72,61.98,60.02,61.33,476487
8-Feb-17,60.39,60.93,59.96,60.81,519102
7-Feb-17,60.07,60.59,60.00,60.36,432818
6-Feb-17,60.24,60.27,59.74,60.16,390235
3-Feb-17,59.84,60.07,59.32,60.02,265691
2-Feb-17,59.21,59.73,58.89,59.55,408401
1-Feb-17,58.92,59.74,58.77,59.47,425713
31-Jan-17,58.07,58.97,57.45,58.87,450577
30-Jan-17,59.57,59.61,57.96,58.47,609144
27-Jan-17,60.25,60.45,57.18,59.63,1005295
26-Jan-17,60.19,60.19,59.62,59.85,473304
25-Jan-17,60.09,60.51,59.95,60.19,525582
24-Jan-17,59.57,60.86,58.89,59.93,844416
23-Jan-17,58.32,58.86,58.22,58.52,492868
20-Jan-17,59.63,60.19,58.32,58.57,696761
19-Jan-17,59.25,59.41,58.82,59.31,388265
18-Jan-17,60.31,60.31,59.14,59.42,521131
17-Jan-17,60.07,60.20,59.48,60.14,592943
13-Jan-17,60.00,60.41,59.80,60.30,551435
12-Jan-17,58.44,59.83,57.98,59.75,709846
11-Jan-17,58.59,59.14,57.89,58.60,1049789
10-Jan-17,57.01,58.97,55.04,58.63,1587581
9-Jan-17,57.82,58.30,57.72,58.12,582297
6-Jan-17,56.78,58.38,56.36,57.87,1152588
5-Jan-17,57.68,57.99,56.50,56.76,820734
4-Jan-17,57.14,57.88,56.14,57.73,715824
3-Jan-17,56.62,56.86,55.85,56.84,559356
30-Dec-16,56.36,56.37,55.95,56.14,300024
29-Dec-16,56.26,56.82,56.14,56.36,325857
28-Dec-16,57.37,57.37,56.27,56.34,408426
27-Dec-16,57.17,57.48,56.69,57.17,303201
23-Dec-16,56.49,57.15,56.36,57.08,271060
22-Dec-16,56.34,56.89,56.07,56.50,435197
21-Dec-16,56.02,56.72,55.92,56.37,687689
20-Dec-16,55.18,55.97,55.02,55.95,629056
19-Dec-16,54.88,55.61,54.88,55.08,429063
16-Dec-16,55.13,55.48,54.80,54.93,799458
15-Dec-16,55.07,55.34,54.59,55.14,445299
14-Dec-16,55.83,56.32,54.83,55.05,506068
13-Dec-16,56.40,57.21,55.87,55.91,518715
12-Dec-16,55.26,56.40,55.26,56.09,610617
9-Dec-16,55.92,56.46,55.19,55.47,777106
8-Dec-16,55.11,55.99,54.65,55.86,497749
7-Dec-16,54.89,55.31,54.60,55.00,732061
6-Dec-16,54.22,55.13,53.80,55.02,706784
5-Dec-16,54.18,54.30,53.87,54.07,528705
2-Dec-16,53.01,54.44,52.94,53.71,551565
1-Dec-16,53.48,53.80,52.58,52.92,593742
30-Nov-16,54.05,54.11,53.10,53.34,553177
29-Nov-16,54.66,54.93,53.50,53.96,1255269
28-Nov-16,55.19,55.25,54.52,54.65,348875
25-Nov-16,55.06,55.60,54.86,55.23,195059
23-Nov-16,53.63,54.86,53.48,54.83,823955
22-Nov-16,54.69,55.02,53.45,53.80,1031440
21-Nov-16,55.56,56.18,55.23,55.43,417432
18-Nov-16,55.81,55.81,55.21,55.45,553322
17-Nov-16,55.28,55.86,55.18,55.75,717561
16-Nov-16,54.66,55.25,54.45,55.14,504501
15-Nov-16,54.51,55.55,54.51,55.05,838236
14-Nov-16,53.31,54.42,52.99,54.36,1322166
11-Nov-16,54.58,55.11,52.98,53.16,1128830
10-Nov-16,54.21,55.35,54.08,54.66,1613738
9-Nov-16,55.85,56.31,50.50,53.55,2738520
8-Nov-16,59.25,59.70,58.81,59.46,466203
7-Nov-16,58.55,59.98,58.29,59.43,687117
4-Nov-16,56.23,57.95,55.93,57.41,960419
3-Nov-16,54.02,57.80,54.02,55.97,1241980
2-Nov-16,54.18,55.02,53.66,53.74,1073443
1-Nov-16,55.44,55.45,53.96,54.49,796299
31-Oct-16,55.38,55.73,55.00,55.41,646409
28-Oct-16,55.25,55.76,55.21,55.39,465113
27-Oct-16,56.29,56.50,55.00,55.33,674065
26-Oct-16,57.23,57.23,55.50,56.00,719460
25-Oct-16,59.57,59.62,57.47,57.66,1129977
24-Oct-16,60.10,60.10,59.38,59.69,280043
21-Oct-16,59.30,59.51,58.97,59.38,155652
20-Oct-16,59.38,59.91,59.26,59.64,172042
19-Oct-16,59.89,60.34,59.39,59.52,348371
18-Oct-16,60.14,60.31,59.83,59.90,329722
17-Oct-16,59.50,59.78,59.47,59.54,168477
14-Oct-16,60.36,60.36,59.58,59.58,263331
13-Oct-16,59.65,60.45,59.26,60.00,535050
12-Oct-16,60.45,60.61,59.86,60.13,461612
11-Oct-16,62.15,62.15,59.85,60.31,517635
10-Oct-16,62.28,63.12,62.28,62.45,462993
7-Oct-16,61.78,62.27,61.52,62.21,591726
6-Oct-16,61.90,62.15,61.23,61.91,529150
5-Oct-16,61.53,62.43,61.53,61.86,801103
4-Oct-16,61.90,62.15,61.13,61.51,388655
3-Oct-16,61.66,61.80,61.27,61.66,494234
30-Sep-16,61.09,62.17,60.99,61.98,427134
29-Sep-16,61.73,61.75,60.53,60.96,432092
28-Sep-16,61.27,61.76,61.18,61.72,366886
27-Sep-16,60.70,61.52,60.55,61.23,333894
26-Sep-16,60.45,60.93,60.25,60.61,340978
23-Sep-16,60.80,60.98,60.67,60.78,417682
22-Sep-16,60.13,60.92,59.90,60.84,434770
21-Sep-16,59.54,59.86,58.77,59.75,249493
20-Sep-16,60.08,60.08,59.21,59.23,325481
19-Sep-16,59.42,59.98,59.42,59.69,523870
16-Sep-16,58.91,59.63,58.80,59.41,908412
