Date,Open,High,Low,Close,Volume
20-Oct-17,83.62,84.88,83.20,84.53,1054733
19-Oct-17,82.56,83.25,82.48,83.09,1235095
18-Oct-17,82.49,82.81,81.83,82.29,843599
17-Oct-17,81.68,82.64,81.63,82.45,1566149
16-Oct-17,80.93,82.01,80.67,81.91,2196812
13-Oct-17,80.38,81.10,79.96,80.93,668865
12-Oct-17,80.78,81.16,80.44,80.51,811887
11-Oct-17,79.89,80.73,79.80,80.67,732640
10-Oct-17,80.17,80.56,79.71,79.89,955069
9-Oct-17,80.91,80.91,79.83,80.10,1207433
6-Oct-17,82.04,82.14,80.77,80.99,1075227
5-Oct-17,81.99,82.38,81.24,81.58,778069
4-Oct-17,81.66,81.93,81.41,81.74,678565
3-Oct-17,81.10,81.84,80.99,81.58,1051534
2-Oct-17,82.19,82.23,80.71,81.03,1537883
29-Sep-17,80.56,82.05,80.41,81.99,1744403
28-Sep-17,80.77,81.39,80.27,80.86,1133032
27-Sep-17,80.52,81.21,80.07,81.13,914405
26-Sep-17,80.57,80.96,80.09,80.39,1053414
25-Sep-17,79.49,80.99,79.18,80.34,1792004
22-Sep-17,78.90,79.66,78.56,79.60,1463056
21-Sep-17,80.40,80.64,79.24,79.32,1123195
20-Sep-17,79.42,80.48,78.86,80.39,2689866
19-Sep-17,80.97,81.42,78.85,79.14,2523844
18-Sep-17,83.36,83.65,80.45,80.90,3091306
15-Sep-17,82.25,84.87,82.16,82.88,2924055
14-Sep-17,84.18,84.18,80.17,80.58,4448686
13-Sep-17,87.88,87.99,84.24,84.44,2259384
12-Sep-17,88.78,88.94,87.80,87.96,1312406
11-Sep-17,88.23,89.34,88.05,88.78,987054
8-Sep-17,87.53,87.94,87.34,87.67,788512
7-Sep-17,86.45,87.76,85.88,87.42,824308
6-Sep-17,86.18,86.41,85.74,86.22,1046012
5-Sep-17,86.28,87.00,85.44,86.18,1218010
1-Sep-17,87.00,87.36,86.07,86.76,1025778
31-Aug-17,85.09,86.96,85.02,86.84,1248440
30-Aug-17,84.02,84.85,83.60,84.81,1402728
29-Aug-17,85.00,85.21,83.90,84.22,1194826
28-Aug-17,85.75,86.03,84.68,84.79,842546
25-Aug-17,85.94,86.23,85.39,85.78,968066
24-Aug-17,85.37,86.46,85.34,85.53,1425922
23-Aug-17,85.18,85.50,84.62,85.23,1148584
22-Aug-17,85.49,86.56,85.42,85.65,912718
21-Aug-17,84.76,86.32,84.76,85.41,1236274
18-Aug-17,84.70,85.44,84.42,84.74,1050816
17-Aug-17,85.20,86.02,84.78,84.80,1526556
16-Aug-17,84.36,85.38,83.84,85.16,1273232
15-Aug-17,84.38,84.62,83.34,83.97,1090690
14-Aug-17,85.78,85.98,84.53,84.64,703254
11-Aug-17,84.07,85.63,83.88,85.29,1256484
10-Aug-17,84.26,84.80,82.96,83.66,1263826
9-Aug-17,86.54,86.80,84.06,84.82,2165006
8-Aug-17,88.50,89.75,86.30,87.01,2470370
7-Aug-17,90.25,92.64,90.12,91.90,1854228
4-Aug-17,89.96,89.96,88.76,89.36,889550
3-Aug-17,89.58,89.80,89.10,89.59,692432
2-Aug-17,90.50,90.54,89.13,89.65,864988
1-Aug-17,90.35,91.30,86.88,90.64,707616
31-Jul-17,90.14,91.75,90.14,91.10,468136
28-Jul-17,91.20,91.74,90.89,91.46,638036
27-Jul-17,92.14,92.28,90.98,91.42,630022
26-Jul-17,89.76,92.80,89.76,92.37,553118
25-Jul-17,92.97,93.14,91.73,92.37,814582
24-Jul-17,92.52,92.97,92.34,92.84,458182
21-Jul-17,92.02,92.91,91.92,92.46,547334
