Date,Open,High,Low,Close,Volume
20-Oct-17,243.90,246.89,243.27,245.81,742585
19-Oct-17,241.35,243.01,238.58,242.69,796692
18-Oct-17,241.18,245.60,241.18,241.31,1099848
17-Oct-17,239.40,242.42,237.67,240.43,1691953
16-Oct-17,236.78,238.38,235.74,237.17,1121772
13-Oct-17,237.92,240.70,235.70,237.73,812079
12-Oct-17,240.99,242.34,239.58,241.44,727935
11-Oct-17,240.00,242.43,240.00,240.64,41704
10-Oct-17,240.45,241.79,239.51,240.49,1235423
9-Oct-17,242.00,244.11,239.84,240.41,929419
6-Oct-17,246.12,248.33,245.62,246.90,1152711
5-Oct-17,246.75,247.30,244.88,245.36,1059567
4-Oct-17,247.39,248.41,246.33,246.51,711955
3-Oct-17,245.07,247.40,244.67,247.39,720905
2-Oct-17,244.41,245.98,244.00,245.00,1099449
29-Sep-17,243.04,243.71,240.80,243.63,1541056
28-Sep-17,238.33,244.87,237.91,242.75,1084699
27-Sep-17,239.48,240.24,235.15,238.87,1355484
26-Sep-17,237.84,241.79,237.84,239.21,1348824
25-Sep-17,239.55,241.64,236.97,237.21,1098405
22-Sep-17,238.91,244.43,235.22,239.09,1343101
21-Sep-17,240.06,240.06,237.83,238.64,1177935
20-Sep-17,240.08,241.98,237.55,239.68,1824163
19-Sep-17,248.80,249.50,239.61,240.04,1725348
18-Sep-17,250.01,250.49,247.84,248.45,1112394
15-Sep-17,250.00,250.96,249.15,249.28,1228357
14-Sep-17,251.60,251.88,249.77,250.65,1050870
13-Sep-17,255.18,257.74,251.52,251.54,1322353
12-Sep-17,257.11,257.72,253.96,255.10,742810
11-Sep-17,258.29,259.76,257.16,257.21,671166
8-Sep-17,256.40,257.28,255.68,256.56,837622
7-Sep-17,256.94,258.38,255.98,256.53,692189
6-Sep-17,258.00,258.81,255.00,256.88,682390
5-Sep-17,258.00,259.47,256.63,257.55,780774
1-Sep-17,257.98,259.46,257.04,258.75,521358
31-Aug-17,254.99,257.74,254.61,257.62,1017200
30-Aug-17,255.65,255.65,253.26,254.24,617384
29-Aug-17,254.13,255.91,253.46,255.67,1025306
28-Aug-17,253.09,255.07,252.67,255.07,1186182
25-Aug-17,252.18,254.27,252.18,253.00,688469
24-Aug-17,252.66,252.96,251.20,251.85,600935
23-Aug-17,252.07,253.46,250.83,251.99,674014
22-Aug-17,248.53,254.32,247.98,253.28,1322841
21-Aug-17,248.14,250.27,247.42,249.36,710002
18-Aug-17,247.40,248.37,245.68,247.28,754398
17-Aug-17,247.37,248.98,246.61,247.66,748684
16-Aug-17,247.26,249.31,246.77,247.36,1026007
15-Aug-17,250.58,250.95,246.61,246.83,1274655
14-Aug-17,250.32,252.31,250.00,250.25,726378
11-Aug-17,251.30,252.82,249.94,249.99,840299
10-Aug-17,253.49,255.27,250.88,251.67,802328
9-Aug-17,250.34,255.10,248.80,254.96,1353904
8-Aug-17,249.32,251.00,247.80,250.22,1257223
7-Aug-17,245.49,249.63,245.38,249.62,1068145
4-Aug-17,249.59,251.80,245.19,245.93,1557990
3-Aug-17,241.83,249.33,241.69,248.84,2366057
2-Aug-17,238.00,242.78,237.10,241.09,2951853
1-Aug-17,231.64,232.47,229.84,230.77,1022824
31-Jul-17,-,-,230.87,231.20,844476
28-Jul-17,232.97,236.63,231.54,233.08,1590958
