Date,Open,High,Low,Close,Volume
19-Sep-14,14.40,14.40,12.50,12.70,2202493
18-Sep-14,12.32,12.49,12.03,12.37,981172
17-Sep-14,12.05,12.53,12.05,12.29,1265062
16-Sep-14,11.54,12.25,11.53,11.99,1800124
15-Sep-14,11.89,11.96,11.39,11.57,1871811
12-Sep-14,11.47,11.98,11.47,11.81,1618965
11-Sep-14,11.19,11.55,11.12,11.50,1280828
10-Sep-14,10.83,11.33,10.66,11.27,1358490
9-Sep-14,10.34,10.95,10.05,10.84,2030419
8-Sep-14,9.67,10.47,9.60,10.35,1245949
5-Sep-14,9.65,9.85,9.46,9.64,665796
4-Sep-14,9.80,10.20,9.65,9.73,1137208
3-Sep-14,10.13,10.30,10.06,10.08,593714
2-Sep-14,10.30,10.37,9.96,10.10,1174897
29-Aug-14,10.17,10.30,9.95,10.30,968872
28-Aug-14,9.85,10.75,9.80,10.16,1996655
27-Aug-14,9.80,10.02,9.78,9.90,883720
26-Aug-14,9.44,9.80,9.41,9.78,1038982
25-Aug-14,9.46,9.59,9.38,9.48,1181449
22-Aug-14,9.70,9.74,9.25,9.38,1392529
21-Aug-14,9.84,9.98,9.53,9.70,644825
20-Aug-14,9.90,10.02,9.79,9.86,1245211
19-Aug-14,9.70,10.22,9.66,9.91,1501684
18-Aug-14,9.80,9.95,9.57,9.69,855814
15-Aug-14,9.84,9.92,9.51,9.74,916102
14-Aug-14,10.05,10.12,9.68,9.75,982339
13-Aug-14,9.38,10.09,9.38,10.04,1582756
12-Aug-14,9.26,9.46,9.07,9.37,1510863
11-Aug-14,9.34,9.54,9.13,9.27,1334480
8-Aug-14,9.53,9.64,9.13,9.23,1739537
7-Aug-14,9.75,10.25,9.32,9.49,8258612
6-Aug-14,8.72,8.81,8.30,8.47,1870451
5-Aug-14,8.46,8.89,8.44,8.85,2043047
4-Aug-14,8.78,8.84,8.42,8.51,1156560
1-Aug-14,8.45,8.91,8.07,8.74,2674788
31-Jul-14,8.90,8.93,8.49,8.51,3078393
30-Jul-14,8.31,9.24,8.24,8.91,2939424
29-Jul-14,8.75,9.00,7.85,8.26,11586271
28-Jul-14,10.05,10.21,9.04,9.15,15349526
25-Jul-14,14.10,14.19,13.85,13.90,722881
24-Jul-14,14.50,14.60,14.00,14.17,716701
23-Jul-14,14.18,14.54,13.98,14.45,1032198
22-Jul-14,14.16,14.40,13.94,14.08,790043
21-Jul-14,13.97,14.24,13.64,14.00,786759
18-Jul-14,13.67,14.31,13.44,14.00,1219697
17-Jul-14,13.74,14.17,13.62,13.72,1403536
16-Jul-14,14.89,15.08,13.74,13.87,3376016
15-Jul-14,15.44,15.44,14.63,14.77,1092578
14-Jul-14,15.50,15.60,15.19,15.42,690289
11-Jul-14,15.46,15.64,14.85,15.32,1320827
10-Jul-14,14.40,15.54,14.35,15.45,972940
9-Jul-14,15.03,15.23,14.80,15.05,745805
8-Jul-14,15.59,15.65,14.62,15.01,2259969
7-Jul-14,16.21,16.27,15.55,15.73,1121790
3-Jul-14,16.31,16.44,15.95,16.18,408931
2-Jul-14,16.20,16.56,16.02,16.27,982847
1-Jul-14,15.90,16.39,15.90,16.20,1529021
30-Jun-14,15.89,15.99,15.61,15.82,1312290
27-Jun-14,15.47,16.10,15.38,15.96,2530268
26-Jun-14,15.47,15.70,15.30,15.48,740519
25-Jun-14,15.16,15.49,14.81,15.43,1031554
24-Jun-14,15.56,15.97,15.20,15.30,1473057
23-Jun-14,16.18,16.20,15.15,15.50,2091899
20-Jun-14,16.27,16.50,15.88,16.23,1850763
19-Jun-14,16.12,16.49,15.93,16.32,1539549
18-Jun-14,15.99,16.15,15.51,16.00,1322355
17-Jun-14,14.99,16.05,14.90,15.83,3323775
16-Jun-14,14.69,15.06,14.60,14.95,834241
13-Jun-14,14.74,14.89,14.23,14.75,1020102
12-Jun-14,15.13,15.35,14.54,14.71,1584878
11-Jun-14,14.84,15.35,14.68,15.24,1115678
10-Jun-14,15.29,15.42,14.77,15.03,1701308
9-Jun-14,14.53,15.69,14.50,15.29,3430655
6-Jun-14,14.55,14.65,14.34,14.48,1025752
5-Jun-14,14.86,14.86,14.22,14.48,873032
4-Jun-14,14.58,14.62,14.05,14.50,1957366
3-Jun-14,14.00,14.84,13.81,14.75,2318381
2-Jun-14,14.21,14.43,13.84,14.05,1953717
30-May-14,15.04,15.10,13.89,14.19,3003111
29-May-14,14.83,15.11,14.36,14.54,2487390
28-May-14,14.35,14.75,13.89,14.75,2923221
27-May-14,13.69,14.32,13.60,14.29,2899170
23-May-14,13.45,13.70,13.23,13.46,1420132
22-May-14,13.38,13.87,13.20,13.40,1517050
21-May-14,13.01,13.63,12.92,13.40,1997837
20-May-14,13.26,13.26,12.61,12.99,1647423
19-May-14,12.71,13.38,12.61,13.36,1832464
16-May-14,12.97,13.10,12.55,12.88,1263506
15-May-14,13.00,13.32,12.80,12.96,1860432
14-May-14,13.34,13.44,13.00,13.07,1764482
13-May-14,13.52,13.99,13.21,13.42,1430920
12-May-14,13.25,13.90,13.00,13.59,2212551
