Date,Open,High,Low,Close,Volume
20-Oct-17,114.66,114.97,113.55,113.63,282713
19-Oct-17,114.58,115.39,113.85,114.36,133749
18-Oct-17,113.78,115.10,113.29,114.49,212186
17-Oct-17,115.42,116.11,113.45,113.77,386338
16-Oct-17,113.86,116.13,113.41,115.68,267785
13-Oct-17,114.24,114.71,113.06,113.63,294869
12-Oct-17,116.12,116.56,114.76,114.85,305433
11-Oct-17,113.42,116.06,113.42,115.87,254536
10-Oct-17,113.75,114.23,113.28,114.01,273896
9-Oct-17,114.10,114.65,113.56,113.68,345501
6-Oct-17,114.92,115.45,113.13,113.63,226138
5-Oct-17,114.10,114.83,113.35,114.71,91362
4-Oct-17,113.41,114.77,113.41,114.36,112446
3-Oct-17,114.34,114.80,113.02,113.74,161637
2-Oct-17,113.94,115.00,111.86,113.90,282849
29-Sep-17,111.80,114.03,111.80,113.88,237844
28-Sep-17,112.96,113.21,111.32,111.71,246100
27-Sep-17,112.69,113.63,112.37,113.00,258629
26-Sep-17,110.94,112.20,110.09,112.00,351674
25-Sep-17,110.62,111.62,110.10,110.68,237481
22-Sep-17,111.38,112.04,110.89,110.97,227723
21-Sep-17,110.62,111.76,110.21,111.68,188503
20-Sep-17,112.42,112.47,109.82,110.61,315552
19-Sep-17,113.58,114.27,111.82,112.47,510173
18-Sep-17,111.38,113.77,110.85,113.39,377081
15-Sep-17,112.18,112.18,109.78,111.34,224663
14-Sep-17,112.55,112.55,111.12,111.59,393335
13-Sep-17,114.19,114.64,112.15,112.53,535076
12-Sep-17,115.80,116.33,114.16,114.71,228637
11-Sep-17,116.55,117.10,114.92,115.98,300940
8-Sep-17,116.40,117.53,115.03,115.10,323918
7-Sep-17,113.92,116.74,113.25,116.62,515742
6-Sep-17,112.39,114.17,111.10,113.58,451818
5-Sep-17,114.21,114.80,112.07,112.22,333109
1-Sep-17,114.29,114.71,113.81,113.94,299168
31-Aug-17,112.46,114.27,112.15,113.39,365643
30-Aug-17,112.01,113.23,111.70,112.51,443147
29-Aug-17,109.54,112.17,109.52,111.99,468069
28-Aug-17,108.20,109.98,107.86,109.88,270479
25-Aug-17,107.71,108.65,107.71,108.23,247953
24-Aug-17,107.25,107.80,106.46,107.51,147676
23-Aug-17,107.14,107.56,106.26,106.78,353727
22-Aug-17,105.63,108.05,105.51,107.89,329606
21-Aug-17,104.49,105.69,104.40,105.30,315847
18-Aug-17,105.29,105.81,104.43,104.99,208371
17-Aug-17,102.19,105.62,102.19,105.19,547916
16-Aug-17,102.80,104.21,101.18,102.44,200040
15-Aug-17,101.82,102.72,101.00,102.15,371015
14-Aug-17,102.42,103.45,101.75,102.58,243771
11-Aug-17,101.76,102.58,101.24,101.40,233718
10-Aug-17,104.77,105.73,101.65,102.02,271464
9-Aug-17,104.06,105.91,103.00,104.88,201873
8-Aug-17,105.04,105.95,104.44,104.73,208548
7-Aug-17,104.07,104.84,102.98,104.56,177978
4-Aug-17,105.47,106.81,103.46,103.95,254030
3-Aug-17,106.57,108.11,105.79,106.23,274383
2-Aug-17,106.56,108.23,105.29,106.32,368718
1-Aug-17,104.50,106.63,104.02,106.09,421267
31-Jul-17,109.32,109.32,102.90,104.95,725333
28-Jul-17,105.83,106.57,102.11,102.84,932831
27-Jul-17,101.75,107.72,99.77,105.83,1171578
26-Jul-17,97.77,99.66,97.12,99.47,350968
25-Jul-17,99.59,100.08,98.26,99.01,407144
24-Jul-17,99.84,100.19,98.76,99.61,211478
21-Jul-17,99.74,100.15,99.25,99.85,177355
20-Jul-17,100.73,101.40,99.65,99.80,164870
19-Jul-17,99.30,100.44,98.78,100.21,236114
18-Jul-17,99.37,99.62,98.50,98.77,172305
17-Jul-17,99.87,100.42,99.04,99.22,186601
14-Jul-17,99.43,99.80,98.70,99.32,277011
13-Jul-17,100.11,100.12,98.28,99.62,141310
12-Jul-17,99.41,100.59,99.05,99.83,157667
11-Jul-17,98.32,99.49,98.21,98.79,225928
10-Jul-17,98.57,98.62,97.10,98.34,303226
7-Jul-17,98.99,99.44,97.33,98.24,600395
6-Jul-17,98.02,98.75,96.03,96.48,158128
5-Jul-17,97.71,99.06,97.05,98.14,411280
3-Jul-17,97.50,98.23,96.96,97.58,124851
30-Jun-17,98.50,98.95,97.74,97.79,313878
29-Jun-17,99.81,100.86,97.37,98.43,488721
28-Jun-17,96.09,97.41,95.57,96.63,387789
27-Jun-17,96.79,98.04,95.56,95.81,407231
26-Jun-17,96.77,97.32,95.82,96.53,177685
23-Jun-17,96.78,97.47,95.06,96.37,194518
22-Jun-17,96.83,97.57,95.47,96.63,444904
21-Jun-17,97.59,98.41,96.02,96.39,455673
20-Jun-17,95.26,98.70,95.26,97.34,736210
19-Jun-17,93.17,95.14,90.01,94.91,629021
16-Jun-17,93.64,94.00,91.76,92.99,264818
15-Jun-17,93.69,94.08,92.92,93.40,239942
14-Jun-17,96.70,96.70,93.69,94.34,387573
13-Jun-17,96.13,96.71,95.83,96.27,192526
12-Jun-17,96.91,96.91,94.95,96.38,352470
9-Jun-17,97.55,98.00,96.59,97.00,511817
8-Jun-17,96.91,97.99,96.32,97.69,398242
7-Jun-17,96.60,97.90,94.19,96.81,410035
6-Jun-17,96.15,97.14,95.79,96.58,379731
5-Jun-17,96.56,96.92,95.88,96.40,268373
2-Jun-17,95.39,96.82,95.09,96.77,264302
1-Jun-17,94.55,95.56,93.50,95.47,440444
31-May-17,92.81,94.17,92.42,94.10,318742
30-May-17,91.06,93.11,90.69,92.71,388321
26-May-17,89.58,91.94,89.57,91.73,182582
25-May-17,88.40,90.79,85.59,89.97,427156
24-May-17,88.91,89.96,88.17,89.92,419448
23-May-17,89.36,89.57,88.61,88.95,284441
22-May-17,89.94,90.67,88.88,89.44,267255
19-May-17,87.79,90.55,87.06,90.03,605106
18-May-17,86.23,87.90,86.23,87.73,119239
17-May-17,87.79,88.01,86.38,86.38,258619
16-May-17,88.72,88.79,87.84,88.48,339300
15-May-17,87.49,88.59,87.01,88.53,389801
12-May-17,88.95,88.95,87.60,87.69,185772
11-May-17,88.52,89.15,88.17,89.04,275371
10-May-17,88.11,88.83,86.92,88.60,304909
9-May-17,87.43,88.87,87.40,87.84,451861
8-May-17,85.95,87.60,85.74,87.28,548706
5-May-17,85.56,86.05,85.17,85.96,263969
4-May-17,85.07,85.98,84.95,85.55,312248
3-May-17,84.18,85.42,84.07,85.19,502017
2-May-17,84.73,85.34,84.63,85.00,780745
1-May-17,84.74,85.74,84.10,85.26,532932
28-Apr-17,83.62,85.69,83.00,84.49,822664
27-Apr-17,79.00,83.65,79.00,83.17,1431273
26-Apr-17,77.56,78.26,76.81,76.83,588103
25-Apr-17,79.53,79.64,77.00,77.37,698646
24-Apr-17,80.31,80.71,79.49,79.57,394101
21-Apr-17,80.02,80.64,79.58,79.87,657654
20-Apr-17,78.50,80.44,77.90,80.15,398469
19-Apr-17,76.99,78.39,76.86,78.23,356169
18-Apr-17,77.59,78.03,76.46,77.04,360192
17-Apr-17,77.56,78.29,77.40,77.82,195616
13-Apr-17,78.62,79.00,77.38,77.58,175928
12-Apr-17,78.96,80.05,78.42,78.57,215115
11-Apr-17,79.42,79.93,78.05,78.81,265211
10-Apr-17,79.79,80.31,79.48,79.54,199398
7-Apr-17,80.33,80.56,79.80,80.16,176323
6-Apr-17,79.61,80.49,79.16,80.47,242122
5-Apr-17,79.99,80.73,79.73,79.75,221279
4-Apr-17,80.07,80.81,79.62,80.00,462044
3-Apr-17,80.00,80.63,79.84,80.12,308098
31-Mar-17,80.04,80.70,79.40,79.72,306510
30-Mar-17,80.85,81.17,80.15,80.27,240034
29-Mar-17,80.20,81.11,79.82,80.72,422130
28-Mar-17,78.90,80.34,78.90,80.20,315451
27-Mar-17,78.93,80.07,78.25,78.97,431260
24-Mar-17,77.75,79.46,77.74,78.94,478449
23-Mar-17,77.92,78.74,77.45,77.60,479748
22-Mar-17,77.46,78.30,77.16,78.08,752259
21-Mar-17,79.00,80.56,77.55,77.78,912340
20-Mar-17,79.94,80.58,78.88,78.90,354073
17-Mar-17,80.15,80.50,79.57,79.75,388914
16-Mar-17,81.25,81.43,80.08,80.14,253783
15-Mar-17,79.22,81.33,79.04,81.08,693951
14-Mar-17,79.77,80.12,79.11,79.37,560925
13-Mar-17,80.94,80.95,79.83,79.97,310019
10-Mar-17,81.08,81.08,79.36,80.68,907889
9-Mar-17,81.70,82.37,79.74,80.36,557994
8-Mar-17,82.57,82.57,80.84,81.31,554370
7-Mar-17,81.75,83.14,80.67,82.07,359505
6-Mar-17,82.71,83.22,81.96,82.24,295059
3-Mar-17,83.71,84.87,83.02,83.47,554714
2-Mar-17,84.00,84.09,83.48,83.72,263076
1-Mar-17,84.57,85.09,83.79,84.14,364893
28-Feb-17,84.81,84.81,82.87,83.77,509339
27-Feb-17,83.73,84.89,83.04,84.62,261624
24-Feb-17,85.12,85.34,83.41,84.00,323356
23-Feb-17,84.56,85.99,84.24,85.35,496272
22-Feb-17,83.83,85.32,83.57,85.00,526104
21-Feb-17,85.43,86.49,84.26,84.83,497078
17-Feb-17,88.01,88.90,85.45,85.68,351959
16-Feb-17,85.66,88.05,85.03,87.78,573287
15-Feb-17,86.67,86.97,84.53,85.67,419197
14-Feb-17,84.73,87.27,84.54,86.42,624614
13-Feb-17,86.52,86.52,84.56,84.71,277031
10-Feb-17,86.15,86.62,85.25,86.43,225471
9-Feb-17,85.41,86.57,84.38,86.26,371621
8-Feb-17,84.12,85.35,83.90,85.30,276888
7-Feb-17,84.60,84.69,83.52,84.07,326861
6-Feb-17,85.10,85.18,84.51,84.73,253586
3-Feb-17,84.54,85.34,83.98,85.28,210229
2-Feb-17,84.49,84.73,80.41,84.28,242051
1-Feb-17,84.43,85.15,83.54,84.88,433705
31-Jan-17,81.12,84.36,80.60,84.06,365427
30-Jan-17,81.42,82.04,81.00,81.47,187262
27-Jan-17,81.70,82.26,81.44,81.98,230998
26-Jan-17,81.01,81.55,80.43,81.30,185869
25-Jan-17,79.70,81.69,78.94,81.31,378424
24-Jan-17,79.83,80.31,77.87,79.97,372048
23-Jan-17,80.21,80.86,79.40,79.47,399792
20-Jan-17,79.80,80.63,79.24,80.07,455910
19-Jan-17,80.39,81.77,79.77,80.74,441345
18-Jan-17,81.19,81.72,79.87,80.82,668820
17-Jan-17,82.21,82.22,80.32,80.75,399748
13-Jan-17,83.77,83.94,81.93,82.09,400878
12-Jan-17,82.00,83.80,81.90,83.51,405799
11-Jan-17,81.84,82.38,80.81,82.20,410907
10-Jan-17,80.80,84.14,80.79,81.96,756200
9-Jan-17,78.86,80.95,78.86,80.37,517387
6-Jan-17,75.72,78.72,75.68,78.65,658289
5-Jan-17,76.48,77.30,75.75,76.21,349171
4-Jan-17,74.99,77.15,74.51,76.82,396571
3-Jan-17,75.82,76.15,74.30,74.71,283334
30-Dec-16,75.38,75.97,74.77,75.20,109605
29-Dec-16,74.00,75.19,73.93,75.07,92496
28-Dec-16,74.92,75.39,74.35,74.47,150426
27-Dec-16,75.87,76.00,75.17,75.26,155009
23-Dec-16,76.79,76.94,74.31,75.46,275105
22-Dec-16,77.01,77.76,76.48,76.56,618884
21-Dec-16,75.80,77.13,75.46,76.76,453019
20-Dec-16,74.53,75.86,73.94,75.59,396893
19-Dec-16,75.09,75.19,74.12,74.62,433419
16-Dec-16,77.34,77.82,73.76,75.01,751040
15-Dec-16,75.91,77.69,75.30,77.53,431613
14-Dec-16,76.31,76.99,75.75,75.93,331597
13-Dec-16,76.97,77.39,75.91,76.60,278762
12-Dec-16,76.61,77.07,75.95,76.56,226917
9-Dec-16,77.00,77.76,76.10,76.43,378429
8-Dec-16,75.60,76.72,75.01,76.49,424710
7-Dec-16,76.08,76.69,75.04,76.03,436435
6-Dec-16,75.47,76.48,74.63,76.37,440803
5-Dec-16,75.81,76.36,75.35,75.91,291846
2-Dec-16,74.25,75.81,74.25,75.25,476495
1-Dec-16,75.45,76.17,74.02,74.34,506029
30-Nov-16,77.62,77.87,74.87,75.64,618111
29-Nov-16,75.86,77.17,75.86,76.90,503018
28-Nov-16,76.82,77.54,75.42,76.20,596688
25-Nov-16,76.08,76.68,75.93,76.49,210905
23-Nov-16,75.90,76.32,74.03,76.09,575731
22-Nov-16,76.26,76.87,75.22,76.06,387674
21-Nov-16,76.56,76.87,75.89,76.41,336285
18-Nov-16,77.15,77.38,75.60,76.21,385967
17-Nov-16,77.06,78.17,76.21,77.22,551089
16-Nov-16,79.76,80.13,76.94,77.06,663291
15-Nov-16,80.54,80.54,79.71,79.99,309003
14-Nov-16,80.20,80.99,79.72,80.83,497631
11-Nov-16,82.46,82.68,80.01,80.19,504804
10-Nov-16,82.50,82.96,80.84,82.24,762521
9-Nov-16,78.56,83.00,78.54,82.27,974637
8-Nov-16,76.49,78.09,75.93,77.97,608851
7-Nov-16,76.30,77.37,76.12,76.65,757544
4-Nov-16,77.08,78.10,76.31,76.45,557829
3-Nov-16,76.64,77.61,76.61,76.68,470639
2-Nov-16,77.64,78.26,76.25,76.81,553129
1-Nov-16,79.00,79.04,75.89,77.40,1238289
31-Oct-16,81.13,81.68,80.19,80.28,491472
28-Oct-16,80.02,81.42,78.52,80.32,425020
27-Oct-16,80.68,81.16,79.95,80.48,403905
26-Oct-16,82.25,83.51,81.36,81.42,406399
25-Oct-16,83.97,84.87,82.56,83.04,423721
24-Oct-16,85.15,85.74,84.46,85.04,592438
21-Oct-16,84.63,85.09,82.66,84.54,963127
20-Oct-16,79.95,84.90,79.41,84.73,1150934
19-Oct-16,78.83,78.85,77.91,78.45,467667
18-Oct-16,78.30,79.73,78.22,78.94,478270
17-Oct-16,77.11,77.76,76.87,77.30,236329
14-Oct-16,78.65,78.84,76.53,77.06,403733
13-Oct-16,76.09,77.66,76.09,77.04,332574
12-Oct-16,77.12,77.77,76.50,76.64,286274
11-Oct-16,79.20,79.43,76.99,77.40,785785
10-Oct-16,78.49,79.80,78.26,79.02,226614
7-Oct-16,77.90,79.08,77.59,78.97,298136
6-Oct-16,77.46,78.14,76.40,78.06,349669
5-Oct-16,76.73,78.00,76.51,77.48,318928
4-Oct-16,76.99,77.58,76.43,76.57,397099
3-Oct-16,77.49,77.58,76.48,76.58,312479
30-Sep-16,76.49,77.71,76.19,77.37,402480
29-Sep-16,77.40,77.84,75.72,76.12,380098
28-Sep-16,77.25,77.49,77.01,77.28,302268
27-Sep-16,75.88,77.40,75.60,77.29,279676
26-Sep-16,76.56,76.63,75.19,75.99,244369
23-Sep-16,75.89,77.02,74.93,76.48,331137
22-Sep-16,76.00,76.73,75.30,76.48,696493
21-Sep-16,76.25,76.68,74.76,75.89,365439
20-Sep-16,75.39,76.48,75.35,76.18,236337
19-Sep-16,75.67,77.00,75.17,75.21,494730
16-Sep-16,76.26,76.29,74.88,75.69,406447
15-Sep-16,76.08,76.93,74.92,76.60,220535
14-Sep-16,75.76,76.59,75.36,76.33,248073
13-Sep-16,76.12,76.59,74.80,75.87,139978
12-Sep-16,75.00,76.81,74.37,76.73,258412
9-Sep-16,75.90,76.09,74.26,75.14,261253
8-Sep-16,76.29,76.78,75.99,76.42,307271
7-Sep-16,75.59,76.68,75.23,76.58,369959
6-Sep-16,77.03,78.47,75.03,75.13,430201
2-Sep-16,76.93,77.20,76.45,77.14,347477
1-Sep-16,77.00,77.25,76.22,76.85,332408
31-Aug-16,76.70,76.99,76.10,76.79,297035
30-Aug-16,75.96,77.00,75.66,76.75,265316
29-Aug-16,75.11,76.44,75.01,76.23,295199
26-Aug-16,74.89,75.92,74.71,75.29,200997
25-Aug-16,75.20,76.32,74.38,75.05,413722
24-Aug-16,76.67,77.29,74.83,75.02,344258
23-Aug-16,76.58,77.23,76.58,76.93,161273
22-Aug-16,75.75,76.62,75.50,76.45,190238
19-Aug-16,75.91,75.91,75.19,75.64,172231
18-Aug-16,75.65,76.09,75.10,75.81,360849
17-Aug-16,75.79,76.46,75.22,75.74,302639
16-Aug-16,76.57,76.57,75.59,75.65,464349
15-Aug-16,76.97,77.54,76.34,76.88,353859
12-Aug-16,76.91,76.96,76.44,76.59,151786
11-Aug-16,76.18,77.44,76.18,77.26,268670
10-Aug-16,76.18,76.85,75.75,75.91,251937
9-Aug-16,75.12,76.48,75.12,76.18,345725
8-Aug-16,75.98,76.44,75.15,75.36,455975
5-Aug-16,76.60,77.21,75.41,76.44,380149
4-Aug-16,75.63,77.68,75.00,76.62,386846
3-Aug-16,75.88,76.51,75.50,75.88,448897
2-Aug-16,76.48,77.93,75.07,76.38,638488
1-Aug-16,77.65,78.37,76.74,76.97,602655
29-Jul-16,75.81,77.78,75.17,77.67,889539
28-Jul-16,77.53,79.61,77.06,78.69,815226
27-Jul-16,75.68,78.20,74.60,77.89,835715
26-Jul-16,73.10,76.34,72.70,74.56,1386594
25-Jul-16,71.89,72.57,70.68,71.21,350172
22-Jul-16,71.42,72.61,70.73,72.14,506263
21-Jul-16,72.33,72.59,71.00,71.06,277692
20-Jul-16,70.54,72.77,70.54,71.98,407271
19-Jul-16,72.27,72.84,70.06,70.62,341445
18-Jul-16,71.90,72.67,71.28,72.21,299752
15-Jul-16,72.10,72.91,71.22,71.64,253105
14-Jul-16,71.48,72.62,71.41,72.16,257360
13-Jul-16,73.33,73.54,71.27,71.37,313461
12-Jul-16,73.68,73.99,72.61,73.04,518096
11-Jul-16,72.80,73.46,72.62,73.15,344275
8-Jul-16,71.22,72.91,70.72,72.75,357206
7-Jul-16,71.49,71.50,70.65,70.97,1628845
6-Jul-16,69.50,71.21,69.40,71.10,337418
5-Jul-16,70.22,70.39,69.05,69.70,349023
1-Jul-16,70.28,70.77,69.86,70.64,381430
30-Jun-16,69.00,70.22,68.15,70.01,308978
29-Jun-16,67.63,69.34,67.24,69.11,688455
28-Jun-16,66.08,67.66,65.59,66.96,349834
27-Jun-16,67.44,68.19,65.39,65.72,560955
24-Jun-16,64.80,68.05,64.77,67.62,582918
23-Jun-16,67.77,67.84,66.90,67.41,356376
22-Jun-16,65.26,67.70,65.14,66.87,776295
21-Jun-16,64.87,65.88,64.82,65.00,479194
20-Jun-16,64.64,64.70,63.94,64.59,609728
