Date,Open,High,Low,Close,Volume
20-Oct-17,190.00,194.92,189.75,191.35,275740
19-Oct-17,188.20,190.00,188.00,189.80,186259
18-Oct-17,187.80,188.90,186.40,188.65,65415
17-Oct-17,187.80,189.89,187.65,187.75,65403
16-Oct-17,187.00,189.05,187.00,188.40,73776
13-Oct-17,186.15,187.70,185.10,187.50,102652
12-Oct-17,187.10,187.85,186.10,186.35,64700
11-Oct-17,189.01,189.45,186.95,187.05,98293
10-Oct-17,189.00,189.60,187.20,188.55,99440
9-Oct-17,191.00,191.40,187.80,188.90,92248
6-Oct-17,191.45,192.65,190.70,191.85,81835
5-Oct-17,190.15,192.05,190.08,191.20,100781
4-Oct-17,189.05,191.65,189.00,190.68,58020
3-Oct-17,188.50,189.15,187.40,189.10,59335
2-Oct-17,186.25,188.00,184.80,188.00,80800
29-Sep-17,184.95,186.40,180.95,185.85,107763
28-Sep-17,186.80,188.85,185.25,185.35,111409
27-Sep-17,183.30,187.35,183.18,187.15,80444
26-Sep-17,181.90,183.32,181.50,183.05,50715
25-Sep-17,184.90,185.60,180.40,181.35,92291
22-Sep-17,185.35,186.00,184.74,184.90,108581
21-Sep-17,184.95,186.25,183.65,185.30,134808
20-Sep-17,182.40,185.45,181.95,184.90,152978
19-Sep-17,182.40,183.65,180.00,181.75,105959
18-Sep-17,180.80,183.55,180.30,182.85,90625
15-Sep-17,180.55,181.50,179.90,180.05,117112
14-Sep-17,179.80,182.45,179.80,181.20,108202
13-Sep-17,179.60,180.35,179.40,180.15,59449
12-Sep-17,180.20,180.45,178.95,180.10,90789
11-Sep-17,177.85,180.15,177.85,179.95,64861
8-Sep-17,173.85,178.20,173.25,177.35,101762
7-Sep-17,174.15,174.85,173.10,174.40,83783
6-Sep-17,176.45,176.45,173.50,173.95,98837
5-Sep-17,174.65,176.40,173.95,175.90,78396
1-Sep-17,174.65,175.30,173.05,175.05,52221
31-Aug-17,171.35,174.70,171.35,174.35,69713
30-Aug-17,171.30,171.90,170.50,171.30,44945
29-Aug-17,170.60,171.70,169.08,171.05,96193
28-Aug-17,170.25,172.30,170.25,171.45,106015
25-Aug-17,168.45,169.95,168.15,169.85,198033
24-Aug-17,169.05,169.20,167.90,167.95,52394
23-Aug-17,169.40,170.15,168.05,168.65,106517
22-Aug-17,168.25,169.95,168.25,169.90,71965
21-Aug-17,169.20,169.20,167.76,168.25,84500
18-Aug-17,169.10,169.70,168.50,169.30,73333
17-Aug-17,168.80,171.00,168.80,170.00,153199
16-Aug-17,168.85,170.05,168.35,169.60,83806
15-Aug-17,167.45,169.90,166.80,168.90,100665
14-Aug-17,165.40,167.60,165.35,167.45,106134
11-Aug-17,166.65,167.00,164.00,164.90,157095
10-Aug-17,174.00,174.00,165.70,166.65,277274
9-Aug-17,170.85,172.50,170.35,171.75,237295
8-Aug-17,172.75,173.65,170.85,171.55,116162
7-Aug-17,172.05,173.35,171.05,172.60,97512
4-Aug-17,174.25,174.95,169.25,172.15,181218
3-Aug-17,171.00,174.15,170.40,174.15,74473
2-Aug-17,172.60,173.55,169.35,170.95,85574
1-Aug-17,172.75,172.90,170.95,172.60,58236
31-Jul-17,174.00,174.65,170.30,171.90,78501
