Date,Open,High,Low,Close,Volume
20-Oct-17,162.30,165.79,161.45,164.71,409733
19-Oct-17,162.98,162.98,160.84,161.58,318221
18-Oct-17,159.83,163.27,159.28,163.05,454922
17-Oct-17,158.09,160.07,158.09,160.00,272234
16-Oct-17,159.97,160.43,158.24,158.55,368661
13-Oct-17,161.26,162.64,159.19,159.60,374206
12-Oct-17,157.53,163.08,157.53,161.76,484965
11-Oct-17,156.90,158.25,156.80,158.08,277926
10-Oct-17,158.50,158.91,156.90,157.33,259937
9-Oct-17,158.80,159.70,158.07,158.29,304266
6-Oct-17,158.16,159.84,157.40,158.97,544504
5-Oct-17,157.81,158.55,156.68,158.11,316240
4-Oct-17,153.96,157.52,153.96,157.41,386688
3-Oct-17,157.15,157.80,153.45,154.40,510652
2-Oct-17,156.13,157.83,155.98,157.17,310716
29-Sep-17,154.35,155.60,153.97,155.49,392762
28-Sep-17,156.02,156.10,153.51,154.37,382804
27-Sep-17,153.41,156.82,153.25,156.45,386960
26-Sep-17,154.50,154.94,153.09,153.24,562328
25-Sep-17,157.14,157.57,154.12,154.52,445935
22-Sep-17,155.75,157.76,155.39,157.50,362117
21-Sep-17,158.51,158.68,154.82,155.76,547338
20-Sep-17,160.89,161.63,157.77,158.48,395027
19-Sep-17,162.09,162.20,160.13,160.53,443438
18-Sep-17,159.37,162.49,159.05,162.10,630307
15-Sep-17,159.07,159.34,157.36,158.97,774056
14-Sep-17,158.19,159.71,157.89,158.80,384803
13-Sep-17,158.97,159.36,157.00,159.00,369520
12-Sep-17,160.13,160.36,158.29,158.98,234585
11-Sep-17,158.20,160.55,157.61,160.23,409213
8-Sep-17,157.64,159.04,156.90,157.49,331368
7-Sep-17,157.18,159.32,155.87,157.95,553832
6-Sep-17,156.71,157.22,154.87,156.87,490681
5-Sep-17,154.16,156.46,152.96,155.81,463300
1-Sep-17,155.72,155.80,153.60,154.98,265073
31-Aug-17,153.46,155.99,152.31,155.43,642409
30-Aug-17,150.10,154.23,150.10,152.71,552972
29-Aug-17,149.32,150.94,149.32,150.32,451299
28-Aug-17,151.28,152.12,149.45,150.44,528063
25-Aug-17,153.00,153.00,150.95,151.08,525967
24-Aug-17,153.50,154.55,152.29,152.57,424594
23-Aug-17,155.00,155.15,152.83,153.61,576335
22-Aug-17,151.00,153.02,150.77,152.82,437834
21-Aug-17,151.28,151.28,148.80,150.41,664751
18-Aug-17,151.26,152.88,150.25,150.44,567106
17-Aug-17,155.00,155.50,151.83,151.90,540821
16-Aug-17,154.99,156.27,154.78,155.21,870967
15-Aug-17,156.15,157.09,154.22,154.67,613710
14-Aug-17,152.98,155.83,152.98,155.32,832430
11-Aug-17,151.71,153.92,151.40,153.02,502062
10-Aug-17,154.28,154.69,150.35,151.06,912673
9-Aug-17,154.33,155.39,153.52,154.51,389476
8-Aug-17,154.83,156.47,153.66,154.77,518777
7-Aug-17,152.90,155.56,152.59,155.49,489002
4-Aug-17,154.73,155.20,151.56,152.60,464850
3-Aug-17,151.44,155.33,151.19,154.09,759260
2-Aug-17,154.52,156.57,150.49,151.21,1104893
1-Aug-17,163.84,165.41,153.39,154.68,1380335
31-Jul-17,168.07,169.24,165.81,166.46,578514
28-Jul-17,165.60,168.00,164.56,167.52,482309
27-Jul-17,166.81,167.40,162.50,164.40,378436
26-Jul-17,165.93,167.64,165.93,166.83,330919
25-Jul-17,170.56,171.37,166.11,166.55,582428
24-Jul-17,166.78,170.56,166.73,170.18,394197
21-Jul-17,166.59,168.24,166.25,166.62,357590
20-Jul-17,168.20,168.20,166.73,167.29,267244
19-Jul-17,165.85,168.20,165.08,167.78,359917
18-Jul-17,165.84,166.96,164.77,165.53,367508
17-Jul-17,166.54,167.42,165.17,166.03,756955
14-Jul-17,164.02,167.58,163.85,166.50,444135
13-Jul-17,164.92,165.06,162.53,163.59,495547
12-Jul-17,162.89,165.25,162.01,164.63,570837
11-Jul-17,161.76,162.36,160.00,161.72,1165449
10-Jul-17,161.02,162.74,160.42,161.51,821902
7-Jul-17,159.82,162.36,159.55,161.43,411520
6-Jul-17,160.23,160.99,157.77,159.26,670163
5-Jul-17,159.51,161.97,159.45,161.38,760200
3-Jul-17,162.39,163.76,159.17,159.32,325179
30-Jun-17,161.47,162.84,160.58,161.42,595621
29-Jun-17,164.22,164.22,159.00,160.54,584363
28-Jun-17,162.92,164.93,162.44,164.65,557616
27-Jun-17,165.57,165.78,162.28,162.44,447095
26-Jun-17,168.28,168.63,165.79,165.97,559158
23-Jun-17,166.50,168.60,165.98,167.35,1315437
22-Jun-17,166.50,167.98,165.44,166.52,436694
21-Jun-17,166.02,167.07,165.83,166.61,473237
20-Jun-17,163.90,167.29,163.84,166.02,698998
19-Jun-17,161.40,164.62,161.19,164.38,611780
16-Jun-17,160.21,162.75,159.51,160.71,1120919
15-Jun-17,159.77,160.99,157.88,160.57,769335
14-Jun-17,162.31,164.26,160.25,160.63,659820
13-Jun-17,159.35,161.63,158.22,161.30,942308
12-Jun-17,164.35,164.56,156.02,158.22,1422364
9-Jun-17,171.71,172.18,164.23,164.56,872972
8-Jun-17,172.02,172.86,170.32,171.34,476375
7-Jun-17,171.24,173.01,170.90,171.94,591927
6-Jun-17,170.09,172.25,169.34,170.88,473155
5-Jun-17,170.55,171.51,169.53,169.99,412467
2-Jun-17,168.56,170.18,168.00,169.86,548523
1-Jun-17,166.88,169.06,165.19,168.25,1058752
31-May-17,168.13,169.23,166.77,168.39,744661
30-May-17,167.44,168.91,167.31,167.93,299458
26-May-17,166.97,168.12,166.58,167.56,383621
25-May-17,165.05,168.43,164.75,167.40,466374
24-May-17,164.57,165.00,163.20,164.60,382862
23-May-17,163.37,164.44,162.68,164.20,419844
22-May-17,161.13,163.25,161.05,162.97,430172
19-May-17,161.75,162.39,160.98,161.63,470595
18-May-17,161.20,162.76,160.51,161.59,627504
17-May-17,163.92,164.06,160.91,161.04,488600
16-May-17,164.90,164.97,163.70,164.72,370553
