Date,Open,High,Low,Close,Volume
20-Oct-17,56.05,56.05,55.30,55.85,441538
19-Oct-17,54.70,55.65,54.35,55.55,478415
18-Oct-17,54.30,55.05,53.90,54.70,423193
17-Oct-17,55.80,56.20,54.05,54.30,635643
16-Oct-17,54.95,55.82,54.95,55.75,441084
13-Oct-17,54.25,54.82,53.55,54.75,544398
12-Oct-17,54.90,54.90,53.90,54.05,753434
11-Oct-17,55.25,55.35,54.40,54.75,682702
10-Oct-17,55.80,56.15,54.40,54.95,806437
9-Oct-17,55.60,56.10,54.55,55.85,987121
6-Oct-17,53.55,54.78,53.55,54.45,753142
5-Oct-17,53.90,54.05,53.10,53.55,386267
4-Oct-17,53.55,53.95,53.25,53.80,552792
3-Oct-17,53.35,53.90,52.98,53.45,623873
2-Oct-17,52.60,53.85,52.60,53.15,1039367
29-Sep-17,52.75,52.98,52.15,52.30,630481
28-Sep-17,52.75,53.25,52.20,52.60,526649
27-Sep-17,51.75,52.85,51.55,52.75,867001
26-Sep-17,52.05,53.05,51.38,51.65,710950
25-Sep-17,51.85,52.25,51.60,52.20,815985
22-Sep-17,51.90,53.05,51.50,52.00,843606
21-Sep-17,52.15,52.45,51.00,51.85,972116
20-Sep-17,53.25,53.30,52.25,52.30,1098523
19-Sep-17,54.80,54.80,53.45,53.80,1087411
18-Sep-17,54.60,54.90,54.20,54.55,1140603
15-Sep-17,54.50,54.85,53.80,54.85,1623976
14-Sep-17,54.60,54.78,54.00,54.45,966137
13-Sep-17,55.10,55.10,54.20,54.50,1021270
12-Sep-17,55.00,55.30,54.60,55.00,974447
11-Sep-17,55.75,55.98,54.80,54.95,1017203
8-Sep-17,54.00,55.95,54.00,55.55,2035142
7-Sep-17,55.40,55.45,53.65,54.20,1516121
6-Sep-17,58.45,58.55,54.90,55.25,1853120
5-Sep-17,58.95,59.35,57.95,58.40,920677
1-Sep-17,58.65,59.80,58.05,59.05,1129742
31-Aug-17,58.65,58.90,57.70,58.70,780129
30-Aug-17,57.85,58.55,57.60,58.35,863823
29-Aug-17,56.95,58.20,56.95,58.05,742967
28-Aug-17,56.50,57.45,56.30,57.40,947525
25-Aug-17,56.35,56.75,55.82,56.20,523255
24-Aug-17,56.80,56.90,55.90,56.15,464276
