Date,Open,High,Low,Close,Volume
20-Oct-17,27.20,28.08,27.05,27.55,358847
19-Oct-17,27.67,27.77,26.71,26.98,842553
18-Oct-17,28.18,28.29,27.36,27.82,472477
17-Oct-17,28.21,28.60,27.89,28.01,368698
16-Oct-17,28.08,28.86,27.96,28.29,295619
13-Oct-17,27.94,28.40,27.34,28.02,740628
12-Oct-17,28.99,29.13,27.70,27.76,890991
11-Oct-17,29.64,29.86,28.42,29.11,748210
10-Oct-17,30.91,30.91,29.14,29.67,594512
9-Oct-17,31.17,31.17,30.56,30.62,287034
6-Oct-17,30.95,31.28,30.71,31.28,500156
5-Oct-17,31.02,31.44,30.71,31.10,608217
4-Oct-17,31.01,31.48,30.46,31.24,443033
3-Oct-17,31.84,31.84,30.31,31.08,1324835
2-Oct-17,31.09,31.73,30.84,31.73,980911
29-Sep-17,30.52,31.21,30.01,31.21,697475
28-Sep-17,29.75,30.99,28.97,30.60,906689
27-Sep-17,28.18,29.97,28.18,29.58,891296
26-Sep-17,28.42,28.55,27.91,28.11,943290
25-Sep-17,28.50,29.02,28.01,28.42,957881
22-Sep-17,28.70,28.99,28.28,28.50,1241945
21-Sep-17,29.27,29.70,28.62,28.84,929754
20-Sep-17,28.48,29.15,28.39,29.06,721857
19-Sep-17,28.34,28.68,28.01,28.48,771073
18-Sep-17,27.60,28.39,27.49,28.29,765329
15-Sep-17,28.10,28.10,27.18,27.63,1299399
14-Sep-17,27.85,28.27,27.28,27.99,1208821
13-Sep-17,29.84,30.15,27.54,27.60,1905675
12-Sep-17,31.09,31.29,29.77,29.94,1188666
11-Sep-17,30.33,31.33,30.00,31.14,2898577
8-Sep-17,30.18,30.76,29.52,30.04,2476341
7-Sep-17,29.70,31.39,28.86,30.61,11089664
6-Sep-17,25.90,29.63,25.50,29.36,9565561
5-Sep-17,29.50,29.52,24.00,26.99,27380837
1-Sep-17,12.40,12.60,12.12,12.29,348279
31-Aug-17,12.20,12.60,12.15,12.42,426258
30-Aug-17,12.63,12.85,12.09,12.13,558140
29-Aug-17,12.42,12.98,12.37,12.67,341508
28-Aug-17,12.80,13.30,12.26,12.56,782715
25-Aug-17,12.91,13.22,12.51,12.61,394032
24-Aug-17,12.70,12.90,12.58,12.84,316904
23-Aug-17,12.67,12.75,12.46,12.61,406461
22-Aug-17,12.03,12.86,12.03,12.83,490288
21-Aug-17,12.12,12.24,11.85,11.98,360885
18-Aug-17,11.89,12.38,11.89,12.13,531636
17-Aug-17,11.96,12.23,11.83,12.05,537526
16-Aug-17,12.05,12.23,11.69,11.71,351768
15-Aug-17,12.51,12.67,12.00,12.02,420583
14-Aug-17,11.66,12.72,11.66,12.55,631846
11-Aug-17,11.87,11.97,11.49,11.61,472588
10-Aug-17,12.15,12.37,11.64,11.75,818677
9-Aug-17,12.82,12.94,12.07,12.18,945070
8-Aug-17,13.47,13.68,12.83,12.83,476583
7-Aug-17,14.16,14.47,13.27,13.46,720736
4-Aug-17,14.23,14.31,13.81,14.16,507798
3-Aug-17,15.34,15.52,13.92,14.06,1661958
2-Aug-17,15.85,15.85,15.28,15.49,348410
1-Aug-17,16.24,16.24,15.53,15.76,359681
31-Jul-17,16.37,16.65,16.06,16.17,320369
28-Jul-17,16.51,16.76,16.32,16.36,326115
27-Jul-17,17.45,17.60,16.52,16.59,716407
26-Jul-17,17.25,17.53,17.10,17.44,286534
25-Jul-17,17.47,17.62,17.06,17.23,430300
24-Jul-17,17.30,17.51,16.93,17.35,885169
21-Jul-17,17.04,17.38,16.93,17.31,807861
20-Jul-17,16.86,17.28,16.80,16.92,1150927
19-Jul-17,17.22,17.52,16.73,16.78,560537
18-Jul-17,17.10,17.20,16.53,16.94,436446
17-Jul-17,17.01,17.89,16.76,17.15,491911
14-Jul-17,17.05,17.29,16.72,17.00,718097
13-Jul-17,16.90,17.24,16.50,17.01,599762
12-Jul-17,17.06,17.56,16.81,16.92,393070
11-Jul-17,17.16,17.49,16.77,16.95,370378
10-Jul-17,17.31,17.31,16.65,16.80,219833
7-Jul-17,17.70,17.76,17.25,17.27,312879
6-Jul-17,17.56,17.82,17.17,17.63,386800
5-Jul-17,17.36,17.98,17.36,17.71,301115
3-Jul-17,17.32,17.56,17.09,17.36,143870
30-Jun-17,17.34,17.39,17.05,17.16,277283
29-Jun-17,17.71,17.90,17.06,17.30,546247
28-Jun-17,17.65,18.10,17.30,17.76,455717
27-Jun-17,17.97,18.37,17.46,17.49,336400
26-Jun-17,17.99,18.39,17.61,18.03,522409
23-Jun-17,17.50,18.00,17.19,17.95,750787
22-Jun-17,16.88,17.63,16.56,17.59,549299
21-Jun-17,16.48,17.11,16.26,16.79,391882
20-Jun-17,15.98,16.80,15.95,16.42,414056
19-Jun-17,15.77,16.14,15.61,15.97,218056
16-Jun-17,15.28,15.88,15.26,15.71,761215
15-Jun-17,15.73,16.08,15.38,15.54,196992
14-Jun-17,15.78,16.05,15.38,15.86,191049
13-Jun-17,15.29,15.94,15.29,15.79,257576
12-Jun-17,15.71,15.88,15.09,15.18,312048
9-Jun-17,15.94,16.11,15.50,15.68,233171
8-Jun-17,15.23,15.86,14.61,15.78,200505
7-Jun-17,15.26,15.31,14.83,15.25,247754
6-Jun-17,15.33,15.71,15.16,15.19,265781
5-Jun-17,15.64,15.64,15.15,15.38,347312
2-Jun-17,15.89,16.43,15.58,15.65,467531
1-Jun-17,15.50,15.79,15.05,15.60,328992
31-May-17,15.35,15.42,14.78,15.42,1009026
30-May-17,16.15,16.15,15.02,15.28,501831
26-May-17,17.01,17.01,16.05,16.07,523677
25-May-17,17.49,17.49,17.09,17.14,239035
24-May-17,17.26,17.54,17.01,17.35,310454
23-May-17,17.42,17.57,16.98,17.24,203947
22-May-17,17.12,17.46,16.66,17.37,175708
19-May-17,17.38,17.63,17.09,17.13,225846
18-May-17,17.19,17.49,16.90,17.39,255991
17-May-17,17.43,17.89,17.08,17.16,352452
16-May-17,17.56,17.71,17.39,17.68,158950
15-May-17,17.43,17.69,17.37,17.54,158340
12-May-17,17.63,17.78,17.41,17.42,160611
11-May-17,17.28,17.94,17.02,17.63,322991
10-May-17,17.04,17.41,16.67,17.33,294595
9-May-17,17.29,17.43,16.85,17.09,236925
8-May-17,17.55,17.94,16.76,17.16,318534
5-May-17,17.98,17.98,17.34,17.59,307224
4-May-17,18.50,18.50,17.86,17.94,283401
3-May-17,17.61,18.82,17.61,18.29,305196
2-May-17,18.73,18.86,18.32,18.54,382556
1-May-17,18.79,18.92,18.41,18.73,392701
28-Apr-17,18.84,19.01,18.41,18.45,287140
27-Apr-17,19.12,19.29,18.76,18.77,316689
26-Apr-17,19.22,19.35,19.02,19.12,413456
25-Apr-17,18.65,19.31,18.57,19.23,694389
24-Apr-17,18.51,18.60,18.31,18.45,373413
21-Apr-17,18.32,18.56,17.70,18.22,355857
20-Apr-17,18.32,18.48,18.05,18.34,289111
19-Apr-17,17.84,18.98,17.79,18.26,585741
18-Apr-17,17.15,17.97,17.08,17.81,255110
17-Apr-17,17.00,17.24,16.75,17.23,184441
13-Apr-17,16.81,17.25,16.79,17.01,372443
12-Apr-17,16.82,16.98,16.62,16.89,258553
11-Apr-17,16.63,16.91,16.46,16.79,224099
10-Apr-17,16.85,17.24,16.66,16.72,190665
7-Apr-17,16.75,17.13,16.62,16.83,189470
6-Apr-17,16.88,16.99,16.51,16.83,364820
5-Apr-17,17.32,17.63,16.68,16.80,262465
4-Apr-17,17.38,17.70,17.06,17.27,258055
3-Apr-17,17.41,17.95,17.15,17.40,307752
31-Mar-17,17.16,17.51,17.02,17.51,266090
30-Mar-17,17.36,17.36,16.92,17.17,341269
29-Mar-17,16.82,17.50,16.71,17.36,299061
28-Mar-17,16.67,16.85,16.51,16.77,177864
27-Mar-17,15.63,16.81,15.60,16.69,230393
24-Mar-17,15.71,15.90,15.52,15.81,309054
23-Mar-17,15.21,15.66,15.02,15.65,356622
22-Mar-17,15.35,15.51,15.06,15.24,224916
21-Mar-17,16.37,16.46,15.34,15.36,296380
20-Mar-17,16.07,16.40,15.90,16.29,141282
17-Mar-17,15.74,16.23,15.58,16.07,687494
16-Mar-17,16.17,16.30,15.82,15.91,339863
15-Mar-17,15.79,16.36,15.72,16.18,417417
14-Mar-17,15.98,16.06,15.59,15.74,173813
13-Mar-17,16.28,16.33,16.03,16.19,196180
10-Mar-17,16.35,16.68,15.92,16.33,257967
9-Mar-17,16.18,16.54,16.12,16.20,283061
8-Mar-17,15.94,16.50,15.81,16.12,187137
7-Mar-17,16.02,16.49,15.85,15.87,168738
6-Mar-17,16.51,16.62,15.66,16.24,331277
3-Mar-17,16.40,16.92,16.26,16.40,207373
2-Mar-17,16.57,17.32,15.99,16.42,419789
1-Mar-17,16.24,16.75,15.04,16.47,350454
28-Feb-17,15.33,16.50,15.17,15.93,749150
27-Feb-17,14.24,15.49,14.08,15.41,280291
24-Feb-17,13.90,14.50,13.75,14.39,277884
23-Feb-17,14.01,14.44,13.56,13.86,363244
22-Feb-17,14.90,15.14,14.51,14.55,369842
21-Feb-17,15.53,15.67,14.84,14.95,156694
17-Feb-17,14.99,15.50,14.70,15.43,320197
16-Feb-17,15.40,15.43,14.69,14.98,299322
15-Feb-17,15.47,15.68,15.38,15.40,480330
14-Feb-17,15.44,15.62,15.22,15.57,387019
13-Feb-17,15.75,15.80,15.41,15.45,124320
10-Feb-17,15.59,16.02,15.43,15.61,117015
9-Feb-17,15.08,15.71,15.08,15.56,191455
8-Feb-17,15.36,15.48,14.78,15.06,357529
7-Feb-17,15.84,16.06,15.41,15.49,230216
