Date,Open,High,Low,Close,Volume
20-Oct-17,63.72,65.51,63.50,64.39,1631810
19-Oct-17,63.67,63.84,62.26,63.66,1607666
18-Oct-17,64.00,65.41,63.41,63.89,1839022
17-Oct-17,61.40,64.19,61.40,63.85,1988822
16-Oct-17,59.03,63.20,58.94,61.15,2409933
13-Oct-17,58.00,61.08,57.82,59.10,1958343
12-Oct-17,57.47,58.37,56.78,57.73,1152590
11-Oct-17,55.89,57.55,55.41,57.31,1028350
10-Oct-17,55.09,55.86,55.01,55.84,561046
9-Oct-17,55.43,55.87,54.90,55.12,535920
6-Oct-17,55.49,56.18,54.84,55.55,689199
5-Oct-17,54.51,56.46,54.51,56.01,1006270
4-Oct-17,52.69,54.70,52.05,54.31,861051
3-Oct-17,52.81,53.06,51.90,52.69,899301
2-Oct-17,50.83,53.00,50.02,52.91,1216192
29-Sep-17,52.59,53.10,47.75,50.70,3364367
28-Sep-17,51.65,53.27,51.04,52.61,687675
27-Sep-17,52.80,53.24,51.86,51.89,1529636
26-Sep-17,52.88,53.40,51.90,52.40,649459
25-Sep-17,51.36,52.94,51.10,52.72,961795
22-Sep-17,51.54,52.14,50.81,51.32,1094825
21-Sep-17,54.00,54.00,51.69,51.83,1914054
20-Sep-17,54.20,55.84,53.11,53.88,4256306
19-Sep-17,59.65,59.80,58.54,59.07,925610
18-Sep-17,59.19,59.77,58.82,59.57,1000259
15-Sep-17,58.49,59.69,58.00,59.23,1501356
14-Sep-17,57.41,58.72,56.76,58.37,856935
13-Sep-17,57.64,57.95,57.19,57.74,611631
12-Sep-17,56.68,57.92,56.31,57.75,988423
11-Sep-17,56.75,57.34,56.18,56.73,899209
8-Sep-17,56.35,56.64,55.61,56.16,724232
7-Sep-17,55.00,56.71,54.50,56.43,1135349
6-Sep-17,54.93,55.74,54.01,55.17,870449
5-Sep-17,53.77,55.00,53.47,54.85,1224555
1-Sep-17,53.30,54.57,53.14,54.19,673499
31-Aug-17,50.97,53.97,50.55,53.62,1223256
30-Aug-17,49.04,51.18,48.90,50.99,955225
29-Aug-17,48.29,49.40,47.79,48.86,822034
28-Aug-17,48.66,49.00,47.80,48.93,612650
25-Aug-17,49.81,49.81,47.61,47.99,732824
24-Aug-17,48.53,49.64,48.01,49.45,677526
23-Aug-17,48.60,49.22,48.25,48.45,441869
22-Aug-17,46.52,49.00,46.47,48.88,975494
21-Aug-17,46.78,47.38,45.63,46.48,947137
18-Aug-17,47.00,47.79,46.60,46.98,673205
17-Aug-17,47.70,48.98,47.04,47.15,1389844
16-Aug-17,46.82,47.50,46.63,47.41,965689
15-Aug-17,47.23,47.31,45.75,46.53,865031
14-Aug-17,47.29,47.95,46.29,47.16,1061447
11-Aug-17,43.83,47.22,43.75,46.76,2627979
10-Aug-17,47.77,47.98,45.27,45.56,1997879
9-Aug-17,48.26,48.88,46.84,48.06,1249664
8-Aug-17,51.71,52.34,48.01,48.31,2750997
7-Aug-17,52.39,53.13,51.80,52.56,1048947
4-Aug-17,51.31,52.44,50.60,52.36,676263
3-Aug-17,50.71,51.46,50.43,51.02,764414
2-Aug-17,51.14,51.99,50.01,50.78,987857
1-Aug-17,52.91,52.91,50.77,50.94,1096870
31-Jul-17,52.42,53.83,52.28,52.40,886656
28-Jul-17,51.87,53.15,51.26,52.77,1061511
27-Jul-17,54.68,54.92,51.61,52.08,1652954
26-Jul-17,54.99,55.98,54.00,54.33,1482874
25-Jul-17,59.97,60.01,52.68,54.71,5231453
24-Jul-17,56.35,59.71,56.26,59.56,1742130
21-Jul-17,55.78,57.77,55.36,56.39,1165808
20-Jul-17,54.52,56.46,54.50,55.86,1269512
19-Jul-17,54.31,54.70,53.56,54.42,969267
18-Jul-17,52.47,54.01,52.47,53.94,1440306
17-Jul-17,51.60,53.05,51.60,53.01,1061517
14-Jul-17,51.77,52.04,51.16,51.60,567149
13-Jul-17,52.01,52.50,50.50,51.72,1114495
12-Jul-17,52.42,52.94,51.42,51.97,1002230
11-Jul-17,51.59,52.45,51.12,52.31,770151
10-Jul-17,53.83,53.83,50.74,51.50,1367328
7-Jul-17,53.46,54.37,52.95,53.43,819273
6-Jul-17,54.20,54.70,52.96,53.22,1651514
5-Jul-17,52.28,55.00,52.06,54.76,1255979
3-Jul-17,51.01,52.71,51.01,52.22,490057
30-Jun-17,51.94,52.14,50.72,50.87,1250486
29-Jun-17,53.75,53.93,51.62,51.80,1375913
28-Jun-17,53.26,54.27,52.13,53.93,927411
27-Jun-17,55.32,55.34,52.32,52.49,1040942
26-Jun-17,54.99,55.73,54.25,55.50,889204
23-Jun-17,54.53,55.35,54.13,54.97,1146325
22-Jun-17,54.25,55.38,53.66,54.72,1028635
21-Jun-17,52.08,54.45,52.08,54.20,1135567
20-Jun-17,52.11,54.05,51.90,52.15,1446821
19-Jun-17,49.68,52.17,49.45,52.13,1123712
16-Jun-17,50.60,50.60,49.22,49.68,2262233
15-Jun-17,50.52,51.08,50.03,50.25,862875
14-Jun-17,50.89,51.30,50.35,50.80,770036
13-Jun-17,50.00,50.71,49.62,50.54,868485
12-Jun-17,49.55,50.55,47.90,49.86,1180223
9-Jun-17,50.02,50.85,49.35,49.88,1326190
8-Jun-17,48.33,50.38,48.12,49.98,1197872
7-Jun-17,48.57,48.83,47.78,48.36,915113
6-Jun-17,48.10,49.23,47.78,48.31,883715
5-Jun-17,49.15,49.15,47.73,48.53,792740
2-Jun-17,48.38,49.60,47.61,49.36,1278378
1-Jun-17,46.97,48.61,46.47,48.23,1648433
31-May-17,45.29,45.89,44.56,45.79,1142772
30-May-17,46.55,46.86,44.81,44.98,828550
26-May-17,46.76,47.71,46.22,46.38,1170626
25-May-17,47.20,47.20,45.96,46.35,986823
24-May-17,45.35,47.23,44.71,46.55,1327343
23-May-17,44.86,46.05,44.05,45.14,1454799
22-May-17,43.69,44.82,43.07,44.76,1296310
19-May-17,42.29,44.15,42.12,43.55,1759506
18-May-17,43.13,44.10,41.70,42.24,1773710
17-May-17,44.48,44.50,42.99,43.16,1581890
16-May-17,43.67,45.50,43.51,44.94,2410762
15-May-17,43.20,44.77,41.05,43.90,7029750
12-May-17,45.11,47.63,44.70,47.08,1739439
11-May-17,44.30,45.21,43.26,44.92,1377854
10-May-17,46.64,47.20,42.51,44.10,4850217
9-May-17,47.68,48.20,45.79,46.80,1582618
8-May-17,47.17,47.65,45.13,45.30,1622418
5-May-17,47.85,47.89,46.47,47.72,820376
4-May-17,48.30,48.32,47.40,47.88,793174
3-May-17,47.53,48.08,46.53,47.97,752981
2-May-17,48.90,48.90,47.12,47.44,1109969
1-May-17,48.28,48.95,48.02,48.72,878249
28-Apr-17,47.85,48.53,46.64,48.19,1223759
27-Apr-17,47.13,47.82,45.92,47.56,1031284
26-Apr-17,47.76,48.00,46.08,46.96,1627010
25-Apr-17,48.00,49.50,47.09,47.88,2707598
24-Apr-17,44.60,46.08,43.77,45.74,1617704
21-Apr-17,42.91,44.38,42.73,44.26,2123443
20-Apr-17,42.08,43.13,41.86,42.91,975250
19-Apr-17,42.25,43.32,41.66,41.87,1084094
18-Apr-17,41.98,42.63,41.54,42.34,916436
17-Apr-17,42.48,43.04,41.85,42.16,976240
13-Apr-17,39.35,42.73,39.19,42.27,1738336
12-Apr-17,39.20,40.15,39.05,39.35,713376
11-Apr-17,38.64,39.42,38.42,39.14,853691
10-Apr-17,38.93,39.80,38.56,38.71,817162
7-Apr-17,37.86,38.95,37.55,38.85,809931
6-Apr-17,37.92,38.48,37.26,37.96,1282111
5-Apr-17,38.92,39.26,37.62,37.91,1141750
4-Apr-17,38.44,39.52,38.36,38.92,989857
3-Apr-17,40.63,40.63,38.32,38.45,1367162
31-Mar-17,40.42,40.84,39.88,40.20,972243
30-Mar-17,38.68,40.58,38.65,40.41,1576766
29-Mar-17,38.97,39.00,38.35,38.59,659292
28-Mar-17,39.98,40.50,38.58,38.85,1377952
27-Mar-17,38.55,39.97,37.75,39.89,1357486
24-Mar-17,38.11,39.30,38.03,38.98,1502171
23-Mar-17,38.05,39.17,37.42,37.93,1778616
22-Mar-17,38.41,38.76,37.29,38.14,1296441
21-Mar-17,40.13,40.75,38.09,38.24,1883893
20-Mar-17,40.28,40.28,38.91,40.07,1746723
17-Mar-17,41.59,41.59,40.00,40.22,3114482
16-Mar-17,40.65,42.12,39.32,41.72,2337067
15-Mar-17,40.35,41.78,40.06,41.47,1275353
14-Mar-17,41.40,41.40,40.44,40.57,1395103
13-Mar-17,41.78,43.57,40.53,41.74,2261538
10-Mar-17,41.99,43.00,39.85,41.84,7799764
9-Mar-17,47.00,47.96,44.68,45.80,1871804
8-Mar-17,46.98,48.58,46.65,47.13,2531448
7-Mar-17,49.04,49.15,46.30,46.51,2611840
6-Mar-17,53.15,53.30,50.03,50.18,3344867
3-Mar-17,53.79,56.91,53.63,54.70,3445461
2-Mar-17,49.41,54.80,49.25,53.56,4056316
1-Mar-17,49.52,50.98,48.75,49.44,1966434
28-Feb-17,48.98,50.90,46.71,49.77,3618491
27-Feb-17,44.54,47.00,44.02,46.90,1956824
24-Feb-17,43.96,45.05,43.29,44.59,1178183
23-Feb-17,45.73,45.75,43.91,44.35,1169093
22-Feb-17,46.15,46.35,45.43,45.67,878536
21-Feb-17,47.05,47.24,45.99,46.20,840145
17-Feb-17,46.54,47.01,46.01,46.94,612143
16-Feb-17,47.53,48.00,45.78,46.79,1545044
15-Feb-17,46.78,47.19,46.30,46.97,1194831
14-Feb-17,47.26,47.26,45.58,46.99,1004309
13-Feb-17,45.47,46.83,45.33,46.09,775934
10-Feb-17,46.08,46.46,45.05,45.42,759565
9-Feb-17,45.39,47.34,45.39,46.08,1342601
8-Feb-17,44.40,45.94,43.39,45.28,1256438
7-Feb-17,47.33,47.53,44.54,44.82,1059203
6-Feb-17,46.49,46.82,45.56,46.67,1198617
3-Feb-17,44.76,46.44,44.23,46.42,1426465
2-Feb-17,44.43,44.92,43.92,44.44,976700
1-Feb-17,45.40,45.58,43.71,44.39,1553904
31-Jan-17,41.12,44.61,40.61,44.50,1853390
30-Jan-17,41.90,41.92,40.47,41.81,1112777
27-Jan-17,42.02,42.58,41.47,42.41,936452
26-Jan-17,43.19,44.50,41.71,41.86,1948377
25-Jan-17,42.62,43.57,42.15,42.90,1538428
24-Jan-17,43.53,43.95,41.05,42.36,2908450
23-Jan-17,46.83,46.85,42.93,43.94,3356293
20-Jan-17,46.53,47.14,46.24,46.97,1613962
19-Jan-17,46.94,47.30,46.04,46.70,899313
18-Jan-17,46.60,47.22,45.57,47.14,1525147
17-Jan-17,47.39,47.74,45.76,46.62,2457559
13-Jan-17,49.51,50.60,47.84,48.09,1713943
12-Jan-17,48.29,50.24,48.00,49.54,1567149
11-Jan-17,50.29,52.58,47.27,48.92,3594374
10-Jan-17,48.45,50.25,47.06,50.07,1863001
9-Jan-17,48.64,49.46,47.41,48.14,2050724
6-Jan-17,49.93,50.05,47.56,47.83,3104583
5-Jan-17,49.36,49.36,45.59,47.09,3534863
4-Jan-17,47.47,50.48,47.37,49.34,1956474
3-Jan-17,48.02,48.98,46.26,47.34,1881006
30-Dec-16,48.72,49.80,47.51,47.83,1780067
29-Dec-16,51.30,51.65,48.37,48.62,2566064
28-Dec-16,54.50,54.57,51.05,51.54,2478631
27-Dec-16,56.98,57.00,54.52,55.12,3734854
23-Dec-16,51.55,53.60,51.55,53.41,1488387
22-Dec-16,52.37,53.15,51.24,51.59,1486710
21-Dec-16,52.20,52.92,51.55,52.15,2699848
20-Dec-16,49.96,53.74,49.70,51.92,3076200
19-Dec-16,49.20,50.06,48.35,49.17,2403931
16-Dec-16,50.50,51.12,48.65,49.30,3771995
15-Dec-16,47.71,50.39,46.55,49.65,2955682
14-Dec-16,45.95,47.98,44.91,47.32,1922127
13-Dec-16,45.12,46.49,45.12,46.27,1431891
12-Dec-16,44.88,46.10,44.53,45.10,1448329
9-Dec-16,46.75,47.49,45.38,45.57,1227577
8-Dec-16,45.38,46.71,44.65,46.56,1611597
7-Dec-16,46.51,46.95,43.35,46.00,2593354
6-Dec-16,46.47,47.61,45.50,47.45,1690533
5-Dec-16,43.32,46.50,42.78,46.00,2650724
2-Dec-16,41.18,43.97,40.66,43.00,1793737
1-Dec-16,43.32,43.68,40.84,41.33,2118915
30-Nov-16,45.78,46.27,43.49,43.76,1788504
29-Nov-16,46.03,47.40,45.57,46.27,1379235
28-Nov-16,45.56,46.19,44.90,45.75,1375392
25-Nov-16,45.59,46.09,44.68,46.01,510396
23-Nov-16,42.50,45.46,42.01,45.39,1267550
22-Nov-16,45.80,46.31,43.20,43.61,1731121
21-Nov-16,45.17,46.19,44.50,45.77,1295734
18-Nov-16,46.23,46.96,44.88,45.12,1628183
17-Nov-16,45.01,46.50,44.27,46.40,1865736
16-Nov-16,47.56,48.48,45.52,45.57,2725146
15-Nov-16,47.07,48.60,45.76,48.16,2521774
14-Nov-16,42.80,48.24,42.77,47.49,4290011
11-Nov-16,40.25,42.75,39.50,42.57,2375346
10-Nov-16,38.95,43.00,38.61,40.95,8026046
9-Nov-16,32.87,40.39,32.65,38.38,11199174
8-Nov-16,31.95,32.19,30.28,31.46,4427651
7-Nov-16,33.61,34.77,31.45,32.12,11749190
4-Nov-16,27.00,27.79,26.70,27.13,3064680
3-Nov-16,27.00,27.51,26.86,27.00,2997927
2-Nov-16,26.00,27.23,24.58,27.00,4769459
1-Nov-16,26.25,27.45,25.97,27.32,2050550
31-Oct-16,26.28,26.35,25.59,25.98,1569921
28-Oct-16,26.00,26.81,25.19,26.09,1806593
27-Oct-16,27.36,27.90,25.63,25.69,2314121
26-Oct-16,27.26,28.30,27.06,27.22,1365315
25-Oct-16,27.72,27.98,26.62,27.16,1526257
24-Oct-16,28.22,28.40,27.52,27.65,1082719
21-Oct-16,28.32,28.50,27.85,28.07,921532
20-Oct-16,27.77,28.99,27.72,28.59,1176791
19-Oct-16,28.63,28.73,27.77,27.82,1061172
18-Oct-16,29.25,29.79,28.52,28.62,1155535
17-Oct-16,29.27,29.41,28.38,28.87,1254823
14-Oct-16,30.26,30.48,28.69,29.00,2126109
13-Oct-16,30.29,30.82,29.47,30.10,1897720
12-Oct-16,32.33,32.66,30.51,30.65,1526831
11-Oct-16,33.99,34.40,32.01,32.33,1456657
10-Oct-16,34.81,34.94,33.95,34.32,1115647
7-Oct-16,34.51,35.05,33.30,34.26,1836847
6-Oct-16,36.30,36.30,33.12,34.26,3270812
5-Oct-16,35.66,36.65,35.52,36.38,1367914
4-Oct-16,36.21,36.53,35.37,35.66,937420
3-Oct-16,36.61,36.77,35.18,36.03,1187105
30-Sep-16,35.67,37.04,35.27,36.64,1717499
29-Sep-16,36.42,36.61,35.48,35.57,1246059
28-Sep-16,36.80,37.00,35.17,36.20,1499462
27-Sep-16,35.00,36.79,34.57,36.72,1650085
26-Sep-16,34.89,35.30,34.45,34.88,1165964
23-Sep-16,34.77,35.69,34.41,35.12,1581577
22-Sep-16,35.81,35.99,34.02,35.02,1846323
21-Sep-16,34.05,35.73,34.01,35.38,3099916
20-Sep-16,31.80,34.12,31.80,34.01,2735257
19-Sep-16,32.06,32.54,31.27,31.64,1259404
16-Sep-16,30.64,32.20,30.54,31.75,2321329
15-Sep-16,30.51,31.07,30.33,30.86,1413474
14-Sep-16,29.53,30.55,29.49,30.46,1108576
13-Sep-16,29.70,30.03,28.85,29.42,1222144
12-Sep-16,28.89,30.06,28.70,30.02,1253226
9-Sep-16,30.35,30.55,29.00,29.01,1691133
8-Sep-16,30.10,31.12,29.77,30.83,2286593
7-Sep-16,29.33,31.49,29.00,30.11,2048818
6-Sep-16,29.55,29.85,28.92,29.37,1646868
2-Sep-16,30.11,30.50,29.38,29.46,1600895
1-Sep-16,29.72,30.21,29.31,30.04,1621223
31-Aug-16,29.69,30.72,29.32,29.65,5770680
30-Aug-16,30.25,30.81,29.62,29.69,1567592
29-Aug-16,30.86,30.90,30.05,30.32,1429285
