Date,Open,High,Low,Close,Volume
20-Oct-17,15.12,15.12,14.67,15.02,1268628
19-Oct-17,14.95,15.17,14.75,14.98,2154509
18-Oct-17,15.53,16.27,14.94,15.04,1443201
17-Oct-17,15.40,15.70,15.25,15.40,3470771
16-Oct-17,15.62,15.84,15.40,15.47,924053
13-Oct-17,15.56,15.60,15.24,15.57,931427
12-Oct-17,15.82,15.97,15.61,15.62,1105483
11-Oct-17,15.96,16.21,15.82,15.95,919377
10-Oct-17,16.68,16.70,15.88,15.92,1325136
9-Oct-17,17.39,17.50,16.56,16.64,893995
6-Oct-17,17.05,17.52,17.00,17.41,999024
5-Oct-17,16.85,17.66,16.71,17.21,2494237
4-Oct-17,16.19,16.58,15.87,16.54,610316
3-Oct-17,16.40,16.50,15.96,16.28,982971
2-Oct-17,15.89,16.38,15.67,16.36,1440745
29-Sep-17,15.87,16.04,15.76,15.77,531291
28-Sep-17,16.12,16.22,15.71,15.87,1219193
27-Sep-17,15.92,16.30,15.81,16.13,891129
26-Sep-17,16.14,16.19,15.64,15.82,793860
25-Sep-17,15.79,16.19,15.64,16.13,783544
22-Sep-17,15.55,15.87,15.46,15.84,876853
21-Sep-17,15.43,15.71,15.29,15.52,677064
20-Sep-17,15.31,15.57,15.19,15.42,1017986
19-Sep-17,15.91,15.91,15.18,15.20,1145742
18-Sep-17,16.22,16.32,15.74,15.85,1147390
15-Sep-17,16.07,16.29,15.80,16.24,1767770
14-Sep-17,15.81,16.09,15.66,16.04,836431
13-Sep-17,15.18,16.32,15.17,15.80,2932678
12-Sep-17,15.36,15.64,15.06,15.20,1317968
11-Sep-17,15.64,15.84,15.30,15.36,774027
8-Sep-17,15.78,15.82,15.34,15.48,1485497
7-Sep-17,15.84,15.93,15.58,15.80,353972
6-Sep-17,16.05,16.12,15.67,15.83,560920
5-Sep-17,16.08,16.35,15.95,16.08,1007235
1-Sep-17,16.02,16.17,15.11,16.16,750433
31-Aug-17,15.61,16.02,15.30,15.95,1037626
30-Aug-17,15.40,15.64,15.23,15.51,661124
29-Aug-17,15.17,15.59,15.04,15.37,936633
28-Aug-17,15.09,15.39,14.74,15.26,715264
25-Aug-17,15.33,15.42,14.88,14.92,766517
24-Aug-17,15.14,15.43,15.04,15.34,505405
23-Aug-17,14.93,15.16,14.81,15.10,605096
22-Aug-17,14.50,15.20,14.35,15.04,1524510
21-Aug-17,15.09,15.49,14.16,14.41,2283778
18-Aug-17,14.29,14.63,14.18,14.50,1294448
17-Aug-17,14.91,14.92,14.46,14.50,1050492
16-Aug-17,14.97,15.16,14.90,14.92,706849
15-Aug-17,15.02,15.20,14.80,14.86,716184
14-Aug-17,14.97,15.15,14.94,15.00,621284
11-Aug-17,15.05,15.24,14.45,14.87,1162630
10-Aug-17,14.98,15.36,14.84,14.99,1598589
9-Aug-17,14.96,15.16,14.89,15.09,1125022
8-Aug-17,15.05,15.43,14.97,15.01,1686995
7-Aug-17,15.56,15.56,14.94,15.05,2710787
4-Aug-17,16.55,16.59,15.35,15.48,2871945
3-Aug-17,17.15,17.22,16.44,16.64,2123280
2-Aug-17,17.59,17.89,17.19,17.76,1113771
1-Aug-17,17.78,17.84,17.43,17.50,690270
31-Jul-17,17.64,17.98,17.60,17.75,1788731
28-Jul-17,16.62,17.69,16.56,17.60,1750832
27-Jul-17,17.17,17.22,16.60,16.65,1015692
26-Jul-17,17.05,17.26,16.95,17.10,642452
25-Jul-17,17.13,17.16,16.88,17.04,1210260
24-Jul-17,17.14,17.37,16.81,17.11,907347
21-Jul-17,17.00,17.33,16.79,17.22,2810246
20-Jul-17,17.80,18.01,16.74,17.00,6408355
19-Jul-17,18.90,19.04,18.55,18.55,524014
18-Jul-17,18.96,19.16,18.44,18.78,763220
17-Jul-17,19.10,19.33,18.97,18.99,342656
14-Jul-17,19.31,19.54,18.98,19.06,400995
13-Jul-17,19.29,19.56,19.00,19.33,711502
12-Jul-17,19.32,19.44,19.08,19.31,415721
11-Jul-17,18.94,19.30,18.90,19.24,481588
10-Jul-17,19.14,19.26,18.87,18.90,393104
7-Jul-17,19.54,19.64,19.08,19.19,482263
6-Jul-17,19.20,19.79,18.25,19.43,633531
5-Jul-17,18.99,19.38,18.67,19.34,2569601
