Date,Open,High,Low,Close,Volume
20-Oct-17,357.48,374.89,356.90,369.58,2021021
19-Oct-17,355.42,357.57,350.00,357.46,1061736
18-Oct-17,357.27,358.25,353.89,354.37,676923
17-Oct-17,356.01,356.57,353.26,355.00,878700
16-Oct-17,358.23,361.68,352.91,353.55,1223084
13-Oct-17,363.00,365.77,361.70,362.29,714554
12-Oct-17,363.89,364.93,361.28,362.53,842875
11-Oct-17,357.29,360.52,356.12,360.29,537761
10-Oct-17,356.91,357.44,352.80,354.99,568290
9-Oct-17,363.54,363.54,353.88,354.61,861534
6-Oct-17,362.09,367.50,360.20,361.47,889950
5-Oct-17,364.14,364.85,358.00,363.23,1176600
4-Oct-17,359.20,363.33,358.73,361.63,836499
3-Oct-17,354.88,358.67,354.22,357.96,1001124
2-Oct-17,349.70,354.90,349.19,353.49,855471
29-Sep-17,342.72,349.58,342.09,348.63,684810
28-Sep-17,341.45,343.07,340.21,341.96,535749
27-Sep-17,339.58,341.95,339.51,341.36,625026
26-Sep-17,340.65,342.23,337.80,338.88,524322
25-Sep-17,344.93,344.93,337.85,339.11,685392
22-Sep-17,343.50,344.29,340.73,343.84,495123
21-Sep-17,349.39,349.60,343.25,343.40,721089
20-Sep-17,348.45,350.67,346.67,348.79,487584
19-Sep-17,347.62,351.00,346.88,348.49,604140
18-Sep-17,347.06,349.64,345.52,348.76,740838
15-Sep-17,346.51,347.67,345.42,346.01,1110129
14-Sep-17,346.92,348.36,345.85,346.83,642789
13-Sep-17,347.39,347.96,345.34,347.63,423456
12-Sep-17,348.19,349.41,347.27,348.33,590535
11-Sep-17,347.72,351.33,345.37,348.49,1111317
8-Sep-17,344.28,351.59,341.67,347.53,940224
7-Sep-17,340.80,345.95,340.76,345.49,523317
6-Sep-17,341.26,343.00,337.01,340.79,660819
5-Sep-17,335.98,342.03,335.67,340.48,1039824
1-Sep-17,333.97,336.21,332.46,335.58,536148
31-Aug-17,332.00,335.22,330.79,334.89,1382544
30-Aug-17,327.37,332.16,327.00,332.01,636747
29-Aug-17,327.23,329.68,325.67,329.13,822288
28-Aug-17,327.33,329.56,326.86,328.67,554226
25-Aug-17,330.35,330.99,325.45,326.21,821181
24-Aug-17,328.99,330.54,327.73,330.19,693438
23-Aug-17,331.27,331.27,327.73,328.89,617763
22-Aug-17,327.63,332.67,327.57,332.20,951714
21-Aug-17,327.35,328.33,324.80,327.57,1155864
18-Aug-17,324.51,330.77,322.86,328.10,1155480
17-Aug-17,329.25,331.00,324.07,324.37,970452
16-Aug-17,328.69,330.51,327.00,329.63,841503
15-Aug-17,322.41,330.15,321.67,328.46,1763607
14-Aug-17,317.00,322.42,317.00,321.52,980133
11-Aug-17,310.09,314.67,310.09,314.08,724716
10-Aug-17,313.16,314.36,309.30,309.79,763101
9-Aug-17,311.46,315.25,310.33,314.48,793776
8-Aug-17,311.05,312.62,309.83,311.46,683529
7-Aug-17,309.90,312.38,309.21,312.21,908079
4-Aug-17,312.74,312.74,307.89,310.36,974697
3-Aug-17,309.78,313.12,309.36,311.39,844956
2-Aug-17,313.13,313.79,309.00,310.99,909753
1-Aug-17,312.99,315.00,311.38,313.66,814587
31-Jul-17,314.50,315.33,311.13,312.75,1141902
28-Jul-17,310.17,314.33,309.02,313.73,1461003
27-Jul-17,314.69,315.33,307.00,310.62,1317138
26-Jul-17,315.36,316.72,313.15,314.64,798273
25-Jul-17,317.24,317.89,313.72,314.97,1069695
24-Jul-17,308.93,317.80,308.93,316.39,1505544
21-Jul-17,321.64,322.66,308.57,309.16,3073830
20-Jul-17,323.01,324.89,320.92,323.91,1992969
19-Jul-17,317.60,322.48,317.55,322.26,1465299
18-Jul-17,316.09,316.86,313.46,315.55,960816
17-Jul-17,318.31,318.87,314.68,316.03,1223565
14-Jul-17,313.47,318.03,313.47,317.25,852873
13-Jul-17,317.19,317.73,312.62,312.85,932760
12-Jul-17,316.67,318.52,315.72,316.11,822870
11-Jul-17,316.47,316.47,312.38,314.16,986862
10-Jul-17,314.50,316.94,312.67,315.75,964770
7-Jul-17,312.81,316.06,312.54,314.76,695748
6-Jul-17,310.83,313.31,309.67,311.60,651735
5-Jul-17,309.38,313.43,309.38,312.70,1141572
3-Jul-17,313.65,313.85,306.86,307.22,488331
30-Jun-17,311.62,313.30,307.50,311.79,748941
29-Jun-17,314.91,314.91,307.86,310.17,940317
28-Jun-17,312.92,316.03,310.66,315.44,1081248
27-Jun-17,313.76,314.64,310.02,312.00,1152549
26-Jun-17,317.45,318.26,312.55,313.48,925392
23-Jun-17,316.96,318.13,314.65,316.31,2405859
22-Jun-17,318.27,321.18,316.83,318.05,815973
21-Jun-17,314.09,318.13,313.67,317.76,1085781
20-Jun-17,312.90,316.33,312.74,313.45,1107678
19-Jun-17,306.30,312.44,306.16,312.13,1225398
16-Jun-17,300.32,305.86,300.19,304.95,1724802
15-Jun-17,300.25,300.56,297.35,299.65,979944
14-Jun-17,305.89,306.00,300.97,301.94,955578
13-Jun-17,301.74,305.10,300.12,302.74,908733
12-Jun-17,303.67,304.80,292.17,301.10,1955838
9-Jun-17,311.60,311.77,302.07,305.45,1056237
8-Jun-17,311.67,312.38,308.83,309.95,808257
7-Jun-17,309.63,310.91,308.07,310.67,716625
6-Jun-17,306.05,309.91,306.03,308.12,576729
5-Jun-17,307.09,308.65,305.82,307.34,655800
2-Jun-17,307.74,309.17,306.42,308.23,731178
1-Jun-17,305.03,306.43,303.94,306.36,759654
31-May-17,305.95,307.28,303.54,304.89,937935
30-May-17,302.03,305.16,301.03,304.81,930303
26-May-17,304.48,304.92,302.75,303.45,626841
25-May-17,301.29,303.80,300.01,302.52,599268
24-May-17,299.07,300.67,297.54,299.96,806283
23-May-17,299.18,300.70,297.67,299.01,922647
22-May-17,292.33,299.12,292.03,297.35,1332891
19-May-17,287.71,291.51,286.78,290.11,1245849
18-May-17,284.27,287.13,283.64,286.66,796329
17-May-17,285.09,286.62,283.54,283.66,1169391
16-May-17,285.78,288.25,284.49,286.49,906342
15-May-17,280.62,283.77,280.62,283.56,608913
12-May-17,282.09,282.77,281.11,281.24,632970
11-May-17,281.31,282.27,279.40,281.64,697053
10-May-17,281.37,281.67,279.58,281.02,942690
9-May-17,279.81,281.78,279.09,281.06,930201
8-May-17,283.33,283.88,279.67,280.26,1347450
5-May-17,283.13,283.67,281.92,283.51,491880
4-May-17,282.10,282.84,281.59,282.41,541962
3-May-17,281.58,282.58,280.29,281.78,544086
2-May-17,279.07,281.82,279.07,281.59,619968
1-May-17,279.53,280.66,278.79,279.86,735618
28-Apr-17,278.89,281.49,277.59,278.62,1170795
27-Apr-17,278.21,280.25,278.01,278.85,882366
26-Apr-17,275.31,278.66,275.17,278.01,934941
25-Apr-17,274.07,277.68,273.48,275.75,1458867
24-Apr-17,272.33,274.68,271.06,274.06,1136883
21-Apr-17,270.56,271.52,269.10,271.14,1233783
20-Apr-17,268.83,271.80,267.62,271.48,1183824
19-Apr-17,266.67,272.40,263.66,269.23,3396222
18-Apr-17,256.00,256.00,251.13,253.11,1765737
17-Apr-17,256.31,257.75,255.11,256.09,1159938
