Date,Open,High,Low,Close,Volume
20-Oct-17,145.00,145.97,143.30,144.05,299602
19-Oct-17,140.88,145.51,139.88,145.00,729574
18-Oct-17,140.33,141.91,139.58,140.46,394302
17-Oct-17,140.47,140.89,138.18,140.50,510695
16-Oct-17,141.08,143.16,140.11,140.50,263134
13-Oct-17,141.73,141.89,139.22,141.38,449020
12-Oct-17,142.28,143.82,141.11,141.60,447658
11-Oct-17,143.24,144.53,142.04,142.57,466147
10-Oct-17,144.92,145.55,143.33,143.57,527381
9-Oct-17,146.99,147.87,144.48,145.31,268173
6-Oct-17,148.62,149.81,146.28,146.47,351047
5-Oct-17,150.40,150.79,148.53,149.31,257862
4-Oct-17,150.85,151.28,149.86,150.39,256799
3-Oct-17,150.42,151.45,147.34,149.61,431913
2-Oct-17,146.51,150.58,145.67,150.13,430594
29-Sep-17,148.27,148.99,146.08,146.25,308632
28-Sep-17,149.47,149.73,147.07,148.13,381279
27-Sep-17,149.01,149.78,147.99,149.16,316030
26-Sep-17,149.55,151.41,147.35,148.16,266174
25-Sep-17,147.63,150.63,146.96,149.49,350600
22-Sep-17,147.76,148.51,146.91,147.89,187044
21-Sep-17,148.17,148.67,146.99,147.78,169065
20-Sep-17,150.00,150.55,145.83,148.07,604483
19-Sep-17,152.26,153.23,150.94,151.18,320752
18-Sep-17,153.94,155.85,150.99,152.65,625880
15-Sep-17,149.78,151.78,149.20,151.48,439864
14-Sep-17,152.00,152.86,150.39,150.72,400967
13-Sep-17,154.67,155.09,152.06,152.68,326748
12-Sep-17,153.52,155.82,153.16,155.50,379022
11-Sep-17,153.99,154.74,151.45,153.21,383711
8-Sep-17,149.67,152.72,149.67,152.28,291080
7-Sep-17,147.68,151.33,147.23,150.79,368950
6-Sep-17,148.63,149.52,146.87,148.60,331578
5-Sep-17,147.69,149.36,146.02,147.62,400324
1-Sep-17,148.90,150.14,146.86,147.57,444049
31-Aug-17,146.00,149.54,145.69,149.36,512648
30-Aug-17,146.40,146.60,144.59,145.94,424799
29-Aug-17,146.59,146.71,143.66,145.86,470685
28-Aug-17,146.42,146.69,144.71,146.09,297724
25-Aug-17,148.40,148.40,145.34,146.00,477554
24-Aug-17,146.94,149.17,146.26,148.32,432101
23-Aug-17,146.43,146.98,144.48,146.50,247456
22-Aug-17,143.27,147.54,143.27,146.74,784940
21-Aug-17,144.76,145.66,142.00,142.62,424006
18-Aug-17,140.23,144.57,139.28,144.40,1596250
17-Aug-17,146.73,148.35,145.85,146.01,285344
16-Aug-17,146.83,147.99,146.01,147.40,449156
15-Aug-17,144.38,149.66,144.09,146.63,362617
14-Aug-17,143.22,144.45,141.92,143.97,462228
11-Aug-17,142.36,146.05,141.76,142.71,476916
10-Aug-17,141.94,146.47,141.54,143.66,579095
9-Aug-17,142.30,145.24,140.60,142.90,1992004
8-Aug-17,156.16,157.14,151.76,152.29,573327
7-Aug-17,155.62,157.35,154.25,155.56,405902
4-Aug-17,154.80,156.53,153.63,155.60,366705
3-Aug-17,149.16,155.00,149.16,154.41,560619
2-Aug-17,150.97,151.00,148.41,150.41,362550
1-Aug-17,153.77,154.58,149.60,150.97,400611
31-Jul-17,157.54,157.78,152.49,153.61,513047
28-Jul-17,158.73,158.88,156.09,156.80,340685
