Date,Open,High,Low,Close,Volume
20-Oct-17,142.38,143.62,141.83,142.40,5634523
19-Oct-17,140.71,142.98,140.54,142.04,9181291
18-Oct-17,140.79,141.58,140.07,140.68,6827734
17-Oct-17,137.67,141.12,137.06,140.79,11717348
16-Oct-17,136.45,137.26,135.54,136.12,5120140
13-Oct-17,136.60,137.42,136.34,136.43,4106625
12-Oct-17,136.34,137.52,136.02,136.83,5172806
11-Oct-17,134.88,136.39,134.37,136.04,1023583
10-Oct-17,133.56,134.13,132.92,133.90,4184588
9-Oct-17,133.66,133.82,133.17,133.45,3751097
6-Oct-17,133.00,133.25,132.48,133.22,2469506
5-Oct-17,132.89,133.31,132.36,133.19,3741108
4-Oct-17,132.40,133.18,132.10,132.89,3589047
3-Oct-17,131.65,132.40,131.36,132.10,3900761
2-Oct-17,130.16,131.33,130.02,131.22,4492936
29-Sep-17,129.58,130.47,129.05,130.01,5736925
28-Sep-17,129.91,130.27,129.29,129.47,3992740
27-Sep-17,131.00,131.09,129.43,129.75,5761051
26-Sep-17,131.50,131.94,130.82,130.94,4516193
25-Sep-17,131.47,131.76,130.83,131.17,6017418
22-Sep-17,131.99,132.39,131.27,131.39,4334862
21-Sep-17,133.31,133.82,131.38,131.75,6051811
20-Sep-17,133.25,134.29,132.34,133.22,8705535
19-Sep-17,135.02,135.79,134.35,135.22,4903837
18-Sep-17,134.44,135.77,134.11,135.38,5261593
15-Sep-17,134.79,135.45,134.18,134.45,15522011
14-Sep-17,132.14,134.47,131.99,134.18,6274510
13-Sep-17,132.67,133.75,131.85,132.45,4679486
12-Sep-17,133.83,133.88,131.93,132.63,5465190
11-Sep-17,131.37,133.34,131.02,133.21,5724233
8-Sep-17,132.00,132.34,130.87,130.98,4854414
7-Sep-17,130.86,132.52,130.25,132.19,3800234
6-Sep-17,130.54,131.00,130.21,130.67,5601903
5-Sep-17,130.72,131.18,129.72,129.90,5154935
1-Sep-17,132.60,132.65,130.94,131.03,3820814
31-Aug-17,131.39,132.50,131.25,132.37,7407143
30-Aug-17,132.00,132.00,130.90,131.07,5430781
29-Aug-17,131.57,132.45,131.30,132.21,3277875
28-Aug-17,131.68,132.12,131.49,131.74,5349181
25-Aug-17,131.91,132.56,131.62,131.68,4133347
24-Aug-17,132.82,133.08,132.27,132.89,5398432
23-Aug-17,134.43,134.49,132.65,132.80,5129938
22-Aug-17,133.27,134.79,132.90,134.70,4150284
21-Aug-17,132.28,133.65,132.19,133.45,4659993
18-Aug-17,132.67,133.78,132.38,132.63,4792761
17-Aug-17,134.18,134.74,133.03,133.04,5741389
16-Aug-17,134.08,134.97,133.86,134.17,4469937
15-Aug-17,133.85,133.94,133.20,133.38,3931763
14-Aug-17,134.20,134.37,132.87,133.48,3041064
11-Aug-17,133.64,134.49,132.75,133.10,4270571
10-Aug-17,133.04,133.85,132.37,133.09,5607853
9-Aug-17,132.81,133.41,132.36,133.23,6332347
8-Aug-17,132.50,132.80,131.40,132.27,5535804
7-Aug-17,133.09,133.48,132.51,132.86,3010828
4-Aug-17,133.74,134.01,132.80,133.18,3192805
3-Aug-17,131.91,133.40,131.51,133.35,4327314
2-Aug-17,132.08,132.50,131.50,132.16,4032147
1-Aug-17,133.17,133.35,132.28,132.51,3837566
31-Jul-17,-,133.58,-,132.72,5440788
28-Jul-17,131.14,131.99,130.52,131.85,4970860
27-Jul-17,130.85,131.15,129.57,130.83,5838110
26-Jul-17,131.66,132.24,130.75,130.95,5382182
25-Jul-17,133.74,133.85,131.45,131.88,6262907
24-Jul-17,134.99,135.16,132.85,133.01,8306671
21-Jul-17,135.33,136.27,135.10,135.31,6773546
20-Jul-17,135.73,137.08,135.62,136.57,6088612
19-Jul-17,134.84,135.41,134.52,135.21,5503298
18-Jul-17,131.62,134.95,131.08,134.46,10255960
17-Jul-17,132.71,132.93,131.75,132.15,4939384
14-Jul-17,132.00,133.00,131.74,132.60,4383133
13-Jul-17,132.10,132.22,130.99,131.86,4424422
12-Jul-17,132.04,132.89,131.77,132.23,5053248
11-Jul-17,131.43,131.79,130.48,131.23,3733072
10-Jul-17,132.74,132.87,131.23,131.55,4019587
7-Jul-17,132.91,133.00,131.69,132.54,4994080
6-Jul-17,133.61,133.97,132.40,132.52,4282244
5-Jul-17,132.98,134.06,132.42,133.64,4302669
3-Jul-17,132.79,133.32,132.65,132.90,2930998
30-Jun-17,132.70,133.20,132.28,132.29,5264416
29-Jun-17,133.40,133.73,132.31,132.64,5749952
28-Jun-17,135.95,136.20,133.57,133.82,6557871
27-Jun-17,136.50,136.73,134.99,135.01,6120536
26-Jun-17,136.48,136.90,136.20,136.34,5561844
23-Jun-17,135.45,136.51,135.32,136.43,9007077
22-Jun-17,135.45,137.00,135.27,136.05,7311037
21-Jun-17,134.29,135.11,134.02,134.91,5841053
20-Jun-17,133.90,134.76,133.90,134.22,5201174
19-Jun-17,134.15,134.68,133.49,134.07,7488704
16-Jun-17,133.72,134.60,133.04,134.35,12639630
15-Jun-17,132.00,133.35,131.80,133.04,5264996
14-Jun-17,132.51,133.56,132.51,132.77,7329376
13-Jun-17,131.75,132.73,131.40,132.02,5733817
12-Jun-17,131.64,132.04,131.09,131.82,8020951
9-Jun-17,130.37,131.70,130.31,131.53,5993031
8-Jun-17,131.00,131.40,129.96,130.55,8101669
7-Jun-17,131.00,131.48,130.58,130.75,5765471
6-Jun-17,130.18,131.33,130.03,130.83,5619093
5-Jun-17,129.97,130.70,129.80,130.36,4634663
2-Jun-17,129.05,130.14,128.83,130.08,6562557
1-Jun-17,128.32,128.78,128.12,128.78,5790899
31-May-17,127.35,128.80,127.35,128.25,8813511
30-May-17,126.70,127.39,126.19,127.11,3665353
26-May-17,127.23,127.67,126.83,126.92,4005234
25-May-17,126.74,127.62,126.33,127.53,5294263
