Date,Open,High,Low,Close,Volume
20-Oct-17,43.27,44.10,42.70,43.71,1893297
19-Oct-17,44.15,44.50,42.35,43.40,1624591
18-Oct-17,43.30,43.92,42.82,43.08,1038149
17-Oct-17,42.94,44.65,42.78,43.04,2370056
16-Oct-17,42.75,44.82,42.35,42.88,1166040
13-Oct-17,43.11,43.36,42.14,42.90,1157387
12-Oct-17,42.76,43.98,42.25,43.08,1375555
11-Oct-17,43.31,43.37,42.73,43.00,1123483
10-Oct-17,43.79,43.91,42.60,43.19,1308722
9-Oct-17,43.63,44.24,42.57,43.68,1183960
6-Oct-17,44.70,45.08,43.17,43.61,1605085
5-Oct-17,44.91,45.40,43.70,44.72,1111498
4-Oct-17,45.00,45.60,44.50,44.91,892780
3-Oct-17,45.92,46.00,44.57,45.10,1178889
2-Oct-17,45.15,46.19,44.50,45.74,2233291
29-Sep-17,44.50,45.20,43.96,44.86,1318651
28-Sep-17,42.58,44.95,42.30,44.45,2191878
27-Sep-17,42.33,43.15,41.64,42.68,1650192
26-Sep-17,42.63,43.18,41.40,42.05,1985311
25-Sep-17,44.95,45.45,41.75,42.33,2963246
22-Sep-17,43.13,47.03,42.90,45.14,9955939
21-Sep-17,43.50,45.25,41.35,41.62,5357582
20-Sep-17,43.63,45.38,43.63,45.21,1612971
19-Sep-17,44.36,44.40,43.51,43.80,1220705
18-Sep-17,44.18,45.20,43.87,44.65,1366048
15-Sep-17,44.20,45.38,43.83,44.30,3335682
14-Sep-17,44.90,47.00,44.16,44.61,4713333
13-Sep-17,42.69,45.75,42.02,45.32,4450077
12-Sep-17,42.20,43.20,41.75,42.15,2140729
11-Sep-17,42.25,42.35,40.26,41.91,2193266
8-Sep-17,42.48,42.97,41.81,41.85,1850028
7-Sep-17,42.10,44.33,41.28,42.61,4564991
6-Sep-17,43.22,43.60,40.11,41.41,4484098
5-Sep-17,40.63,43.14,40.63,42.68,3201795
1-Sep-17,41.37,42.71,40.42,41.92,4115671
31-Aug-17,41.12,43.10,40.05,41.27,7487307
30-Aug-17,44.01,44.25,39.84,40.29,13200189
29-Aug-17,36.61,44.60,36.50,43.81,17893213
28-Aug-17,36.11,37.50,35.20,36.48,13709293
25-Aug-17,30.32,31.21,30.17,30.73,2162591
24-Aug-17,28.67,30.60,28.17,30.32,1557289
23-Aug-17,27.38,28.62,27.15,28.57,1649963
22-Aug-17,26.99,27.89,26.87,27.65,1040150
21-Aug-17,26.89,27.25,26.72,26.83,674853
18-Aug-17,27.00,27.20,26.40,26.99,788677
17-Aug-17,27.75,28.08,26.98,27.06,1214907
16-Aug-17,28.44,28.58,27.54,27.66,1147596
15-Aug-17,28.51,29.05,27.77,28.37,952590
14-Aug-17,28.64,28.95,28.01,28.22,895202
11-Aug-17,28.02,28.73,27.73,28.49,722929
10-Aug-17,29.18,29.30,27.64,27.97,1065294
9-Aug-17,28.60,29.57,28.43,29.40,905231
8-Aug-17,29.85,30.05,28.60,28.90,1214115
7-Aug-17,29.94,30.77,29.76,30.39,1182449
4-Aug-17,28.75,30.08,27.25,29.88,1898914
3-Aug-17,29.07,29.30,28.60,29.07,1129701
2-Aug-17,28.32,29.02,27.91,28.98,1286176
1-Aug-17,28.67,28.88,27.98,28.27,1442328
31-Jul-17,28.82,29.16,28.23,28.43,916893
28-Jul-17,28.48,29.11,28.02,28.78,1128225
27-Jul-17,30.51,30.51,28.51,28.66,1580497
26-Jul-17,30.09,30.74,29.99,30.25,918973
25-Jul-17,30.11,30.56,29.86,30.02,1260863
24-Jul-17,29.61,30.40,29.52,30.05,1120024
21-Jul-17,28.96,29.79,28.85,29.69,1380680
20-Jul-17,28.25,29.40,28.25,29.04,1655356
19-Jul-17,27.96,28.63,27.77,28.23,1811815
18-Jul-17,27.26,27.66,26.74,27.62,1531508
17-Jul-17,27.40,27.98,27.12,27.31,1063502
14-Jul-17,27.34,27.75,26.87,27.26,2433901
13-Jul-17,28.50,28.55,27.64,28.06,1954155
