Date,Open,High,Low,Close,Volume
20-Oct-17,143.89,144.86,142.83,143.93,132753
19-Oct-17,143.26,144.30,142.52,143.35,179511
18-Oct-17,142.13,144.26,141.78,144.16,151048
17-Oct-17,141.91,142.88,141.60,142.15,117743
16-Oct-17,143.47,143.66,140.78,141.74,154923
13-Oct-17,143.49,143.88,142.12,143.04,182798
12-Oct-17,142.90,143.86,141.85,143.36,171587
11-Oct-17,143.85,144.34,141.72,143.19,204066
10-Oct-17,142.41,143.26,140.91,143.21,218520
9-Oct-17,141.75,143.25,141.09,142.38,159713
6-Oct-17,139.90,141.94,139.78,141.61,186725
5-Oct-17,139.90,140.64,138.77,140.14,325358
4-Oct-17,137.85,139.00,136.91,138.63,149092
3-Oct-17,136.45,137.34,135.16,137.17,191387
2-Oct-17,136.89,136.98,134.55,136.01,201125
29-Sep-17,134.91,136.99,134.47,136.15,247617
28-Sep-17,134.50,134.93,132.73,134.70,282034
27-Sep-17,135.23,136.13,134.27,134.32,232669
26-Sep-17,136.27,136.78,134.32,134.85,157814
25-Sep-17,135.92,137.63,135.48,135.86,227480
22-Sep-17,135.84,136.05,134.00,135.55,147759
21-Sep-17,136.38,136.82,135.37,135.81,517393
20-Sep-17,136.28,136.53,134.72,136.38,145468
19-Sep-17,135.84,136.22,134.99,136.18,383172
18-Sep-17,134.47,136.19,134.47,135.15,265285
15-Sep-17,135.64,136.33,133.88,134.70,612203
14-Sep-17,137.60,137.68,134.83,135.30,416502
13-Sep-17,137.91,138.49,137.33,137.94,334107
12-Sep-17,135.81,137.97,134.12,137.92,433493
11-Sep-17,136.70,137.97,135.44,136.39,201871
8-Sep-17,135.09,137.06,133.88,136.68,235855
7-Sep-17,134.05,135.76,133.18,135.48,301105
6-Sep-17,131.22,133.98,130.15,133.55,397708
5-Sep-17,130.00,132.49,128.38,130.87,286263
1-Sep-17,129.56,129.78,127.60,128.93,135740
31-Aug-17,127.39,129.61,126.31,128.87,266590
30-Aug-17,126.90,127.10,125.56,126.93,158115
29-Aug-17,123.22,127.46,123.11,126.89,272495
28-Aug-17,124.64,125.40,123.32,124.19,254481
25-Aug-17,127.10,127.10,123.83,124.05,192653
24-Aug-17,127.32,127.32,125.24,126.84,209167
23-Aug-17,127.50,128.30,126.57,126.88,170091
22-Aug-17,127.25,128.19,126.16,127.97,181514
21-Aug-17,126.17,127.49,125.42,126.55,148888
18-Aug-17,125.91,126.93,125.02,126.26,172896
17-Aug-17,126.99,128.71,126.38,126.62,334778
16-Aug-17,127.20,128.20,126.64,127.54,152006
15-Aug-17,127.00,127.78,126.15,127.02,184894
14-Aug-17,126.00,128.08,125.13,126.92,347130
11-Aug-17,125.10,125.89,122.46,125.12,259011
10-Aug-17,126.01,127.06,124.74,124.98,264155
9-Aug-17,128.11,128.92,125.71,126.97,571468
8-Aug-17,125.00,129.94,124.90,128.97,912727
7-Aug-17,122.08,123.20,121.22,121.83,224649
4-Aug-17,122.27,122.59,120.27,122.06,132961
3-Aug-17,121.48,122.72,120.28,121.86,93221
2-Aug-17,121.69,122.19,120.34,121.38,91420
1-Aug-17,121.47,121.90,119.55,121.58,157262
31-Jul-17,120.98,121.72,118.44,120.91,113999
28-Jul-17,121.15,122.09,120.36,121.26,93870
27-Jul-17,123.78,123.81,120.40,121.65,163742
26-Jul-17,123.57,124.37,122.27,123.54,128274
25-Jul-17,124.34,124.64,122.35,123.30,235304
24-Jul-17,123.35,124.70,122.07,123.74,227130
21-Jul-17,121.70,123.13,120.11,123.05,220092
20-Jul-17,120.65,122.62,119.22,120.69,201509
19-Jul-17,116.96,120.80,116.59,120.49,255377
18-Jul-17,116.68,118.37,116.53,116.80,171308
17-Jul-17,118.77,119.53,116.44,116.75,162024
14-Jul-17,119.29,120.27,118.52,118.65,143130
13-Jul-17,117.47,119.59,115.40,119.24,234952
12-Jul-17,118.19,118.24,116.24,117.58,154277
11-Jul-17,118.42,118.91,116.52,117.78,194105
10-Jul-17,119.90,120.92,118.02,118.20,141356
7-Jul-17,119.76,120.46,118.92,119.80,130397
6-Jul-17,121.07,121.07,118.12,119.70,186369
5-Jul-17,120.71,122.33,119.08,121.59,253358
3-Jul-17,121.86,122.35,119.85,120.87,77448
30-Jun-17,121.60,122.54,120.17,121.40,155471
29-Jun-17,121.39,121.63,119.38,121.42,174902
28-Jun-17,119.85,121.50,117.69,121.37,214756
27-Jun-17,122.23,122.68,118.98,119.16,249307
26-Jun-17,124.42,124.42,121.75,122.31,155672
23-Jun-17,122.83,123.93,121.77,123.87,444031
22-Jun-17,120.99,123.98,120.44,123.13,598206
21-Jun-17,116.19,120.83,115.73,120.20,633458
20-Jun-17,115.76,116.85,115.17,115.71,211087
19-Jun-17,115.60,116.48,114.79,115.76,247044
16-Jun-17,114.06,115.75,114.06,114.89,426552
15-Jun-17,115.11,115.22,113.52,114.58,123636
14-Jun-17,114.86,116.17,114.28,115.69,167924
13-Jun-17,115.38,115.67,113.80,115.00,142306
12-Jun-17,113.59,116.30,113.44,114.76,632044
9-Jun-17,114.39,115.76,112.90,114.38,292013
8-Jun-17,114.92,114.93,113.31,114.09,166157
7-Jun-17,112.32,115.00,111.86,115.00,224928
6-Jun-17,111.92,114.09,111.08,112.13,108726
5-Jun-17,111.89,112.80,110.35,111.99,132068
2-Jun-17,109.45,111.78,109.01,111.52,163831
1-Jun-17,108.63,110.73,107.64,110.17,261633
31-May-17,109.52,109.89,107.76,108.28,359121
30-May-17,110.00,110.83,109.03,109.18,202705
26-May-17,113.01,113.20,109.62,110.19,217861
25-May-17,114.02,114.65,112.79,113.50,161405
24-May-17,113.83,114.86,113.30,113.38,172616
23-May-17,113.82,114.70,112.82,113.82,109682
22-May-17,113.84,114.46,112.62,113.44,165126
19-May-17,113.80,114.79,113.53,113.81,155134
18-May-17,113.60,114.96,112.99,113.91,147861
17-May-17,113.59,114.28,112.96,113.32,227323
16-May-17,114.30,114.90,112.63,114.65,197553
15-May-17,113.21,114.50,113.03,114.07,157373
12-May-17,110.28,112.98,110.10,112.95,256396
11-May-17,109.45,111.19,108.10,110.66,186659
10-May-17,105.66,115.30,104.25,109.41,426455
9-May-17,112.30,115.52,111.67,115.13,286209
8-May-17,112.54,114.62,111.89,112.71,245804
5-May-17,113.03,113.32,111.41,112.74,128896
4-May-17,111.77,113.71,110.93,113.14,146599
3-May-17,113.00,113.19,111.41,111.73,123358
2-May-17,113.82,114.02,111.18,113.19,194999
1-May-17,111.34,113.85,111.21,113.76,230785
28-Apr-17,111.19,111.90,110.45,111.17,145001
27-Apr-17,109.76,111.85,109.02,111.19,170210
26-Apr-17,109.01,110.70,107.51,109.41,259298
25-Apr-17,105.93,109.65,105.88,108.90,240168
24-Apr-17,105.50,105.99,104.36,105.12,129757
21-Apr-17,105.21,105.57,103.75,104.39,128614
20-Apr-17,105.27,105.86,103.89,105.25,144777
19-Apr-17,105.67,106.17,103.22,105.05,231239
18-Apr-17,105.21,105.65,103.56,105.35,156417
17-Apr-17,105.18,106.49,104.91,105.53,106487
13-Apr-17,105.18,106.95,105.00,105.34,126391
12-Apr-17,105.60,106.22,104.67,105.31,139678
11-Apr-17,105.18,106.32,104.95,105.29,162846
10-Apr-17,105.93,107.60,104.73,105.33,174244
7-Apr-17,104.43,106.28,103.72,106.26,187579
6-Apr-17,104.00,104.98,102.56,104.59,198953
5-Apr-17,106.26,107.04,104.00,104.13,234970
4-Apr-17,105.13,106.60,104.51,105.86,186523
3-Apr-17,105.36,106.91,104.76,105.62,219042
31-Mar-17,105.61,106.46,104.44,105.84,214125
30-Mar-17,106.25,107.00,104.59,105.26,175360
29-Mar-17,105.70,107.28,104.70,106.11,229401
28-Mar-17,106.22,106.97,104.72,106.02,226030
27-Mar-17,103.84,106.72,103.84,106.61,236281
24-Mar-17,103.88,105.56,103.06,104.78,359621
23-Mar-17,103.84,104.91,103.13,103.79,246845
22-Mar-17,104.05,105.35,103.01,104.07,240869
21-Mar-17,109.40,109.40,103.58,104.05,313671
20-Mar-17,109.47,109.82,108.49,108.83,197681
17-Mar-17,107.56,110.21,106.51,109.50,589604
16-Mar-17,108.97,109.21,107.40,108.55,147051
15-Mar-17,106.78,109.27,106.40,108.82,161773
14-Mar-17,107.19,107.49,106.01,106.74,160494
13-Mar-17,108.55,109.52,107.26,107.47,193123
10-Mar-17,108.99,109.59,107.67,109.54,186082
9-Mar-17,107.03,108.84,107.03,108.50,240234
8-Mar-17,105.95,107.62,105.05,106.92,234023
7-Mar-17,104.70,106.41,104.12,105.93,237929
