Date,Open,High,Low,Close,Volume
20-Oct-17,74.80,75.04,74.58,74.82,315305
19-Oct-17,74.35,75.00,73.99,74.22,370402
18-Oct-17,74.10,74.15,73.71,74.05,163936
17-Oct-17,73.80,74.20,73.67,73.90,210101
16-Oct-17,74.64,75.28,74.09,74.11,240468
13-Oct-17,75.26,75.55,74.66,74.99,303256
12-Oct-17,75.35,75.70,74.98,75.18,321120
11-Oct-17,75.03,75.73,74.78,75.40,417450
10-Oct-17,74.71,75.42,74.62,75.29,480331
9-Oct-17,74.01,74.76,73.84,74.42,355908
6-Oct-17,73.53,74.25,72.96,74.24,308800
5-Oct-17,73.03,73.75,72.51,73.62,456722
4-Oct-17,72.59,73.40,72.28,73.12,336335
3-Oct-17,72.09,72.60,71.50,72.57,404980
2-Oct-17,70.31,71.81,69.74,71.80,439065
29-Sep-17,69.65,70.50,69.45,70.06,236921
28-Sep-17,69.63,69.66,68.92,69.44,184888
27-Sep-17,69.38,69.91,68.84,69.80,272134
26-Sep-17,68.95,69.17,68.31,69.02,357941
25-Sep-17,69.84,69.95,68.24,69.03,484314
22-Sep-17,69.19,70.14,68.70,69.84,575304
21-Sep-17,68.47,69.11,68.35,69.02,453706
20-Sep-17,68.29,68.86,68.00,68.63,435594
19-Sep-17,68.75,69.78,68.01,68.29,616036
18-Sep-17,68.10,69.38,67.95,69.28,451065
15-Sep-17,68.67,69.29,68.12,68.42,944452
14-Sep-17,64.79,68.15,64.53,68.07,857232
13-Sep-17,65.42,65.50,65.02,65.12,547053
12-Sep-17,65.99,65.99,64.66,65.43,224705
11-Sep-17,66.67,66.67,65.33,65.55,278865
8-Sep-17,63.54,66.30,63.20,66.03,617733
7-Sep-17,63.32,63.42,62.67,63.20,232858
6-Sep-17,63.60,63.60,62.55,63.10,187367
5-Sep-17,63.38,64.63,62.99,63.32,294235
1-Sep-17,62.48,63.87,62.02,63.66,380366
31-Aug-17,61.29,62.71,61.28,62.58,446498
30-Aug-17,61.32,61.51,60.94,61.08,311624
29-Aug-17,61.28,61.56,60.85,61.16,188783
28-Aug-17,61.71,62.98,60.68,61.49,119476
25-Aug-17,61.98,62.13,60.62,61.69,180441
24-Aug-17,62.05,62.38,61.50,61.67,303118
23-Aug-17,62.01,62.29,61.58,61.84,264475
22-Aug-17,61.39,62.32,61.19,62.14,249283
21-Aug-17,61.01,61.67,60.42,61.12,223877
18-Aug-17,60.80,61.40,60.22,60.86,213309
17-Aug-17,61.78,62.23,61.05,61.14,218850
16-Aug-17,62.11,62.30,61.59,61.98,265687
15-Aug-17,60.93,62.38,60.75,61.90,771464
14-Aug-17,62.22,63.00,61.62,62.25,422203
11-Aug-17,62.44,62.44,61.68,61.78,347553
10-Aug-17,64.25,64.25,61.95,62.19,964932
9-Aug-17,64.00,64.95,63.00,64.09,962696
8-Aug-17,60.19,61.87,60.03,61.31,517028
7-Aug-17,60.40,60.62,59.99,60.35,262307
4-Aug-17,60.61,60.61,60.00,60.41,222246
3-Aug-17,60.30,60.67,60.16,60.32,230973
2-Aug-17,61.05,61.05,59.91,60.46,303111
1-Aug-17,61.11,61.70,60.55,61.10,385596
31-Jul-17,61.38,61.46,60.84,60.94,215217
28-Jul-17,61.35,62.64,61.06,61.34,332248
27-Jul-17,62.31,62.31,61.29,61.56,299341
26-Jul-17,61.75,62.25,61.35,62.05,391615
25-Jul-17,61.32,61.86,60.81,61.84,415705
24-Jul-17,60.78,61.52,60.78,61.39,232222
21-Jul-17,61.85,62.16,60.92,60.99,269848
20-Jul-17,62.04,62.64,61.28,61.60,575234
19-Jul-17,61.41,62.37,61.41,62.15,302280
18-Jul-17,61.41,61.93,61.27,61.60,324276
17-Jul-17,61.70,62.24,61.48,61.63,234771
14-Jul-17,60.97,62.44,60.97,62.11,483287
13-Jul-17,62.80,62.80,60.09,61.04,1033837
12-Jul-17,62.22,63.18,61.88,62.95,391675
11-Jul-17,61.22,61.80,59.12,61.77,414132
10-Jul-17,62.57,62.69,61.44,61.55,322765
7-Jul-17,60.93,62.69,60.93,62.64,383300
6-Jul-17,61.03,61.87,60.93,61.29,366900
5-Jul-17,61.43,61.87,60.90,61.37,400417
3-Jul-17,61.50,62.08,60.73,61.34,224827
30-Jun-17,61.78,62.16,61.05,61.21,707647
29-Jun-17,62.63,62.82,61.15,61.96,1227999
28-Jun-17,62.25,62.91,61.74,62.81,474280
27-Jun-17,61.71,62.25,61.45,61.96,396617
26-Jun-17,62.15,62.74,61.43,61.76,599096
23-Jun-17,61.69,62.57,60.64,62.52,6983190
22-Jun-17,61.39,61.91,60.88,61.50,849352
21-Jun-17,61.95,61.95,60.44,61.37,733795
20-Jun-17,61.67,62.23,61.18,61.81,518524
