Date,Open,High,Low,Close,Volume
20-Oct-17,86.52,87.38,86.33,87.23,3223192
19-Oct-17,85.69,86.38,85.51,86.36,3233622
18-Oct-17,86.33,86.56,85.52,85.73,4002151
17-Oct-17,85.94,86.50,85.42,86.06,3643748
16-Oct-17,86.48,86.74,85.78,85.95,3800680
13-Oct-17,86.40,86.70,85.71,86.55,3027228
12-Oct-17,86.10,86.45,85.91,86.43,1941143
11-Oct-17,86.35,86.66,86.17,86.25,327771
10-Oct-17,85.38,86.70,85.25,86.16,4943660
9-Oct-17,87.14,87.28,86.46,87.05,1701368
6-Oct-17,87.31,87.49,86.64,87.08,2297204
5-Oct-17,86.77,89.09,86.39,87.65,5220964
4-Oct-17,86.50,87.16,86.28,86.96,2317698
3-Oct-17,86.24,86.56,85.93,86.45,2128845
2-Oct-17,85.78,86.68,85.74,86.35,3071084
29-Sep-17,85.17,85.61,84.39,85.54,3506102
28-Sep-17,84.59,85.58,84.15,85.00,2840987
27-Sep-17,84.34,84.80,83.97,84.65,3071495
26-Sep-17,84.43,85.13,84.01,84.22,2347234
25-Sep-17,83.87,84.65,83.80,84.64,4223772
22-Sep-17,83.34,84.03,82.74,83.91,3148723
21-Sep-17,82.01,83.70,81.88,83.33,4426651
20-Sep-17,82.06,82.42,81.39,82.02,2849924
19-Sep-17,82.64,82.84,81.55,81.73,2259159
18-Sep-17,82.55,82.67,82.07,82.52,2200254
15-Sep-17,83.30,83.57,82.18,82.44,5374504
14-Sep-17,82.33,83.99,82.12,83.07,3370406
13-Sep-17,81.96,82.58,81.88,82.43,2454931
12-Sep-17,82.60,82.73,81.93,82.17,2566421
11-Sep-17,82.94,83.35,81.77,82.63,4389166
8-Sep-17,81.61,83.12,81.54,82.92,3961293
7-Sep-17,80.62,82.75,80.37,81.54,6249330
6-Sep-17,80.21,80.67,79.86,80.51,2689227
5-Sep-17,79.47,80.05,79.05,79.82,3702643
1-Sep-17,81.54,81.71,79.43,80.08,4345104
31-Aug-17,80.77,81.35,80.34,81.29,3939473
30-Aug-17,79.10,80.77,78.75,80.49,5036911
29-Aug-17,78.54,78.84,78.12,78.55,2154254
28-Aug-17,79.10,79.43,78.63,78.84,1923195
25-Aug-17,78.96,79.53,78.74,78.79,2171482
24-Aug-17,78.33,79.24,78.26,78.86,4188366
23-Aug-17,78.20,78.52,78.05,78.15,1801475
22-Aug-17,77.53,78.65,77.53,78.26,2131886
21-Aug-17,77.12,77.64,76.89,77.38,3638065
18-Aug-17,77.70,77.70,76.94,77.07,4061282
17-Aug-17,80.40,80.57,77.70,77.80,7318204
16-Aug-17,82.14,82.20,80.02,80.69,3970525
15-Aug-17,81.50,82.34,81.50,81.71,1949478
14-Aug-17,81.34,81.68,81.18,81.49,1879619
11-Aug-17,81.80,81.97,81.12,81.15,2446392
10-Aug-17,82.54,82.54,81.66,82.05,3367495
9-Aug-17,82.13,82.74,81.97,82.57,2392098
8-Aug-17,81.87,82.72,81.63,81.97,3292993
7-Aug-17,82.31,82.40,81.72,82.07,2769747
4-Aug-17,81.90,82.32,81.76,82.31,2802610
3-Aug-17,81.58,82.28,81.50,81.93,3688344
2-Aug-17,82.06,82.17,81.07,81.82,4574837
1-Aug-17,82.86,83.15,82.12,82.37,3439409
31-Jul-17,-,-,82.63,82.66,4082999
28-Jul-17,82.87,83.22,82.50,83.10,3820069
27-Jul-17,81.76,83.05,81.46,83.02,5577384
26-Jul-17,81.57,81.88,81.04,81.84,7030481
25-Jul-17,83.74,84.40,80.77,82.19,13319876
24-Jul-17,84.66,85.53,84.51,84.74,3952164
21-Jul-17,84.62,84.96,84.31,84.66,3064356
20-Jul-17,84.53,85.12,84.41,84.75,2980635
19-Jul-17,83.52,84.28,83.52,84.23,2297408
18-Jul-17,83.51,83.77,83.22,83.70,1704532
17-Jul-17,84.31,84.53,83.42,83.64,1989072
14-Jul-17,84.11,84.58,83.81,84.35,2005749
13-Jul-17,83.56,84.23,83.16,84.02,2944146
12-Jul-17,82.73,84.02,82.61,83.50,3526983
11-Jul-17,82.39,82.84,81.88,82.35,2708880
10-Jul-17,82.33,82.57,81.89,82.28,2269712
7-Jul-17,81.62,82.35,81.43,82.29,1803703
6-Jul-17,82.32,82.57,81.37,81.60,3390996
5-Jul-17,82.63,82.76,82.03,82.70,2263553
3-Jul-17,82.41,82.91,82.32,82.70,1464738
30-Jun-17,82.97,83.13,82.00,82.30,5713901
29-Jun-17,83.09,83.22,82.31,82.70,2366759
28-Jun-17,83.45,83.92,82.90,83.10,3035321
27-Jun-17,84.18,84.33,83.04,83.04,2365826
26-Jun-17,84.09,84.45,83.66,84.28,2952759
23-Jun-17,84.12,84.34,83.71,83.89,3928031
22-Jun-17,82.84,84.76,82.84,84.31,4891552
21-Jun-17,83.15,83.42,82.38,82.64,3781406
20-Jun-17,82.22,83.68,82.22,82.75,3694685
19-Jun-17,82.02,82.76,81.87,82.34,2538037
16-Jun-17,82.24,82.56,81.66,81.88,4903159
15-Jun-17,81.39,82.15,80.96,82.05,3484768
14-Jun-17,80.90,81.61,80.77,81.60,4025557
13-Jun-17,81.21,81.29,80.24,81.25,4492882
12-Jun-17,80.96,81.29,80.61,80.90,2842761
9-Jun-17,80.10,81.18,79.70,81.04,4599396
8-Jun-17,79.49,80.46,79.34,80.10,4610424
7-Jun-17,79.16,79.54,79.09,79.39,2899905
6-Jun-17,79.41,79.46,78.75,79.09,2687965
5-Jun-17,80.00,80.07,78.98,79.35,2814775
2-Jun-17,80.47,81.06,79.90,80.13,4005715
1-Jun-17,79.60,80.23,79.38,79.99,3093104
31-May-17,78.48,79.91,78.48,79.57,5163876
30-May-17,77.95,78.67,77.74,78.35,3244949
26-May-17,78.12,78.35,77.72,78.05,2238858
25-May-17,78.31,78.46,77.76,78.34,1737281
24-May-17,77.99,78.28,77.80,77.96,2254384
23-May-17,77.19,78.36,77.02,77.99,5884774
22-May-17,77.90,78.01,76.85,76.98,6936499
19-May-17,78.50,78.71,77.73,77.80,5091841
