Date,Open,High,Low,Close,Volume
20-Oct-17,86.39,87.46,85.28,86.62,357842
19-Oct-17,88.05,88.93,84.26,85.03,332095
18-Oct-17,89.47,90.35,86.00,88.56,503036
17-Oct-17,89.71,90.80,87.54,88.25,212780
16-Oct-17,90.00,93.25,88.29,89.28,324620
13-Oct-17,90.47,91.25,88.09,89.38,226961
12-Oct-17,90.86,90.99,88.52,89.61,252008
11-Oct-17,93.18,93.57,89.45,90.11,312400
10-Oct-17,94.96,95.00,90.18,92.26,208683
9-Oct-17,87.47,94.64,87.20,94.01,375139
6-Oct-17,88.73,89.42,87.08,87.66,153144
5-Oct-17,88.45,89.35,86.81,88.15,245320
4-Oct-17,90.29,91.35,88.22,88.44,242651
3-Oct-17,92.44,92.69,90.03,90.70,338051
2-Oct-17,93.10,94.42,91.13,91.88,350067
29-Sep-17,92.93,92.93,90.00,92.12,319832
28-Sep-17,85.08,95.92,83.98,93.05,1519672
27-Sep-17,84.70,85.33,83.27,83.45,248466
26-Sep-17,85.47,85.97,83.12,83.79,355929
25-Sep-17,87.01,87.85,85.05,85.50,367829
22-Sep-17,90.14,91.32,86.80,86.81,498532
21-Sep-17,89.68,91.18,88.60,89.80,304884
20-Sep-17,89.25,92.40,89.02,90.23,352100
19-Sep-17,88.62,89.86,87.08,89.52,333423
18-Sep-17,88.23,90.68,87.36,88.72,487279
15-Sep-17,87.73,88.98,85.21,87.49,1553867
14-Sep-17,86.60,91.00,85.51,87.35,1081253
13-Sep-17,76.16,90.26,76.00,86.59,2107246
12-Sep-17,77.26,77.92,73.92,75.11,516535
11-Sep-17,77.32,78.04,76.03,76.34,303478
8-Sep-17,75.36,78.20,74.08,76.46,323622
7-Sep-17,77.71,78.00,73.45,75.47,437624
6-Sep-17,79.87,80.61,75.02,77.99,366974
5-Sep-17,81.55,81.57,77.60,79.00,370102
1-Sep-17,83.59,84.46,81.01,82.21,192747
31-Aug-17,79.57,83.64,79.57,83.40,348015
30-Aug-17,77.88,79.68,76.79,79.22,259553
29-Aug-17,75.95,78.39,75.13,77.76,274525
28-Aug-17,74.84,78.61,74.60,78.56,219282
25-Aug-17,78.02,78.74,73.91,74.19,267066
24-Aug-17,76.52,77.99,75.35,77.39,226114
23-Aug-17,75.48,76.86,73.87,76.29,145936
22-Aug-17,73.47,76.46,73.17,76.18,217235
21-Aug-17,72.37,73.57,71.22,73.02,187510
18-Aug-17,70.90,72.46,70.84,72.10,171555
17-Aug-17,73.98,74.63,71.20,71.50,244798
16-Aug-17,73.67,76.74,73.67,74.19,381596
15-Aug-17,74.13,74.29,72.66,73.52,240187
14-Aug-17,73.70,75.24,72.77,74.06,226829
11-Aug-17,72.35,73.70,71.45,73.26,217440
10-Aug-17,73.79,74.67,71.80,72.44,285279
9-Aug-17,72.56,75.74,72.56,74.57,139312
8-Aug-17,71.77,76.15,70.01,73.11,265660
7-Aug-17,72.92,73.66,72.19,72.90,176388
4-Aug-17,71.00,73.45,69.83,72.92,164267
3-Aug-17,71.69,71.95,69.88,70.83,98581
2-Aug-17,70.71,72.63,69.03,71.80,233565
1-Aug-17,72.47,72.47,69.00,70.47,278626
31-Jul-17,73.21,74.25,71.21,72.31,210380
28-Jul-17,72.02,74.16,71.81,73.29,159309
27-Jul-17,73.99,74.29,70.51,72.35,293670
26-Jul-17,73.80,75.33,73.21,74.45,180202
25-Jul-17,74.42,74.97,72.50,73.50,236865
24-Jul-17,72.95,75.18,72.86,74.27,198357
21-Jul-17,74.17,75.54,72.55,73.13,279645
20-Jul-17,73.70,74.53,72.04,73.98,233932
19-Jul-17,73.25,75.00,71.75,73.75,332507
18-Jul-17,72.74,74.57,72.20,72.88,340242
17-Jul-17,74.77,76.28,72.97,73.14,263144
14-Jul-17,74.83,75.90,73.60,74.41,209915
13-Jul-17,75.01,75.48,73.80,74.84,432557
12-Jul-17,74.51,77.02,73.60,75.14,328659
11-Jul-17,75.31,76.28,74.50,75.29,325672
10-Jul-17,76.57,76.88,74.24,75.30,284955
7-Jul-17,76.97,78.41,76.70,76.75,179111
6-Jul-17,78.75,79.79,76.06,76.63,341645
5-Jul-17,79.44,80.83,78.18,79.06,404898
3-Jul-17,80.19,80.70,78.25,79.28,153343
30-Jun-17,82.94,82.99,79.66,80.19,318475
29-Jun-17,82.28,82.93,79.56,82.85,431034
28-Jun-17,79.80,82.16,78.10,81.87,566747
27-Jun-17,81.58,82.08,77.45,77.70,330241
26-Jun-17,80.17,81.98,78.57,81.88,353038
23-Jun-17,78.18,80.47,76.88,80.17,900548
22-Jun-17,78.42,83.12,76.00,78.58,1298072
21-Jun-17,74.82,77.88,73.79,77.45,817380
20-Jun-17,71.32,75.74,70.68,73.84,703377
19-Jun-17,73.16,73.16,70.10,70.94,537429
16-Jun-17,73.60,74.73,71.76,72.14,663944
15-Jun-17,73.15,74.25,71.85,73.35,2587861
14-Jun-17,72.47,76.89,71.44,74.76,398865
13-Jun-17,77.00,79.00,72.09,73.65,586341
12-Jun-17,71.35,76.79,70.02,76.45,517819
9-Jun-17,77.54,77.55,71.43,71.55,612002
8-Jun-17,72.43,76.02,71.11,75.68,727292
7-Jun-17,70.36,72.20,68.62,71.97,650047
6-Jun-17,69.50,71.90,67.02,70.00,1245648
5-Jun-17,71.74,77.61,68.06,70.12,5901493
2-Jun-17,47.39,49.92,46.33,48.98,242031
1-Jun-17,45.97,47.18,45.01,47.12,225726
31-May-17,45.69,45.88,44.05,45.65,181506
30-May-17,47.58,47.97,45.49,45.62,172625
26-May-17,47.45,48.10,46.81,47.44,160585
25-May-17,49.99,49.99,46.80,47.50,151277
24-May-17,50.42,51.01,48.96,49.55,106229
23-May-17,46.53,50.88,46.53,50.08,283918
22-May-17,46.24,46.57,44.02,46.35,172804
19-May-17,44.81,46.98,44.79,46.14,172443
18-May-17,43.63,45.58,43.34,45.21,186576
17-May-17,45.29,45.46,43.12,43.45,140413
16-May-17,44.71,46.44,44.62,46.24,168023
15-May-17,43.10,44.80,42.58,44.54,134212
12-May-17,42.75,45.26,42.71,43.34,209705
11-May-17,43.60,43.71,42.56,42.66,107436
10-May-17,42.64,45.59,42.42,43.65,171220
9-May-17,43.93,44.59,42.11,42.42,173557
8-May-17,44.15,44.91,43.40,43.94,168100
5-May-17,44.05,44.32,43.13,44.27,103230
4-May-17,44.55,45.53,43.75,43.96,137080
3-May-17,44.98,46.57,44.28,44.44,147146
2-May-17,46.70,46.84,44.76,45.20,178930
1-May-17,46.33,47.54,45.86,46.74,152524
28-Apr-17,49.21,49.72,45.61,46.06,265663
27-Apr-17,48.27,49.95,47.70,49.23,216867
26-Apr-17,48.26,48.50,47.49,48.28,157913
25-Apr-17,48.50,48.80,47.80,48.29,224067
24-Apr-17,48.67,48.67,47.65,48.06,192540
21-Apr-17,46.44,48.17,46.44,47.79,224526
20-Apr-17,46.41,47.72,46.37,46.71,116903
19-Apr-17,45.50,46.89,45.50,46.09,112741
18-Apr-17,45.50,45.87,44.54,45.10,114576
17-Apr-17,45.79,46.60,45.03,46.00,85458
13-Apr-17,45.00,46.19,44.30,45.70,109290
12-Apr-17,46.41,46.86,45.07,45.12,99971
11-Apr-17,47.93,48.50,46.39,46.56,141314
10-Apr-17,48.05,49.80,47.62,48.13,246015
7-Apr-17,44.62,48.06,44.16,47.80,199976
6-Apr-17,43.50,44.62,41.83,44.58,214886
5-Apr-17,44.93,46.75,43.30,43.58,407835
4-Apr-17,43.16,44.78,42.62,44.63,327667
3-Apr-17,44.29,45.20,43.02,43.47,381716
31-Mar-17,42.00,42.42,40.52,42.08,292816
30-Mar-17,42.67,43.21,41.77,41.83,211067
29-Mar-17,44.26,45.48,42.74,42.87,151339
28-Mar-17,46.28,46.88,43.69,44.34,220000
27-Mar-17,44.83,46.39,44.43,46.15,108699
24-Mar-17,44.70,46.08,44.00,45.60,165349
23-Mar-17,44.47,45.28,43.55,44.59,174269
22-Mar-17,43.43,45.31,42.82,44.72,200758
21-Mar-17,46.56,46.56,42.79,43.43,362255
20-Mar-17,44.67,46.38,43.76,46.10,196305
17-Mar-17,42.30,44.53,42.30,44.52,849404
16-Mar-17,43.24,43.85,41.99,42.63,125383
15-Mar-17,43.04,43.80,42.25,43.56,140918
14-Mar-17,43.90,43.96,42.00,42.77,368338
13-Mar-17,43.00,44.34,42.72,44.25,208673
10-Mar-17,40.33,43.48,40.33,43.25,269759
9-Mar-17,41.68,42.39,41.58,42.10,215779
8-Mar-17,40.33,42.99,40.13,41.85,202773
7-Mar-17,42.58,43.59,40.02,40.29,505513
6-Mar-17,45.00,45.47,44.03,44.83,146987
3-Mar-17,45.75,46.55,44.41,44.99,133158
2-Mar-17,46.63,47.46,45.50,45.54,170031
1-Mar-17,45.32,47.10,44.60,46.87,144419
28-Feb-17,45.61,45.80,43.95,44.44,144172
27-Feb-17,42.08,45.82,41.24,45.41,349059
24-Feb-17,41.69,42.33,41.27,42.03,103841
23-Feb-17,42.19,42.50,41.41,42.24,168624
22-Feb-17,41.36,42.42,41.22,42.02,139541
21-Feb-17,42.00,42.12,40.94,41.66,236297
17-Feb-17,41.24,42.49,41.16,41.74,183421
16-Feb-17,42.54,42.54,40.29,41.38,166379
15-Feb-17,42.12,42.77,41.24,42.54,208301
14-Feb-17,42.63,43.13,40.59,42.04,337312
13-Feb-17,43.38,43.38,42.10,42.67,121524
10-Feb-17,43.32,43.88,42.90,42.93,137972
9-Feb-17,41.41,44.95,41.41,43.65,338131
8-Feb-17,40.52,42.70,39.80,41.33,306815
7-Feb-17,39.78,40.03,39.05,39.68,138852
6-Feb-17,39.84,40.40,38.94,39.70,220631
3-Feb-17,40.19,40.45,39.15,39.91,160454
2-Feb-17,39.60,41.25,38.73,39.82,272911
1-Feb-17,39.58,39.98,38.89,39.53,196510
31-Jan-17,39.94,40.48,38.36,39.23,525187
30-Jan-17,38.59,40.02,37.87,39.87,186168
27-Jan-17,38.09,39.00,37.89,38.51,118491
26-Jan-17,38.79,39.20,37.89,38.12,128532
25-Jan-17,37.79,39.08,37.14,38.75,169901
24-Jan-17,38.42,38.87,36.75,37.42,149469
23-Jan-17,39.46,39.87,36.76,38.35,236313
20-Jan-17,39.57,39.63,37.51,39.41,205282
19-Jan-17,40.02,41.36,39.41,39.50,230791
18-Jan-17,38.32,40.37,37.69,40.12,336700
17-Jan-17,38.08,38.11,36.95,37.61,218766
13-Jan-17,39.17,40.55,38.14,38.16,412020
12-Jan-17,38.16,39.56,37.75,39.50,217854
11-Jan-17,37.84,38.86,36.71,38.64,365661
10-Jan-17,37.50,37.81,36.40,37.80,263590
9-Jan-17,34.50,37.70,34.50,37.25,636447
6-Jan-17,34.05,34.76,33.16,34.37,386362
5-Jan-17,33.40,36.05,32.72,33.25,1272056
4-Jan-17,31.01,33.30,31.01,32.69,122947
3-Jan-17,31.83,32.88,30.51,31.05,285865
30-Dec-16,33.30,33.44,31.48,32.12,220314
29-Dec-16,33.92,34.88,33.15,33.30,231279
28-Dec-16,33.91,34.90,33.32,34.03,186057
27-Dec-16,35.00,35.00,33.89,33.93,138547
23-Dec-16,33.87,35.49,33.87,34.97,194131
22-Dec-16,33.68,34.01,33.35,33.81,131389
21-Dec-16,33.97,34.30,33.05,33.68,283216
20-Dec-16,33.31,34.66,32.77,34.08,646356
19-Dec-16,30.23,36.71,30.01,33.86,2465724
16-Dec-16,26.83,27.60,26.11,26.91,872323
15-Dec-16,26.89,27.13,26.36,26.79,160324
14-Dec-16,25.58,27.02,25.25,26.89,171679
13-Dec-16,26.20,26.90,25.54,25.63,117365
12-Dec-16,26.43,27.20,25.85,25.93,148972
9-Dec-16,26.03,27.12,25.98,26.46,78932
8-Dec-16,25.97,26.52,25.55,26.20,62609
7-Dec-16,26.17,26.50,25.36,26.01,87722
6-Dec-16,26.36,26.72,25.88,26.27,83109
5-Dec-16,26.68,27.59,25.95,26.18,116667
2-Dec-16,26.04,26.94,25.92,26.79,175704
1-Dec-16,27.38,27.80,26.00,26.55,138067
30-Nov-16,29.13,29.13,27.13,27.56,82341
29-Nov-16,29.09,29.43,28.84,28.97,155741
28-Nov-16,29.31,29.57,28.73,29.09,115448
25-Nov-16,29.75,29.93,29.02,29.79,35334
23-Nov-16,28.45,29.96,27.73,29.69,134044
22-Nov-16,28.35,29.09,27.82,28.86,198466
21-Nov-16,28.26,28.58,27.29,28.39,84862
18-Nov-16,27.70,28.41,27.05,28.13,81033
17-Nov-16,27.58,27.97,27.05,27.77,92896
16-Nov-16,28.51,28.75,26.32,27.41,194536
15-Nov-16,28.84,29.61,28.45,29.09,177999
14-Nov-16,28.12,29.29,26.47,29.14,142432
11-Nov-16,24.36,27.89,23.86,27.86,132813
10-Nov-16,23.07,25.00,22.66,24.26,103543
9-Nov-16,20.03,22.83,20.03,22.74,88313
8-Nov-16,19.54,20.00,19.03,19.72,52000
7-Nov-16,20.05,20.19,19.48,19.66,122483
4-Nov-16,17.82,19.99,17.34,19.77,124099
3-Nov-16,18.37,18.55,17.14,17.73,81198
2-Nov-16,20.41,20.81,18.35,18.41,106728
1-Nov-16,21.00,21.17,20.12,20.49,53155
31-Oct-16,20.43,22.02,20.43,20.86,63042
28-Oct-16,21.35,21.43,20.56,20.93,35224
27-Oct-16,22.80,23.88,21.13,21.41,77288
26-Oct-16,20.91,23.04,20.85,22.71,136013
25-Oct-16,21.01,21.15,20.44,20.85,35498
24-Oct-16,21.66,21.66,20.95,21.04,20692
21-Oct-16,21.45,21.77,20.95,21.42,25244
20-Oct-16,21.22,21.91,21.07,21.66,23761
19-Oct-16,21.24,21.47,20.96,21.28,38796
18-Oct-16,21.50,22.03,21.26,21.67,50292
17-Oct-16,20.63,21.55,20.42,21.13,88852
14-Oct-16,21.80,21.80,21.01,21.11,48485
13-Oct-16,21.58,22.31,21.58,21.81,76330
12-Oct-16,21.71,22.30,21.53,21.91,113100
11-Oct-16,22.64,22.80,21.54,21.79,60860
10-Oct-16,22.53,23.28,22.31,22.64,75216
7-Oct-16,23.05,23.52,22.00,22.26,67604
6-Oct-16,23.28,23.74,22.70,23.01,53627
5-Oct-16,22.94,23.80,22.74,23.52,79785
4-Oct-16,24.12,25.62,22.70,22.97,106935
3-Oct-16,25.96,26.20,23.79,23.95,177277
30-Sep-16,25.54,26.40,25.10,26.18,84858
29-Sep-16,26.37,26.37,25.38,25.47,49856
28-Sep-16,26.39,26.63,26.05,26.38,39188
27-Sep-16,26.28,26.47,25.90,26.37,56966
26-Sep-16,26.67,26.73,26.19,26.24,30788
23-Sep-16,27.00,27.40,26.55,26.86,64134
22-Sep-16,26.33,27.30,25.90,27.00,104631
21-Sep-16,26.44,26.80,25.82,26.57,105332
20-Sep-16,26.78,26.99,25.74,26.73,49107
19-Sep-16,27.08,27.30,26.18,26.45,72478
16-Sep-16,27.13,27.49,26.64,27.00,96588
15-Sep-16,26.33,27.44,26.31,27.00,104037
14-Sep-16,25.38,26.62,25.26,26.42,56937
13-Sep-16,26.79,27.23,25.25,25.35,44952
12-Sep-16,26.91,27.42,26.76,26.99,77231
9-Sep-16,28.32,28.32,26.52,26.90,123911
8-Sep-16,29.71,30.09,28.40,28.74,176161
7-Sep-16,29.65,30.19,29.50,30.09,96133
6-Sep-16,28.36,29.72,28.34,29.61,83280
2-Sep-16,27.80,28.27,27.06,28.03,41294
1-Sep-16,27.45,27.75,27.04,27.60,22727
31-Aug-16,27.39,27.79,26.71,27.54,41384
30-Aug-16,27.26,27.93,26.80,27.78,31968
29-Aug-16,26.69,27.21,26.28,27.07,91610
26-Aug-16,26.76,27.31,26.22,26.64,32194
25-Aug-16,26.79,27.03,26.38,26.74,56060
24-Aug-16,25.97,26.89,25.74,26.64,87438
23-Aug-16,25.79,26.10,25.49,25.79,36635
22-Aug-16,25.32,25.61,25.02,25.53,36306
19-Aug-16,25.75,27.68,24.52,24.88,50182
18-Aug-16,27.49,27.49,25.42,25.77,25660
17-Aug-16,26.05,26.38,25.03,25.48,63963
16-Aug-16,26.90,27.42,26.03,26.11,68251
15-Aug-16,26.22,27.06,26.02,26.89,53424
12-Aug-16,26.00,26.67,25.26,26.19,38543
11-Aug-16,26.06,26.38,25.31,26.09,57754
10-Aug-16,27.34,27.45,25.83,25.83,581203
9-Aug-16,27.23,27.78,26.68,27.43,62624
8-Aug-16,28.18,28.18,27.02,27.26,48676
5-Aug-16,27.74,28.26,27.22,28.14,70725
4-Aug-16,26.36,28.30,26.36,27.53,119320
3-Aug-16,25.37,26.11,24.96,26.04,59323
2-Aug-16,25.75,25.87,25.01,25.67,32416
1-Aug-16,25.84,26.12,25.37,25.69,76873
29-Jul-16,25.00,25.96,24.93,25.72,45914
28-Jul-16,25.62,25.62,24.94,25.19,36223
27-Jul-16,25.26,25.70,25.00,25.53,68351
26-Jul-16,25.01,25.35,24.62,25.24,275016
25-Jul-16,25.18,25.27,24.27,25.07,62395
22-Jul-16,24.84,25.55,24.75,25.19,88913
21-Jul-16,25.06,25.36,24.21,24.61,67452
20-Jul-16,24.13,24.98,23.66,24.86,35344
19-Jul-16,25.51,25.60,23.99,24.12,89462
18-Jul-16,25.76,25.78,24.82,25.50,64414
15-Jul-16,25.57,25.93,25.04,25.80,43489
14-Jul-16,26.81,26.82,24.78,25.39,125870
13-Jul-16,27.03,28.24,26.31,26.57,340467
12-Jul-16,24.98,25.39,24.62,25.07,58302
11-Jul-16,25.03,25.17,24.46,24.78,32154
8-Jul-16,24.11,24.86,23.75,24.83,81932
7-Jul-16,24.19,24.23,23.44,24.04,35765
6-Jul-16,22.93,24.21,22.93,24.00,69919
5-Jul-16,23.00,23.62,22.88,23.14,103183
1-Jul-16,23.14,23.73,22.62,23.16,123618
30-Jun-16,23.98,24.06,22.84,23.18,132767
29-Jun-16,23.07,23.79,22.87,23.61,35818
28-Jun-16,22.17,23.65,22.17,22.88,57171
27-Jun-16,23.36,23.48,21.76,22.00,150139
24-Jun-16,22.90,23.65,22.08,23.53,709464
23-Jun-16,24.22,24.76,23.96,24.06,116276
22-Jun-16,24.26,24.80,23.83,24.04,94352
21-Jun-16,24.18,24.52,23.48,24.39,56033
20-Jun-16,23.86,24.59,23.64,23.99,48196
17-Jun-16,24.90,24.90,23.06,23.57,168318
16-Jun-16,24.50,24.95,24.27,24.81,69260
15-Jun-16,24.27,25.23,24.27,24.64,64992
14-Jun-16,24.16,24.64,23.14,24.15,132780
13-Jun-16,24.06,24.87,23.50,24.21,82660
10-Jun-16,24.26,24.61,23.60,24.18,73595
9-Jun-16,25.03,25.20,24.47,24.61,48330
8-Jun-16,26.06,26.06,25.15,25.21,83056
7-Jun-16,26.90,26.90,25.76,26.03,80591
6-Jun-16,27.53,27.53,26.22,26.92,126324
3-Jun-16,28.62,28.62,27.10,27.25,55279
2-Jun-16,27.71,28.78,27.48,28.64,78049
1-Jun-16,27.02,27.93,26.77,27.73,82148
