Date,Open,High,Low,Close,Volume
20-Oct-17,57.95,58.75,57.80,58.35,360278
19-Oct-17,56.05,57.90,56.05,57.85,249930
18-Oct-17,56.45,56.65,55.95,56.10,234989
17-Oct-17,56.15,56.65,55.35,56.20,379031
16-Oct-17,54.90,56.10,54.90,55.80,481032
13-Oct-17,52.70,55.02,52.60,55.00,498962
12-Oct-17,54.55,54.80,53.40,54.70,359548
11-Oct-17,54.40,55.10,54.40,54.50,284907
10-Oct-17,55.35,56.05,54.40,54.70,274772
9-Oct-17,56.50,56.50,54.65,55.25,348419
6-Oct-17,57.50,57.55,55.70,56.50,697689
5-Oct-17,57.75,58.25,57.18,57.25,411019
4-Oct-17,58.75,59.10,57.50,57.75,624496
3-Oct-17,58.90,59.05,57.98,58.85,340930
2-Oct-17,58.25,59.10,58.05,58.65,700358
29-Sep-17,58.40,59.05,57.65,57.90,609371
28-Sep-17,57.30,58.60,57.20,58.50,423200
27-Sep-17,57.00,57.45,56.65,57.30,303804
26-Sep-17,56.70,57.35,56.65,56.75,345076
25-Sep-17,56.95,57.35,55.95,56.30,324640
22-Sep-17,56.05,57.45,56.05,57.20,467203
21-Sep-17,56.15,56.40,56.00,56.10,129317
20-Sep-17,55.15,56.40,55.15,56.10,230526
19-Sep-17,56.10,56.35,54.95,55.30,453308
18-Sep-17,56.65,57.10,56.00,56.15,432590
15-Sep-17,57.35,57.50,56.25,56.60,486150
14-Sep-17,56.55,57.40,56.05,57.20,495118
13-Sep-17,56.65,56.70,56.25,56.40,383165
12-Sep-17,56.45,56.95,56.05,56.55,299010
11-Sep-17,56.05,56.85,55.95,56.45,529397
8-Sep-17,55.35,56.20,55.00,55.70,482756
7-Sep-17,56.20,56.20,54.45,55.70,861373
6-Sep-17,56.80,57.30,55.05,56.00,890540
5-Sep-17,57.85,58.25,56.82,56.95,327133
1-Sep-17,57.95,58.25,57.45,57.90,300842
31-Aug-17,56.35,58.00,56.35,57.95,544805
30-Aug-17,56.25,56.40,55.45,56.40,301167
29-Aug-17,56.35,56.65,55.50,56.15,496715
28-Aug-17,56.95,57.25,56.25,56.52,389695
25-Aug-17,56.90,57.30,56.55,56.85,303039
24-Aug-17,56.95,57.40,56.70,56.70,346225
23-Aug-17,56.80,57.40,56.65,56.80,400877
22-Aug-17,57.55,57.95,57.05,57.10,255333
21-Aug-17,57.45,57.95,57.25,57.35,385108
18-Aug-17,56.85,57.75,55.20,57.45,436008
17-Aug-17,58.40,58.70,56.70,56.80,443051
16-Aug-17,58.35,58.88,58.25,58.65,346493
15-Aug-17,58.55,59.18,57.65,58.25,337868
14-Aug-17,59.25,59.50,58.75,59.15,292796
11-Aug-17,57.55,59.50,57.35,58.90,362902
10-Aug-17,57.45,58.02,57.15,57.45,313521
9-Aug-17,58.65,58.65,57.20,57.55,423288
8-Aug-17,58.50,60.15,58.40,58.65,475902
7-Aug-17,58.50,59.05,58.16,58.75,287264
4-Aug-17,58.20,58.50,57.95,58.45,279610
3-Aug-17,58.35,59.02,57.62,58.10,315262
2-Aug-17,57.60,58.30,56.30,58.25,558951
1-Aug-17,59.90,62.00,58.05,58.50,803809
31-Jul-17,60.75,60.90,59.30,59.40,496740
28-Jul-17,60.55,61.40,59.95,60.40,403201
27-Jul-17,62.00,62.05,59.60,60.50,634970
26-Jul-17,63.70,63.70,61.60,63.00,352177
25-Jul-17,64.55,64.85,62.90,63.70,564158
24-Jul-17,65.40,66.00,65.10,65.45,234814
21-Jul-17,65.55,66.05,65.10,65.35,111822
20-Jul-17,64.55,65.70,63.80,65.50,231595
19-Jul-17,64.70,64.95,64.05,64.35,153552
18-Jul-17,65.15,65.55,64.00,64.35,492959
17-Jul-17,65.55,65.60,64.80,65.00,216913
14-Jul-17,65.20,66.00,64.80,65.40,173658
13-Jul-17,65.25,65.40,64.65,65.10,388859
12-Jul-17,65.20,65.50,64.60,64.95,188521
11-Jul-17,65.25,65.70,64.45,64.65,201075
10-Jul-17,65.25,66.02,64.75,65.45,142779
7-Jul-17,64.40,65.50,64.15,65.45,230008
6-Jul-17,66.55,67.05,64.10,64.40,491901
5-Jul-17,67.05,67.30,66.60,67.10,241869
3-Jul-17,67.45,67.65,66.90,67.10,97663
30-Jun-17,67.50,67.95,66.85,67.15,297145
29-Jun-17,67.60,67.90,66.50,67.30,293251
28-Jun-17,66.85,67.90,66.85,67.50,284662
27-Jun-17,66.70,67.45,66.30,66.55,331927
26-Jun-17,66.00,67.20,65.55,66.55,364952
23-Jun-17,67.25,67.25,65.35,65.50,764034
22-Jun-17,64.90,67.55,64.65,67.10,638702
21-Jun-17,64.90,65.75,64.50,64.85,187798
20-Jun-17,65.00,65.00,64.25,64.60,217760
19-Jun-17,64.55,65.45,63.90,65.40,277265
16-Jun-17,63.95,64.40,63.30,64.20,454924
15-Jun-17,64.70,65.00,63.88,64.00,314855
14-Jun-17,64.80,65.25,64.45,65.00,257309
13-Jun-17,64.30,65.30,64.25,64.80,333238
12-Jun-17,63.65,65.20,63.65,64.25,577828
9-Jun-17,63.05,63.80,62.45,63.65,403504
8-Jun-17,63.00,63.52,62.50,63.05,291289
7-Jun-17,62.50,63.10,62.20,62.85,313057
6-Jun-17,61.30,62.00,61.00,61.50,580962
5-Jun-17,61.30,61.60,60.55,61.45,275857
2-Jun-17,62.10,62.52,61.30,61.30,281538
1-Jun-17,60.85,62.20,60.85,62.10,420560
31-May-17,61.90,62.20,60.32,60.80,514586
30-May-17,62.30,62.70,61.80,62.10,436981
26-May-17,62.90,62.90,62.00,62.45,305696
25-May-17,62.85,63.40,62.25,62.85,300908
24-May-17,62.05,63.00,61.70,62.50,406711
23-May-17,62.20,62.65,61.62,62.05,211955
22-May-17,61.95,62.40,60.15,62.10,366061
19-May-17,60.95,62.35,60.90,61.95,213539
18-May-17,60.80,61.30,60.55,60.75,322891
17-May-17,61.15,61.70,60.40,60.80,261780
16-May-17,62.40,62.65,61.50,61.80,180187
15-May-17,62.50,62.65,61.80,62.15,277254
12-May-17,62.65,62.85,61.80,62.38,194778
11-May-17,63.45,63.45,62.25,62.80,374434
10-May-17,61.95,63.98,61.85,63.55,363354
9-May-17,62.60,63.00,61.90,61.90,318905
8-May-17,62.40,62.60,62.08,62.45,225323
5-May-17,61.90,62.40,61.60,62.35,188371
4-May-17,61.95,62.00,60.70,61.70,366358
3-May-17,63.55,64.35,61.95,62.10,434112
2-May-17,62.10,64.15,62.10,63.55,628139
1-May-17,62.65,62.90,61.65,61.85,437471
28-Apr-17,62.10,64.60,60.90,62.15,508041
27-Apr-17,61.00,61.60,60.25,60.75,543714
26-Apr-17,61.60,62.35,60.75,61.05,493065
25-Apr-17,61.05,61.85,60.95,61.50,300459
24-Apr-17,61.45,61.60,60.95,60.95,516933
21-Apr-17,61.40,61.40,60.75,60.85,416045
20-Apr-17,62.30,62.75,60.70,61.55,586552
19-Apr-17,62.20,62.60,62.05,62.15,201260
18-Apr-17,63.35,63.35,61.30,62.15,338800
17-Apr-17,63.85,63.95,62.90,63.52,432995
13-Apr-17,64.35,64.40,63.14,63.95,346607
12-Apr-17,64.70,64.70,63.68,64.35,168606
11-Apr-17,64.55,65.10,63.65,64.55,205425
10-Apr-17,63.55,64.75,63.55,64.50,237826
7-Apr-17,63.65,63.85,63.05,63.50,361531
6-Apr-17,63.85,64.20,63.15,63.85,312143
5-Apr-17,63.95,65.90,63.50,63.65,446902
4-Apr-17,65.75,65.75,63.20,63.60,466473
3-Apr-17,65.45,66.25,65.20,65.80,651000
31-Mar-17,66.00,66.15,65.30,65.50,605676
30-Mar-17,64.20,66.35,64.00,66.15,909698
29-Mar-17,63.75,64.55,63.42,64.10,513530
28-Mar-17,63.15,64.05,62.20,63.90,441235
27-Mar-17,62.35,64.25,62.35,63.10,494026
24-Mar-17,60.15,62.45,60.15,62.05,426450
23-Mar-17,59.90,60.50,59.60,59.95,361499
22-Mar-17,59.95,60.15,58.90,60.05,293749
21-Mar-17,61.00,61.10,59.60,60.00,453430
20-Mar-17,62.10,62.10,60.68,60.85,332066
17-Mar-17,62.05,62.40,61.65,62.10,320141
16-Mar-17,62.70,62.70,61.85,62.10,250857
15-Mar-17,62.20,63.00,61.90,62.60,428071
14-Mar-17,62.65,62.95,61.45,61.90,262263
13-Mar-17,63.70,64.75,62.30,62.85,265087
10-Mar-17,64.95,65.00,63.05,63.60,377244
9-Mar-17,64.35,65.35,64.25,64.75,394113
8-Mar-17,64.45,65.45,64.35,64.40,256189
7-Mar-17,64.45,64.90,63.76,64.55,412741
6-Mar-17,64.85,65.00,64.20,64.80,337764
3-Mar-17,63.55,65.05,62.95,64.80,368017
2-Mar-17,64.05,64.40,63.45,63.60,630129
1-Mar-17,64.60,64.90,63.50,64.30,547220
28-Feb-17,64.20,64.25,63.65,64.05,459446
27-Feb-17,64.05,64.75,63.85,64.50,482075
24-Feb-17,63.75,64.55,63.70,64.10,393228
23-Feb-17,65.00,65.00,64.00,64.25,490611
22-Feb-17,65.20,65.50,64.35,64.85,338827
21-Feb-17,64.25,66.10,64.05,65.15,631365
17-Feb-17,69.95,70.95,60.25,63.90,943150
16-Feb-17,63.80,64.10,62.65,62.95,551319
15-Feb-17,62.50,64.25,62.50,63.75,649510
14-Feb-17,61.90,62.65,61.30,62.60,370180
13-Feb-17,61.35,62.25,61.30,62.10,307227
10-Feb-17,61.45,61.60,60.75,61.25,169281
9-Feb-17,60.30,61.55,60.30,61.30,298523
8-Feb-17,60.15,60.95,59.85,60.40,255516
7-Feb-17,60.60,61.50,59.80,60.30,257552
6-Feb-17,60.65,61.25,60.15,60.40,274282
3-Feb-17,59.30,60.70,58.65,60.65,384375
2-Feb-17,59.20,59.40,58.55,59.10,533286
1-Feb-17,59.70,60.18,59.20,59.50,412298
31-Jan-17,59.25,59.55,58.55,59.35,534409
30-Jan-17,59.75,59.75,58.60,58.90,408909
27-Jan-17,60.10,60.25,59.45,60.00,210117
26-Jan-17,60.50,60.60,59.90,60.15,371861
25-Jan-17,60.40,60.95,60.15,60.45,248450
24-Jan-17,60.10,60.58,59.35,60.25,344033
23-Jan-17,60.20,60.20,58.85,60.00,731877
20-Jan-17,60.30,61.15,60.30,60.40,264767
19-Jan-17,61.60,61.60,60.10,60.30,511069
18-Jan-17,61.55,61.70,60.70,61.55,550594
17-Jan-17,59.05,61.58,58.65,61.35,568497
13-Jan-17,59.30,59.60,58.80,59.20,624458
12-Jan-17,58.25,59.15,57.45,59.15,381527
11-Jan-17,58.25,58.90,57.90,58.65,508629
10-Jan-17,59.85,59.90,57.85,58.30,517769
9-Jan-17,58.95,60.05,58.85,59.90,445763
6-Jan-17,59.35,59.45,58.75,59.10,328806
5-Jan-17,58.65,59.40,58.10,59.10,382304
4-Jan-17,58.30,59.50,57.70,58.85,708153
3-Jan-17,57.35,58.50,56.60,58.05,423450
30-Dec-16,57.55,57.55,56.58,56.80,296798
29-Dec-16,57.60,58.35,57.15,57.45,259799
28-Dec-16,58.75,58.75,57.42,57.75,320022
27-Dec-16,59.10,59.25,58.40,58.68,232909
23-Dec-16,58.65,59.35,58.40,59.00,236879
22-Dec-16,58.40,59.60,57.35,58.45,395853
21-Dec-16,58.65,58.85,58.35,58.55,176292
20-Dec-16,58.80,59.40,58.05,58.65,308792
19-Dec-16,58.25,58.80,58.10,58.50,266440
16-Dec-16,57.95,58.35,57.59,58.35,727241
15-Dec-16,56.35,58.32,55.75,57.95,366201
14-Dec-16,57.35,57.88,56.08,56.25,520450
13-Dec-16,57.45,57.95,56.60,57.30,422342
12-Dec-16,56.95,58.25,56.90,57.02,510105
9-Dec-16,56.70,57.05,56.00,56.90,390407
8-Dec-16,55.80,57.55,55.80,56.30,650345
7-Dec-16,55.00,57.25,54.50,55.50,731783
6-Dec-16,54.70,55.35,54.30,55.05,375393
5-Dec-16,54.55,54.85,54.15,54.70,468893
2-Dec-16,54.95,55.85,54.20,54.30,555044
1-Dec-16,55.25,56.00,54.55,54.80,779470
30-Nov-16,55.70,55.80,54.80,54.95,375497
29-Nov-16,55.40,56.15,55.05,55.40,435969
28-Nov-16,56.65,57.10,55.50,55.55,341665
25-Nov-16,56.50,56.90,56.30,56.55,173170
23-Nov-16,55.55,56.80,55.10,56.55,425822
22-Nov-16,57.70,57.70,55.70,56.00,470574
21-Nov-16,57.40,58.05,57.20,57.45,374558
18-Nov-16,57.45,57.70,56.85,57.25,289996
17-Nov-16,55.90,57.70,55.90,57.30,364379
16-Nov-16,56.30,56.80,55.20,55.95,592964
15-Nov-16,55.45,56.40,54.40,56.35,575557
14-Nov-16,52.85,56.15,52.85,55.00,986067
11-Nov-16,54.00,54.00,50.60,52.55,1365431
10-Nov-16,53.35,54.45,53.20,53.75,1203689
9-Nov-16,51.55,55.00,51.50,52.80,2653406
8-Nov-16,60.45,61.45,59.70,61.05,578141
7-Nov-16,59.35,61.30,59.35,60.55,864126
4-Nov-16,56.55,58.80,56.20,58.10,637940
3-Nov-16,58.00,58.90,56.38,56.65,573674
2-Nov-16,58.10,59.25,57.75,58.05,500918
1-Nov-16,59.65,60.25,57.55,58.20,783893
31-Oct-16,60.05,60.10,59.30,59.85,778170
28-Oct-16,59.00,61.25,57.75,59.35,1679759
27-Oct-16,58.90,60.00,56.60,56.80,1002307
26-Oct-16,60.55,60.90,59.25,59.85,646906
25-Oct-16,61.00,61.95,60.60,60.95,372453
24-Oct-16,61.70,62.00,61.40,61.75,228814
21-Oct-16,61.40,62.50,60.45,61.45,237595
20-Oct-16,61.75,62.30,61.22,61.60,419065
19-Oct-16,61.55,62.20,60.80,61.75,374293
18-Oct-16,60.60,62.10,60.60,61.65,386120
17-Oct-16,60.70,60.90,59.75,60.30,347239
14-Oct-16,60.90,61.15,60.25,60.50,391205
13-Oct-16,59.35,61.40,58.60,60.55,510302
12-Oct-16,60.10,60.45,59.70,59.80,377391
11-Oct-16,60.10,61.15,59.40,59.85,374501
10-Oct-16,58.90,60.65,58.75,60.35,481643
7-Oct-16,59.12,59.48,58.45,58.71,416974
6-Oct-16,59.38,59.38,58.43,59.09,322881
5-Oct-16,58.85,59.82,58.67,59.43,785201
4-Oct-16,58.31,59.01,58.00,58.49,341432
3-Oct-16,59.23,59.36,57.66,58.36,511545
30-Sep-16,58.47,59.54,57.45,59.23,342844
29-Sep-16,58.50,59.45,57.85,58.20,397165
28-Sep-16,58.39,59.07,57.93,58.91,410936
27-Sep-16,58.10,58.72,57.73,58.40,241989
26-Sep-16,58.61,58.61,57.50,58.14,329179
23-Sep-16,59.03,59.72,58.30,58.64,330343
22-Sep-16,58.05,59.43,57.56,59.29,372326
21-Sep-16,57.67,58.35,57.37,57.95,413737
20-Sep-16,58.09,58.09,57.39,57.58,341942
19-Sep-16,57.56,58.44,57.32,57.64,319918
16-Sep-16,56.57,58.00,56.42,57.40,711665
15-Sep-16,56.57,57.05,55.83,56.77,346543
14-Sep-16,57.72,57.83,56.33,56.84,407017
13-Sep-16,57.71,58.00,57.09,57.52,328998
12-Sep-16,58.15,58.82,57.34,58.35,446867
9-Sep-16,58.72,59.15,58.22,58.25,395781
8-Sep-16,59.39,59.75,58.59,59.30,379893
7-Sep-16,57.52,59.54,57.52,59.44,537719
6-Sep-16,57.41,57.75,56.46,57.71,519273
2-Sep-16,56.96,57.99,56.60,57.72,337152
1-Sep-16,56.60,56.92,55.92,56.62,578832
31-Aug-16,57.00,57.03,56.00,56.60,488629
30-Aug-16,56.15,57.09,56.15,56.95,370264
29-Aug-16,55.35,56.66,55.35,56.38,274811
26-Aug-16,55.55,55.92,55.07,55.58,479560
25-Aug-16,55.35,55.96,55.16,55.32,482075
24-Aug-16,56.26,56.72,55.19,55.60,457833
23-Aug-16,56.51,57.35,56.29,56.32,254200
22-Aug-16,56.05,56.67,55.79,56.49,401261
19-Aug-16,55.59,56.18,55.22,56.07,357250
18-Aug-16,55.83,56.13,55.34,56.06,816775
17-Aug-16,57.11,57.30,55.20,55.68,720139
16-Aug-16,58.40,58.40,56.87,57.16,656583
15-Aug-16,58.23,58.72,58.08,58.41,372345
12-Aug-16,57.53,58.42,57.46,57.95,355383
11-Aug-16,57.46,58.13,56.91,57.57,590439
10-Aug-16,58.40,58.80,57.48,57.79,334854
9-Aug-16,58.17,59.08,57.73,58.40,593759
8-Aug-16,58.49,59.04,58.06,58.28,357429
5-Aug-16,59.04,59.05,58.20,58.34,420371
4-Aug-16,59.05,59.33,58.28,58.55,500447
3-Aug-16,56.35,59.00,55.65,58.92,944327
2-Aug-16,57.00,57.72,55.35,56.94,967421
1-Aug-16,59.01,59.34,55.70,57.30,1776914
29-Jul-16,59.74,59.74,54.82,59.18,3048717
28-Jul-16,64.36,64.63,63.30,64.01,1051898
27-Jul-16,65.88,65.88,64.22,64.83,370859
26-Jul-16,65.74,66.45,64.92,66.40,288986
