Date,Open,High,Low,Close,Volume
20-Oct-17,86.53,86.85,86.24,86.63,221487
19-Oct-17,86.48,86.78,85.41,85.84,247492
18-Oct-17,85.36,87.13,85.36,86.61,560879
17-Oct-17,84.91,85.80,84.75,85.50,253803
16-Oct-17,84.93,85.74,84.58,84.97,355975
13-Oct-17,85.39,85.44,84.95,85.01,216288
12-Oct-17,84.96,85.84,84.79,85.51,229825
11-Oct-17,85.08,85.53,84.90,85.17,395946
10-Oct-17,85.89,86.15,84.95,85.08,269933
9-Oct-17,87.15,87.31,85.92,85.94,147188
6-Oct-17,87.10,87.48,86.86,87.14,230372
5-Oct-17,86.68,87.19,86.15,87.11,311277
4-Oct-17,85.45,86.63,85.22,86.60,243178
3-Oct-17,86.80,87.08,85.03,85.45,288109
2-Oct-17,87.23,87.86,86.64,86.89,351379
29-Sep-17,85.15,86.72,84.94,86.56,480668
28-Sep-17,85.73,85.74,84.87,84.91,362016
27-Sep-17,84.60,85.88,84.60,85.63,417467
26-Sep-17,84.78,84.87,84.01,84.35,555118
25-Sep-17,84.98,85.45,84.29,84.73,388856
22-Sep-17,84.49,85.22,84.18,84.98,285750
21-Sep-17,85.51,85.59,84.77,84.91,396148
20-Sep-17,85.57,85.99,85.10,85.77,365661
19-Sep-17,85.63,86.02,84.90,85.35,326079
18-Sep-17,85.47,86.11,85.07,85.64,345616
15-Sep-17,85.51,86.00,84.95,85.58,930450
14-Sep-17,85.55,85.64,84.90,85.36,470414
13-Sep-17,87.01,87.35,85.29,85.56,387022
12-Sep-17,87.04,87.58,86.43,87.20,269087
11-Sep-17,87.48,88.25,86.44,86.86,374214
8-Sep-17,85.99,86.73,85.44,86.14,398985
7-Sep-17,86.20,86.73,85.76,86.06,380197
6-Sep-17,85.34,86.39,84.01,86.19,533869
5-Sep-17,85.42,86.90,85.00,85.32,431247
1-Sep-17,84.47,85.87,84.35,85.55,418607
31-Aug-17,83.61,84.39,82.77,84.38,479552
30-Aug-17,82.00,83.66,81.62,83.25,614057
29-Aug-17,81.25,82.30,81.01,82.00,721140
28-Aug-17,82.36,82.74,81.32,81.79,995688
25-Aug-17,84.00,84.19,81.41,81.97,834004
24-Aug-17,84.81,85.00,83.78,84.23,537577
23-Aug-17,86.33,86.33,84.26,84.48,469742
22-Aug-17,86.54,87.06,86.11,86.64,476293
21-Aug-17,85.90,86.63,85.66,86.39,302079
18-Aug-17,86.76,87.03,85.60,85.78,497663
17-Aug-17,86.31,87.60,86.06,87.25,725049
16-Aug-17,85.82,86.78,85.38,86.45,425799
15-Aug-17,85.74,85.92,84.54,85.30,377677
14-Aug-17,86.72,86.99,84.42,85.54,664144
11-Aug-17,82.20,84.58,82.14,83.58,604908
10-Aug-17,83.36,83.70,81.37,82.04,784870
9-Aug-17,84.70,85.10,83.30,84.05,571540
8-Aug-17,85.97,86.10,85.04,85.39,604395
7-Aug-17,85.37,87.40,85.21,86.17,608264
4-Aug-17,87.04,87.67,84.28,85.29,1120113
3-Aug-17,97.26,100.00,85.50,86.66,1624028
2-Aug-17,96.58,96.82,93.67,96.08,873750
1-Aug-17,95.61,96.71,95.02,96.62,481191
31-Jul-17,96.69,96.79,94.43,94.60,409777
28-Jul-17,95.31,96.77,94.50,96.36,351797
27-Jul-17,97.22,97.35,94.51,95.53,458671
26-Jul-17,98.83,99.50,96.70,96.86,414585
25-Jul-17,98.36,98.89,97.32,98.77,460366
24-Jul-17,96.42,98.50,96.42,98.36,404871
21-Jul-17,97.78,97.79,96.01,96.19,335461
20-Jul-17,96.22,97.65,96.02,97.27,409892
19-Jul-17,95.75,97.23,95.21,96.07,737008
18-Jul-17,95.89,96.17,94.68,95.14,628290
17-Jul-17,94.67,96.17,94.50,95.60,610998
14-Jul-17,92.40,94.99,91.92,94.32,534771
13-Jul-17,92.90,92.90,91.05,92.25,393992
12-Jul-17,93.91,93.95,92.56,92.91,437445
11-Jul-17,92.00,93.84,91.42,93.29,716834
10-Jul-17,90.93,91.68,89.90,91.28,304095
7-Jul-17,89.45,91.34,89.07,91.04,277839
6-Jul-17,91.13,91.48,88.75,88.97,328007
5-Jul-17,90.27,91.92,90.23,91.59,312173
3-Jul-17,91.71,91.94,90.16,90.38,240637
30-Jun-17,91.70,92.00,90.66,91.18,477280
29-Jun-17,94.30,94.37,90.00,91.30,428641
28-Jun-17,93.00,94.48,92.22,94.35,383470
27-Jun-17,93.40,93.40,91.75,92.40,366121
26-Jun-17,94.00,94.74,93.09,93.50,343943
23-Jun-17,93.42,94.03,92.93,93.94,379116
22-Jun-17,93.48,93.81,92.22,93.29,286071
21-Jun-17,92.99,94.00,92.69,93.48,310503
20-Jun-17,92.69,94.08,92.67,92.88,517511
19-Jun-17,91.85,93.30,91.29,93.08,270945
16-Jun-17,89.99,91.70,89.95,91.11,639658
15-Jun-17,89.28,90.91,88.04,90.85,307578
14-Jun-17,91.00,91.70,89.48,90.35,309903
13-Jun-17,89.71,91.58,89.11,90.88,418268
12-Jun-17,88.39,89.13,85.10,89.06,568233
9-Jun-17,91.67,92.20,88.14,88.91,745912
8-Jun-17,92.32,92.58,90.93,91.79,597045
7-Jun-17,88.96,92.29,88.76,91.97,613040
6-Jun-17,90.38,90.38,88.76,89.09,523826
5-Jun-17,90.53,91.14,90.19,90.87,386717
2-Jun-17,88.58,90.98,88.48,90.50,706178
1-Jun-17,87.24,88.43,86.12,88.40,497992
31-May-17,87.49,87.96,86.59,87.04,398733
30-May-17,87.31,87.88,86.66,87.01,328701
26-May-17,87.66,87.92,86.91,87.44,349266
25-May-17,86.04,87.98,85.84,87.60,472976
24-May-17,86.02,86.40,85.38,85.84,370785
23-May-17,86.00,86.28,85.26,85.83,335097
22-May-17,85.51,86.09,85.39,85.93,503594
19-May-17,84.77,86.45,84.47,85.67,489756
18-May-17,83.40,85.30,82.71,84.89,602870
17-May-17,84.64,85.29,83.31,83.67,868430
16-May-17,86.15,86.23,83.24,85.63,1020405
15-May-17,88.29,88.61,85.31,86.07,693322
12-May-17,85.02,85.12,84.26,84.83,400216
11-May-17,85.10,85.51,84.24,85.13,690371
10-May-17,85.08,85.72,84.03,85.43,1111621
9-May-17,85.47,86.61,84.28,85.70,839745
8-May-17,88.25,88.65,85.58,85.79,1413340
5-May-17,89.75,89.81,87.25,88.41,1620188
4-May-17,101.37,101.63,86.61,88.75,3684950
3-May-17,103.46,103.97,101.68,103.48,821161
2-May-17,104.71,104.71,102.85,103.42,926186
1-May-17,102.99,104.62,102.36,104.46,913268
28-Apr-17,101.90,102.95,101.74,102.74,718784
27-Apr-17,100.98,102.00,100.50,101.86,504496
26-Apr-17,100.19,101.00,99.90,100.99,662596
25-Apr-17,99.79,101.00,99.79,99.90,1030670
24-Apr-17,98.68,99.96,98.42,99.71,903835
21-Apr-17,97.61,98.09,97.01,97.53,600302
20-Apr-17,95.25,97.62,94.72,97.39,691174
19-Apr-17,94.40,95.14,94.01,94.89,430117
18-Apr-17,93.41,94.26,92.57,93.99,447466
17-Apr-17,92.65,94.35,92.51,94.23,478688
13-Apr-17,93.55,93.97,92.52,92.56,555818
12-Apr-17,94.40,94.74,93.38,93.89,421144
11-Apr-17,92.65,94.50,92.65,94.50,647212
10-Apr-17,93.13,93.59,92.59,93.12,467533
7-Apr-17,92.53,93.60,92.44,92.99,411151
6-Apr-17,92.99,93.24,92.14,92.73,453076
5-Apr-17,93.93,94.70,92.88,92.97,776933
4-Apr-17,93.24,93.83,92.86,93.62,700636
3-Apr-17,93.39,94.95,92.73,93.15,948414
31-Mar-17,93.39,93.54,92.74,93.26,792013
30-Mar-17,93.60,93.97,93.18,93.72,306737
29-Mar-17,93.21,93.85,92.85,93.54,439341
28-Mar-17,93.27,93.70,92.96,93.54,642449
27-Mar-17,92.42,93.57,91.82,93.27,680884
24-Mar-17,93.26,94.00,93.01,93.22,705485
23-Mar-17,93.30,93.85,92.12,92.96,627307
22-Mar-17,91.85,93.93,91.59,93.27,918794
21-Mar-17,92.90,93.99,91.82,92.21,752549
20-Mar-17,93.40,93.73,91.68,92.63,1119243
17-Mar-17,91.84,94.24,91.51,93.22,8019057
16-Mar-17,95.47,95.62,91.05,92.30,1783564
15-Mar-17,95.83,96.50,95.06,96.47,1030564
14-Mar-17,96.23,96.48,95.30,95.81,738448
13-Mar-17,95.58,96.68,95.18,96.28,851144
10-Mar-17,94.91,95.65,94.70,95.37,664027
9-Mar-17,94.00,94.82,93.55,94.79,1161981
8-Mar-17,94.39,94.74,93.95,94.18,968945
7-Mar-17,93.43,94.72,93.04,94.32,1092046
6-Mar-17,93.28,94.18,92.50,93.58,897260
3-Mar-17,93.05,93.49,92.24,93.28,725100
2-Mar-17,93.00,93.31,92.07,93.01,1076198
1-Mar-17,91.00,92.93,90.90,92.78,1150764
28-Feb-17,90.08,91.78,90.00,90.36,1254971
27-Feb-17,89.03,90.48,88.50,90.19,1530695
24-Feb-17,86.79,88.63,86.69,88.53,764517
23-Feb-17,87.50,87.73,86.60,87.16,798228
22-Feb-17,85.35,87.65,85.30,87.05,1246292
21-Feb-17,84.54,85.94,84.37,85.32,1572538
17-Feb-17,81.85,84.15,81.67,84.11,1266217
16-Feb-17,80.18,81.76,79.81,81.74,1301237
15-Feb-17,77.47,80.62,76.05,80.02,2547995
14-Feb-17,75.39,77.17,75.06,76.99,759055
13-Feb-17,76.00,76.29,75.23,75.69,626752
10-Feb-17,77.06,77.14,76.05,76.64,386731
9-Feb-17,75.79,77.18,75.67,76.88,479737
8-Feb-17,76.31,76.31,75.59,75.65,488314
7-Feb-17,75.67,76.25,75.38,76.19,401729
6-Feb-17,75.22,75.67,74.66,75.41,510856
3-Feb-17,74.64,75.20,74.32,75.08,374996
2-Feb-17,74.14,74.60,73.70,74.49,421570
1-Feb-17,74.00,74.82,73.62,73.97,433066
31-Jan-17,71.82,73.72,71.55,73.58,496550
30-Jan-17,72.50,72.50,71.15,71.78,277046
27-Jan-17,72.11,72.89,72.11,72.58,239016
26-Jan-17,72.21,72.26,71.65,72.11,456443
25-Jan-17,71.71,72.50,71.28,72.30,409718
24-Jan-17,71.47,71.88,70.48,71.68,344304
23-Jan-17,71.52,72.02,71.01,71.35,317163
20-Jan-17,72.11,72.50,71.00,71.53,508356
19-Jan-17,72.36,72.50,71.28,71.79,477921
18-Jan-17,71.82,72.20,71.50,72.19,382194
17-Jan-17,71.97,71.97,70.66,71.57,369048
13-Jan-17,71.69,72.13,71.03,71.52,502301
12-Jan-17,70.40,71.34,69.70,71.29,412193
11-Jan-17,70.86,71.06,69.57,70.46,453441
10-Jan-17,68.94,70.77,68.87,70.64,591674
9-Jan-17,68.26,68.97,67.85,68.81,349203
6-Jan-17,67.53,68.30,67.25,67.83,455978
5-Jan-17,67.85,67.99,67.50,67.52,386547
4-Jan-17,67.41,67.92,67.29,67.72,436731
3-Jan-17,68.26,68.26,66.79,67.40,433404
30-Dec-16,67.89,67.92,66.90,67.40,204775
29-Dec-16,67.36,67.89,67.17,67.45,193326
28-Dec-16,67.85,68.09,66.85,67.07,224542
27-Dec-16,68.11,68.88,67.75,67.85,337030
23-Dec-16,67.25,67.54,66.87,67.50,223640
22-Dec-16,67.93,67.97,67.09,67.16,280340
21-Dec-16,67.42,68.02,66.90,67.54,361647
20-Dec-16,67.21,67.24,66.55,67.20,408856
19-Dec-16,67.79,67.95,66.34,66.53,714925
16-Dec-16,65.59,67.00,65.16,66.55,889785
15-Dec-16,65.42,65.81,64.29,65.70,354857
14-Dec-16,65.31,65.78,64.80,65.18,231768
13-Dec-16,64.86,65.35,64.32,65.14,385564
12-Dec-16,64.76,65.24,64.12,64.80,247445
9-Dec-16,64.06,64.71,63.71,64.69,272351
8-Dec-16,63.08,64.47,62.96,63.74,272981
7-Dec-16,62.77,63.45,62.17,63.28,285762
6-Dec-16,62.20,63.00,60.31,62.98,278103
5-Dec-16,61.56,62.21,61.50,62.13,314406
2-Dec-16,61.04,61.60,60.88,61.31,306390
1-Dec-16,61.94,62.24,60.62,61.13,398347
30-Nov-16,62.24,62.41,61.58,61.87,408858
29-Nov-16,61.99,62.49,61.87,62.14,297312
28-Nov-16,62.34,62.60,61.63,61.77,275582
25-Nov-16,62.10,62.62,61.99,62.60,126780
23-Nov-16,61.79,62.29,61.40,62.09,229396
22-Nov-16,62.00,62.00,60.99,61.78,385882
21-Nov-16,61.97,62.25,61.48,61.99,504352
18-Nov-16,61.91,62.00,61.22,61.91,337817
17-Nov-16,62.00,62.15,61.64,61.70,647203
16-Nov-16,61.28,61.93,61.16,61.66,298908
15-Nov-16,60.56,61.71,60.04,61.28,335872
14-Nov-16,61.25,61.96,60.14,60.41,543943
11-Nov-16,61.22,62.00,60.69,61.17,411623
10-Nov-16,61.89,61.99,60.29,60.98,311703
9-Nov-16,60.20,61.18,59.26,61.03,345813
8-Nov-16,59.71,60.89,59.18,60.40,227192
7-Nov-16,58.35,60.64,57.31,60.47,770301
4-Nov-16,57.92,58.66,57.07,57.18,403505
3-Nov-16,59.25,59.25,56.87,57.60,796098
2-Nov-16,54.48,54.73,53.78,54.35,583308
1-Nov-16,55.00,55.45,53.83,54.61,593643
31-Oct-16,56.15,56.15,54.68,55.00,708293
28-Oct-16,55.90,57.16,55.57,56.30,410120
27-Oct-16,56.61,56.92,56.01,56.13,423266
26-Oct-16,58.43,58.64,55.91,56.47,667825
25-Oct-16,59.57,59.81,58.39,58.58,287280
24-Oct-16,58.97,59.95,58.97,59.57,248863
21-Oct-16,58.88,59.38,58.50,58.96,194203
20-Oct-16,58.89,59.41,58.61,59.26,214822
19-Oct-16,59.32,59.36,58.63,59.09,185415
18-Oct-16,59.62,59.70,59.01,59.08,280142
17-Oct-16,58.23,59.09,58.23,58.89,230044
14-Oct-16,58.76,58.92,58.19,58.44,146189
13-Oct-16,58.53,58.94,58.08,58.44,140104
12-Oct-16,58.82,59.28,57.99,58.92,248091
11-Oct-16,60.27,60.27,58.30,58.66,294002
10-Oct-16,60.00,60.81,59.93,60.36,552014
7-Oct-16,59.87,60.20,59.52,59.97,338605
6-Oct-16,59.93,60.21,59.19,59.85,356981
5-Oct-16,59.21,59.89,59.09,59.67,144558
4-Oct-16,60.01,60.24,58.96,59.24,203886
3-Oct-16,59.16,60.04,58.73,60.00,363932
30-Sep-16,58.89,59.80,58.55,59.49,257973
29-Sep-16,59.66,59.66,58.22,58.58,320541
28-Sep-16,59.64,59.84,59.27,59.82,156684
27-Sep-16,59.31,60.05,58.88,59.63,218637
26-Sep-16,59.65,59.73,59.06,59.16,169441
23-Sep-16,60.20,60.27,59.60,59.77,243180
22-Sep-16,59.93,60.52,59.81,60.32,307193
21-Sep-16,59.61,59.90,58.87,59.85,168602
20-Sep-16,60.22,60.46,59.25,59.31,196598
19-Sep-16,59.75,60.05,59.39,59.84,338098
16-Sep-16,58.83,59.62,58.59,59.34,632796
15-Sep-16,57.09,58.66,57.09,58.62,187021
14-Sep-16,57.57,57.98,57.30,57.37,305473
13-Sep-16,58.42,58.46,57.00,57.31,216208
12-Sep-16,57.11,58.41,56.79,58.40,288497
9-Sep-16,58.94,58.94,57.52,57.54,267122
8-Sep-16,59.80,59.95,59.28,59.31,245351
7-Sep-16,59.73,60.02,59.50,59.95,393088
6-Sep-16,60.00,60.00,59.28,59.54,280308
2-Sep-16,59.50,59.90,59.13,59.90,269460
1-Sep-16,59.35,59.50,58.63,59.43,266091
31-Aug-16,59.17,59.32,58.71,59.14,408684
30-Aug-16,59.45,59.75,58.94,58.99,264824
29-Aug-16,59.26,59.72,58.63,59.65,425630
26-Aug-16,57.78,59.08,57.72,58.97,530190
25-Aug-16,57.91,58.36,57.37,57.88,461293
24-Aug-16,58.46,58.76,57.90,58.01,274089
23-Aug-16,58.23,58.89,58.23,58.64,308688
22-Aug-16,57.82,58.70,57.52,58.31,308899
19-Aug-16,58.00,58.21,57.78,58.01,280082
18-Aug-16,58.14,58.66,58.00,58.30,367009
17-Aug-16,58.61,58.88,57.80,57.99,313155
16-Aug-16,59.00,59.00,58.36,58.78,295523
15-Aug-16,58.52,59.72,58.47,59.03,550897
12-Aug-16,58.11,58.61,57.73,58.24,404434
11-Aug-16,57.88,58.44,57.68,58.12,485602
10-Aug-16,57.26,57.98,57.26,57.63,452940
9-Aug-16,55.81,57.55,55.81,57.32,487543
8-Aug-16,56.15,56.25,55.69,55.72,273874
5-Aug-16,57.86,58.34,55.70,55.98,585288
4-Aug-16,55.00,59.18,54.97,57.43,1246180
3-Aug-16,52.55,53.31,52.07,53.18,558083
2-Aug-16,53.16,53.16,52.44,52.54,225086
1-Aug-16,53.07,53.66,52.86,52.93,302291
29-Jul-16,52.37,53.22,52.04,52.97,317770
28-Jul-16,52.31,53.09,52.31,52.58,203472
27-Jul-16,52.27,52.45,51.67,52.23,208874
26-Jul-16,51.53,52.06,51.47,52.06,239181
25-Jul-16,51.93,52.28,51.10,51.50,306961
22-Jul-16,52.28,52.28,51.62,51.80,274596
21-Jul-16,53.05,53.94,52.10,52.42,254775
