Date,Open,High,Low,Close,Volume
20-Oct-17,44.62,44.80,44.13,44.51,805620
19-Oct-17,42.16,44.55,42.03,44.51,1346755
18-Oct-17,41.95,42.62,41.83,42.12,1038716
17-Oct-17,42.37,42.45,41.60,41.90,1046603
16-Oct-17,42.28,42.82,42.22,42.29,2017290
13-Oct-17,42.14,42.68,41.91,42.17,1038853
12-Oct-17,43.10,43.25,42.22,42.75,1012285
11-Oct-17,43.11,43.31,43.04,43.07,24213
10-Oct-17,42.68,43.60,42.65,43.03,1008751
9-Oct-17,43.53,43.53,42.45,42.58,1309070
6-Oct-17,43.59,44.20,43.44,43.62,1033137
5-Oct-17,43.59,43.92,43.30,43.57,1517312
4-Oct-17,44.71,44.90,43.59,43.66,1343719
3-Oct-17,44.76,45.05,44.07,44.80,1699904
2-Oct-17,43.12,44.47,42.74,44.28,2928272
29-Sep-17,43.27,43.69,42.92,43.12,1791011
28-Sep-17,43.80,43.92,42.84,43.12,609034
27-Sep-17,43.29,43.86,43.15,43.80,2007296
26-Sep-17,42.88,43.31,42.56,43.22,1926201
25-Sep-17,42.07,43.04,42.07,42.77,1161755
22-Sep-17,42.02,42.34,41.72,42.14,1411695
21-Sep-17,42.14,42.14,41.80,42.00,572730
20-Sep-17,41.12,42.20,41.00,42.13,1475659
19-Sep-17,43.10,43.10,40.78,41.19,2610481
18-Sep-17,43.59,43.59,42.69,43.10,815435
15-Sep-17,42.91,43.07,42.54,42.90,2071455
14-Sep-17,43.15,43.22,42.75,43.04,1431140
13-Sep-17,43.45,43.84,42.95,43.12,836533
12-Sep-17,42.85,43.34,42.49,43.24,1701829
11-Sep-17,42.41,42.98,42.15,42.81,554671
8-Sep-17,41.50,42.12,41.20,41.98,802296
7-Sep-17,42.60,42.65,41.43,41.63,1006921
6-Sep-17,43.13,43.17,42.18,42.55,1444941
5-Sep-17,43.94,44.08,42.75,42.93,780738
1-Sep-17,44.78,44.92,43.92,44.09,764780
31-Aug-17,43.51,44.91,43.46,44.85,963318
30-Aug-17,43.32,43.47,42.82,43.32,872005
29-Aug-17,43.96,44.03,42.94,43.17,773858
28-Aug-17,44.29,44.53,44.02,44.15,548573
25-Aug-17,42.78,44.30,42.62,44.22,861599
24-Aug-17,43.12,43.17,42.69,42.83,749808
23-Aug-17,43.02,43.44,42.84,42.89,1157621
22-Aug-17,43.00,43.34,42.85,43.08,1504314
21-Aug-17,42.47,43.10,42.35,42.96,956197
18-Aug-17,41.86,42.44,41.53,42.27,663839
17-Aug-17,42.30,42.89,41.86,41.89,737434
16-Aug-17,43.27,43.48,42.76,42.89,803063
15-Aug-17,42.98,43.27,42.62,43.22,954809
14-Aug-17,43.03,43.62,42.57,42.93,941269
11-Aug-17,41.94,42.83,41.52,42.76,917314
10-Aug-17,42.62,42.95,41.90,42.10,1183153
9-Aug-17,43.96,44.49,42.62,42.71,1666895
8-Aug-17,43.87,44.46,43.76,44.30,1846131
7-Aug-17,44.49,44.66,43.85,43.91,933805
4-Aug-17,44.46,44.61,43.88,44.42,1195530
3-Aug-17,45.13,45.23,44.21,44.37,2529411
2-Aug-17,45.66,45.88,44.70,44.97,2503291
1-Aug-17,46.92,46.95,45.60,45.71,2430101
31-Jul-17,-,-,46.43,46.98,1570903
28-Jul-17,51.49,52.00,46.70,47.73,3638964
27-Jul-17,56.45,57.35,55.93,56.49,1117824
26-Jul-17,56.98,57.34,56.22,56.64,610827
25-Jul-17,57.92,58.50,57.04,57.28,979952
24-Jul-17,58.05,58.35,57.69,58.10,519360
21-Jul-17,57.64,58.13,57.21,58.11,456331
20-Jul-17,57.10,57.81,56.73,57.61,721405
19-Jul-17,57.50,57.80,56.54,56.93,982445
18-Jul-17,58.33,58.33,56.78,57.45,1040186
17-Jul-17,58.56,59.08,58.38,58.45,492814
