Date,Open,High,Low,Close,Volume
20-Oct-17,34.70,34.70,33.65,33.98,954322
19-Oct-17,34.42,34.58,33.88,34.45,628527
18-Oct-17,34.57,34.80,34.09,34.54,622976
17-Oct-17,34.80,35.05,34.41,34.57,645308
16-Oct-17,34.80,35.64,34.53,34.88,625211
13-Oct-17,35.24,35.39,34.66,34.71,870557
12-Oct-17,35.71,35.71,34.87,35.21,955821
11-Oct-17,37.56,37.73,35.84,35.89,1092046
10-Oct-17,37.67,37.68,36.65,37.47,855463
9-Oct-17,38.26,38.39,37.66,37.71,1138440
6-Oct-17,37.23,38.22,37.06,38.17,1072960
5-Oct-17,39.44,39.44,36.93,37.37,1756297
4-Oct-17,38.29,38.75,37.71,38.27,677699
3-Oct-17,38.04,38.43,37.36,38.30,1110353
2-Oct-17,37.03,38.24,36.79,38.18,1363340
29-Sep-17,36.62,37.18,36.38,37.04,896748
28-Sep-17,36.75,36.83,36.36,36.61,693680
27-Sep-17,36.37,37.18,36.18,36.75,808383
26-Sep-17,36.20,36.37,35.57,36.27,792104
25-Sep-17,35.44,36.59,35.11,36.20,1061002
22-Sep-17,35.05,35.55,34.76,35.44,1094948
21-Sep-17,35.51,36.10,34.87,34.95,1049024
20-Sep-17,34.80,36.97,34.70,35.66,2306491
19-Sep-17,34.57,34.74,33.76,33.85,889287
18-Sep-17,33.34,34.89,33.08,34.61,1247743
15-Sep-17,32.90,33.30,32.39,33.16,2983254
14-Sep-17,33.35,33.59,32.70,33.01,1145524
13-Sep-17,34.37,34.48,33.13,33.50,1495267
12-Sep-17,34.91,35.23,34.01,34.40,2095104
11-Sep-17,36.71,36.88,34.71,34.92,1741251
8-Sep-17,36.22,36.51,35.46,36.50,3137031
7-Sep-17,37.00,37.30,36.06,36.41,957210
6-Sep-17,38.16,38.20,37.16,37.26,767475
5-Sep-17,37.72,38.23,37.09,38.10,1193289
1-Sep-17,36.68,37.91,36.63,37.83,957424
31-Aug-17,36.56,37.27,35.81,36.69,1388569
30-Aug-17,39.80,40.40,36.00,36.43,3928137
29-Aug-17,38.00,38.94,37.51,38.74,1890458
28-Aug-17,37.50,37.86,36.82,37.72,1026598
25-Aug-17,35.93,36.95,35.81,36.90,880371
24-Aug-17,36.16,36.47,35.69,35.82,807323
23-Aug-17,34.76,36.29,34.76,36.09,1929645
22-Aug-17,34.98,35.82,34.97,35.41,1510471
21-Aug-17,35.25,35.72,35.01,35.39,615212
18-Aug-17,35.40,35.79,34.97,35.50,775467
17-Aug-17,36.44,36.76,35.38,35.40,1128118
16-Aug-17,36.94,37.02,36.50,36.66,712312
15-Aug-17,38.00,38.07,36.46,36.59,1117731
14-Aug-17,37.58,38.80,37.58,37.90,1371300
11-Aug-17,36.00,37.81,35.71,37.40,1564687
10-Aug-17,37.85,37.85,34.96,35.90,2039539
9-Aug-17,35.50,39.20,34.54,37.71,3022722
8-Aug-17,36.66,37.04,36.05,36.29,793323
7-Aug-17,36.86,36.86,36.11,36.65,578459
4-Aug-17,36.12,36.46,35.51,36.43,784165
3-Aug-17,37.05,37.14,36.10,36.13,732614
2-Aug-17,37.20,37.77,36.30,37.05,1213510
1-Aug-17,38.64,38.84,37.23,37.23,855395
31-Jul-17,38.44,38.79,38.11,38.45,653345
28-Jul-17,37.86,38.42,37.50,38.41,522705
27-Jul-17,38.25,38.40,37.50,37.95,743339
26-Jul-17,37.98,39.44,37.61,38.33,1034050
25-Jul-17,42.93,43.79,38.54,38.73,2794841
24-Jul-17,39.50,39.86,38.99,39.22,747944
21-Jul-17,39.61,39.67,38.86,39.47,735396
20-Jul-17,37.72,40.08,37.58,39.08,1667562
19-Jul-17,37.88,38.02,37.43,37.62,953544
18-Jul-17,38.24,38.24,37.19,37.76,1330113
17-Jul-17,38.69,39.22,38.24,38.30,698552
14-Jul-17,38.40,38.99,38.28,38.70,415156
13-Jul-17,38.11,38.55,37.37,38.33,650040
12-Jul-17,38.28,38.64,38.06,38.08,526479
11-Jul-17,38.03,38.83,37.68,38.10,555833
10-Jul-17,38.31,38.31,37.10,37.93,731064
7-Jul-17,38.33,38.50,37.95,38.33,527589
6-Jul-17,38.35,38.69,37.93,38.12,985176
5-Jul-17,38.27,38.94,38.08,38.64,670121
3-Jul-17,38.11,38.88,38.10,38.35,299579
30-Jun-17,38.80,38.91,38.00,38.01,544748
29-Jun-17,38.82,39.10,38.47,38.81,1743970
28-Jun-17,38.26,39.35,38.06,38.68,1270389
27-Jun-17,38.45,38.68,37.63,38.03,1439915
26-Jun-17,38.72,39.05,38.00,38.89,646024
23-Jun-17,38.15,38.73,37.89,38.60,884227
22-Jun-17,38.80,39.37,37.93,38.15,1251336
21-Jun-17,37.54,38.97,37.54,38.83,1561823
20-Jun-17,37.73,38.22,37.44,37.50,920048
19-Jun-17,37.28,38.01,36.91,37.77,1247329
16-Jun-17,37.41,37.86,36.98,37.09,1335993
15-Jun-17,38.04,38.18,37.40,37.61,986758
14-Jun-17,38.74,39.26,38.10,38.25,760651
13-Jun-17,38.48,38.96,38.15,38.75,850842
12-Jun-17,38.78,39.37,38.25,38.45,916752
9-Jun-17,39.50,40.18,38.91,39.03,865648
8-Jun-17,39.05,39.81,38.55,39.68,1189894
7-Jun-17,39.34,39.49,38.57,38.92,969884
6-Jun-17,38.24,40.57,37.67,39.20,1641704
5-Jun-17,40.00,40.13,38.20,38.56,1348334
2-Jun-17,39.66,40.23,38.76,40.19,1524183
1-Jun-17,39.88,40.42,38.37,39.71,2136443
31-May-17,37.95,39.88,37.75,39.77,3099174
30-May-17,39.11,39.28,37.66,37.76,1326008
26-May-17,39.22,39.30,38.57,39.14,1884595
25-May-17,40.01,40.36,38.94,39.39,1820310
24-May-17,40.90,40.90,39.99,40.00,1053460
23-May-17,41.26,41.40,40.16,40.95,1834928
22-May-17,42.00,42.63,40.50,41.06,2394682
19-May-17,43.49,43.86,42.48,42.56,2035621
18-May-17,43.98,44.45,42.75,43.39,1970205
17-May-17,46.56,46.63,43.95,43.96,1686321
16-May-17,47.67,47.90,46.90,47.08,867665
15-May-17,47.60,48.00,47.09,47.43,632878
12-May-17,47.40,47.54,46.57,47.46,910519
11-May-17,46.89,47.55,46.58,47.20,591618
10-May-17,46.60,47.18,46.21,46.87,898664
9-May-17,46.95,47.09,46.24,46.60,770278
8-May-17,47.50,47.67,46.10,46.62,844852
5-May-17,48.02,48.29,47.19,47.45,972230
4-May-17,47.50,48.01,46.62,47.91,885679
3-May-17,47.95,48.24,46.59,47.65,1992157
2-May-17,49.52,49.72,47.57,48.04,1237455
1-May-17,49.30,49.80,48.94,49.44,852214
28-Apr-17,48.56,49.67,48.51,49.32,1049677
27-Apr-17,49.49,49.97,47.52,48.58,1725880
26-Apr-17,50.54,50.72,47.25,49.75,3186440
25-Apr-17,51.71,52.33,48.94,49.11,2413073
24-Apr-17,52.62,52.92,51.22,51.45,1343142
21-Apr-17,52.76,53.16,51.22,51.83,1609845
20-Apr-17,52.99,53.39,52.62,52.89,1116460
