Date,Open,High,Low,Close,Volume
20-Oct-17,86.95,87.58,86.72,86.95,107202
19-Oct-17,85.55,86.35,84.70,86.25,66263
18-Oct-17,84.95,86.15,84.55,85.45,101081
17-Oct-17,84.70,85.75,84.40,85.20,74491
16-Oct-17,83.35,84.50,82.05,84.45,80090
13-Oct-17,85.00,85.00,79.50,83.90,146340
12-Oct-17,85.75,86.90,85.32,85.80,81503
11-Oct-17,85.10,85.90,85.10,85.65,106568
10-Oct-17,85.30,85.50,84.25,84.95,115250
9-Oct-17,86.35,86.35,84.65,84.95,85530
6-Oct-17,86.35,86.80,86.10,86.35,94983
5-Oct-17,87.60,87.90,86.30,86.45,119549
4-Oct-17,88.00,88.10,87.15,87.90,115398
3-Oct-17,86.90,88.05,86.40,88.00,270605
2-Oct-17,86.70,86.75,85.50,86.65,114729
29-Sep-17,85.80,86.72,85.75,86.30,134759
28-Sep-17,85.15,86.70,85.10,85.70,103905
27-Sep-17,84.70,86.20,83.70,85.15,237525
26-Sep-17,83.25,84.80,82.72,84.30,112120
25-Sep-17,82.40,83.60,81.60,83.20,126111
22-Sep-17,82.00,83.85,81.95,83.00,101878
21-Sep-17,81.00,82.25,80.95,82.00,93087
20-Sep-17,80.65,81.95,80.55,81.00,251268
19-Sep-17,82.90,82.90,80.60,80.70,143299
18-Sep-17,84.05,84.40,82.70,82.85,114767
15-Sep-17,83.00,84.40,82.55,83.75,240325
14-Sep-17,82.30,83.25,81.10,83.10,122767
13-Sep-17,83.00,83.15,82.15,82.30,93300
12-Sep-17,83.00,83.00,82.00,82.90,86664
11-Sep-17,82.55,83.00,81.80,82.80,113437
8-Sep-17,80.40,82.25,80.05,81.95,131834
7-Sep-17,80.25,81.40,79.60,80.45,173544
6-Sep-17,80.45,80.85,79.80,80.05,121380
5-Sep-17,80.50,81.15,78.06,80.05,135781
1-Sep-17,81.10,82.05,80.30,80.75,121769
31-Aug-17,77.90,81.00,77.90,80.90,154162
30-Aug-17,77.05,78.22,77.05,77.75,130113
29-Aug-17,77.65,77.85,76.95,77.10,113286
28-Aug-17,78.65,78.65,76.90,78.15,337099
25-Aug-17,78.60,78.80,77.45,78.50,51118
24-Aug-17,77.95,78.80,77.60,78.45,84803
23-Aug-17,77.55,78.52,77.22,77.68,62313
22-Aug-17,77.40,78.30,77.15,77.95,92575
21-Aug-17,77.15,78.35,76.55,77.25,96490
18-Aug-17,77.70,78.00,76.90,77.20,148231
17-Aug-17,78.55,79.00,77.85,77.90,150465
16-Aug-17,78.70,79.35,78.50,78.65,90785
15-Aug-17,79.25,79.60,78.00,78.45,90026
14-Aug-17,79.50,79.95,78.50,79.25,192302
11-Aug-17,77.45,79.28,77.00,79.05,152999
10-Aug-17,77.90,78.70,76.52,77.30,175251
9-Aug-17,77.30,79.50,76.95,78.25,323640
8-Aug-17,77.90,78.85,76.88,77.40,185106
7-Aug-17,75.00,78.05,74.75,78.00,221269
4-Aug-17,73.25,75.35,71.80,75.15,223222
3-Aug-17,72.80,73.35,72.05,73.05,88951
2-Aug-17,71.95,73.95,71.85,72.75,118503
1-Aug-17,74.75,75.15,71.75,71.95,184390
31-Jul-17,75.80,77.30,74.30,74.55,246597
28-Jul-17,76.35,77.75,71.75,75.90,289786
27-Jul-17,79.30,79.30,78.00,78.80,186959
26-Jul-17,81.60,81.60,78.95,79.15,129321
25-Jul-17,80.65,81.50,80.30,81.25,252180
24-Jul-17,79.70,80.35,79.38,80.25,108006
21-Jul-17,80.40,80.75,79.15,79.85,102261
20-Jul-17,79.10,80.15,78.90,80.05,99387
19-Jul-17,78.80,79.20,78.45,79.15,49149
18-Jul-17,79.15,79.90,77.90,78.35,177698
17-Jul-17,80.55,80.55,79.02,79.30,140289
14-Jul-17,80.00,80.28,78.45,80.10,246830
13-Jul-17,73.55,77.90,73.55,77.65,271622
12-Jul-17,73.75,74.05,73.15,73.25,55228
11-Jul-17,72.65,73.95,72.30,73.15,117570
10-Jul-17,73.05,73.10,72.25,72.70,129237
7-Jul-17,72.20,73.35,72.15,73.25,66383
6-Jul-17,73.10,73.30,71.50,72.10,95202
5-Jul-17,73.35,73.65,72.05,73.60,82122
3-Jul-17,73.00,73.80,72.85,73.25,74941
30-Jun-17,73.05,73.45,72.75,72.90,67692
29-Jun-17,73.50,73.55,71.75,72.85,61695
28-Jun-17,73.25,73.55,70.70,73.25,109777
27-Jun-17,72.70,73.52,72.18,72.90,158216
26-Jun-17,72.80,73.10,71.95,72.60,166292
23-Jun-17,74.00,74.10,72.20,72.65,222771
22-Jun-17,71.95,74.25,71.95,73.90,64588
21-Jun-17,72.55,74.15,71.70,72.00,105242
20-Jun-17,72.10,72.60,71.88,72.50,73884
19-Jun-17,72.70,74.60,72.10,72.40,121843
16-Jun-17,71.40,72.45,70.70,72.30,171451
15-Jun-17,72.45,72.70,71.80,72.05,90666
14-Jun-17,73.15,73.35,72.70,73.15,80864
13-Jun-17,73.40,73.45,72.75,73.05,66721
12-Jun-17,72.05,73.45,71.50,73.15,157874
9-Jun-17,70.70,72.70,70.65,72.15,108918
8-Jun-17,69.20,70.85,69.20,70.40,97458
7-Jun-17,69.30,70.15,69.05,69.15,96869
6-Jun-17,69.35,69.70,68.50,69.20,84981
5-Jun-17,70.05,70.95,69.55,69.70,51529
2-Jun-17,69.90,70.90,69.90,70.20,91767
1-Jun-17,68.95,70.02,68.85,69.75,168525
31-May-17,68.70,69.85,67.50,68.75,88791
