Date,Open,High,Low,Close,Volume
20-Oct-17,42.10,42.66,41.75,42.00,308880
19-Oct-17,41.95,42.10,41.00,41.65,625691
18-Oct-17,42.70,43.15,42.05,42.15,390943
17-Oct-17,42.30,42.79,41.90,42.40,379059
16-Oct-17,42.65,43.40,42.20,42.40,284419
13-Oct-17,43.15,43.15,42.35,42.70,369216
12-Oct-17,43.45,43.72,42.95,42.95,452169
11-Oct-17,43.50,43.95,43.40,43.55,275645
10-Oct-17,45.20,45.20,43.65,43.65,262263
9-Oct-17,45.25,45.50,44.20,44.95,399472
6-Oct-17,45.45,45.50,44.90,45.35,456885
5-Oct-17,45.15,45.40,44.30,45.40,473403
4-Oct-17,44.40,44.95,44.25,44.80,575194
3-Oct-17,44.55,44.95,43.95,44.45,466865
2-Oct-17,42.55,44.50,42.55,44.10,728055
29-Sep-17,42.25,42.52,41.35,42.35,360139
28-Sep-17,41.80,42.30,41.60,42.05,310915
27-Sep-17,40.95,42.05,40.60,41.90,242223
26-Sep-17,41.05,41.60,39.46,40.75,213298
25-Sep-17,40.80,40.95,39.90,40.85,449979
22-Sep-17,40.80,40.95,40.30,40.80,357066
21-Sep-17,40.80,40.80,39.95,40.60,303709
20-Sep-17,41.10,41.50,40.58,40.80,259039
19-Sep-17,41.55,41.90,40.90,41.05,362774
18-Sep-17,41.60,42.05,41.42,41.65,277772
15-Sep-17,42.15,42.54,41.15,41.50,393462
14-Sep-17,41.40,42.60,41.00,42.10,463762
13-Sep-17,41.60,41.70,41.05,41.65,228064
12-Sep-17,42.00,42.00,40.45,41.60,199829
11-Sep-17,41.80,42.10,41.50,42.00,232793
8-Sep-17,40.45,41.55,40.45,41.40,280313
7-Sep-17,40.75,40.75,40.20,40.45,339383
6-Sep-17,40.90,41.00,40.55,40.75,320655
5-Sep-17,41.50,42.06,40.55,40.70,236080
1-Sep-17,41.35,41.65,40.95,41.65,152787
31-Aug-17,40.50,41.42,40.50,41.30,176975
30-Aug-17,40.35,40.55,40.05,40.50,171680
29-Aug-17,39.95,40.45,38.90,40.25,231619
28-Aug-17,39.35,40.55,37.80,40.55,287216
25-Aug-17,40.95,41.15,40.55,40.65,88112
24-Aug-17,41.45,41.50,40.55,40.90,190613
23-Aug-17,41.30,41.70,41.15,41.30,297709
22-Aug-17,40.80,41.55,40.70,41.50,238612
21-Aug-17,40.75,41.05,40.35,40.65,115734
18-Aug-17,40.45,41.35,40.25,40.75,169830
17-Aug-17,40.75,41.25,40.05,40.85,391979
16-Aug-17,40.80,41.35,40.80,40.85,160360
15-Aug-17,40.60,41.20,40.20,41.05,273551
14-Aug-17,40.25,40.75,40.10,40.40,210109
11-Aug-17,39.80,40.35,39.65,39.75,295424
10-Aug-17,41.55,41.55,39.75,39.80,354294
9-Aug-17,41.85,41.95,41.05,41.85,257003
8-Aug-17,42.45,42.60,41.10,41.95,340924
7-Aug-17,41.35,42.50,41.00,42.40,583887
4-Aug-17,41.55,41.65,41.20,41.32,226759
3-Aug-17,41.55,41.80,41.00,41.30,373027
2-Aug-17,41.65,41.80,41.00,41.50,529002
1-Aug-17,41.45,41.70,40.95,41.65,571641
31-Jul-17,41.30,41.65,40.75,41.00,404787
28-Jul-17,40.60,41.75,40.30,41.05,603163
27-Jul-17,40.95,42.25,40.24,40.70,1150255
26-Jul-17,38.85,38.85,37.63,37.80,333607
25-Jul-17,38.75,39.15,38.35,38.85,461954
24-Jul-17,38.20,38.58,38.00,38.35,320656
21-Jul-17,39.95,39.95,38.25,38.25,559608
20-Jul-17,40.00,40.00,38.95,39.40,688064
19-Jul-17,37.35,38.70,37.25,38.60,927382
18-Jul-17,37.55,37.60,37.10,37.15,482099
17-Jul-17,37.75,37.85,37.35,37.55,646817
14-Jul-17,36.65,37.75,36.25,37.55,1130577
13-Jul-17,37.95,38.10,36.65,36.68,647336
12-Jul-17,38.40,38.50,37.70,37.90,503892
11-Jul-17,37.90,38.25,37.60,38.15,202762
10-Jul-17,38.20,38.25,37.55,37.90,267961
7-Jul-17,38.10,38.55,37.75,38.30,362553
6-Jul-17,37.90,38.32,37.45,37.90,427812
5-Jul-17,37.55,38.35,37.50,38.25,321604
3-Jul-17,38.25,38.30,37.20,37.65,141914
30-Jun-17,37.40,38.35,36.60,38.15,315761
29-Jun-17,38.00,38.15,36.85,37.35,418799
28-Jun-17,37.40,38.55,37.40,38.00,508009
27-Jun-17,37.10,37.45,36.80,37.10,381319
26-Jun-17,37.95,38.25,37.22,37.40,236462
23-Jun-17,37.00,38.10,36.80,37.80,1624866
22-Jun-17,36.95,37.45,36.26,37.10,496959
21-Jun-17,36.85,37.45,36.75,36.80,201320
20-Jun-17,37.15,37.65,36.65,37.00,291923
19-Jun-17,35.30,36.70,35.11,36.10,319879
16-Jun-17,34.75,35.35,34.60,35.35,574221
15-Jun-17,34.35,35.15,34.05,35.15,161874
14-Jun-17,35.00,35.20,34.30,34.85,154521
13-Jun-17,35.05,35.25,34.70,35.15,200491
12-Jun-17,35.25,35.35,34.35,34.90,334936
9-Jun-17,35.80,36.45,35.00,35.15,291235
8-Jun-17,35.70,36.12,35.20,35.85,328673
7-Jun-17,35.95,36.35,35.20,35.65,354197
6-Jun-17,35.90,36.25,35.75,36.00,314006
5-Jun-17,37.00,37.00,35.95,36.20,198666
2-Jun-17,36.45,37.00,36.45,36.85,284627
1-Jun-17,35.55,36.40,35.20,36.35,450918
31-May-17,35.00,35.60,34.88,35.50,295166
30-May-17,34.65,34.95,34.45,34.85,193627
26-May-17,34.25,34.75,34.00,34.75,153215
25-May-17,34.50,34.55,33.86,34.30,136112
24-May-17,34.50,34.65,34.25,34.40,185951
23-May-17,34.10,34.80,34.10,34.40,285586
22-May-17,33.60,34.10,33.30,34.00,251050
19-May-17,33.05,33.80,32.85,33.55,440256
18-May-17,33.15,33.50,32.65,33.10,216610
17-May-17,33.80,34.15,33.05,33.10,462736
16-May-17,34.15,34.30,33.75,34.30,227936
15-May-17,33.60,34.35,33.30,34.15,336339
12-May-17,33.50,33.85,33.35,33.42,351693
11-May-17,33.70,33.90,33.42,33.50,289724
10-May-17,34.00,34.05,33.35,33.90,278728
9-May-17,33.55,34.15,33.50,34.10,310305
8-May-17,34.00,34.15,33.10,33.60,283865
5-May-17,33.55,34.15,33.20,34.15,479654
4-May-17,33.90,33.95,33.12,33.45,173725
3-May-17,33.45,34.05,33.38,33.75,355055
2-May-17,33.95,34.00,33.35,33.70,399190
1-May-17,34.00,34.50,33.30,33.95,768476
28-Apr-17,33.20,34.20,32.35,33.70,1632701
27-Apr-17,31.20,31.95,31.10,31.20,581023
26-Apr-17,30.60,31.15,30.05,31.15,690461
25-Apr-17,30.55,31.00,30.50,30.68,407948
24-Apr-17,29.50,30.40,29.35,30.40,567477
21-Apr-17,29.05,29.18,28.75,29.00,466856
20-Apr-17,29.10,29.25,28.85,29.00,235285
19-Apr-17,28.80,29.10,28.65,29.00,324540
18-Apr-17,28.65,28.75,28.13,28.55,508563
17-Apr-17,28.60,28.80,28.40,28.80,495805
13-Apr-17,28.40,28.45,28.05,28.20,165363
12-Apr-17,28.75,28.80,28.15,28.40,227727
11-Apr-17,28.35,28.80,28.20,28.75,331304
10-Apr-17,28.45,28.55,28.10,28.35,297906
7-Apr-17,28.30,28.42,28.05,28.30,353065
6-Apr-17,28.25,28.45,28.00,28.40,287224
5-Apr-17,28.75,29.00,28.20,28.30,349195
4-Apr-17,28.70,29.05,28.05,28.20,325275
3-Apr-17,28.90,29.10,28.35,28.75,506304
31-Mar-17,29.20,29.30,28.88,28.90,443798
30-Mar-17,28.65,29.40,28.25,29.22,436275
29-Mar-17,28.90,28.90,28.55,28.70,220795
28-Mar-17,28.45,29.00,28.20,28.90,483489
27-Mar-17,28.10,28.90,28.00,28.55,530282
24-Mar-17,28.45,28.95,28.30,28.72,684766
23-Mar-17,28.65,28.85,27.65,28.25,4605960
22-Mar-17,29.55,29.70,28.80,29.60,589802
21-Mar-17,31.00,31.70,29.35,29.80,650950
20-Mar-17,31.30,31.60,30.75,31.55,207801
17-Mar-17,30.25,31.40,30.25,31.35,502116
16-Mar-17,30.65,30.65,30.28,30.40,139160
15-Mar-17,30.75,30.90,30.35,30.55,160848
