Date,Open,High,Low,Close,Volume
20-Oct-17,64.07,64.96,64.07,64.40,1136045
19-Oct-17,63.00,63.69,62.08,63.64,1090801
18-Oct-17,61.97,63.14,61.75,63.09,1470650
17-Oct-17,60.49,62.38,60.30,61.54,1583299
16-Oct-17,60.96,61.14,59.85,59.86,1170193
13-Oct-17,59.50,61.97,58.66,61.28,3307149
12-Oct-17,63.30,63.73,62.30,63.42,882521
11-Oct-17,64.04,64.69,62.93,63.98,233287
10-Oct-17,66.32,66.60,64.39,65.16,927438
9-Oct-17,67.67,67.83,66.62,66.66,738668
6-Oct-17,67.55,68.18,67.46,67.86,1069124
5-Oct-17,67.12,67.55,65.90,67.37,747159
4-Oct-17,67.65,67.80,66.50,67.02,713464
3-Oct-17,68.54,68.91,66.94,67.40,873759
2-Oct-17,69.00,69.10,67.95,68.51,1347997
29-Sep-17,67.61,68.81,66.99,68.76,748625
28-Sep-17,66.39,68.02,65.86,67.59,590656
27-Sep-17,65.85,66.89,65.23,66.54,972951
26-Sep-17,65.26,66.49,65.03,65.59,811090
25-Sep-17,65.04,66.41,64.19,64.54,1541100
22-Sep-17,62.52,66.35,61.53,65.32,2362041
21-Sep-17,62.50,62.90,61.61,62.51,745732
20-Sep-17,62.05,62.75,61.87,62.58,811786
19-Sep-17,66.02,66.02,61.18,62.12,2020252
18-Sep-17,66.73,66.74,65.47,66.00,376693
15-Sep-17,66.16,66.89,65.43,66.62,849946
14-Sep-17,66.24,66.40,65.28,66.14,737129
13-Sep-17,65.90,66.61,65.50,66.07,623530
12-Sep-17,65.88,66.40,65.50,65.74,502735
11-Sep-17,65.39,66.44,65.10,65.88,445740
8-Sep-17,64.76,65.38,64.76,65.04,705359
7-Sep-17,64.64,65.47,64.39,64.97,564684
6-Sep-17,65.51,65.85,64.11,64.65,1123756
5-Sep-17,64.05,65.46,63.73,65.42,950411
1-Sep-17,63.83,64.37,63.42,64.25,678225
31-Aug-17,63.26,64.26,62.92,64.00,574674
30-Aug-17,63.35,63.35,62.65,62.91,571945
29-Aug-17,62.78,64.34,62.58,63.50,956196
28-Aug-17,62.08,63.22,61.58,63.18,1030677
25-Aug-17,61.32,62.33,61.01,62.03,804523
24-Aug-17,60.92,62.02,60.73,61.30,817415
23-Aug-17,60.39,60.69,59.77,60.51,846379
22-Aug-17,59.86,60.71,59.66,60.54,795620
21-Aug-17,59.76,60.34,59.59,59.98,849128
18-Aug-17,59.41,59.92,58.88,59.63,1076980
17-Aug-17,58.73,60.13,58.48,59.51,1973230
16-Aug-17,57.26,57.95,56.68,56.78,983544
15-Aug-17,58.15,58.15,56.89,57.03,584799
14-Aug-17,58.04,58.33,57.39,57.56,1322437
