Date,Open,High,Low,Close,Volume
20-Oct-17,34.60,35.07,34.20,34.86,977865
19-Oct-17,34.55,34.61,33.89,34.39,812091
18-Oct-17,35.50,35.72,34.36,34.44,1402369
17-Oct-17,35.95,36.25,35.83,35.84,629669
16-Oct-17,36.84,36.99,35.71,36.10,596840
13-Oct-17,36.68,36.68,36.20,36.44,493033
12-Oct-17,36.72,36.90,36.06,36.55,673489
11-Oct-17,36.76,37.25,36.76,36.91,499692
10-Oct-17,36.65,36.92,36.44,36.85,537887
9-Oct-17,37.30,37.30,36.02,36.62,910904
6-Oct-17,36.56,37.23,36.46,37.14,824172
5-Oct-17,36.37,36.87,35.30,36.51,1182548
4-Oct-17,37.00,37.00,36.10,36.37,680173
3-Oct-17,36.89,37.14,36.63,37.13,575162
2-Oct-17,35.85,36.85,35.84,36.78,839043
29-Sep-17,36.34,36.45,36.04,36.18,642879
28-Sep-17,36.00,36.49,35.80,36.20,731674
27-Sep-17,34.73,36.09,34.67,36.00,896949
26-Sep-17,34.50,34.86,34.29,34.48,708814
25-Sep-17,33.86,34.57,33.85,34.51,1027199
22-Sep-17,33.88,33.90,33.52,33.79,532296
21-Sep-17,33.38,33.81,33.22,33.61,567093
20-Sep-17,32.96,33.67,32.90,33.51,1068539
19-Sep-17,32.92,33.22,32.72,32.91,618890
18-Sep-17,32.90,33.33,32.89,33.05,529700
15-Sep-17,32.86,32.93,32.62,32.87,749924
14-Sep-17,32.46,32.78,32.17,32.75,503624
13-Sep-17,32.27,32.65,32.06,32.57,535826
12-Sep-17,32.04,32.35,31.83,32.34,767981
11-Sep-17,32.62,32.79,31.84,32.10,806006
8-Sep-17,32.22,32.92,32.16,32.53,897520
7-Sep-17,32.75,33.42,32.14,32.42,1686376
6-Sep-17,31.32,33.20,31.17,32.57,2560196
5-Sep-17,30.22,30.37,30.00,30.32,652985
1-Sep-17,30.57,30.61,30.10,30.25,1164000
31-Aug-17,30.03,30.73,30.03,30.49,1087103
30-Aug-17,29.83,30.25,29.81,30.11,1201362
29-Aug-17,29.42,29.97,29.20,29.90,832169
28-Aug-17,29.49,29.64,29.29,29.57,763847
25-Aug-17,29.48,29.64,29.19,29.32,758912
24-Aug-17,29.26,29.69,29.24,29.52,1419929
23-Aug-17,28.96,29.52,28.92,29.25,741585
22-Aug-17,28.98,29.16,28.82,28.96,620654
21-Aug-17,28.90,29.30,28.82,28.94,1176895
18-Aug-17,28.27,29.01,28.26,28.80,1315637
17-Aug-17,27.75,28.08,27.44,27.86,664189
16-Aug-17,28.20,28.37,27.26,27.85,1065451
15-Aug-17,27.81,28.29,27.63,28.05,962288
14-Aug-17,28.00,28.00,27.30,27.87,1321254
11-Aug-17,27.36,27.94,27.22,27.76,1573744
10-Aug-17,27.83,28.39,26.55,27.20,1828789
9-Aug-17,24.01,28.18,23.95,27.98,2712063
8-Aug-17,25.24,25.71,24.97,25.55,1863830
7-Aug-17,24.71,25.43,24.71,25.21,1382826
4-Aug-17,24.32,24.92,24.16,24.89,706074
3-Aug-17,24.07,24.36,23.86,24.26,690682
2-Aug-17,24.25,24.54,23.81,24.01,725678
1-Aug-17,24.25,24.51,23.90,24.22,716382
31-Jul-17,23.66,24.73,23.47,24.27,1043906
28-Jul-17,23.40,23.76,23.28,23.66,613248
27-Jul-17,23.79,23.98,23.34,23.46,1105722
26-Jul-17,23.74,23.92,23.54,23.74,712797
25-Jul-17,24.23,24.30,23.80,23.86,757283
24-Jul-17,24.18,24.45,24.01,24.16,819313
21-Jul-17,24.49,24.61,23.83,24.16,2912758
20-Jul-17,24.67,24.76,24.20,24.32,1095677
19-Jul-17,24.75,25.03,24.47,24.75,764073
18-Jul-17,24.67,24.94,24.59,24.72,1037426
17-Jul-17,24.82,25.00,24.54,24.70,968750
14-Jul-17,25.35,25.46,24.65,24.74,680312
13-Jul-17,25.59,25.59,24.90,25.34,565214
12-Jul-17,25.36,25.64,25.18,25.62,440172
11-Jul-17,25.54,25.78,24.86,25.25,722214
10-Jul-17,25.66,25.69,25.09,25.17,840983
7-Jul-17,25.45,25.74,25.36,25.66,338339
6-Jul-17,25.67,25.75,25.12,25.34,483151
5-Jul-17,25.73,25.89,25.23,25.75,931792
3-Jul-17,25.83,26.18,25.64,25.72,201703
30-Jun-17,25.69,25.99,25.56,25.84,437441
29-Jun-17,26.11,26.28,25.30,25.67,717652
28-Jun-17,25.60,26.37,25.02,26.26,1110697
27-Jun-17,26.34,26.34,25.37,25.41,843362
26-Jun-17,26.55,26.75,26.11,26.42,687745
23-Jun-17,26.26,26.42,26.01,26.39,3450340
22-Jun-17,26.59,26.99,25.86,26.26,1283877
21-Jun-17,25.08,26.93,24.85,26.47,2195708
20-Jun-17,24.40,25.77,24.34,25.05,2016750
19-Jun-17,24.03,24.49,23.80,24.47,1170430
16-Jun-17,23.37,24.03,23.25,23.88,1955957
15-Jun-17,22.84,23.67,22.72,23.39,1485675
