Date,Open,High,Low,Close,Volume
20-Oct-17,58.59,60.56,57.71,59.03,1279507
19-Oct-17,59.04,59.46,58.35,58.96,620168
18-Oct-17,61.53,61.66,59.35,59.42,652848
17-Oct-17,61.24,61.43,60.58,60.87,610930
16-Oct-17,62.01,62.75,61.09,61.14,543485
13-Oct-17,62.12,63.04,61.98,62.15,437948
12-Oct-17,61.88,62.50,61.01,62.33,663539
11-Oct-17,62.40,62.48,61.52,61.86,539657
10-Oct-17,62.88,63.14,61.74,62.29,531074
9-Oct-17,62.76,63.13,61.91,62.32,407500
6-Oct-17,62.29,62.83,61.83,62.44,583747
5-Oct-17,63.64,63.77,61.00,62.55,891504
4-Oct-17,61.84,62.74,61.35,62.56,789623
3-Oct-17,62.49,62.90,61.41,61.94,677413
2-Oct-17,61.50,61.98,59.92,61.82,1050161
29-Sep-17,59.37,61.51,59.37,61.28,971119
28-Sep-17,58.86,59.74,58.54,59.40,623565
27-Sep-17,57.71,58.89,57.49,58.74,627481
26-Sep-17,58.74,58.96,56.83,57.45,781292
25-Sep-17,58.72,59.80,58.40,58.90,1100729
22-Sep-17,58.53,59.54,58.28,58.93,708915
21-Sep-17,57.50,59.26,57.29,58.83,1230975
20-Sep-17,56.45,56.98,56.18,56.80,580574
19-Sep-17,56.92,57.15,55.95,56.33,475346
18-Sep-17,56.70,57.90,56.41,56.69,1074231
15-Sep-17,56.83,57.69,56.29,56.71,1308376
14-Sep-17,57.16,58.00,56.55,56.91,455662
13-Sep-17,57.26,57.85,56.97,57.41,428324
12-Sep-17,57.10,58.06,56.97,57.52,474131
11-Sep-17,57.96,58.37,55.95,57.57,966028
8-Sep-17,57.74,58.63,56.92,57.74,1090243
7-Sep-17,58.52,59.19,57.07,57.73,874370
6-Sep-17,59.15,60.00,57.29,58.64,1172544
5-Sep-17,56.99,58.13,56.01,58.03,986805
1-Sep-17,56.74,57.24,55.88,57.01,808164
31-Aug-17,54.44,57.18,54.02,56.60,1108188
30-Aug-17,52.43,54.58,52.22,53.80,1051631
29-Aug-17,52.29,52.83,51.42,52.64,626495
28-Aug-17,53.46,53.75,52.56,52.82,695268
25-Aug-17,54.21,54.48,52.62,52.83,744215
24-Aug-17,52.16,54.31,51.89,54.01,835041
23-Aug-17,52.34,52.44,51.62,51.98,739273
22-Aug-17,52.14,52.83,51.48,52.66,714020
21-Aug-17,52.11,52.59,50.88,52.13,1104981
18-Aug-17,53.00,53.78,52.07,52.15,778086
17-Aug-17,53.63,54.25,53.01,53.12,528703
16-Aug-17,54.15,54.59,53.30,53.55,827699
15-Aug-17,54.40,54.89,53.57,54.04,649961
14-Aug-17,54.64,55.22,53.81,53.98,809902
11-Aug-17,53.26,54.66,52.89,54.07,705126
10-Aug-17,54.58,54.66,53.27,53.85,726584
9-Aug-17,53.47,55.13,53.17,54.78,1043898
8-Aug-17,53.71,54.57,52.71,53.65,1058024
7-Aug-17,52.31,54.25,51.96,53.80,1474651
4-Aug-17,50.00,54.00,49.38,53.50,2836526
3-Aug-17,48.99,48.99,47.24,48.84,943326
2-Aug-17,48.04,48.83,47.41,48.56,690002
1-Aug-17,48.48,48.48,47.00,47.97,620806
31-Jul-17,49.22,49.47,47.93,48.03,672628
28-Jul-17,48.66,49.88,48.66,49.46,698273
27-Jul-17,49.17,50.75,48.67,48.83,1873931
26-Jul-17,48.93,49.33,48.60,49.00,520729
25-Jul-17,48.91,49.74,48.41,48.66,829183
24-Jul-17,47.08,48.87,46.72,48.69,612619
21-Jul-17,47.90,48.12,46.50,47.07,1019815
20-Jul-17,47.87,48.20,47.42,47.79,517174
19-Jul-17,47.89,48.58,47.34,47.73,866333
18-Jul-17,46.66,47.43,46.13,47.37,765996
17-Jul-17,48.20,48.50,46.76,46.83,781238
14-Jul-17,47.17,48.60,47.06,48.19,870687
13-Jul-17,46.45,48.03,45.40,47.25,852258
12-Jul-17,45.31,46.65,45.07,46.26,839536
11-Jul-17,45.27,45.71,44.75,45.29,740491
10-Jul-17,46.69,46.69,45.29,45.52,730692
7-Jul-17,47.10,47.25,46.37,46.73,777611
6-Jul-17,47.49,47.81,46.30,46.84,784811
5-Jul-17,46.64,48.23,46.35,47.99,958069
3-Jul-17,46.03,47.29,45.83,46.77,363912
30-Jun-17,46.25,46.68,45.67,46.00,667465
29-Jun-17,46.52,46.76,45.83,46.24,673725
28-Jun-17,45.78,47.22,45.37,46.77,1214057
27-Jun-17,46.86,47.34,45.41,45.56,1324403
26-Jun-17,47.59,48.08,46.69,47.31,656712
23-Jun-17,46.98,47.54,46.17,47.35,1048289
22-Jun-17,47.60,48.52,46.93,47.12,880902
21-Jun-17,45.64,47.59,45.60,47.47,1216066
20-Jun-17,45.31,46.78,45.01,45.67,966909
19-Jun-17,43.89,46.08,43.79,45.36,1149040
16-Jun-17,42.69,44.15,41.92,43.97,1264730
15-Jun-17,43.45,43.66,41.76,42.49,1578044
14-Jun-17,44.11,44.49,43.50,43.95,662008
13-Jun-17,43.73,44.44,43.25,44.23,628364
12-Jun-17,43.52,44.24,42.05,43.70,1050331
9-Jun-17,43.83,45.01,43.54,43.65,835374
8-Jun-17,44.54,45.10,43.45,43.78,1067109
7-Jun-17,45.77,46.47,44.50,44.64,1062224
6-Jun-17,45.20,46.07,44.77,45.48,1310393
5-Jun-17,46.11,46.67,44.85,45.09,1094794
2-Jun-17,44.90,46.40,44.58,46.25,1399489
1-Jun-17,43.48,45.33,43.23,45.09,1793637
31-May-17,43.85,44.09,42.20,43.47,2048868
30-May-17,46.50,46.54,42.67,43.52,2645428
26-May-17,48.53,48.66,45.69,46.22,1626169
25-May-17,49.24,49.38,47.81,48.64,2236312
24-May-17,50.50,50.74,48.00,48.89,6006513
23-May-17,53.71,53.78,52.95,53.53,755125
22-May-17,52.89,53.80,52.30,53.64,581968
19-May-17,53.62,54.17,52.64,52.79,578614
18-May-17,52.81,53.69,52.26,53.58,692465
17-May-17,52.89,54.09,52.01,52.82,838572
16-May-17,53.15,54.02,52.96,53.93,567822
15-May-17,54.00,54.68,52.91,52.96,882440
12-May-17,52.17,53.67,51.88,53.63,822864
11-May-17,53.25,53.88,51.67,52.12,1016017
10-May-17,52.41,54.18,51.02,53.42,1159239
9-May-17,51.82,52.68,51.32,52.60,1068163
8-May-17,53.50,53.73,51.43,51.66,897284
5-May-17,54.01,54.41,53.43,53.74,898038
4-May-17,53.75,54.17,53.34,53.63,1028856
3-May-17,53.55,54.25,52.88,53.57,827356
2-May-17,54.88,55.38,52.82,53.83,1338594
1-May-17,53.72,54.81,53.59,54.65,1199088
28-Apr-17,53.54,53.85,52.56,53.40,971593
27-Apr-17,53.84,54.10,53.43,53.59,2313926
26-Apr-17,51.95,54.14,51.85,53.28,3317730
25-Apr-17,51.95,53.85,51.95,53.62,1274977
24-Apr-17,51.69,52.18,51.34,51.78,932120
21-Apr-17,51.30,52.12,50.67,51.10,882465
20-Apr-17,52.25,52.83,51.36,51.51,1306587
19-Apr-17,52.11,52.96,51.30,51.91,935378
18-Apr-17,53.91,54.43,51.62,52.06,1953265
17-Apr-17,53.49,54.82,53.03,54.32,1600880
13-Apr-17,51.70,54.72,51.67,53.39,4219374
12-Apr-17,51.70,53.20,50.00,51.80,13095565
11-Apr-17,40.51,41.97,39.98,41.48,2477495
10-Apr-17,40.88,42.19,40.22,40.31,1757408
7-Apr-17,40.25,41.00,39.50,40.88,1254753
6-Apr-17,40.65,41.01,39.21,40.24,1722051
5-Apr-17,43.27,43.44,40.58,40.67,1319993
4-Apr-17,43.25,44.65,43.00,43.22,1206466
3-Apr-17,43.53,44.35,43.13,43.24,1230411
31-Mar-17,41.85,43.53,41.52,43.30,807528
30-Mar-17,42.82,42.89,40.96,41.78,1382756
29-Mar-17,41.71,43.20,41.32,42.93,934067
28-Mar-17,42.26,42.55,41.46,41.64,470443
27-Mar-17,42.19,42.94,41.32,42.35,544505
24-Mar-17,41.65,42.26,41.38,41.98,462606
23-Mar-17,41.65,42.24,41.29,41.50,718644
22-Mar-17,42.36,42.36,40.98,41.72,700629
21-Mar-17,44.66,45.28,41.57,41.77,1237193
20-Mar-17,44.49,44.66,43.55,43.89,594729
17-Mar-17,45.17,45.62,44.10,44.50,1091920
16-Mar-17,47.19,47.19,45.16,45.17,822301
15-Mar-17,45.73,47.43,45.73,47.26,747815
14-Mar-17,46.80,46.80,45.35,45.58,677964
13-Mar-17,46.30,47.25,46.18,47.13,907674
10-Mar-17,45.06,46.42,44.56,46.31,829461
9-Mar-17,44.93,45.57,44.51,44.86,456919
8-Mar-17,43.67,45.13,43.48,44.78,848913
7-Mar-17,43.17,43.95,42.62,43.49,497293
6-Mar-17,43.84,44.16,43.13,43.64,883977
3-Mar-17,44.18,44.89,43.67,43.92,788214
2-Mar-17,44.78,45.76,43.77,44.18,968453
1-Mar-17,44.83,45.51,44.22,44.77,1124008
28-Feb-17,45.09,45.15,43.99,44.16,1015141
27-Feb-17,42.47,45.19,42.47,45.13,1058651
24-Feb-17,42.78,43.14,41.89,42.72,651609
23-Feb-17,42.61,43.84,42.17,43.08,857461
22-Feb-17,43.85,44.34,42.58,42.60,808594
21-Feb-17,44.18,44.47,43.64,43.90,772984
17-Feb-17,42.90,44.12,42.48,44.05,617977
16-Feb-17,42.60,43.63,42.39,43.15,926588
15-Feb-17,42.44,44.00,41.62,42.45,1030910
14-Feb-17,42.10,42.59,40.57,41.53,1275170
13-Feb-17,44.66,44.66,41.81,42.14,1146115
10-Feb-17,44.45,45.20,43.95,44.44,1238520
9-Feb-17,43.89,45.37,43.51,45.36,935837
8-Feb-17,43.24,44.44,42.77,43.85,745356
7-Feb-17,43.41,44.66,42.93,43.60,862418
6-Feb-17,43.25,43.63,42.59,43.24,725024
3-Feb-17,42.50,43.35,41.66,43.31,968494
2-Feb-17,42.28,42.60,41.29,42.15,1026603
1-Feb-17,43.00,43.23,41.15,42.55,1329817
31-Jan-17,39.63,43.00,39.28,42.91,1399566
30-Jan-17,40.13,40.28,38.98,40.13,850322
27-Jan-17,41.30,41.46,40.31,40.36,1406754
26-Jan-17,40.23,40.25,39.35,39.86,506822
25-Jan-17,40.49,40.78,39.51,40.12,806628
24-Jan-17,38.72,40.30,38.43,40.12,877402
23-Jan-17,41.27,41.57,38.77,38.84,1083543
20-Jan-17,41.60,41.89,40.80,41.27,768940
19-Jan-17,41.93,42.15,40.36,41.62,1218137
18-Jan-17,39.50,43.44,38.84,42.04,3426544
17-Jan-17,41.94,42.81,39.87,40.17,1784687
13-Jan-17,41.17,43.57,41.09,42.25,1457022
12-Jan-17,40.27,41.92,40.07,41.11,1045557
11-Jan-17,42.41,42.57,40.00,40.64,1621158
10-Jan-17,45.25,45.89,42.48,42.61,1667000
9-Jan-17,44.50,45.29,44.05,45.00,1456989
6-Jan-17,44.00,45.20,42.13,44.04,3101476
5-Jan-17,41.05,41.74,41.02,41.38,1073615
4-Jan-17,38.80,41.94,38.61,41.28,1568670
3-Jan-17,38.79,39.80,38.38,38.66,937307
30-Dec-16,38.01,38.72,37.56,38.70,835124
29-Dec-16,37.91,38.33,37.34,37.90,740830
28-Dec-16,38.37,38.80,37.80,37.99,687249
27-Dec-16,39.79,39.79,37.90,38.31,1298198
