Date,Open,High,Low,Close,Volume
20-Oct-17,79.30,80.37,77.99,80.16,167799
19-Oct-17,78.58,79.02,78.26,78.78,120072
18-Oct-17,77.20,79.00,76.52,78.80,102284
17-Oct-17,77.47,78.00,76.83,76.87,90623
16-Oct-17,77.27,78.32,77.02,77.41,86938
13-Oct-17,78.19,78.55,76.60,76.91,164275
12-Oct-17,78.20,78.46,77.52,78.18,116859
11-Oct-17,78.46,78.78,78.05,78.32,118564
10-Oct-17,78.20,79.33,77.89,78.47,164084
9-Oct-17,78.76,78.92,77.41,78.33,195402
6-Oct-17,78.68,79.42,78.40,78.76,192084
5-Oct-17,78.50,78.93,78.15,78.74,209128
4-Oct-17,78.60,78.79,77.66,78.37,163771
3-Oct-17,79.25,79.99,78.50,79.08,208101
2-Oct-17,77.22,79.49,77.02,79.26,165247
29-Sep-17,76.82,77.64,76.52,77.46,152920
28-Sep-17,77.00,77.33,76.28,77.10,137253
27-Sep-17,74.95,77.39,74.29,77.23,165225
26-Sep-17,73.70,75.22,73.06,74.80,167024
25-Sep-17,72.94,74.00,71.52,73.97,146706
22-Sep-17,71.14,72.99,71.14,72.93,165090
21-Sep-17,70.41,71.93,70.41,71.69,122901
20-Sep-17,71.73,72.50,70.40,70.77,197536
19-Sep-17,73.69,74.98,70.78,71.63,188543
18-Sep-17,73.18,74.88,72.49,74.07,214537
15-Sep-17,71.65,73.45,70.69,73.07,275322
14-Sep-17,71.05,71.60,70.32,71.41,129798
13-Sep-17,70.87,71.50,69.92,71.50,142116
12-Sep-17,70.27,71.26,69.90,70.88,73881
11-Sep-17,69.97,70.38,69.51,70.29,75209
8-Sep-17,69.18,70.33,68.91,69.71,98202
7-Sep-17,69.71,69.71,68.64,69.11,86898
6-Sep-17,70.00,70.00,69.06,69.51,59002
5-Sep-17,69.45,70.46,68.90,69.63,96716
1-Sep-17,69.07,69.68,68.24,69.58,65904
31-Aug-17,68.31,69.21,67.95,68.90,79743
30-Aug-17,67.36,68.44,66.99,68.24,62364
29-Aug-17,67.18,67.97,66.02,67.52,92006
28-Aug-17,66.76,67.61,66.70,67.40,103206
25-Aug-17,66.19,66.82,65.12,66.67,98422
24-Aug-17,65.40,66.18,65.14,65.92,70826
23-Aug-17,65.40,65.74,65.05,65.27,66003
22-Aug-17,65.19,66.24,65.19,65.96,49790
21-Aug-17,65.25,65.46,64.74,65.28,109672
18-Aug-17,64.73,65.79,64.73,65.20,83388
17-Aug-17,65.61,66.32,65.27,65.28,71877
16-Aug-17,66.03,66.72,65.72,65.82,103815
15-Aug-17,67.59,67.59,65.15,65.78,98239
14-Aug-17,67.64,67.81,66.81,67.45,81900
11-Aug-17,67.76,67.99,66.78,66.95,124918
10-Aug-17,67.55,68.39,66.76,67.33,166158
9-Aug-17,67.31,68.35,67.07,67.77,109194
8-Aug-17,67.56,69.00,66.46,67.82,130965
7-Aug-17,66.82,67.76,66.22,67.72,99788
4-Aug-17,66.60,67.17,65.70,66.80,112730
3-Aug-17,65.52,66.50,65.37,66.46,121713
2-Aug-17,65.82,66.24,64.95,65.48,82636
1-Aug-17,66.29,66.37,64.66,65.87,111693
31-Jul-17,65.21,66.08,64.53,65.87,142438
28-Jul-17,64.38,65.48,64.25,65.05,145871
27-Jul-17,64.51,65.18,64.06,64.39,109618
26-Jul-17,65.52,66.07,64.66,64.90,159178
25-Jul-17,65.30,66.09,65.06,65.54,171196
24-Jul-17,66.96,68.06,64.77,65.07,188183
21-Jul-17,68.12,68.27,67.05,67.15,113441
20-Jul-17,66.57,68.12,66.12,67.53,107236
19-Jul-17,65.09,67.05,64.96,66.89,107584
18-Jul-17,67.60,68.28,63.56,64.60,417459
17-Jul-17,68.46,69.12,65.53,68.39,165685
14-Jul-17,67.80,68.54,67.06,68.25,115378
13-Jul-17,67.79,68.44,67.29,68.05,124852
12-Jul-17,68.34,68.75,67.65,67.80,58289
11-Jul-17,67.53,68.48,66.56,68.00,92134
10-Jul-17,67.97,68.07,65.44,67.34,50160
7-Jul-17,67.61,68.59,67.58,68.35,58689
6-Jul-17,67.81,68.21,66.95,67.21,76859
5-Jul-17,69.71,69.71,68.09,68.31,74206
3-Jul-17,69.36,69.97,68.50,69.69,61879
30-Jun-17,68.68,69.58,68.35,69.11,125289
29-Jun-17,69.05,69.06,67.70,68.71,93042
28-Jun-17,68.49,69.43,68.28,68.98,115253
27-Jun-17,68.38,68.72,67.58,68.21,79455
26-Jun-17,68.32,68.74,67.66,68.46,80177
23-Jun-17,68.03,68.78,67.90,68.20,88916
22-Jun-17,67.93,68.34,67.44,68.01,41429
21-Jun-17,67.92,68.62,67.57,67.89,66337
20-Jun-17,68.36,68.88,67.52,67.64,42648
19-Jun-17,68.25,69.41,63.52,68.38,83980
16-Jun-17,67.35,68.20,66.75,68.13,193885
15-Jun-17,66.95,67.97,66.49,67.90,57477
14-Jun-17,67.81,67.94,67.04,67.70,77712
13-Jun-17,66.95,67.88,66.59,67.86,90086
12-Jun-17,67.57,67.58,66.23,66.82,83889
9-Jun-17,65.83,67.80,65.35,67.59,160793
8-Jun-17,64.81,66.07,64.12,65.75,81695
7-Jun-17,64.76,65.06,64.12,64.88,56284
6-Jun-17,63.83,65.21,63.17,64.64,77850
5-Jun-17,65.77,66.21,64.25,64.39,58658
2-Jun-17,64.76,66.25,64.06,65.83,108721
1-Jun-17,63.43,64.66,62.80,64.51,102039
31-May-17,63.26,63.39,62.11,63.29,64283
30-May-17,62.70,63.26,62.39,62.93,41051
26-May-17,62.38,63.18,62.10,62.99,61075
25-May-17,62.24,62.55,61.61,62.42,55549
24-May-17,61.91,62.36,61.27,62.02,69533
23-May-17,62.03,62.65,61.26,61.84,74606
22-May-17,61.00,62.09,60.99,61.82,86561
19-May-17,61.38,61.86,60.61,61.08,251973
18-May-17,61.27,61.59,60.72,61.30,130049
17-May-17,61.87,62.44,61.46,61.50,151052
16-May-17,62.34,62.84,61.82,62.78,73160
15-May-17,61.07,62.39,61.05,62.30,84713
12-May-17,61.76,62.01,60.02,60.80,115411
11-May-17,62.23,62.41,61.74,61.85,85196
10-May-17,62.46,63.21,61.93,62.61,67450
9-May-17,62.58,62.96,62.02,62.74,65723
8-May-17,62.58,63.08,62.13,62.57,63635
5-May-17,62.87,63.37,62.12,62.69,74810
4-May-17,62.38,63.02,61.43,62.77,73727
3-May-17,61.46,62.60,60.35,62.24,123492
2-May-17,62.48,62.83,61.37,61.82,120016
1-May-17,62.42,62.43,61.92,62.32,177411
28-Apr-17,63.86,63.86,62.28,62.33,104682
27-Apr-17,63.66,64.10,63.39,63.69,153285
26-Apr-17,62.68,64.08,62.68,63.62,196470
25-Apr-17,63.09,63.78,62.93,62.94,114795
24-Apr-17,62.32,63.20,62.18,62.62,106765
21-Apr-17,61.67,62.22,61.25,61.40,98090
20-Apr-17,61.48,62.26,61.03,61.85,112018
19-Apr-17,60.62,61.56,60.20,61.28,149751
18-Apr-17,59.91,60.88,59.61,60.46,102875
17-Apr-17,59.71,61.29,59.51,60.01,175284
13-Apr-17,60.50,60.69,59.61,59.66,121356
12-Apr-17,61.00,61.57,60.24,60.64,69100
11-Apr-17,60.79,61.60,60.38,61.16,154934
10-Apr-17,61.98,62.58,60.83,60.99,97514
7-Apr-17,61.53,62.27,60.90,61.94,149903
6-Apr-17,61.88,62.05,60.99,61.63,139411
5-Apr-17,62.64,63.58,61.69,61.83,115998
4-Apr-17,63.37,63.54,62.40,62.56,148235
3-Apr-17,65.57,65.57,62.85,62.89,152134
31-Mar-17,65.01,65.76,64.71,65.55,138797
30-Mar-17,64.52,64.90,64.25,64.83,94338
29-Mar-17,64.84,64.90,64.15,64.46,71785
28-Mar-17,64.66,65.10,63.87,65.02,126943
27-Mar-17,63.27,65.20,63.16,65.01,99915
24-Mar-17,64.40,64.40,63.16,63.95,143153
23-Mar-17,64.34,65.00,63.39,64.25,150468
22-Mar-17,65.39,65.85,64.26,64.54,178931
21-Mar-17,68.98,68.98,63.37,65.62,299091
20-Mar-17,68.52,68.87,67.36,68.56,152994
17-Mar-17,65.40,68.86,65.05,68.52,405995
16-Mar-17,65.86,65.86,65.06,65.70,63355
15-Mar-17,64.91,65.99,64.14,65.66,101313
14-Mar-17,65.41,65.69,64.18,64.59,84044
13-Mar-17,64.56,65.81,64.56,65.73,72072
10-Mar-17,64.65,65.04,63.72,64.77,72765
