Date,Open,High,Low,Close,Volume
20-Oct-17,23.93,24.31,23.32,24.16,1111426
19-Oct-17,24.25,24.25,23.03,23.67,1801643
18-Oct-17,23.85,24.47,23.54,24.31,964911
17-Oct-17,23.62,24.10,23.47,23.99,1084635
16-Oct-17,23.30,24.02,23.30,23.67,1349709
13-Oct-17,22.96,23.29,22.75,23.20,710178
12-Oct-17,23.15,23.18,22.72,23.02,869875
11-Oct-17,23.29,23.62,22.89,23.08,934142
10-Oct-17,23.85,24.14,23.22,23.27,1152536
9-Oct-17,24.77,24.77,23.76,23.89,1122685
6-Oct-17,24.66,24.81,24.26,24.81,803953
5-Oct-17,24.96,25.02,24.51,24.69,861534
4-Oct-17,24.50,24.92,24.22,24.91,848348
3-Oct-17,24.75,24.93,24.17,24.50,1342355
2-Oct-17,24.16,24.80,23.95,24.77,2144085
29-Sep-17,23.66,24.14,23.13,24.00,1498932
28-Sep-17,23.12,23.84,22.63,23.68,1571021
27-Sep-17,22.76,23.40,22.32,23.10,1233441
26-Sep-17,22.87,23.04,22.02,22.26,1287076
25-Sep-17,22.29,23.38,22.06,22.92,1288298
22-Sep-17,21.86,22.59,21.75,22.43,1469103
21-Sep-17,21.37,21.98,21.11,21.87,750616
20-Sep-17,21.73,21.99,21.15,21.39,1059984
19-Sep-17,22.57,22.68,21.59,21.75,829166
18-Sep-17,21.99,22.89,21.85,22.60,1008122
15-Sep-17,22.02,22.07,21.31,22.05,2158542
14-Sep-17,21.65,22.07,21.34,22.00,831155
13-Sep-17,21.88,22.22,21.65,21.76,1082153
12-Sep-17,22.00,22.05,21.53,21.89,954869
11-Sep-17,22.54,22.55,21.46,21.83,1175013
8-Sep-17,22.30,22.75,21.90,22.27,880225
7-Sep-17,21.84,22.65,21.37,22.47,1230388
6-Sep-17,21.70,21.97,21.05,21.67,994707
5-Sep-17,21.31,21.90,21.18,21.73,1157866
1-Sep-17,21.13,21.67,20.63,21.60,1197851
31-Aug-17,19.58,21.14,19.58,21.03,1231609
30-Aug-17,19.02,19.68,18.91,19.51,656581
29-Aug-17,18.91,19.65,18.90,19.19,1426837
28-Aug-17,18.96,19.13,18.70,19.11,788818
25-Aug-17,18.76,18.81,18.43,18.68,602226
24-Aug-17,18.47,18.72,18.19,18.67,539805
23-Aug-17,18.43,18.85,18.30,18.33,509025
22-Aug-17,17.86,18.67,17.79,18.61,907463
21-Aug-17,17.96,18.06,17.51,17.79,1108040
18-Aug-17,18.28,18.35,17.98,18.04,1075725
17-Aug-17,19.15,19.33,18.39,18.42,1527760
16-Aug-17,19.60,19.70,19.02,19.52,1024760
15-Aug-17,19.23,19.61,19.00,19.49,764388
14-Aug-17,18.49,19.36,18.49,19.28,1140297
11-Aug-17,17.97,18.41,17.71,18.26,1240270
10-Aug-17,18.57,18.57,17.80,17.95,1971206
9-Aug-17,20.10,20.92,18.35,18.68,2590511
8-Aug-17,20.25,20.84,19.62,19.64,956464
7-Aug-17,20.24,20.61,20.00,20.25,614169
4-Aug-17,20.05,20.46,19.78,20.03,661961
3-Aug-17,20.54,20.67,19.84,20.04,745105
2-Aug-17,20.68,20.81,19.94,20.50,947856
1-Aug-17,22.00,22.10,20.59,20.65,2393358
31-Jul-17,22.95,23.19,21.78,21.83,1303675
28-Jul-17,22.55,22.99,22.26,22.91,754027
27-Jul-17,23.05,23.30,22.42,22.61,1191031
26-Jul-17,22.92,23.31,22.87,23.12,1013287
25-Jul-17,23.25,23.45,22.90,23.23,1361092
24-Jul-17,23.50,23.80,22.27,22.95,2957623
21-Jul-17,22.19,22.82,21.98,22.24,1871801
20-Jul-17,21.75,22.50,21.28,22.17,1879344
19-Jul-17,21.85,22.02,21.26,21.66,1271531
18-Jul-17,21.20,21.96,20.46,21.60,2202643
17-Jul-17,20.68,20.99,20.51,20.66,832871
14-Jul-17,20.70,20.93,20.40,20.67,459674
13-Jul-17,20.94,20.94,20.21,20.81,680472
12-Jul-17,21.16,21.18,20.67,20.85,845496
11-Jul-17,19.56,21.04,19.51,20.96,1480936
10-Jul-17,19.76,19.97,19.03,19.51,863857
7-Jul-17,19.66,19.85,19.44,19.79,625252
6-Jul-17,19.85,20.07,19.04,19.50,755729
5-Jul-17,19.73,20.41,19.43,20.05,790982
3-Jul-17,19.61,19.87,19.42,19.76,364449
30-Jun-17,19.33,19.67,19.27,19.55,666805
29-Jun-17,19.52,19.77,19.11,19.34,631332
28-Jun-17,18.99,19.57,18.92,19.51,1462459
27-Jun-17,19.74,19.74,18.78,18.82,534426
26-Jun-17,20.05,20.28,19.57,19.74,618051
23-Jun-17,19.50,20.00,19.18,19.99,1099193
22-Jun-17,19.23,19.91,19.01,19.50,966482
21-Jun-17,18.24,19.22,18.13,19.16,953493
20-Jun-17,18.54,19.18,18.09,18.16,1222117
19-Jun-17,18.29,18.74,18.18,18.39,752843
16-Jun-17,17.81,18.32,17.81,18.20,1936756
15-Jun-17,18.25,18.36,17.95,18.09,766738
14-Jun-17,18.26,18.53,17.97,18.44,734083
13-Jun-17,18.19,18.51,17.92,18.27,751103
12-Jun-17,19.03,19.14,17.59,18.03,1389291
9-Jun-17,18.71,19.59,18.71,19.02,1249040
8-Jun-17,18.90,19.12,18.40,18.66,1415671
7-Jun-17,19.72,19.81,18.82,18.85,1026780
6-Jun-17,19.45,19.81,19.04,19.68,1614066
5-Jun-17,20.61,20.73,18.60,19.65,2843685
2-Jun-17,20.07,20.61,19.82,20.51,1534988
1-Jun-17,19.90,20.20,19.65,20.00,1248526
31-May-17,19.19,19.89,18.67,19.88,1520495
