Date,Open,High,Low,Close,Volume
20-Oct-17,55.06,55.73,54.70,55.05,965396
19-Oct-17,54.10,54.93,53.64,54.57,1074700
18-Oct-17,53.73,54.73,53.06,54.18,1116511
17-Oct-17,52.05,53.95,51.91,53.71,1053320
16-Oct-17,50.80,53.03,50.80,52.18,1849385
13-Oct-17,50.94,51.30,50.04,50.82,1244332
12-Oct-17,50.05,51.21,49.25,51.08,2244711
11-Oct-17,53.40,53.65,50.34,50.58,3209357
10-Oct-17,54.61,54.92,53.23,53.73,1764017
9-Oct-17,56.72,57.06,53.97,54.16,1072481
6-Oct-17,55.92,58.40,55.92,56.95,1303562
5-Oct-17,55.73,56.65,55.73,56.46,599470
4-Oct-17,54.53,55.86,54.53,55.73,918684
3-Oct-17,54.70,54.70,53.01,54.44,2502873
2-Oct-17,55.24,56.42,54.36,54.42,3125721
29-Sep-17,54.93,56.08,54.60,55.46,874583
28-Sep-17,56.13,56.37,54.43,54.99,1028881
27-Sep-17,55.11,56.49,54.83,56.17,687693
26-Sep-17,55.06,55.54,54.84,55.10,651123
25-Sep-17,54.15,55.35,54.00,55.06,1564622
22-Sep-17,54.60,54.66,54.01,54.25,720806
21-Sep-17,53.05,54.64,53.02,54.61,1091003
20-Sep-17,54.00,54.45,52.87,53.67,1699831
19-Sep-17,57.85,58.44,52.84,53.54,5344595
18-Sep-17,58.50,58.63,57.75,57.80,1132751
15-Sep-17,57.99,59.00,57.46,58.48,1741084
14-Sep-17,58.29,58.86,57.90,57.99,1476293
13-Sep-17,60.14,60.38,58.35,58.44,1262872
12-Sep-17,59.98,60.39,59.49,60.19,854315
11-Sep-17,61.74,62.09,59.81,60.03,1060320
8-Sep-17,59.95,61.58,59.91,61.40,2427101
7-Sep-17,61.66,61.80,59.92,60.07,999853
6-Sep-17,61.65,61.71,60.41,61.32,999877
5-Sep-17,62.18,62.41,61.26,61.65,867304
1-Sep-17,62.56,62.75,61.80,62.27,680989
31-Aug-17,61.82,62.81,61.81,62.48,1146549
30-Aug-17,61.79,62.21,61.40,61.68,719633
29-Aug-17,61.30,61.94,61.14,61.39,672015
28-Aug-17,59.08,61.77,59.00,61.51,1480195
25-Aug-17,62.51,62.81,61.53,61.64,692761
24-Aug-17,63.83,64.16,62.31,62.37,864153
23-Aug-17,64.54,64.72,63.26,63.42,543592
22-Aug-17,64.45,64.90,63.66,64.70,559768
21-Aug-17,64.58,65.07,64.06,64.48,863878
18-Aug-17,65.48,65.48,63.85,64.06,1061123
17-Aug-17,67.52,68.19,65.92,65.93,848774
16-Aug-17,68.30,68.72,67.38,67.61,919429
15-Aug-17,67.00,68.64,66.50,68.00,1523370
