Date,Open,High,Low,Close,Volume
20-Oct-17,50.68,50.69,50.37,50.55,1004169
19-Oct-17,50.80,50.95,50.43,50.68,2632155
18-Oct-17,50.19,50.47,49.92,50.13,3263764
17-Oct-17,48.91,49.56,48.80,49.31,1966504
16-Oct-17,49.32,49.85,49.18,49.32,3327318
13-Oct-17,47.66,47.77,47.35,47.53,5268951
12-Oct-17,49.16,49.26,48.98,49.06,5531307
11-Oct-17,49.03,49.18,49.00,49.07,638001
10-Oct-17,48.65,48.87,48.64,48.83,6594905
9-Oct-17,49.10,49.35,48.91,49.21,2285742
6-Oct-17,48.85,49.25,48.80,49.12,958732
5-Oct-17,48.92,49.12,48.66,48.94,1112011
4-Oct-17,48.88,49.50,48.88,49.28,1928856
3-Oct-17,48.82,49.10,48.63,49.06,1376014
2-Oct-17,48.74,49.12,48.74,48.91,1723433
29-Sep-17,47.92,48.18,47.75,48.15,2656566
28-Sep-17,48.09,48.22,47.96,48.07,1990799
27-Sep-17,47.52,48.38,47.45,48.30,1594677
26-Sep-17,48.04,48.29,47.99,48.12,2845413
25-Sep-17,49.22,49.40,48.72,48.79,1019247
22-Sep-17,49.17,49.45,49.00,49.22,795458
21-Sep-17,49.12,49.25,48.98,49.06,1643333
20-Sep-17,48.71,49.26,48.71,49.11,1980542
19-Sep-17,48.74,48.77,48.45,48.65,856774
18-Sep-17,48.56,48.69,48.41,48.67,1058050
15-Sep-17,48.36,48.60,48.12,48.19,2037890
14-Sep-17,48.46,48.70,48.29,48.65,2115308
13-Sep-17,48.54,48.88,48.48,48.66,1079952
12-Sep-17,48.68,48.72,48.19,48.52,1323675
11-Sep-17,48.23,48.87,48.23,48.69,1272271
8-Sep-17,48.01,48.18,47.92,47.97,1019724
7-Sep-17,48.05,48.56,48.00,48.50,1416962
6-Sep-17,47.67,48.08,47.65,47.84,1749852
5-Sep-17,47.25,48.00,45.17,46.98,5529508
1-Sep-17,47.61,47.82,47.15,47.24,2410377
31-Aug-17,47.34,47.77,47.32,47.62,2105570
30-Aug-17,46.51,46.68,46.40,46.55,904497
29-Aug-17,46.63,46.68,46.34,46.51,1131184
28-Aug-17,46.74,46.81,46.56,46.80,1234001
25-Aug-17,45.98,46.22,45.92,46.13,932920
24-Aug-17,45.72,45.85,45.55,45.62,792881
23-Aug-17,45.63,45.79,45.28,45.37,1855663
22-Aug-17,45.97,46.21,45.68,46.15,2386703
21-Aug-17,45.75,45.77,45.43,45.46,1809915
18-Aug-17,45.17,45.30,45.08,45.18,1447308
17-Aug-17,45.46,45.82,45.31,45.34,2352582
16-Aug-17,44.92,46.86,44.60,46.41,4033322
15-Aug-17,45.55,45.74,45.37,45.51,1330288
14-Aug-17,45.64,45.77,45.24,45.33,1340341
11-Aug-17,45.51,45.99,45.50,45.81,2503210
10-Aug-17,44.75,44.80,44.03,44.15,1975675
9-Aug-17,43.93,44.96,43.74,44.57,3637672
8-Aug-17,41.43,41.77,41.09,41.15,2370397
7-Aug-17,41.79,41.88,41.63,41.66,1118247
4-Aug-17,42.16,42.29,41.91,42.06,911001
3-Aug-17,42.47,42.75,42.31,42.49,988278
2-Aug-17,42.51,42.53,42.25,42.30,1014998
1-Aug-17,42.47,42.54,42.27,42.31,1203539
31-Jul-17,-,-,-,42.40,1435093
28-Jul-17,41.72,42.24,41.66,42.16,1286079
27-Jul-17,41.48,41.64,41.03,41.49,2984455
26-Jul-17,42.09,42.10,41.68,41.99,2130323
25-Jul-17,42.23,42.32,42.02,42.16,1624497
24-Jul-17,41.70,42.03,41.70,41.90,2959316
21-Jul-17,42.71,43.07,42.50,42.95,1233659
20-Jul-17,43.07,43.71,43.07,43.55,1555468
19-Jul-17,42.42,42.76,42.37,42.57,2789445
18-Jul-17,42.97,43.19,42.81,43.19,1153736
17-Jul-17,43.04,43.32,42.99,43.09,976191
14-Jul-17,42.68,43.14,42.55,42.98,988967
13-Jul-17,42.40,42.78,42.34,42.61,1616831
12-Jul-17,42.49,43.02,42.46,42.86,1389524
11-Jul-17,41.76,42.19,41.74,42.10,1030366
10-Jul-17,42.07,42.32,41.93,42.12,796477
7-Jul-17,41.71,42.09,41.67,42.01,1575602
6-Jul-17,42.07,42.22,41.85,41.94,1176245
5-Jul-17,42.06,42.48,41.95,42.42,1778733
3-Jul-17,42.55,42.80,42.50,42.57,890240
30-Jun-17,42.73,43.09,42.66,42.89,1388741
29-Jun-17,42.71,42.71,42.10,42.41,1612456
28-Jun-17,43.30,43.46,43.24,43.27,1300391
27-Jun-17,44.03,44.05,43.42,43.50,1651888
26-Jun-17,44.38,44.56,44.19,44.39,1022909
23-Jun-17,44.00,44.54,43.90,44.44,2789416
22-Jun-17,43.57,43.92,43.50,43.67,1901649
21-Jun-17,43.71,43.76,43.40,43.71,1463212
20-Jun-17,43.37,43.60,43.14,43.17,1474689
19-Jun-17,43.33,43.72,43.30,43.68,1709658
16-Jun-17,42.80,43.21,42.74,43.20,2753595
15-Jun-17,43.05,43.09,42.49,42.59,3644817
14-Jun-17,44.20,44.36,43.80,44.00,2170952
13-Jun-17,43.69,44.00,43.58,43.91,1932061
12-Jun-17,43.55,43.67,43.27,43.47,2249666
9-Jun-17,42.50,43.00,42.40,42.84,1532797
8-Jun-17,42.60,42.78,42.44,42.75,1474696
7-Jun-17,42.64,42.91,42.60,42.74,1789005
6-Jun-17,43.48,43.58,43.30,43.32,1949290
5-Jun-17,43.76,43.87,43.42,43.70,2336567
2-Jun-17,44.24,44.28,43.88,43.99,2289258
1-Jun-17,42.76,43.09,42.76,42.99,1703803
31-May-17,42.32,42.52,42.16,42.37,2029517
30-May-17,42.00,42.19,41.86,41.92,2082258
26-May-17,41.78,41.85,41.50,41.68,908341
25-May-17,41.58,41.92,41.45,41.86,1136164
24-May-17,41.54,41.71,41.42,41.67,2811320
23-May-17,41.85,41.97,41.38,41.48,4099543
22-May-17,41.51,41.81,41.36,41.50,4196310
19-May-17,40.97,41.04,40.78,40.85,1821501
18-May-17,40.31,40.56,40.16,40.44,2183858
17-May-17,40.47,40.50,39.95,39.97,1583678
16-May-17,40.83,40.94,40.54,40.85,1840703
15-May-17,40.31,40.69,40.25,40.63,1483068
12-May-17,40.44,40.84,40.36,40.60,1541609
11-May-17,39.98,40.26,39.97,40.16,1243305
10-May-17,40.34,40.35,40.02,40.34,3135309
9-May-17,40.03,40.26,39.72,39.90,2769620
8-May-17,40.78,40.82,40.45,40.58,1996588
5-May-17,41.08,41.24,40.74,40.90,1966065
4-May-17,41.81,41.81,41.26,41.63,5109344
3-May-17,41.43,41.57,40.68,41.10,3490119
2-May-17,38.77,39.19,38.54,38.93,2791943
1-May-17,38.47,38.51,38.25,38.30,1234893
28-Apr-17,38.90,39.02,38.32,38.68,2922841
27-Apr-17,38.52,38.89,38.05,38.78,5889056
26-Apr-17,37.30,37.54,37.27,37.36,3255375
25-Apr-17,37.17,37.22,37.00,37.08,2524544
24-Apr-17,36.52,36.60,36.39,36.54,1396883
21-Apr-17,36.19,36.29,35.77,35.88,1163500
20-Apr-17,36.50,36.56,36.38,36.40,1310277
19-Apr-17,36.39,36.46,36.29,36.31,2153003
18-Apr-17,36.39,36.40,35.98,36.19,4688222
17-Apr-17,35.83,36.18,35.76,36.09,1173022
13-Apr-17,36.01,36.08,35.71,35.75,1261537
12-Apr-17,36.18,36.27,35.98,36.15,1576450
11-Apr-17,35.96,36.08,35.91,36.02,1517937
10-Apr-17,35.72,35.96,35.70,35.85,2442994
7-Apr-17,35.29,35.52,35.10,35.40,1485129
6-Apr-17,35.77,35.79,35.31,35.36,1647160
5-Apr-17,36.13,36.16,35.67,35.69,4652546
4-Apr-17,35.18,36.19,35.15,36.05,6152554
3-Apr-17,34.22,34.39,33.97,34.36,3023165
31-Mar-17,34.60,34.62,34.24,34.28,2747131
30-Mar-17,34.08,34.12,33.78,33.79,1127333
29-Mar-17,34.14,34.23,34.00,34.19,1555744
28-Mar-17,34.30,34.35,34.10,34.11,1512216
27-Mar-17,33.89,34.28,33.77,34.18,1708739
24-Mar-17,33.79,33.86,33.42,33.54,1607923
23-Mar-17,33.21,33.55,33.10,33.15,1777705
22-Mar-17,33.92,33.94,33.63,33.90,2168669
21-Mar-17,34.58,34.63,33.68,33.68,2455501
20-Mar-17,34.27,34.39,34.20,34.23,1519814
17-Mar-17,34.01,34.18,33.92,34.02,2265156
16-Mar-17,33.97,34.23,33.84,34.18,1600043
15-Mar-17,33.47,33.96,33.43,33.84,1669264
14-Mar-17,33.85,33.97,33.69,33.73,1233284
13-Mar-17,33.80,33.87,33.64,33.83,1375773
10-Mar-17,33.75,33.94,33.60,33.89,1731775
9-Mar-17,33.31,33.47,33.19,33.45,1907017
8-Mar-17,33.11,33.20,32.89,32.98,3543848
7-Mar-17,33.55,33.63,33.32,33.37,2673167
6-Mar-17,34.15,34.20,33.84,33.92,1850676
3-Mar-17,34.70,34.73,34.40,34.68,1851341
2-Mar-17,34.73,34.90,34.60,34.64,3294904
1-Mar-17,34.95,35.14,34.75,35.03,2405125
28-Feb-17,35.53,35.78,35.25,35.33,2890344
27-Feb-17,35.44,35.80,35.42,35.74,2110729
24-Feb-17,35.56,35.63,35.42,35.60,2028458
23-Feb-17,35.57,35.92,35.39,35.78,2787589
22-Feb-17,35.30,35.40,35.13,35.25,2024506
21-Feb-17,35.22,35.46,35.20,35.37,2385267
17-Feb-17,35.22,35.46,35.19,35.46,1742723
16-Feb-17,35.09,35.50,35.05,35.44,3846156
15-Feb-17,34.23,34.82,34.23,34.77,6922321
14-Feb-17,34.37,34.66,34.32,34.55,2591613
13-Feb-17,34.56,34.66,34.38,34.59,1936758
10-Feb-17,34.22,34.70,34.15,34.50,1522182
9-Feb-17,34.30,34.53,34.19,34.48,2246470
8-Feb-17,33.56,33.81,33.40,33.65,1970687
7-Feb-17,33.49,33.64,33.23,33.38,3053087
6-Feb-17,33.43,33.77,33.43,33.73,3481646
3-Feb-17,33.44,34.16,33.38,34.08,3705674
2-Feb-17,33.53,33.90,32.83,33.48,6908503
1-Feb-17,35.75,36.71,35.65,36.69,3468430
31-Jan-17,35.74,36.20,35.47,36.17,3698087
30-Jan-17,35.54,35.86,35.47,35.69,2360222
27-Jan-17,35.59,35.87,35.47,35.78,2159955
26-Jan-17,35.45,35.50,34.99,35.03,1913468
25-Jan-17,34.96,35.30,34.80,35.20,2223374
24-Jan-17,34.96,35.04,34.58,34.79,2309427
23-Jan-17,35.58,35.62,35.14,35.40,1766083
20-Jan-17,35.63,35.73,35.52,35.53,1743767
19-Jan-17,35.72,35.83,35.57,35.63,1439250
18-Jan-17,35.90,36.12,35.84,36.04,2827025
17-Jan-17,36.35,36.39,35.81,36.20,2503857
13-Jan-17,35.76,35.95,35.56,35.73,2315202
12-Jan-17,34.93,35.37,34.84,35.26,2207786
11-Jan-17,35.83,36.03,35.21,35.62,2211044
10-Jan-17,36.13,36.29,36.01,36.01,1540974
9-Jan-17,36.39,36.61,36.16,36.50,1862298
6-Jan-17,36.76,36.78,36.49,36.64,2614451
5-Jan-17,36.79,37.08,36.66,37.06,2401864
4-Jan-17,36.12,36.29,35.94,36.18,2571868
3-Jan-17,36.23,36.30,35.72,35.92,4722933
30-Dec-16,36.00,36.08,35.71,35.86,1757906
29-Dec-16,35.83,36.10,35.76,35.82,2226074
28-Dec-16,35.67,35.72,35.41,35.43,1425852
27-Dec-16,35.81,35.86,35.56,35.57,1150822
23-Dec-16,35.69,35.87,35.60,35.72,1121922
22-Dec-16,35.63,35.79,35.43,35.54,2150922
21-Dec-16,35.63,35.73,35.34,35.39,2273762
20-Dec-16,35.55,35.68,35.38,35.64,2077487
19-Dec-16,35.92,35.94,35.36,35.41,2182496
16-Dec-16,35.60,35.70,35.42,35.62,2605364
15-Dec-16,35.43,35.65,35.29,35.51,3082668
14-Dec-16,35.51,35.78,35.02,35.11,2954019
13-Dec-16,35.69,36.09,35.69,35.75,3108143
12-Dec-16,35.77,36.03,35.52,35.65,3308848
9-Dec-16,35.21,36.10,35.18,36.05,3973646
8-Dec-16,34.59,35.03,34.41,34.97,3592404
7-Dec-16,35.34,35.35,34.83,35.20,4918768
6-Dec-16,34.82,35.31,34.45,35.26,6965234
5-Dec-16,34.34,34.46,34.18,34.42,5548691
2-Dec-16,33.87,34.00,33.67,33.93,3790173
1-Dec-16,33.69,33.74,33.38,33.55,3971648
30-Nov-16,33.96,34.00,33.48,33.60,8117570
29-Nov-16,32.83,32.92,32.58,32.72,4347713
28-Nov-16,32.76,32.78,32.44,32.54,3515030
25-Nov-16,32.00,32.26,31.91,32.08,1964090
23-Nov-16,31.07,31.61,30.89,31.57,7707394
22-Nov-16,32.30,32.30,31.50,31.78,5457250
21-Nov-16,32.57,32.62,32.19,32.25,3988628
18-Nov-16,32.78,32.81,32.35,32.42,3781219
17-Nov-16,32.90,33.04,32.77,32.84,2400460
16-Nov-16,33.36,33.41,32.84,32.90,3179162
15-Nov-16,33.24,33.49,33.02,33.40,3836653
14-Nov-16,32.82,33.19,32.80,32.98,5232671
11-Nov-16,33.69,33.78,33.27,33.45,5354629
10-Nov-16,33.82,34.22,33.56,33.86,7349119
9-Nov-16,34.52,35.15,34.21,34.56,10510891
8-Nov-16,33.93,34.03,33.46,33.87,5388388
7-Nov-16,34.12,34.38,34.01,34.16,8727574
4-Nov-16,34.24,34.64,34.19,34.35,7462270
3-Nov-16,35.45,35.52,34.69,34.73,5029071
2-Nov-16,35.80,35.83,35.23,35.23,3988031
1-Nov-16,35.73,35.96,35.60,35.77,4842994
31-Oct-16,35.24,35.74,35.13,35.54,9083317
28-Oct-16,35.35,35.93,34.55,35.66,11968732
27-Oct-16,41.05,41.35,40.85,40.94,2968752
26-Oct-16,40.62,40.62,40.11,40.24,3986680
25-Oct-16,40.49,40.62,40.31,40.33,3173132
24-Oct-16,41.17,41.30,40.69,40.81,2323797
21-Oct-16,41.27,41.64,41.12,41.50,3774807
20-Oct-16,40.73,41.10,40.68,41.04,1885957
19-Oct-16,40.77,40.83,40.39,40.49,2767105
18-Oct-16,40.79,40.81,40.51,40.56,2430113
17-Oct-16,39.74,40.35,39.55,40.33,7257353
14-Oct-16,40.34,40.34,39.58,39.58,3221737
13-Oct-16,39.06,39.97,39.03,39.67,5581124
12-Oct-16,39.66,39.73,39.33,39.58,3666059
11-Oct-16,40.08,40.27,39.71,39.78,3409924
10-Oct-16,40.11,40.90,40.11,40.58,4727340
7-Oct-16,40.77,40.80,40.45,40.73,1854544
6-Oct-16,41.21,41.24,40.60,40.86,3992386
5-Oct-16,41.95,41.96,41.32,41.52,5016992
4-Oct-16,40.46,40.84,40.37,40.63,5379355
3-Oct-16,40.97,41.15,40.83,41.12,3580933
30-Sep-16,41.58,41.86,41.27,41.59,5650527
29-Sep-16,42.75,42.79,41.76,41.80,4792101
28-Sep-16,43.92,43.97,43.44,43.74,2922264
27-Sep-16,43.69,43.93,43.35,43.85,3149186
26-Sep-16,44.77,44.84,44.29,44.43,1940698
23-Sep-16,44.58,45.12,44.52,44.88,3873940
22-Sep-16,45.81,45.92,45.41,45.57,2346457
21-Sep-16,45.98,46.08,45.34,46.04,2541596
20-Sep-16,46.31,46.41,46.04,46.23,3158295
19-Sep-16,46.30,46.35,45.63,45.73,3583116
16-Sep-16,46.54,46.55,46.00,46.12,1449309
15-Sep-16,45.99,46.47,45.86,46.24,3050682
14-Sep-16,46.11,46.37,45.87,46.05,1774320
13-Sep-16,45.59,45.98,45.38,45.84,4662297
12-Sep-16,44.76,46.24,44.63,46.10,4492616
9-Sep-16,44.74,44.83,44.04,44.04,3953300
8-Sep-16,45.75,46.14,45.51,45.95,4484934
7-Sep-16,45.58,46.00,45.56,45.89,3252290
6-Sep-16,45.79,46.08,45.75,46.00,3224434
2-Sep-16,45.41,45.92,45.36,45.80,3951748
1-Sep-16,46.18,46.40,46.13,46.34,2804918
31-Aug-16,47.09,47.19,46.57,46.72,1282125
30-Aug-16,46.92,47.32,46.90,47.13,1219326
29-Aug-16,46.64,47.18,46.61,47.05,1589246
26-Aug-16,46.88,47.18,46.62,46.89,1600893
25-Aug-16,47.15,47.26,46.76,46.85,1575886
24-Aug-16,47.46,47.65,46.82,46.88,2694331
23-Aug-16,47.65,47.75,47.32,47.41,3381352
22-Aug-16,47.97,47.98,47.33,47.49,3106364
19-Aug-16,46.90,46.99,46.66,46.88,991453
18-Aug-16,46.67,47.10,46.61,47.04,1302802
17-Aug-16,46.79,47.29,46.63,47.17,2615138
16-Aug-16,46.83,47.17,46.72,47.12,5300037
15-Aug-16,46.80,46.99,46.58,46.60,5906462
12-Aug-16,46.18,46.30,45.80,46.18,10078768
11-Aug-16,46.58,46.77,46.23,46.46,2813136
10-Aug-16,48.22,48.25,47.07,47.28,2116909
9-Aug-16,48.02,48.58,47.70,48.05,5620161
8-Aug-16,47.61,47.84,47.02,47.13,7074327
5-Aug-16,49.68,50.30,48.88,49.87,7991070
4-Aug-16,54.79,55.37,54.71,55.20,2829684
3-Aug-16,54.93,55.45,54.92,55.35,2482061
