Date,Open,High,Low,Close,Volume
20-Oct-17,86.05,86.07,85.49,85.74,2026656
19-Oct-17,86.56,86.61,85.85,86.16,2113882
18-Oct-17,86.12,86.31,85.88,86.04,1120561
17-Oct-17,85.85,86.52,85.76,86.34,1294500
16-Oct-17,86.35,86.87,86.19,86.37,857876
13-Oct-17,86.28,86.35,85.98,86.13,846361
12-Oct-17,86.13,86.23,85.85,85.99,1229317
11-Oct-17,86.03,86.15,85.93,86.13,191850
10-Oct-17,85.46,85.80,85.19,85.74,1351851
9-Oct-17,85.77,85.84,85.19,85.45,1084281
6-Oct-17,85.40,85.99,85.39,85.77,818819
5-Oct-17,85.48,85.77,85.28,85.64,1053370
4-Oct-17,86.24,86.54,85.85,86.07,1578649
3-Oct-17,86.49,86.65,86.39,86.65,2600992
2-Oct-17,86.36,86.67,86.10,86.34,2006213
29-Sep-17,85.33,85.91,85.04,85.85,1778684
28-Sep-17,85.01,85.12,84.70,84.75,1130181
27-Sep-17,84.32,84.62,84.27,84.57,1596569
26-Sep-17,85.68,85.94,84.96,85.24,1788753
25-Sep-17,85.99,86.56,85.91,86.23,2222256
22-Sep-17,86.25,86.34,85.85,86.16,2726428
21-Sep-17,85.41,85.56,84.90,84.94,1235460
20-Sep-17,86.21,86.41,85.07,85.78,2009254
19-Sep-17,85.64,85.94,85.51,85.85,1779692
18-Sep-17,85.77,85.77,84.92,85.11,860436
15-Sep-17,85.83,85.86,85.37,85.58,1933504
14-Sep-17,85.39,86.02,85.35,85.83,1523818
13-Sep-17,85.94,86.02,85.44,85.54,1440145
12-Sep-17,85.72,86.04,85.58,85.72,847931
11-Sep-17,85.29,85.74,85.29,85.59,1584394
8-Sep-17,85.51,85.71,85.30,85.63,1254258
7-Sep-17,84.73,85.46,84.46,85.30,2302080
6-Sep-17,83.73,84.27,83.68,83.86,2046391
5-Sep-17,83.72,83.86,83.42,83.80,2363881
1-Sep-17,84.25,84.40,83.74,83.81,2586379
31-Aug-17,83.27,84.56,83.23,84.29,5258369
30-Aug-17,82.91,83.01,82.61,82.74,3299180
29-Aug-17,83.24,83.93,83.21,83.62,1265870
28-Aug-17,83.34,83.42,83.05,83.33,1893956
25-Aug-17,83.64,84.09,83.52,83.53,1485836
24-Aug-17,83.86,84.03,83.46,83.58,673174
23-Aug-17,83.11,83.45,82.91,83.28,1114954
22-Aug-17,83.30,83.81,83.26,83.51,1127866
21-Aug-17,83.18,83.28,82.91,83.02,1039214
18-Aug-17,83.10,83.15,82.66,82.76,1319136
17-Aug-17,84.04,84.24,83.16,83.18,920180
16-Aug-17,84.26,84.51,84.06,84.37,766349
15-Aug-17,84.09,84.28,83.73,84.10,1271151
14-Aug-17,84.02,84.19,83.68,83.86,798736
11-Aug-17,83.11,83.46,82.95,83.35,1363885
10-Aug-17,84.04,84.04,83.11,83.18,1250416
9-Aug-17,84.25,84.25,83.66,84.18,1582409
8-Aug-17,84.52,84.77,83.96,84.16,996101
7-Aug-17,84.55,84.68,84.24,84.44,1305992
4-Aug-17,84.89,85.15,84.59,84.97,990062
3-Aug-17,85.30,85.32,84.78,84.87,962708
2-Aug-17,85.49,85.59,85.14,85.27,1138919
1-Aug-17,85.46,85.63,85.27,85.34,1148892
31-Jul-17,-,-,85.07,85.20,1844831
28-Jul-17,84.46,84.85,84.31,84.75,1278927
27-Jul-17,85.21,85.32,84.48,84.97,2748703
26-Jul-17,84.62,84.88,84.34,84.85,1441445
25-Jul-17,84.63,84.66,83.92,84.20,1387032
24-Jul-17,84.29,84.49,84.01,84.29,1045543
21-Jul-17,85.12,85.14,84.72,84.99,1256718
20-Jul-17,85.23,85.64,85.18,85.42,1442281
19-Jul-17,84.88,85.27,84.80,85.03,1736355
18-Jul-17,84.63,85.18,83.97,84.77,2655572
17-Jul-17,83.84,83.87,82.95,83.27,1628485
14-Jul-17,83.11,83.36,82.72,83.16,1320998
13-Jul-17,82.93,83.03,82.29,82.55,1756364
12-Jul-17,83.14,84.00,83.09,83.21,1827567
11-Jul-17,81.56,82.06,81.43,81.99,1154841
10-Jul-17,82.00,82.44,81.93,82.10,873643
7-Jul-17,81.97,82.41,81.83,82.32,1004989
6-Jul-17,81.92,82.00,81.48,81.97,2365363
5-Jul-17,82.14,83.16,82.06,83.13,2484958
3-Jul-17,83.49,83.80,83.41,83.59,862042
30-Jun-17,84.13,84.26,83.34,83.47,2034800
29-Jun-17,84.47,84.47,83.66,84.19,1688507
28-Jun-17,85.66,85.79,85.11,85.25,1255982
27-Jun-17,86.01,86.15,85.30,85.31,2623418
26-Jun-17,85.79,86.21,85.73,85.75,2960277
23-Jun-17,85.57,86.58,85.51,86.34,2199472
22-Jun-17,85.09,86.90,85.08,86.34,6139354
21-Jun-17,81.88,82.62,81.78,82.56,1982868
20-Jun-17,82.45,82.48,81.53,81.60,1897036
19-Jun-17,80.98,81.55,80.90,81.44,1139392
16-Jun-17,80.64,80.83,80.23,80.83,1798735
15-Jun-17,79.72,80.57,79.69,80.45,1953077
14-Jun-17,81.39,81.58,81.07,81.27,1506195
13-Jun-17,81.42,81.64,81.25,81.45,1720122
12-Jun-17,81.13,81.25,80.51,80.84,1763343
