Date,Open,High,Low,Close,Volume
20-Oct-17,80.26,82.11,78.64,81.87,483213
19-Oct-17,81.84,82.11,80.11,80.79,482785
18-Oct-17,83.30,83.88,80.84,82.00,430867
17-Oct-17,85.48,85.87,82.25,82.97,546084
16-Oct-17,84.24,86.83,83.91,85.53,543621
13-Oct-17,91.75,91.75,83.18,84.23,1935993
11-Oct-17,87.00,87.60,85.75,86.20,536939
10-Oct-17,87.26,88.13,83.25,86.74,611676
9-Oct-17,87.20,87.20,84.07,85.67,703914
6-Oct-17,86.75,89.90,86.75,87.44,414060
5-Oct-17,87.12,88.21,86.09,87.48,253517
4-Oct-17,87.52,88.64,86.02,87.52,250314
3-Oct-17,90.13,90.89,87.35,88.18,307247
2-Oct-17,89.97,90.45,87.46,89.37,427536
29-Sep-17,89.59,91.00,88.72,89.16,466144
28-Sep-17,88.08,90.47,87.66,89.23,481936
27-Sep-17,85.43,89.36,85.43,87.68,472997
26-Sep-17,87.00,87.00,84.62,85.00,349418
25-Sep-17,87.84,88.65,85.80,87.00,500915
22-Sep-17,86.29,87.00,83.53,85.15,441517
21-Sep-17,88.56,88.56,86.22,87.10,529896
20-Sep-17,85.64,88.65,85.28,87.99,366587
19-Sep-17,82.67,86.20,81.94,85.82,442752
18-Sep-17,80.64,83.53,80.64,82.83,302504
15-Sep-17,81.77,82.79,80.60,81.88,1016361
14-Sep-17,80.84,83.19,79.06,81.34,345144
13-Sep-17,82.50,83.00,81.42,81.71,392401
12-Sep-17,82.82,83.82,80.74,82.34,360292
11-Sep-17,83.76,85.26,82.25,83.07,320579
8-Sep-17,85.18,86.02,81.76,82.22,455461
7-Sep-17,82.70,86.86,81.17,85.41,445618
6-Sep-17,81.00,82.66,79.60,81.88,234015
5-Sep-17,81.64,81.64,78.76,80.51,289164
1-Sep-17,82.98,83.06,81.17,82.16,236623
31-Aug-17,82.43,83.15,80.58,82.33,419966
30-Aug-17,81.19,82.30,80.10,81.81,356477
29-Aug-17,79.89,83.41,78.67,81.26,291052
28-Aug-17,82.36,82.86,80.88,81.51,329576
25-Aug-17,82.09,83.19,79.11,80.37,266437
24-Aug-17,79.91,82.00,77.36,81.81,443063
23-Aug-17,77.82,81.85,77.30,79.59,459730
22-Aug-17,75.98,78.00,75.93,77.86,241375
21-Aug-17,74.59,75.78,74.20,75.54,262013
18-Aug-17,76.32,76.37,74.24,74.80,551710
17-Aug-17,77.89,79.13,76.02,76.05,348901
16-Aug-17,78.43,79.50,78.19,78.96,300603
15-Aug-17,79.44,79.93,76.95,78.16,446546
14-Aug-17,76.81,79.78,76.81,79.61,419511
11-Aug-17,75.11,76.85,74.47,75.96,387417
10-Aug-17,75.94,76.86,74.05,75.02,561285
9-Aug-17,78.26,78.32,75.35,76.69,388466
8-Aug-17,78.50,79.63,77.11,78.78,823813
7-Aug-17,77.09,79.64,76.49,78.63,714848
4-Aug-17,77.12,78.08,75.90,76.96,2519357
3-Aug-17,78.01,78.71,74.76,76.85,1068000
2-Aug-17,77.72,80.89,75.02,79.72,3001039
1-Aug-17,71.95,72.20,66.52,66.59,508494
31-Jul-17,71.12,72.41,70.30,71.00,398913
28-Jul-17,69.95,71.74,69.36,71.33,253621
27-Jul-17,73.99,73.99,68.86,70.29,355005
26-Jul-17,71.08,73.74,70.52,72.68,243876
25-Jul-17,74.11,74.11,69.55,70.82,472238
24-Jul-17,69.07,74.29,68.89,74.01,951534
21-Jul-17,65.85,69.80,65.32,69.02,782606
20-Jul-17,64.38,65.80,63.62,65.29,425722
19-Jul-17,62.38,64.74,61.64,64.16,479005
18-Jul-17,60.72,61.80,60.23,61.52,277974
17-Jul-17,59.73,62.02,59.73,60.65,353196
14-Jul-17,59.34,60.76,58.82,59.36,316465
13-Jul-17,58.20,60.38,57.00,59.36,404417
12-Jul-17,60.44,60.44,57.39,58.13,500962
11-Jul-17,60.93,61.30,57.56,60.02,649468
10-Jul-17,61.75,62.89,59.81,59.88,410469
7-Jul-17,64.49,64.58,60.71,61.83,324158
6-Jul-17,65.17,65.17,62.24,64.16,481671
5-Jul-17,59.97,65.93,59.97,65.56,455461
3-Jul-17,59.92,60.53,58.63,60.03,146183
30-Jun-17,60.15,60.52,58.65,59.74,224457
29-Jun-17,62.89,63.55,59.41,60.09,304460
28-Jun-17,60.99,63.59,60.18,62.88,411880
27-Jun-17,61.00,62.32,59.81,60.03,263467
26-Jun-17,62.31,62.89,59.69,61.23,271048
23-Jun-17,62.30,62.66,59.64,61.86,824747
22-Jun-17,64.80,65.00,62.13,62.59,340457
21-Jun-17,63.31,65.00,62.47,64.47,384351
20-Jun-17,61.30,65.00,60.75,62.84,488814
19-Jun-17,59.37,61.57,58.90,61.08,434747
16-Jun-17,53.97,59.00,53.71,58.51,729264
15-Jun-17,56.08,56.74,54.53,55.70,161900
14-Jun-17,56.73,57.80,55.56,56.70,203795
13-Jun-17,54.20,57.37,53.85,56.80,237972
12-Jun-17,53.61,54.63,52.10,54.00,384221
9-Jun-17,54.41,54.95,53.16,53.93,225119
8-Jun-17,54.84,55.20,52.54,54.41,224026
7-Jun-17,51.73,55.91,51.73,54.74,494133
6-Jun-17,51.47,51.85,50.53,51.60,327382
5-Jun-17,52.43,52.43,50.12,51.79,186454
2-Jun-17,52.45,52.94,51.18,52.01,384432
1-Jun-17,51.28,52.85,50.99,52.18,231513
31-May-17,51.67,52.77,49.63,50.93,281713
30-May-17,53.06,53.50,51.26,51.27,259556
26-May-17,55.38,55.70,52.79,52.99,244070
25-May-17,55.61,56.66,54.57,55.62,337159
24-May-17,55.31,56.10,53.73,55.29,327525
23-May-17,54.34,55.44,52.65,55.20,293915
22-May-17,53.77,54.90,52.96,54.13,197296
19-May-17,55.96,56.59,53.14,53.55,207425
18-May-17,53.91,56.19,53.35,55.84,251445
17-May-17,55.48,56.07,53.25,53.98,224820
16-May-17,57.02,57.44,55.63,56.69,130409
15-May-17,56.90,57.99,56.63,56.80,117333
12-May-17,57.00,57.86,56.02,57.47,387217
11-May-17,59.14,59.22,56.61,57.85,502006
10-May-17,59.84,60.88,56.72,59.41,304084
9-May-17,59.51,61.65,57.99,60.17,593243
8-May-17,58.38,59.86,57.55,57.97,205243
5-May-17,58.87,59.00,56.81,58.65,260040
4-May-17,58.99,59.84,58.34,58.89,196634
3-May-17,58.78,59.98,58.02,58.69,204694
2-May-17,59.99,60.37,58.09,59.09,177803
1-May-17,58.11,59.99,57.28,59.93,169471
28-Apr-17,57.81,58.37,56.92,57.97,169042
27-Apr-17,57.24,58.45,56.31,57.84,132387
26-Apr-17,56.93,58.00,56.52,57.24,198536
25-Apr-17,55.00,57.19,54.68,56.92,262118
24-Apr-17,53.50,55.02,53.02,54.84,139212
21-Apr-17,54.17,54.17,52.00,52.50,163033
20-Apr-17,53.20,54.43,53.20,54.12,114095
19-Apr-17,53.37,54.48,52.60,52.95,157179
18-Apr-17,53.59,54.00,52.06,52.97,119563
17-Apr-17,52.06,54.13,51.71,53.71,159722
13-Apr-17,49.89,52.50,49.77,52.09,240878
12-Apr-17,49.76,50.35,49.02,50.01,132845
11-Apr-17,50.02,50.76,48.26,49.66,233591
10-Apr-17,51.24,51.46,50.00,50.17,142622
7-Apr-17,51.36,51.60,50.31,51.12,240652
6-Apr-17,51.34,52.05,50.25,51.49,356884
5-Apr-17,52.15,52.50,50.19,51.08,332402
4-Apr-17,52.04,53.00,51.31,51.88,186776
3-Apr-17,53.67,54.20,51.96,52.35,283384
31-Mar-17,53.85,53.98,52.95,53.34,160969
30-Mar-17,54.30,54.55,52.75,53.88,212647
29-Mar-17,53.10,54.51,52.33,53.51,225463
28-Mar-17,53.18,53.46,52.34,52.77,121874
27-Mar-17,52.29,54.07,51.50,53.19,238998
24-Mar-17,52.71,53.43,52.21,52.97,182928
23-Mar-17,52.77,54.17,52.17,52.41,178787
22-Mar-17,52.84,53.63,51.73,52.82,298662
21-Mar-17,58.41,59.22,52.55,52.67,447988
20-Mar-17,57.93,58.36,57.31,58.04,147001
17-Mar-17,58.53,59.32,57.75,57.93,481154
16-Mar-17,59.42,59.76,57.77,58.25,150012
15-Mar-17,59.15,59.99,58.05,59.50,334012
14-Mar-17,57.72,59.08,56.83,58.91,299362
13-Mar-17,57.47,58.74,56.22,58.08,227591
10-Mar-17,57.51,58.18,55.09,57.63,340288
9-Mar-17,58.09,59.04,56.30,56.88,323112
8-Mar-17,56.86,58.82,56.60,57.85,427448
7-Mar-17,59.81,60.04,56.42,56.57,597804
6-Mar-17,63.19,63.33,60.13,60.71,264685
3-Mar-17,62.10,63.78,62.02,63.36,361314
2-Mar-17,64.30,65.09,61.84,62.05,619054
1-Mar-17,64.84,65.11,63.48,64.38,637803
28-Feb-17,65.00,65.05,63.29,63.78,286440
27-Feb-17,59.96,65.04,59.62,65.02,437176
24-Feb-17,59.68,60.77,58.17,59.94,309226
23-Feb-17,61.65,61.98,59.70,60.48,332438
22-Feb-17,62.76,64.70,59.53,61.38,668823
21-Feb-17,64.83,65.00,63.47,64.71,219669
17-Feb-17,64.05,65.04,64.05,64.49,271640
16-Feb-17,65.00,65.03,62.01,64.57,262050
15-Feb-17,64.75,65.10,63.66,64.97,252694
14-Feb-17,63.38,65.16,62.88,64.75,173369
13-Feb-17,64.34,64.92,63.22,63.60,184793
10-Feb-17,64.62,64.94,63.26,63.69,244924
9-Feb-17,64.31,65.20,63.91,64.43,373372
8-Feb-17,63.04,64.03,62.22,63.06,229629
7-Feb-17,64.79,65.28,63.14,63.43,259328
6-Feb-17,64.73,65.01,62.78,64.54,238442
3-Feb-17,65.02,65.79,63.90,64.93,315118
2-Feb-17,63.89,64.95,63.40,64.82,258565
1-Feb-17,63.66,64.47,62.14,64.03,368796
31-Jan-17,58.00,63.40,56.51,63.06,530959
30-Jan-17,59.06,59.87,55.70,58.47,309020
27-Jan-17,58.07,59.51,57.64,59.46,250154
26-Jan-17,58.36,59.40,57.52,57.99,295672
25-Jan-17,59.00,59.88,57.80,58.52,257588
24-Jan-17,57.75,58.76,56.07,58.39,359334
23-Jan-17,57.21,58.11,56.53,57.63,311224
20-Jan-17,56.29,57.40,55.45,57.24,379225
19-Jan-17,55.92,56.38,54.47,56.01,267990
18-Jan-17,54.66,56.46,53.82,56.17,275050
17-Jan-17,56.79,56.79,53.74,54.20,326169
13-Jan-17,57.19,58.94,56.67,57.13,298064
12-Jan-17,55.61,57.40,53.26,57.29,423651
11-Jan-17,61.94,62.39,55.89,56.11,613090
10-Jan-17,62.78,63.46,61.00,62.10,534717
9-Jan-17,60.35,63.45,57.85,62.49,670523
6-Jan-17,58.69,59.61,58.31,58.49,221175
5-Jan-17,59.79,59.86,56.10,58.68,528398
4-Jan-17,54.15,60.00,52.17,59.49,651824
3-Jan-17,50.39,54.65,50.39,53.68,447638
30-Dec-16,50.60,51.77,49.32,49.90,358265
29-Dec-16,50.86,51.39,50.16,50.58,201668
28-Dec-16,51.87,52.07,50.18,50.62,170858
27-Dec-16,52.46,53.15,51.33,51.51,245170
23-Dec-16,48.48,51.94,48.00,51.68,449498
22-Dec-16,50.46,50.46,47.03,47.33,381392
21-Dec-16,52.36,52.36,49.45,49.89,430561
20-Dec-16,52.04,53.50,51.15,52.62,427496
19-Dec-16,52.82,53.27,50.66,50.88,254981
16-Dec-16,53.74,55.34,52.81,53.01,816604
15-Dec-16,53.10,54.25,52.30,52.96,425130
14-Dec-16,52.00,52.64,50.41,52.21,253288
13-Dec-16,53.28,53.99,51.90,52.17,257054
12-Dec-16,51.55,52.86,50.33,52.64,331069
9-Dec-16,56.21,57.65,51.69,51.98,752869
8-Dec-16,53.74,55.89,52.74,55.77,573816
7-Dec-16,56.56,57.30,52.65,53.97,553046
6-Dec-16,51.13,57.76,50.65,57.56,945524
5-Dec-16,49.85,52.48,49.53,50.58,951876
2-Dec-16,49.81,52.07,48.82,50.01,384584
1-Dec-16,55.09,56.01,49.58,49.74,601771
30-Nov-16,56.95,57.58,54.28,55.01,641829
