Date,Open,High,Low,Close,Volume
20-Oct-17,6.74,6.99,6.72,6.96,3531296
19-Oct-17,6.67,6.76,6.60,6.75,3519421
18-Oct-17,6.79,6.82,6.58,6.70,4247586
17-Oct-17,6.86,6.93,6.72,6.80,3355870
16-Oct-17,7.01,7.04,6.83,6.90,3095865
13-Oct-17,6.88,7.03,6.82,6.95,2698792
12-Oct-17,6.91,6.98,6.79,6.88,4536255
11-Oct-17,6.87,6.90,6.76,6.81,3830895
10-Oct-17,6.81,6.94,6.76,6.88,2642525
9-Oct-17,6.98,7.03,6.81,6.83,5144814
6-Oct-17,6.94,7.04,6.90,7.00,3263543
5-Oct-17,6.89,7.08,6.89,6.97,3896986
4-Oct-17,7.05,7.05,6.86,6.90,2507392
3-Oct-17,6.99,7.08,6.92,7.04,3012218
2-Oct-17,6.87,7.05,6.84,7.03,5799718
29-Sep-17,6.84,7.02,6.81,6.86,5457006
28-Sep-17,6.80,7.08,6.76,6.94,6130692
27-Sep-17,7.21,7.24,6.78,6.86,7536623
26-Sep-17,6.90,7.22,6.89,7.11,8352256
25-Sep-17,6.68,6.90,6.65,6.87,7470501
22-Sep-17,6.57,6.75,6.44,6.71,7434932
21-Sep-17,6.34,6.54,6.34,6.48,5434742
20-Sep-17,6.01,6.33,6.01,6.33,5386355
19-Sep-17,6.05,6.08,5.96,6.01,6638055
18-Sep-17,6.05,6.09,5.99,6.02,5274467
15-Sep-17,6.05,6.11,5.97,5.97,8169610
14-Sep-17,6.24,6.29,5.85,6.02,20917452
13-Sep-17,6.22,6.52,6.20,6.47,4274917
12-Sep-17,6.14,6.36,6.14,6.26,4060087
11-Sep-17,6.19,6.32,6.14,6.21,3452966
8-Sep-17,6.22,6.26,6.11,6.13,2971959
7-Sep-17,6.27,6.28,6.18,6.22,3263592
6-Sep-17,6.35,6.36,6.27,6.31,2608826
5-Sep-17,6.40,6.41,6.25,6.32,3485306
1-Sep-17,6.41,6.45,6.25,6.43,3492585
31-Aug-17,6.20,6.42,6.16,6.40,5007034
30-Aug-17,6.22,6.26,6.16,6.18,3887935
29-Aug-17,6.20,6.29,6.16,6.23,3644935
28-Aug-17,6.19,6.28,6.14,6.28,3131058
25-Aug-17,6.30,6.31,6.13,6.13,2825973
24-Aug-17,6.12,6.30,6.06,6.30,4021132
23-Aug-17,6.10,6.18,6.06,6.13,2577854
22-Aug-17,6.16,6.20,6.08,6.19,2590499
21-Aug-17,6.13,6.14,6.00,6.14,3102374
18-Aug-17,6.07,6.19,5.91,6.12,6288570
17-Aug-17,6.03,6.14,5.85,5.88,5130859
16-Aug-17,6.11,6.15,6.01,6.06,4223188
15-Aug-17,6.16,6.18,6.05,6.09,3552570
14-Aug-17,6.34,6.38,6.13,6.16,3852470
11-Aug-17,6.16,6.25,6.04,6.24,4707786
10-Aug-17,6.32,6.38,6.11,6.11,6817503
9-Aug-17,6.15,6.54,6.04,6.43,7141611
8-Aug-17,6.31,6.34,6.10,6.14,4837347
7-Aug-17,6.23,6.39,6.22,6.32,3369350
4-Aug-17,6.14,6.25,6.04,6.20,4107604
3-Aug-17,6.18,6.27,6.11,6.15,2719632
2-Aug-17,6.24,6.25,6.10,6.12,3775228
1-Aug-17,6.50,6.51,6.19,6.19,4475434
31-Jul-17,6.36,6.48,6.29,6.45,3735505
28-Jul-17,6.29,6.38,6.23,6.31,2956712
27-Jul-17,6.45,6.49,6.28,6.32,5113986
26-Jul-17,6.40,6.43,6.31,6.41,2322765
25-Jul-17,6.45,6.50,6.38,6.40,3035488
24-Jul-17,6.56,6.56,6.38,6.44,2776733
21-Jul-17,6.48,6.66,6.42,6.59,3722723
20-Jul-17,6.57,6.57,6.35,6.42,3936828
19-Jul-17,6.24,6.62,6.24,6.56,5262329
18-Jul-17,6.03,6.26,6.03,6.25,4726754
17-Jul-17,6.10,6.12,6.00,6.05,4148153
14-Jul-17,6.25,6.28,6.10,6.13,2933499
13-Jul-17,6.10,6.29,6.01,6.25,4164765
12-Jul-17,6.15,6.19,6.04,6.10,4224024
11-Jul-17,6.14,6.20,6.04,6.17,4697479
10-Jul-17,6.39,6.40,6.16,6.18,4486932
7-Jul-17,6.33,6.39,6.29,6.38,2346700
6-Jul-17,6.30,6.39,6.22,6.31,4019249
5-Jul-17,6.38,6.47,6.29,6.35,6789511
3-Jul-17,6.53,6.67,6.40,6.43,3466595
30-Jun-17,6.64,6.71,6.54,6.58,2903994
29-Jun-17,6.90,6.90,6.58,6.64,3308147
28-Jun-17,6.79,6.88,6.73,6.86,2922523
27-Jun-17,7.11,7.16,6.70,6.70,5453789
26-Jun-17,6.99,7.25,6.98,7.10,4348773
23-Jun-17,6.72,6.99,6.71,6.99,8520388
22-Jun-17,7.07,7.09,6.64,6.69,8390515
21-Jun-17,6.77,7.10,6.77,7.08,5615540
20-Jun-17,6.59,6.86,6.53,6.70,3875024
19-Jun-17,6.58,6.68,6.50,6.59,4440564
16-Jun-17,6.49,6.53,6.38,6.53,3929136
15-Jun-17,6.40,6.56,6.31,6.45,3887495
14-Jun-17,6.50,6.58,6.49,6.52,1777904
13-Jun-17,6.51,6.61,6.48,6.52,2264659
12-Jun-17,6.39,6.60,6.36,6.54,3387219
9-Jun-17,6.29,6.49,6.24,6.38,3394074
8-Jun-17,6.25,6.35,6.24,6.26,1794433
7-Jun-17,6.34,6.40,6.20,6.24,3238258
6-Jun-17,6.27,6.44,6.18,6.39,3294152
5-Jun-17,6.61,6.65,6.25,6.29,7095746
2-Jun-17,6.44,6.76,6.39,6.71,6366365
1-Jun-17,6.12,6.42,5.99,6.42,7933984
31-May-17,6.29,6.33,6.07,6.14,5671738
30-May-17,6.31,6.34,6.25,6.28,2474339
26-May-17,6.41,6.41,6.26,6.33,2868020
25-May-17,6.43,6.53,6.34,6.35,3141480
24-May-17,6.48,6.50,6.37,6.44,3449959
23-May-17,6.58,6.66,6.52,6.54,1979776
22-May-17,6.59,6.60,6.37,6.52,4235969
19-May-17,6.65,6.65,6.54,6.61,2895525
18-May-17,6.72,6.75,6.56,6.60,4192849
17-May-17,6.50,6.75,6.46,6.64,6851887
16-May-17,6.79,6.81,6.55,6.60,6558205
15-May-17,7.14,7.25,6.74,6.80,7642805
12-May-17,7.05,7.21,6.97,7.19,4274164
11-May-17,6.85,7.27,6.85,7.07,6855616
10-May-17,6.77,7.10,6.65,7.00,17472586
9-May-17,7.25,7.53,7.17,7.53,4862894
8-May-17,7.57,7.57,7.17,7.25,5422430
5-May-17,7.55,7.59,7.46,7.51,2437748
4-May-17,7.54,7.56,7.41,7.55,1711133
3-May-17,7.60,7.63,7.49,7.52,1545713
2-May-17,7.59,7.66,7.42,7.65,3159380
1-May-17,7.82,7.82,7.53,7.56,2572779
28-Apr-17,7.81,7.85,7.75,7.77,1682157
27-Apr-17,7.79,7.87,7.73,7.83,1890448
26-Apr-17,7.78,7.88,7.76,7.83,2625865
25-Apr-17,7.56,7.90,7.52,7.83,3486499
24-Apr-17,7.61,7.63,7.41,7.58,3007857
21-Apr-17,7.65,7.65,7.40,7.47,2281725
20-Apr-17,7.60,7.65,7.46,7.63,3385178
19-Apr-17,7.16,7.59,7.11,7.52,5421706
18-Apr-17,7.38,7.40,7.11,7.11,5941758
17-Apr-17,7.62,7.62,7.41,7.46,2603771
13-Apr-17,7.64,7.66,7.51,7.62,3044692
12-Apr-17,7.55,7.76,7.53,7.66,2927656
11-Apr-17,7.59,7.66,7.44,7.55,4562274
10-Apr-17,7.62,7.69,7.57,7.59,2686172
7-Apr-17,7.60,7.76,7.51,7.59,4399790
6-Apr-17,7.63,7.66,7.52,7.61,3810939
5-Apr-17,7.73,7.85,7.60,7.61,4204700
4-Apr-17,7.69,7.83,7.68,7.73,2535792
3-Apr-17,8.00,8.04,7.73,7.75,4587480
31-Mar-17,7.99,8.05,7.94,8.00,1989831
30-Mar-17,8.06,8.13,7.96,7.97,2928448
29-Mar-17,8.26,8.26,8.08,8.11,3189414
28-Mar-17,8.08,8.40,8.06,8.31,4239195
27-Mar-17,7.81,8.15,7.77,8.14,3258362
24-Mar-17,7.70,7.92,7.68,7.85,2826536
23-Mar-17,7.80,7.82,7.65,7.65,3441023
22-Mar-17,7.97,7.98,7.77,7.86,3081437
21-Mar-17,8.00,8.02,7.69,7.86,5739696
20-Mar-17,8.16,8.20,7.94,8.00,2795992
17-Mar-17,8.48,8.51,8.03,8.12,10586824
16-Mar-17,8.14,8.39,8.13,8.36,5903692
15-Mar-17,8.08,8.14,8.01,8.09,4076986
14-Mar-17,8.14,8.54,7.96,8.07,13598826
13-Mar-17,7.95,8.04,7.85,7.92,2979375
10-Mar-17,7.89,7.98,7.87,7.95,3243064
9-Mar-17,7.97,8.08,7.77,7.85,4697532
8-Mar-17,7.99,8.05,7.85,7.92,4575226
7-Mar-17,7.60,7.97,7.59,7.77,6021348
6-Mar-17,7.57,7.65,7.40,7.61,6069515
3-Mar-17,7.53,7.75,7.35,7.45,8587400
2-Mar-17,8.01,8.02,7.13,7.42,16588553
1-Mar-17,8.61,8.64,8.29,8.37,6190259
28-Feb-17,8.67,8.69,8.38,8.39,3784196
27-Feb-17,8.38,8.64,8.38,8.64,3855173
24-Feb-17,8.45,8.52,8.36,8.44,2744733
23-Feb-17,8.43,8.54,8.32,8.52,2523782
22-Feb-17,8.57,8.61,8.44,8.45,3079934
21-Feb-17,8.87,8.92,8.63,8.64,3846762
17-Feb-17,8.72,8.82,8.62,8.81,2680740
16-Feb-17,8.66,8.84,8.62,8.75,3418896
15-Feb-17,8.40,8.66,8.40,8.66,3269464
14-Feb-17,8.30,8.47,8.28,8.45,2286175
13-Feb-17,8.26,8.40,8.24,8.27,2161810
10-Feb-17,8.17,8.26,8.06,8.22,3616400
9-Feb-17,8.22,8.22,8.01,8.10,5819701
8-Feb-17,8.22,8.23,7.99,8.22,6679836
7-Feb-17,8.32,8.35,8.21,8.30,3433061
6-Feb-17,8.54,8.56,8.16,8.27,7513784
3-Feb-17,8.54,8.63,8.48,8.61,2124451
2-Feb-17,8.62,8.66,8.47,8.51,2422154
1-Feb-17,8.72,8.78,8.56,8.63,3119004
31-Jan-17,8.41,8.70,8.30,8.69,3986291
30-Jan-17,8.62,8.63,8.43,8.48,3306523
27-Jan-17,8.75,8.76,8.61,8.69,2396674
26-Jan-17,8.55,8.73,8.50,8.72,3440937
25-Jan-17,8.60,8.72,8.33,8.58,6835025
24-Jan-17,8.54,8.62,8.42,8.46,6247083
23-Jan-17,8.56,8.66,8.34,8.52,4179319
20-Jan-17,8.76,8.81,8.62,8.64,2914551
19-Jan-17,8.90,8.92,8.62,8.75,6133248
18-Jan-17,8.98,9.01,8.82,8.98,2922402
17-Jan-17,9.20,9.20,8.87,8.93,6336989
13-Jan-17,9.20,9.30,9.11,9.15,2670840
12-Jan-17,9.27,9.29,9.10,9.19,2299311
11-Jan-17,9.34,9.46,9.06,9.23,4819680
10-Jan-17,9.40,9.47,9.31,9.37,3520410
9-Jan-17,9.50,9.54,9.30,9.31,4412040
6-Jan-17,9.13,9.46,9.12,9.38,6941846
5-Jan-17,9.22,9.25,9.02,9.04,5196920
4-Jan-17,9.11,9.44,9.09,9.27,6166671
3-Jan-17,9.16,9.29,8.97,9.09,9564381
30-Dec-16,9.71,10.09,9.03,9.30,22823226
29-Dec-16,11.40,11.54,11.35,11.46,1908116
28-Dec-16,11.89,11.94,11.33,11.34,3429953
27-Dec-16,12.03,12.03,11.81,11.82,1972614
23-Dec-16,11.52,11.92,11.51,11.91,2704502
22-Dec-16,11.58,11.83,11.53,11.58,2483029
21-Dec-16,11.85,12.07,11.73,11.75,5248986
20-Dec-16,11.67,11.83,11.60,11.82,2876735
19-Dec-16,11.84,11.88,11.57,11.67,4090611
16-Dec-16,11.87,11.98,11.62,11.73,27617145
15-Dec-16,11.86,12.15,11.78,11.90,6675315
14-Dec-16,11.88,12.05,11.50,11.57,7096142
13-Dec-16,11.80,12.00,11.70,11.91,6424041
12-Dec-16,11.06,11.70,11.05,11.65,6570156
9-Dec-16,10.90,11.11,10.84,10.97,2656609
8-Dec-16,10.88,10.91,10.61,10.81,3374033
7-Dec-16,11.23,11.33,10.88,10.93,4608992
6-Dec-16,10.89,11.50,10.89,11.33,6627428
5-Dec-16,10.52,10.84,10.46,10.79,3190165
2-Dec-16,10.34,10.49,10.23,10.40,2916618
1-Dec-16,10.44,10.54,10.18,10.31,3469097
30-Nov-16,10.55,10.58,10.37,10.39,2363220
29-Nov-16,10.62,10.70,10.47,10.51,2291313
28-Nov-16,10.87,10.90,10.54,10.62,2893286
25-Nov-16,10.70,10.97,10.65,10.83,3256377
