Date,Open,High,Low,Close,Volume
20-Oct-17,48.25,48.37,47.83,48.07,287519
19-Oct-17,47.59,48.10,47.20,47.96,288814
18-Oct-17,47.49,47.84,46.61,47.68,473779
17-Oct-17,47.64,47.85,47.29,47.43,274395
16-Oct-17,48.25,48.32,47.84,47.90,478208
13-Oct-17,48.18,48.41,47.88,48.20,341682
12-Oct-17,48.14,48.25,47.74,48.15,380709
11-Oct-17,48.03,48.31,47.95,48.27,6968
10-Oct-17,48.18,48.55,47.56,48.05,554388
9-Oct-17,48.54,48.74,48.10,48.18,765726
6-Oct-17,50.35,50.50,48.46,48.52,752802
5-Oct-17,50.97,51.16,50.32,50.49,609595
4-Oct-17,50.51,51.80,50.51,50.91,520897
3-Oct-17,50.74,50.79,49.90,50.47,317034
2-Oct-17,50.36,50.98,49.93,50.75,343634
29-Sep-17,49.33,50.37,49.33,50.09,428696
28-Sep-17,49.27,49.55,48.88,49.31,458635
27-Sep-17,49.01,49.35,48.53,49.26,492027
26-Sep-17,48.67,49.04,48.47,48.97,500436
25-Sep-17,49.12,49.24,48.45,48.73,502359
22-Sep-17,49.35,49.60,48.81,49.11,427476
21-Sep-17,49.89,50.03,49.25,49.32,403377
20-Sep-17,49.81,49.96,49.68,49.88,269109
19-Sep-17,50.94,50.94,49.78,49.80,407720
18-Sep-17,51.55,51.62,50.85,50.89,353277
15-Sep-17,51.52,51.56,50.99,51.53,506979
14-Sep-17,50.96,51.71,50.61,51.46,352153
13-Sep-17,50.32,50.99,50.26,50.95,389200
12-Sep-17,49.80,50.44,49.69,50.43,278980
11-Sep-17,49.49,49.75,49.27,49.71,448564
8-Sep-17,48.56,49.20,48.23,49.19,543160
7-Sep-17,49.48,49.65,48.53,48.69,496180
6-Sep-17,50.36,50.37,49.29,49.37,1107845
5-Sep-17,50.82,50.85,50.06,50.30,637906
1-Sep-17,50.88,51.07,50.67,50.93,167384
31-Aug-17,51.02,51.20,50.38,50.71,346156
30-Aug-17,50.81,51.12,50.56,51.00,224003
29-Aug-17,50.42,51.03,50.26,50.86,198834
28-Aug-17,50.33,50.65,50.33,50.57,196775
25-Aug-17,50.71,50.86,50.26,50.30,336608
24-Aug-17,51.27,51.31,50.57,50.59,254673
23-Aug-17,50.81,51.29,50.74,51.06,290939
22-Aug-17,50.86,51.26,50.66,51.10,422027
21-Aug-17,50.56,50.77,50.38,50.69,360217
18-Aug-17,51.00,51.09,50.47,50.57,273296
17-Aug-17,52.06,52.34,51.33,51.42,438455
16-Aug-17,52.12,52.38,51.97,52.26,182698
15-Aug-17,51.59,51.98,51.16,51.88,370863
14-Aug-17,51.38,51.86,50.90,51.60,644649
11-Aug-17,51.33,51.94,50.97,50.99,545572
10-Aug-17,52.05,52.18,51.32,51.47,413260
9-Aug-17,52.56,52.56,51.99,52.08,432293
8-Aug-17,52.50,53.22,52.19,52.54,503589
7-Aug-17,52.87,53.23,52.37,52.59,478478
4-Aug-17,53.16,53.39,52.00,53.01,514855
3-Aug-17,52.70,53.80,52.54,52.96,564121
2-Aug-17,52.65,52.65,51.86,52.17,548827
1-Aug-17,53.69,53.69,52.64,52.67,489168
31-Jul-17,-,53.90,-,53.63,831851
28-Jul-17,52.65,52.84,52.25,52.78,559720
27-Jul-17,52.68,52.79,52.03,52.71,296533
26-Jul-17,52.48,52.84,52.12,52.63,469188
25-Jul-17,52.36,52.85,51.98,52.49,522731
24-Jul-17,51.83,52.22,51.57,52.17,248097
21-Jul-17,52.48,52.48,51.66,51.90,342577
20-Jul-17,51.73,52.36,51.65,51.77,291101
19-Jul-17,51.68,51.95,51.51,51.74,258741
18-Jul-17,51.44,51.59,51.07,51.39,408103
17-Jul-17,51.81,51.86,51.43,51.50,388025
14-Jul-17,51.28,51.86,51.19,51.75,380418
13-Jul-17,51.00,51.29,50.70,51.18,190922
12-Jul-17,51.00,51.40,50.78,50.88,224065
11-Jul-17,50.70,51.14,50.41,50.75,525017
10-Jul-17,51.18,51.36,50.66,50.73,539497
7-Jul-17,50.85,51.27,50.63,51.24,268766
6-Jul-17,51.09,51.09,50.09,50.63,485128
5-Jul-17,52.40,52.40,51.10,51.30,590510
3-Jul-17,52.91,52.91,52.17,52.41,134653
30-Jun-17,52.69,53.14,52.53,52.81,434173
29-Jun-17,52.82,53.09,52.10,52.57,450601
28-Jun-17,53.17,53.40,52.70,52.74,296476
27-Jun-17,53.21,53.25,52.52,52.73,385265
26-Jun-17,52.76,53.52,52.67,53.28,278429
23-Jun-17,52.30,52.70,52.23,52.63,360810
22-Jun-17,52.48,52.60,52.07,52.38,280642
21-Jun-17,52.73,52.89,52.47,52.50,410106
20-Jun-17,52.45,52.78,52.30,52.49,615932
19-Jun-17,52.77,53.14,52.51,52.68,488209
16-Jun-17,52.43,52.67,52.11,52.63,532828
15-Jun-17,51.92,52.45,51.80,52.43,251655
14-Jun-17,51.69,52.20,51.66,51.97,260105
13-Jun-17,51.53,51.98,51.05,51.94,284281
12-Jun-17,51.63,52.52,51.42,51.53,354661
9-Jun-17,50.78,51.58,50.74,51.54,413660
8-Jun-17,50.87,51.29,50.72,50.82,321785
7-Jun-17,50.75,51.02,50.33,50.85,326593
6-Jun-17,50.41,50.96,50.41,50.61,371011
5-Jun-17,51.61,51.61,50.71,50.76,369826
2-Jun-17,52.56,53.13,51.57,51.76,617986
