Date,Open,High,Low,Close,Volume
20-Oct-17,122.75,125.85,120.85,124.65,523780
19-Oct-17,123.05,124.25,119.70,121.60,703424
18-Oct-17,124.40,126.25,123.22,123.55,387425
17-Oct-17,124.60,125.63,123.35,124.30,259689
16-Oct-17,124.20,126.65,123.75,124.15,474582
13-Oct-17,126.95,126.95,123.75,124.35,409669
12-Oct-17,124.20,126.70,122.90,126.45,737092
11-Oct-17,123.05,124.90,122.35,124.05,455219
10-Oct-17,122.40,123.55,120.35,122.60,418373
9-Oct-17,122.05,123.50,120.00,121.18,627354
6-Oct-17,124.55,127.02,120.25,121.40,763060
5-Oct-17,124.55,125.00,121.00,124.25,778662
4-Oct-17,116.50,124.00,116.50,123.00,986944
3-Oct-17,120.65,120.65,115.35,117.00,622234
2-Oct-17,119.50,122.25,118.05,119.85,816759
29-Sep-17,117.20,120.85,115.05,119.75,914802
28-Sep-17,111.60,117.90,111.30,117.30,809267
27-Sep-17,109.25,117.40,108.95,111.10,1267018
26-Sep-17,105.60,108.48,104.62,108.25,735920
25-Sep-17,104.65,106.50,100.60,105.90,543351
22-Sep-17,104.40,104.85,102.65,104.50,359028
21-Sep-17,107.10,107.95,104.70,104.80,304936
20-Sep-17,102.65,108.75,102.65,106.80,597509
19-Sep-17,105.00,106.25,102.00,103.40,523182
18-Sep-17,103.00,105.00,101.45,104.95,594031
15-Sep-17,102.90,103.10,100.35,102.25,601521
14-Sep-17,103.20,104.25,102.40,103.35,357137
13-Sep-17,102.30,104.75,102.30,103.90,418877
12-Sep-17,105.70,105.70,101.80,102.75,856630
11-Sep-17,106.30,106.60,102.60,105.55,985160
8-Sep-17,107.20,109.85,102.91,104.25,850226
7-Sep-17,99.50,107.65,98.80,107.40,1581634
6-Sep-17,98.00,100.10,95.95,99.10,1020942
5-Sep-17,93.45,97.70,90.90,96.85,885348
1-Sep-17,93.15,95.09,91.75,93.95,820448
31-Aug-17,92.30,93.86,91.85,92.50,772240
30-Aug-17,94.50,94.50,91.20,92.05,1198537
29-Aug-17,84.20,94.90,84.05,94.15,1541828
28-Aug-17,83.75,85.30,82.15,85.15,698726
25-Aug-17,81.65,82.75,79.90,82.70,637491
24-Aug-17,82.90,83.08,80.60,81.10,669131
23-Aug-17,81.30,83.15,81.30,82.55,575199
22-Aug-17,80.70,82.25,79.30,81.95,871360
21-Aug-17,79.75,80.95,78.35,80.60,823568
18-Aug-17,80.05,81.05,79.10,79.75,744991
17-Aug-17,81.65,82.88,79.65,80.70,1001466
16-Aug-17,81.00,82.90,79.55,82.25,808741
15-Aug-17,79.60,81.18,78.35,80.55,761762
14-Aug-17,80.00,80.60,77.65,80.05,1185136
11-Aug-17,71.85,78.50,71.14,78.45,1128001
10-Aug-17,77.00,79.45,71.30,72.00,1478353
9-Aug-17,80.00,82.60,78.05,79.50,662187
8-Aug-17,83.50,84.25,80.85,81.45,799999
7-Aug-17,85.50,85.50,82.20,83.65,799307
4-Aug-17,85.55,86.20,84.00,85.80,931736
3-Aug-17,85.25,87.00,83.85,85.85,1138915
2-Aug-17,90.20,90.36,85.50,89.20,891778
1-Aug-17,93.50,93.95,83.13,89.95,2218252
31-Jul-17,97.80,98.10,94.40,95.05,625104
28-Jul-17,96.20,98.10,94.80,97.60,457944
27-Jul-17,95.75,98.85,92.75,96.65,1037251
26-Jul-17,95.25,97.40,94.35,95.30,700543
25-Jul-17,95.90,97.41,93.25,95.35,973760
24-Jul-17,94.30,96.35,91.65,95.85,1278195
21-Jul-17,95.25,96.20,92.50,94.30,856767
20-Jul-17,95.40,96.55,93.45,94.75,1492223
19-Jul-17,94.80,96.75,90.85,95.65,1549642
18-Jul-17,93.50,97.14,90.50,93.45,3408423
17-Jul-17,89.50,90.05,85.13,86.10,876706
14-Jul-17,91.20,92.20,89.35,89.55,475319
13-Jul-17,89.25,94.70,87.05,90.95,1160052
12-Jul-17,87.30,89.15,86.82,89.05,638215
11-Jul-17,86.00,88.35,85.15,86.90,501580
10-Jul-17,88.70,89.85,85.60,85.85,699352
7-Jul-17,87.00,87.90,85.55,87.05,665549
6-Jul-17,87.20,87.75,85.85,86.45,619086
5-Jul-17,87.55,89.40,85.25,87.85,724819
3-Jul-17,87.10,89.60,86.60,87.85,428745
30-Jun-17,87.00,88.97,86.10,87.40,678004
29-Jun-17,88.70,89.75,86.35,86.75,660268
28-Jun-17,85.95,89.90,84.95,88.85,872030
27-Jun-17,88.00,88.90,84.65,84.85,917317
26-Jun-17,87.10,89.80,86.30,87.75,890648
23-Jun-17,85.50,87.85,84.35,87.50,1124649
22-Jun-17,80.90,87.15,80.90,86.45,1204991
21-Jun-17,78.70,82.60,78.40,80.25,1136029
20-Jun-17,80.65,83.20,77.90,78.50,910135
19-Jun-17,77.80,82.30,77.80,80.40,795375
16-Jun-17,77.50,79.60,77.10,77.90,1418413
15-Jun-17,78.65,80.25,77.87,78.50,639026
14-Jun-17,77.50,79.90,77.08,79.55,695197
13-Jun-17,79.75,80.55,76.70,77.90,842103
12-Jun-17,80.00,81.15,77.60,79.20,804609
9-Jun-17,80.90,81.65,78.10,79.95,806543
8-Jun-17,80.00,81.95,78.80,80.90,1209317
7-Jun-17,82.60,83.44,77.65,79.55,1683522
6-Jun-17,84.00,85.60,81.35,82.35,1214775
5-Jun-17,89.70,92.00,82.35,83.65,4937393
2-Jun-17,81.40,84.40,80.60,81.95,1610480
1-Jun-17,77.15,84.10,76.90,81.65,3000883
31-May-17,76.20,76.75,72.50,76.50,1646610
30-May-17,80.15,80.20,76.64,76.90,1523371
26-May-17,77.65,79.98,76.05,79.75,2125569
25-May-17,75.95,80.00,74.65,78.05,5696452
24-May-17,70.30,75.10,66.35,74.95,11946778
23-May-17,52.85,59.70,51.15,57.80,5680195
22-May-17,39.00,69.35,36.65,52.60,12380930
19-May-17,38.70,40.67,37.70,37.80,1502159
18-May-17,36.55,39.15,35.55,38.50,1327145
17-May-17,31.60,37.45,31.10,36.25,2034571
16-May-17,31.65,32.45,30.75,31.95,879355
15-May-17,32.50,32.50,31.20,31.60,752736
12-May-17,30.80,32.30,30.30,32.25,805145
11-May-17,31.95,32.95,29.95,30.75,1294267
10-May-17,30.45,30.85,30.05,30.65,1374684
9-May-17,28.95,30.30,28.35,30.30,1449485
8-May-17,30.45,31.20,28.50,29.00,1119776
5-May-17,31.25,32.25,29.05,30.70,4248673
4-May-17,37.20,37.65,35.28,36.55,656426
3-May-17,38.85,39.10,37.00,37.05,398281
2-May-17,40.65,40.66,38.50,39.00,579916
1-May-17,40.80,41.35,40.30,40.55,360498
28-Apr-17,39.90,41.00,38.10,40.60,1053214
27-Apr-17,38.15,40.25,37.35,39.95,1276337
26-Apr-17,38.45,38.95,37.70,38.00,519972
25-Apr-17,37.60,38.50,37.15,38.35,597283
24-Apr-17,37.65,38.15,36.85,37.30,678353
21-Apr-17,37.70,37.75,36.75,37.15,483141
20-Apr-17,37.50,38.85,37.35,37.65,735868
19-Apr-17,37.00,38.40,37.00,37.25,1053339
18-Apr-17,39.90,40.55,35.85,36.85,2058588
17-Apr-17,35.90,39.70,35.35,39.60,1309178
13-Apr-17,35.70,36.75,35.40,35.65,290881
12-Apr-17,36.20,37.40,35.60,35.70,644930
11-Apr-17,36.75,37.34,35.05,36.15,585258
10-Apr-17,35.55,37.80,35.24,36.70,512686
7-Apr-17,34.70,35.90,34.10,35.65,783858
6-Apr-17,34.45,34.95,33.20,34.75,895069
5-Apr-17,35.60,36.16,33.75,34.10,713063
4-Apr-17,36.10,37.00,33.55,35.50,864385
3-Apr-17,37.45,39.00,35.80,36.10,1055432
31-Mar-17,37.60,38.00,36.75,37.20,588304
30-Mar-17,38.00,38.00,36.25,37.50,724424
29-Mar-17,39.50,39.50,38.05,38.15,392021
28-Mar-17,38.85,39.58,37.40,39.25,597539
27-Mar-17,39.65,39.70,38.15,38.90,636196
24-Mar-17,40.35,40.70,39.30,39.70,501421
23-Mar-17,41.50,41.70,39.85,40.10,374813
22-Mar-17,40.30,41.60,39.35,41.55,676921
21-Mar-17,44.75,44.85,39.80,40.25,948987
20-Mar-17,43.35,45.44,42.60,44.45,509380
17-Mar-17,43.50,45.20,43.50,44.15,2202672
16-Mar-17,43.25,44.65,42.95,43.75,786276
15-Mar-17,41.95,43.50,41.85,43.30,734410
14-Mar-17,44.40,44.70,41.70,41.80,895377
13-Mar-17,40.05,45.20,39.80,44.80,1880322
10-Mar-17,39.50,40.85,39.05,40.05,820613
9-Mar-17,40.30,40.45,38.50,39.25,867875
8-Mar-17,35.55,41.15,35.10,40.30,2553453
7-Mar-17,32.70,35.75,32.20,35.60,1660795
6-Mar-17,33.50,33.90,31.70,33.65,1125977
3-Mar-17,32.50,34.50,32.15,33.75,1404907
2-Mar-17,29.00,35.55,28.95,32.80,9000783
1-Mar-17,37.35,38.90,36.90,38.05,789557
28-Feb-17,37.25,37.70,35.45,36.70,647610
27-Feb-17,36.20,37.60,35.65,37.35,922483
24-Feb-17,34.35,36.20,33.65,36.20,734462
23-Feb-17,34.55,35.20,33.85,34.70,537455
22-Feb-17,38.05,38.50,34.25,34.30,904794
21-Feb-17,40.25,41.35,38.00,38.35,1099007
17-Feb-17,37.25,40.50,36.70,40.25,1377113
16-Feb-17,37.85,38.85,37.15,37.35,776003
15-Feb-17,36.75,38.45,36.75,37.85,705232
14-Feb-17,36.50,37.25,36.05,36.95,365374
13-Feb-17,36.80,38.00,36.44,36.75,510019
10-Feb-17,36.90,37.25,35.55,36.45,529813
9-Feb-17,37.20,38.40,35.95,36.40,792709
8-Feb-17,33.85,38.85,33.65,37.25,1231559
7-Feb-17,33.20,34.65,33.10,33.85,744765
6-Feb-17,33.00,33.30,32.35,33.15,398529
3-Feb-17,33.40,33.80,32.55,33.35,441589
2-Feb-17,32.95,34.25,32.55,33.45,527529
1-Feb-17,32.65,33.30,31.45,33.20,682005
31-Jan-17,30.45,32.60,30.00,32.40,1129291
30-Jan-17,31.90,31.90,30.45,30.65,677346
27-Jan-17,31.95,32.75,31.65,32.15,398845
