Date,Open,High,Low,Close,Volume
20-Oct-17,38.99,39.41,38.81,39.37,1188233
19-Oct-17,38.11,38.85,38.11,38.80,1069132
18-Oct-17,38.04,38.27,37.84,38.13,1046194
17-Oct-17,37.79,38.21,37.75,37.89,997197
16-Oct-17,37.30,37.90,37.30,37.78,1043818
13-Oct-17,37.14,37.50,37.04,37.41,783840
12-Oct-17,36.73,37.43,36.40,37.23,988990
11-Oct-17,36.73,37.10,36.56,36.95,1438229
10-Oct-17,37.54,37.58,36.75,36.90,1212207
9-Oct-17,37.82,38.06,37.45,37.64,1345731
6-Oct-17,38.41,38.49,37.70,37.87,1499310
5-Oct-17,38.51,38.78,38.21,38.50,838474
4-Oct-17,38.54,38.74,38.46,38.50,1267459
3-Oct-17,38.66,38.84,38.29,38.69,664636
2-Oct-17,38.75,38.75,37.94,38.59,1283413
29-Sep-17,38.81,38.93,38.59,38.65,1033179
28-Sep-17,39.04,39.32,38.53,38.70,707296
27-Sep-17,38.81,39.40,38.53,39.11,1085588
26-Sep-17,38.13,38.90,38.12,38.70,1475425
25-Sep-17,37.41,38.18,37.38,37.99,990903
22-Sep-17,37.17,37.55,37.06,37.40,799695
21-Sep-17,37.80,38.11,37.08,37.12,1040509
20-Sep-17,37.30,37.85,37.09,37.82,941519
19-Sep-17,37.95,37.95,37.05,37.18,1503029
18-Sep-17,38.55,38.55,37.80,37.94,1390876
15-Sep-17,38.22,38.94,38.15,38.53,2360566
14-Sep-17,39.45,39.50,37.95,38.23,2312427
13-Sep-17,40.64,40.90,39.30,39.44,1816998
12-Sep-17,40.26,40.78,40.05,40.65,1101321
11-Sep-17,39.59,40.40,39.57,40.24,1469434
8-Sep-17,39.70,39.89,39.32,39.37,941929
7-Sep-17,38.93,40.16,38.88,39.77,2109970
6-Sep-17,37.93,38.94,37.87,38.89,1630341
5-Sep-17,37.70,37.94,37.50,37.70,842205
1-Sep-17,38.53,38.74,37.68,37.88,1107062
31-Aug-17,38.44,38.62,38.10,38.50,1486995
30-Aug-17,37.88,38.38,37.82,38.29,1546363
29-Aug-17,37.47,37.95,37.47,37.91,1421821
28-Aug-17,37.73,38.24,37.58,37.65,1430074
25-Aug-17,37.43,37.88,36.93,37.75,2391649
24-Aug-17,38.50,39.21,36.52,36.84,4079798
23-Aug-17,36.80,36.80,35.93,36.27,2565098
22-Aug-17,36.47,37.16,36.39,37.00,1680601
21-Aug-17,36.42,36.73,36.12,36.36,1870205
18-Aug-17,36.75,36.76,36.43,36.45,1050528
17-Aug-17,37.22,37.77,36.75,36.76,1054819
16-Aug-17,36.77,37.35,36.58,37.29,1733063
15-Aug-17,37.71,37.71,36.59,36.75,1722415
14-Aug-17,38.26,38.51,37.84,37.90,835251
11-Aug-17,37.49,38.25,37.44,37.98,952350
10-Aug-17,38.04,38.04,37.00,37.47,1434476
9-Aug-17,38.58,38.69,38.02,38.13,1241831
8-Aug-17,39.12,39.20,38.44,38.72,1606529
7-Aug-17,39.17,39.40,38.94,39.23,1016807
4-Aug-17,40.11,40.18,38.75,39.23,1086763
3-Aug-17,39.91,40.13,39.46,39.67,1465937
2-Aug-17,40.73,40.82,39.70,40.04,1550976
1-Aug-17,42.25,42.25,40.70,40.75,1601473
31-Jul-17,41.64,42.38,41.64,41.72,890439
28-Jul-17,42.37,42.54,41.96,42.19,1134987
27-Jul-17,42.78,42.78,42.19,42.37,996478
26-Jul-17,42.98,43.10,42.43,42.89,1481681
25-Jul-17,42.90,43.11,42.71,43.00,963428
24-Jul-17,43.00,43.20,42.72,43.00,692915
21-Jul-17,42.84,43.11,42.41,42.89,702071
20-Jul-17,43.05,43.17,42.86,42.94,505909
19-Jul-17,43.05,43.12,42.51,43.02,714628
18-Jul-17,43.05,43.48,42.75,42.97,1057499
17-Jul-17,43.42,43.50,43.04,43.10,945588
14-Jul-17,43.21,43.54,43.18,43.40,1093324
13-Jul-17,43.50,43.50,43.08,43.13,1218680
12-Jul-17,43.37,43.68,42.91,43.20,1085744
11-Jul-17,42.40,44.09,42.40,43.36,1823176
10-Jul-17,44.42,44.47,43.49,44.00,1320637
7-Jul-17,44.24,44.47,43.97,44.40,974777
