Date,Open,High,Low,Close,Volume
20-Oct-17,62.54,62.73,61.49,61.58,251622
19-Oct-17,62.34,62.52,60.81,61.97,433338
18-Oct-17,61.90,62.82,61.22,62.59,521363
17-Oct-17,60.26,61.84,59.91,61.69,430146
16-Oct-17,61.00,61.25,60.11,60.49,394838
13-Oct-17,60.75,61.08,60.28,60.93,421289
12-Oct-17,60.73,61.06,60.44,60.89,482029
11-Oct-17,59.76,60.47,59.64,60.35,379511
10-Oct-17,59.47,59.62,58.64,59.57,549379
9-Oct-17,58.83,59.80,58.77,59.02,391407
6-Oct-17,59.10,59.47,58.56,58.83,460509
5-Oct-17,56.56,59.40,56.53,59.09,1977397
4-Oct-17,56.05,56.24,55.71,56.10,726041
3-Oct-17,56.15,56.15,55.04,55.75,565401
2-Oct-17,55.08,56.20,55.08,55.67,1297315
29-Sep-17,55.64,55.78,54.55,55.08,807207
28-Sep-17,56.84,57.18,55.64,55.65,695411
27-Sep-17,56.95,58.28,56.55,57.74,376003
26-Sep-17,57.15,57.19,56.43,56.60,217474
25-Sep-17,57.51,58.41,56.58,57.00,156346
22-Sep-17,57.07,58.01,56.93,57.43,402680
21-Sep-17,57.72,58.00,56.97,57.16,402171
20-Sep-17,58.05,58.59,57.58,57.83,293307
19-Sep-17,58.63,58.63,57.85,58.22,221645
18-Sep-17,59.84,59.99,58.64,58.71,252198
15-Sep-17,59.39,59.84,57.23,59.46,565554
14-Sep-17,58.66,59.63,58.44,59.16,332833
13-Sep-17,58.50,58.94,58.05,58.81,216716
12-Sep-17,58.55,58.72,57.51,58.65,367937
11-Sep-17,58.94,59.02,58.26,58.32,317900
8-Sep-17,58.07,59.96,58.07,58.68,265827
7-Sep-17,58.78,58.84,57.82,57.97,474171
6-Sep-17,58.31,58.78,57.37,58.61,223448
5-Sep-17,58.09,58.99,57.21,57.95,170700
1-Sep-17,58.03,58.78,57.63,58.17,312719
31-Aug-17,57.54,58.25,57.32,58.06,291363
30-Aug-17,57.45,57.85,57.00,57.26,166402
29-Aug-17,57.40,57.96,57.20,57.62,133139
28-Aug-17,57.54,57.81,57.08,57.71,184839
25-Aug-17,58.06,58.07,56.92,57.18,200281
24-Aug-17,57.89,58.32,57.11,57.86,297028
23-Aug-17,57.02,58.48,56.61,57.65,445410
22-Aug-17,55.79,58.20,55.74,57.48,666783
21-Aug-17,54.90,55.94,54.78,55.78,336185
18-Aug-17,53.95,55.00,53.64,54.82,278163
17-Aug-17,54.69,55.92,54.52,54.58,369029
16-Aug-17,54.52,55.00,54.14,54.99,223933
15-Aug-17,54.06,54.82,53.60,54.26,215386
14-Aug-17,52.39,54.22,52.28,54.07,518457
11-Aug-17,52.64,53.44,51.36,51.92,484333
10-Aug-17,53.22,53.80,52.15,52.53,272215
9-Aug-17,54.33,54.58,53.46,53.80,319268
8-Aug-17,53.92,55.21,53.23,54.71,520189
7-Aug-17,53.67,54.58,53.05,53.88,266102
4-Aug-17,53.95,55.46,52.30,53.65,963436
3-Aug-17,50.30,50.69,49.60,50.09,343064
2-Aug-17,49.90,50.43,49.15,50.36,261306
1-Aug-17,50.60,50.68,49.30,49.68,290497
31-Jul-17,48.82,51.75,48.82,50.31,321727
28-Jul-17,52.03,52.03,51.04,51.31,277999
27-Jul-17,53.49,53.80,51.91,52.26,313707
26-Jul-17,53.52,53.90,52.71,53.24,338409
25-Jul-17,52.88,53.83,52.41,53.52,529555
24-Jul-17,51.38,52.79,51.06,52.76,661955
21-Jul-17,51.04,52.55,50.95,51.43,786005
20-Jul-17,49.86,50.81,49.65,50.40,277518
19-Jul-17,49.60,50.04,49.36,49.80,280014
18-Jul-17,49.43,49.66,48.89,49.60,252126
17-Jul-17,49.85,50.56,49.40,49.49,360716
14-Jul-17,49.55,51.00,49.47,50.73,228698
13-Jul-17,50.60,50.60,49.31,49.61,507449
12-Jul-17,51.55,51.74,50.31,50.47,396477
11-Jul-17,51.01,51.77,50.71,51.14,351906
10-Jul-17,51.46,51.67,50.65,50.94,417004
7-Jul-17,51.29,51.87,50.70,51.53,258552
6-Jul-17,51.64,51.97,50.81,51.03,739798
5-Jul-17,51.24,52.48,50.76,52.07,335989
3-Jul-17,51.56,51.66,50.39,51.15,247649
30-Jun-17,50.46,52.01,50.42,51.31,447507
29-Jun-17,50.41,50.89,49.44,50.19,440184
28-Jun-17,49.43,50.56,47.31,50.42,302282
27-Jun-17,50.21,50.56,49.00,49.00,992774
26-Jun-17,49.57,50.32,48.97,50.22,425933
23-Jun-17,48.44,49.59,48.01,49.38,354646
22-Jun-17,47.72,48.86,47.72,48.80,457509
21-Jun-17,48.04,48.48,47.78,47.90,318135
20-Jun-17,48.32,48.44,47.64,47.94,298052
19-Jun-17,46.91,48.80,46.83,48.44,489782
16-Jun-17,46.27,47.50,46.27,46.77,677308
15-Jun-17,45.80,46.78,45.45,46.77,333344
14-Jun-17,44.47,46.34,44.44,46.19,493645
13-Jun-17,44.02,44.53,43.64,44.24,366295
12-Jun-17,41.48,43.90,41.36,43.84,679489
9-Jun-17,42.06,42.50,40.92,41.41,328051
8-Jun-17,42.49,42.79,41.87,42.06,520398
7-Jun-17,42.58,42.97,42.09,42.47,402951
6-Jun-17,42.53,42.96,42.26,42.50,325082
5-Jun-17,43.70,43.70,42.28,42.80,315717
2-Jun-17,42.56,43.65,42.55,43.63,434330
1-Jun-17,41.95,42.50,41.69,42.33,281892
31-May-17,42.04,42.20,41.59,41.97,354466
30-May-17,42.62,42.92,41.85,41.86,307757
26-May-17,42.59,42.93,42.18,42.82,428026
25-May-17,42.72,43.44,42.48,42.70,353833
24-May-17,42.04,42.65,41.78,42.37,175842
23-May-17,42.30,42.61,42.02,42.03,252995
22-May-17,42.27,42.68,42.01,42.39,315093
19-May-17,41.26,42.02,41.12,42.00,387988
