Date,Open,High,Low,Close,Volume
20-Oct-17,83.15,83.31,82.45,82.88,270106
19-Oct-17,82.13,82.73,81.77,82.60,340714
18-Oct-17,82.02,83.00,81.86,82.40,412250
17-Oct-17,83.40,83.44,81.34,82.25,452314
16-Oct-17,83.73,83.73,82.76,83.37,526437
13-Oct-17,81.50,82.13,81.17,82.11,339375
12-Oct-17,81.67,81.89,81.22,81.44,358347
11-Oct-17,81.21,81.88,81.14,81.68,381501
10-Oct-17,81.50,82.00,80.94,81.09,605467
9-Oct-17,80.17,81.37,80.10,81.30,779564
6-Oct-17,79.34,80.21,79.23,79.81,440927
5-Oct-17,79.18,79.84,78.78,79.69,596129
4-Oct-17,77.41,79.03,77.37,79.02,600953
3-Oct-17,76.30,77.57,76.08,77.54,434898
2-Oct-17,76.60,77.11,75.71,76.11,444068
29-Sep-17,75.90,76.68,75.60,76.17,395304
28-Sep-17,75.91,76.75,75.52,75.89,384937
27-Sep-17,74.23,76.24,74.18,75.85,702521
26-Sep-17,74.25,74.28,73.53,73.85,934298
25-Sep-17,74.68,74.98,73.50,74.03,394632
22-Sep-17,75.24,75.35,74.70,75.09,360645
21-Sep-17,76.03,76.03,75.02,75.68,387673
20-Sep-17,75.29,76.61,75.26,75.63,643269
19-Sep-17,75.14,75.48,74.45,75.12,883099
18-Sep-17,74.01,75.00,74.01,74.94,519762
15-Sep-17,74.07,74.45,73.23,74.00,889908
14-Sep-17,74.86,74.87,73.72,73.89,411170
13-Sep-17,76.40,76.40,74.35,74.83,526305
12-Sep-17,77.58,77.58,75.80,76.40,466756
11-Sep-17,77.18,77.75,76.84,77.24,712186
8-Sep-17,77.41,77.80,76.84,77.02,368930
7-Sep-17,77.48,77.88,76.71,77.40,342300
6-Sep-17,78.06,78.06,76.98,77.58,913269
5-Sep-17,77.81,78.21,77.11,77.85,623860
1-Sep-17,77.75,78.30,77.39,77.95,654484
31-Aug-17,77.18,77.62,76.81,77.40,535166
30-Aug-17,76.64,77.50,76.44,76.98,522024
29-Aug-17,75.31,76.62,75.31,76.54,364266
28-Aug-17,75.87,76.11,75.02,75.81,820178
25-Aug-17,76.08,76.50,75.18,75.67,427740
24-Aug-17,77.52,77.77,75.54,75.99,564677
23-Aug-17,76.29,77.84,75.08,77.17,1045296
22-Aug-17,74.92,76.46,74.72,76.25,821060
21-Aug-17,74.99,75.30,74.40,75.11,531238
18-Aug-17,74.80,75.56,74.63,74.76,876511
17-Aug-17,75.27,76.03,74.21,75.24,719602
16-Aug-17,75.79,76.70,74.97,75.16,792478
15-Aug-17,74.55,75.87,74.55,75.70,1894425
14-Aug-17,74.80,75.08,74.04,74.77,789381
11-Aug-17,73.85,74.60,73.37,74.20,781983
10-Aug-17,74.04,74.96,73.62,73.81,1755790
9-Aug-17,75.01,75.58,73.96,74.13,3625651
8-Aug-17,78.00,80.99,77.02,79.14,1440539
7-Aug-17,74.09,74.86,73.05,74.23,694032
4-Aug-17,74.04,74.68,73.47,74.08,613493
3-Aug-17,74.81,75.22,73.76,74.08,354335
2-Aug-17,74.73,75.60,73.75,74.77,278038
1-Aug-17,74.75,74.75,73.81,74.55,195713
31-Jul-17,75.40,75.79,74.28,74.40,268480
28-Jul-17,73.74,75.35,73.39,75.16,452687
27-Jul-17,76.75,76.75,73.10,73.86,366529
26-Jul-17,76.87,77.22,75.85,76.81,326322
25-Jul-17,77.33,77.57,76.26,76.81,599092
24-Jul-17,75.45,77.13,75.12,77.00,281778
21-Jul-17,76.60,76.82,75.07,75.37,269291
20-Jul-17,75.69,76.40,74.99,76.24,341043
19-Jul-17,75.43,76.05,74.64,75.54,580976
18-Jul-17,75.42,75.63,74.58,75.00,315955
17-Jul-17,75.57,75.88,74.87,75.53,324425
14-Jul-17,76.28,76.80,75.17,75.44,329392
13-Jul-17,76.63,77.09,75.43,76.10,243282
12-Jul-17,76.50,77.57,75.55,76.75,401309
11-Jul-17,75.17,76.22,75.00,75.89,314992
10-Jul-17,75.59,75.83,73.66,75.05,414426
7-Jul-17,74.32,76.13,74.32,75.48,325893
6-Jul-17,74.65,75.04,73.46,73.85,288242
5-Jul-17,74.09,75.28,74.09,75.23,386259
3-Jul-17,75.27,75.36,73.57,73.87,247602
30-Jun-17,75.25,75.58,74.38,75.01,471174
29-Jun-17,74.99,75.44,73.70,75.19,359521
28-Jun-17,73.79,75.56,73.59,74.97,393850
27-Jun-17,75.11,75.91,73.28,73.44,599844
26-Jun-17,76.33,79.98,74.62,75.10,628682
23-Jun-17,75.31,75.88,74.49,75.38,2282216
22-Jun-17,77.03,77.26,74.75,75.10,721655
21-Jun-17,75.17,78.30,74.89,77.21,479695
20-Jun-17,75.86,77.30,75.10,75.17,385851
19-Jun-17,73.81,75.75,73.44,75.50,631975
16-Jun-17,72.02,73.20,71.94,72.64,553936
15-Jun-17,70.97,72.25,70.01,72.17,273708
14-Jun-17,73.01,73.01,71.35,71.67,422265
13-Jun-17,71.94,73.36,71.78,72.93,324516
12-Jun-17,72.15,72.84,69.57,71.56,571466
9-Jun-17,74.59,75.43,72.09,72.55,429488
