Date,Open,High,Low,Close,Volume
20-Oct-17,59.12,59.12,57.77,57.91,171437
19-Oct-17,59.94,60.51,58.45,58.53,220176
18-Oct-17,60.68,61.10,59.36,60.36,187957
17-Oct-17,60.34,61.72,59.58,60.30,125541
16-Oct-17,61.18,61.96,59.44,60.32,130735
13-Oct-17,60.25,60.98,59.66,60.75,161453
12-Oct-17,60.78,61.58,59.92,60.06,230282
11-Oct-17,61.78,62.69,60.79,61.06,307711
10-Oct-17,61.63,63.01,61.00,61.80,125285
9-Oct-17,61.99,62.99,61.05,61.44,177450
6-Oct-17,62.19,63.00,61.76,61.99,158421
5-Oct-17,63.88,64.00,62.12,62.60,172148
4-Oct-17,63.55,64.47,62.82,63.73,174576
3-Oct-17,63.29,63.88,62.34,63.76,150583
2-Oct-17,64.77,64.96,62.52,63.27,338528
29-Sep-17,65.00,66.91,62.71,64.77,645417
28-Sep-17,67.60,70.00,67.04,67.75,500902
27-Sep-17,63.74,69.47,63.74,67.62,488014
26-Sep-17,64.30,64.50,62.89,63.73,140016
25-Sep-17,64.60,65.98,62.90,64.37,198392
22-Sep-17,64.68,65.70,63.77,64.76,159840
21-Sep-17,65.00,65.77,64.01,65.05,124241
20-Sep-17,64.47,66.52,64.38,65.26,171945
19-Sep-17,65.02,65.45,63.58,64.62,111079
18-Sep-17,64.72,65.59,63.65,64.63,121335
15-Sep-17,62.99,66.00,62.93,64.75,363095
14-Sep-17,61.60,63.73,60.51,62.73,150498
13-Sep-17,62.29,63.22,61.42,61.71,135321
12-Sep-17,61.55,63.49,61.55,62.38,147602
11-Sep-17,62.09,62.68,58.10,62.44,305784
8-Sep-17,60.50,62.39,60.41,61.24,187144
7-Sep-17,61.39,61.39,59.50,60.76,191402
6-Sep-17,63.17,63.22,60.77,61.51,183718
5-Sep-17,62.02,62.98,59.86,62.72,223723
1-Sep-17,61.43,62.12,60.47,62.10,227365
31-Aug-17,59.31,61.54,59.27,61.44,276354
30-Aug-17,57.58,59.58,57.55,58.92,208675
29-Aug-17,57.11,58.68,56.82,57.70,130698
28-Aug-17,56.30,58.25,56.12,58.01,230347
