Date,Open,High,Low,Close,Volume
20-Oct-17,50.76,50.88,50.16,50.65,559153
19-Oct-17,50.12,50.48,49.36,50.47,669280
18-Oct-17,50.50,51.09,50.11,50.29,533972
17-Oct-17,51.06,51.84,50.00,50.50,849994
16-Oct-17,51.27,52.66,50.68,50.87,599820
13-Oct-17,53.53,53.53,51.31,51.42,735146
12-Oct-17,54.50,54.81,53.08,53.29,776333
11-Oct-17,54.63,54.79,53.82,54.38,598328
10-Oct-17,54.75,55.41,53.73,54.75,478158
9-Oct-17,55.54,55.87,54.76,54.97,411048
6-Oct-17,54.01,55.83,53.40,55.54,1078964
5-Oct-17,54.23,54.32,53.15,53.82,610256
4-Oct-17,54.23,54.85,53.26,53.93,777586
3-Oct-17,54.71,54.98,52.70,54.17,1257755
2-Oct-17,53.68,55.86,53.48,54.39,979177
29-Sep-17,54.00,54.41,53.14,54.03,829850
28-Sep-17,53.89,55.25,53.17,53.82,675579
27-Sep-17,52.13,54.47,52.06,53.75,678512
26-Sep-17,54.00,54.19,52.01,52.03,709102
25-Sep-17,53.89,54.73,52.83,53.89,1117640
22-Sep-17,52.80,54.51,52.57,54.12,1212016
21-Sep-17,52.76,53.28,52.03,52.78,944057
20-Sep-17,52.52,53.85,52.17,52.67,1547715
19-Sep-17,53.50,53.89,49.45,52.09,4510231
18-Sep-17,55.00,56.91,54.71,56.57,1310396
15-Sep-17,54.94,55.24,54.43,54.95,1975014
14-Sep-17,55.23,55.37,54.75,54.84,1238355
13-Sep-17,55.32,55.55,54.32,55.00,4570382
12-Sep-17,54.20,57.70,54.20,56.96,1380664
11-Sep-17,57.39,58.36,55.44,55.71,785965
8-Sep-17,56.68,57.76,56.21,57.30,628141
7-Sep-17,56.86,59.32,56.85,57.03,849499
6-Sep-17,59.00,59.94,55.66,58.38,1435478
5-Sep-17,62.50,62.50,57.74,59.49,1132465
1-Sep-17,63.46,64.56,62.15,62.93,599305
31-Aug-17,61.08,63.56,60.66,63.45,740957
30-Aug-17,60.32,61.81,59.59,60.67,638972
29-Aug-17,58.90,60.50,58.48,60.38,624557
28-Aug-17,57.10,59.91,57.06,59.74,719529
