Date,Open,High,Low,Close,Volume
20-Oct-17,102.24,103.38,101.87,103.03,1920105
19-Oct-17,100.10,102.09,100.10,101.82,1472363
18-Oct-17,99.86,101.87,99.67,100.93,1689442
17-Oct-17,99.26,99.92,99.06,99.67,1137575
16-Oct-17,100.10,100.56,99.03,99.33,1198088
13-Oct-17,98.50,100.00,98.02,99.85,1584104
12-Oct-17,97.63,98.72,97.60,98.45,1055883
11-Oct-17,96.49,96.96,96.43,96.94,69532
10-Oct-17,95.90,96.34,95.24,96.20,1605543
9-Oct-17,95.60,95.98,95.27,95.79,727909
6-Oct-17,95.71,95.85,95.41,95.70,1546728
5-Oct-17,95.48,95.78,94.95,95.60,1257246
4-Oct-17,94.95,95.38,94.76,95.25,854913
3-Oct-17,95.00,95.30,94.50,95.10,967155
2-Oct-17,95.17,95.49,94.28,95.00,1226638
29-Sep-17,95.00,95.24,94.43,95.07,1027172
28-Sep-17,95.00,95.18,94.42,94.96,755067
27-Sep-17,94.22,95.55,94.10,95.21,1891163
26-Sep-17,94.88,95.27,93.98,94.08,1617844
25-Sep-17,94.56,94.97,94.21,94.95,1133175
22-Sep-17,93.84,94.70,93.79,94.70,1149074
21-Sep-17,94.41,94.53,93.89,94.22,921266
20-Sep-17,94.93,95.18,94.15,94.64,1510201
19-Sep-17,95.50,95.53,94.57,95.00,1086208
18-Sep-17,94.52,95.35,94.36,95.07,2055918
15-Sep-17,94.94,95.04,93.85,94.47,5759583
14-Sep-17,95.95,96.19,95.15,95.45,1326993
13-Sep-17,97.57,97.57,96.32,96.57,1002617
12-Sep-17,96.88,97.60,96.37,97.52,888647
11-Sep-17,97.50,97.51,96.30,96.94,1334263
8-Sep-17,96.48,97.14,96.24,97.00,834955
7-Sep-17,96.69,97.37,95.85,96.74,1061914
6-Sep-17,97.59,97.59,95.92,96.25,1565566
5-Sep-17,95.50,97.01,95.49,96.95,2303308
1-Sep-17,96.05,96.73,95.29,95.68,1270031
31-Aug-17,95.96,96.41,94.78,96.03,1835676
30-Aug-17,95.87,97.07,95.44,95.79,1909190
29-Aug-17,95.41,97.33,95.25,96.00,3382304
28-Aug-17,97.46,98.74,95.07,95.55,34428151
25-Aug-17,98.35,99.95,97.88,98.82,9833611
24-Aug-17,94.55,95.45,94.18,95.11,1461641
23-Aug-17,94.30,94.93,93.76,94.11,676440
