Date,Open,High,Low,Close,Volume
20-Oct-17,34.27,34.40,33.83,34.13,1346356
19-Oct-17,34.20,34.35,34.11,34.30,600961
18-Oct-17,34.50,34.56,34.25,34.40,1295805
17-Oct-17,34.51,34.51,34.13,34.26,1272285
16-Oct-17,34.58,35.00,34.40,34.52,1759349
13-Oct-17,34.38,35.06,34.15,34.65,1848614
12-Oct-17,35.24,35.48,33.31,34.17,3768597
11-Oct-17,34.47,36.34,34.45,35.37,3521785
10-Oct-17,35.28,35.29,34.11,34.64,2385229
9-Oct-17,33.83,35.47,33.68,35.04,4479884
6-Oct-17,32.98,34.62,32.98,34.14,2713894
5-Oct-17,32.45,32.98,32.44,32.97,999763
4-Oct-17,32.19,32.70,32.19,32.54,1464060
3-Oct-17,31.90,32.07,31.56,32.03,1092077
2-Oct-17,31.76,32.10,31.76,31.96,818337
29-Sep-17,31.52,31.53,31.23,31.50,680312
28-Sep-17,31.95,31.95,31.40,31.44,1707581
27-Sep-17,31.93,31.99,31.80,31.87,784933
26-Sep-17,32.37,32.54,32.11,32.16,879469
25-Sep-17,32.57,32.87,32.39,32.83,1238902
22-Sep-17,32.30,32.30,31.99,32.19,1191058
21-Sep-17,31.87,32.13,31.77,31.87,1056437
20-Sep-17,32.03,32.08,31.77,31.96,857334
19-Sep-17,32.27,32.36,32.11,32.23,1201268
18-Sep-17,32.06,32.15,31.96,32.11,754593
15-Sep-17,32.00,32.10,31.87,32.01,1106523
14-Sep-17,32.17,32.33,32.00,32.27,914646
13-Sep-17,32.26,32.40,32.01,32.05,512147
12-Sep-17,32.33,32.34,32.20,32.28,1292156
11-Sep-17,32.15,32.24,32.11,32.20,1567372
8-Sep-17,32.25,32.25,31.97,32.00,1255291
7-Sep-17,32.11,32.26,32.02,32.17,2446972
6-Sep-17,32.11,32.17,31.67,31.71,1855410
5-Sep-17,32.13,32.19,31.78,31.93,867132
1-Sep-17,32.17,32.52,32.17,32.32,1714644
31-Aug-17,31.91,32.27,31.83,32.17,995602
30-Aug-17,31.64,31.78,31.54,31.60,596898
29-Aug-17,31.50,31.76,31.45,31.63,1039280
28-Aug-17,31.72,31.74,31.54,31.66,561981
25-Aug-17,31.66,31.70,31.52,31.54,864984
24-Aug-17,31.50,31.61,31.42,31.57,587314
23-Aug-17,31.87,31.97,31.50,31.58,1418946
22-Aug-17,31.70,31.88,31.55,31.70,894036
21-Aug-17,31.55,31.60,31.33,31.52,1119374
18-Aug-17,31.38,31.44,31.20,31.25,469055
17-Aug-17,31.79,31.92,31.42,31.44,717190
16-Aug-17,31.70,31.70,31.40,31.47,911277
15-Aug-17,31.69,31.69,31.33,31.36,603125
14-Aug-17,31.82,31.91,31.62,31.63,713557
11-Aug-17,31.41,31.69,31.27,31.49,565199
10-Aug-17,31.55,31.61,31.02,31.02,636536
9-Aug-17,31.48,31.66,31.35,31.66,674943
