Date,Open,High,Low,Close,Volume
20-Oct-17,52.02,52.09,50.36,51.51,774851
19-Oct-17,52.63,52.67,50.63,51.51,345435
18-Oct-17,53.75,53.86,52.28,52.43,283204
17-Oct-17,54.33,54.96,53.34,53.46,351139
16-Oct-17,54.25,55.17,53.73,54.52,208243
13-Oct-17,54.18,54.31,53.32,53.95,293304
12-Oct-17,54.89,55.44,54.06,54.46,285971
11-Oct-17,54.11,55.38,53.51,54.90,332797
10-Oct-17,54.20,54.53,53.54,54.01,297525
9-Oct-17,54.60,55.34,53.57,53.81,144107
6-Oct-17,55.68,56.24,53.67,54.31,345607
5-Oct-17,56.58,57.40,55.38,55.81,233264
4-Oct-17,56.44,57.49,55.44,56.59,168277
3-Oct-17,58.00,58.00,55.14,56.76,433337
2-Oct-17,53.67,57.32,53.55,57.32,334827
29-Sep-17,53.88,54.41,52.90,53.26,218223
28-Sep-17,53.23,54.00,52.68,53.98,184588
27-Sep-17,52.50,53.59,52.50,53.01,226361
26-Sep-17,52.89,52.89,51.86,52.29,207871
25-Sep-17,52.50,54.25,52.08,53.05,242817
22-Sep-17,52.32,52.78,51.48,52.16,387761
21-Sep-17,52.87,54.75,51.99,52.52,407796
20-Sep-17,51.88,52.83,51.57,52.63,273654
19-Sep-17,52.92,53.60,51.44,51.90,227214
18-Sep-17,55.17,55.63,52.81,52.99,303816
15-Sep-17,53.54,55.25,53.00,55.23,694786
14-Sep-17,51.00,54.30,50.38,53.38,742802
13-Sep-17,50.34,51.25,49.61,49.79,311825
12-Sep-17,50.66,51.18,49.75,50.27,301941
11-Sep-17,51.03,51.24,49.98,50.51,288447
8-Sep-17,49.98,50.52,49.56,49.96,291919
7-Sep-17,51.96,52.37,49.96,50.00,557713
6-Sep-17,54.66,54.94,51.37,52.78,313352
5-Sep-17,56.17,56.68,53.66,54.52,250409
1-Sep-17,57.50,58.04,56.11,56.32,414996
31-Aug-17,55.75,58.04,55.19,57.06,470310
30-Aug-17,54.94,56.84,54.69,56.24,342719
29-Aug-17,52.20,55.34,52.06,54.35,351606
28-Aug-17,52.05,53.02,51.45,53.00,326942
25-Aug-17,51.61,51.83,51.01,51.40,385916
24-Aug-17,51.12,51.98,51.10,51.43,445889
23-Aug-17,51.00,52.34,50.49,51.02,1600501
22-Aug-17,57.31,59.04,57.00,58.85,387426
21-Aug-17,56.46,56.96,55.63,56.91,143395
18-Aug-17,57.39,58.20,56.44,56.51,263345
17-Aug-17,60.35,61.77,57.91,57.95,215771
