Date,Open,High,Low,Close,Volume
20-Oct-17,36.39,36.80,36.37,36.68,128883
19-Oct-17,36.25,36.49,36.08,36.31,114025
18-Oct-17,36.54,36.57,36.10,36.44,382010
17-Oct-17,36.35,36.61,36.18,36.45,143560
16-Oct-17,36.74,36.86,36.45,36.62,199999
13-Oct-17,36.00,36.18,35.67,36.04,147043
12-Oct-17,36.15,36.39,35.73,35.86,714047
11-Oct-17,36.21,36.38,36.14,36.17,12409
10-Oct-17,36.66,36.72,36.34,36.52,300910
9-Oct-17,36.59,36.76,36.48,36.61,127598
6-Oct-17,36.19,36.33,36.07,36.31,134389
5-Oct-17,36.26,36.44,36.20,36.29,165771
4-Oct-17,36.40,36.70,36.22,36.30,302920
3-Oct-17,35.84,35.84,35.30,35.57,259778
2-Oct-17,35.81,36.95,35.76,36.57,340030
29-Sep-17,35.54,35.68,35.44,35.68,343418
28-Sep-17,35.49,35.98,35.45,35.92,515574
27-Sep-17,35.06,35.06,33.99,34.51,567816
26-Sep-17,35.82,35.98,35.44,35.69,354059
25-Sep-17,37.01,37.10,36.51,36.60,359815
22-Sep-17,37.65,37.83,37.38,37.66,371597
21-Sep-17,38.12,38.27,37.46,37.72,880034
20-Sep-17,35.66,36.51,35.37,35.68,465686
19-Sep-17,34.65,34.67,34.49,34.56,238840
18-Sep-17,34.53,34.63,34.13,34.52,357626
15-Sep-17,34.69,34.69,33.48,33.78,352743
14-Sep-17,35.05,35.31,35.00,35.02,194134
13-Sep-17,34.34,34.98,34.34,34.91,274847
12-Sep-17,33.83,34.42,33.77,34.20,235496
11-Sep-17,33.61,33.95,33.51,33.91,186064
8-Sep-17,33.80,33.80,33.12,33.36,280080
7-Sep-17,34.34,34.67,34.30,34.46,240034
6-Sep-17,33.98,34.16,33.73,34.12,206917
5-Sep-17,34.43,34.43,33.74,33.85,360770
1-Sep-17,34.63,35.93,34.00,34.67,1009853
31-Aug-17,31.68,32.21,31.18,32.19,565576
30-Aug-17,31.70,31.70,31.35,31.54,125631
29-Aug-17,31.60,31.79,31.38,31.73,273128
28-Aug-17,31.70,31.79,30.98,31.76,433995
25-Aug-17,31.40,31.76,31.40,31.71,296809
24-Aug-17,32.01,32.04,31.31,31.39,631885
23-Aug-17,31.39,31.50,31.12,31.24,240106
22-Aug-17,30.72,31.24,30.69,31.11,271697
21-Aug-17,30.27,30.49,29.83,30.11,337470
18-Aug-17,30.75,30.86,30.65,30.75,171222
17-Aug-17,30.99,31.17,30.82,30.82,270863
16-Aug-17,30.81,31.04,30.76,30.95,281674
15-Aug-17,30.78,30.86,30.36,30.77,261491
14-Aug-17,31.36,31.49,30.68,30.72,411889
11-Aug-17,30.47,31.61,30.41,31.18,502009
10-Aug-17,30.51,30.77,30.22,30.33,866422
9-Aug-17,32.21,32.50,32.04,32.25,606393
8-Aug-17,32.91,33.24,32.66,32.87,544976
7-Aug-17,34.40,34.40,33.76,34.23,497040
4-Aug-17,34.96,34.96,34.52,34.57,704387
3-Aug-17,36.48,36.48,35.86,36.08,435386
2-Aug-17,37.19,37.19,36.67,37.01,404003
1-Aug-17,37.46,37.47,37.08,37.34,596879
31-Jul-17,-,36.84,-,36.59,912838
28-Jul-17,38.02,38.25,36.60,36.79,901325
27-Jul-17,40.74,40.84,37.83,38.30,565724
26-Jul-17,41.74,41.74,41.10,41.67,323908
25-Jul-17,41.42,41.85,41.27,41.76,229432
24-Jul-17,41.81,41.95,41.35,41.52,468128
21-Jul-17,42.33,42.60,42.16,42.46,220501
20-Jul-17,42.40,42.40,41.76,42.23,389933
19-Jul-17,42.68,42.97,42.24,42.51,374556
18-Jul-17,41.90,42.03,41.55,41.88,344504
17-Jul-17,41.83,41.90,41.46,41.67,155066
14-Jul-17,41.82,41.96,41.74,41.86,93274
13-Jul-17,41.66,41.68,41.26,41.67,159529
12-Jul-17,41.63,41.94,41.62,41.83,131130
11-Jul-17,41.60,41.71,41.46,41.52,145674
10-Jul-17,41.91,42.14,41.87,41.96,172252
7-Jul-17,41.70,41.80,41.46,41.64,145369
6-Jul-17,41.25,41.27,40.92,41.01,108739
5-Jul-17,41.47,41.47,40.86,41.16,129994
3-Jul-17,41.70,41.78,41.46,41.48,151664
30-Jun-17,41.60,42.15,41.56,42.14,178634
29-Jun-17,41.40,41.45,40.96,41.13,335278
28-Jun-17,41.39,41.63,41.32,41.53,239643
27-Jun-17,41.17,41.44,41.17,41.31,250692
26-Jun-17,41.60,41.73,41.41,41.49,214794
23-Jun-17,41.38,41.61,41.24,41.58,132928
22-Jun-17,41.43,41.69,41.02,41.17,328074
21-Jun-17,41.67,42.15,41.66,41.89,211941
20-Jun-17,41.60,41.74,41.31,41.44,205575
19-Jun-17,41.21,41.55,41.20,41.50,101087
16-Jun-17,41.67,41.69,41.33,41.66,419521
15-Jun-17,41.54,41.95,41.49,41.91,208679
14-Jun-17,41.27,41.62,41.15,41.58,310555
13-Jun-17,40.93,41.05,40.36,40.42,232618
12-Jun-17,41.04,41.13,40.84,40.87,184719
9-Jun-17,40.81,41.24,40.70,41.03,316990
8-Jun-17,40.58,41.47,40.58,40.97,400549
7-Jun-17,39.18,39.76,39.04,39.73,377502
6-Jun-17,39.22,39.34,39.05,39.09,290535
5-Jun-17,39.36,39.36,38.83,38.93,121729
2-Jun-17,39.70,39.77,39.49,39.63,174606
1-Jun-17,38.75,39.49,38.75,39.46,322989
31-May-17,38.67,39.30,38.57,38.64,581506
30-May-17,38.20,38.43,37.66,38.05,380846
26-May-17,37.66,37.66,37.03,37.28,209049
25-May-17,37.64,38.16,37.20,37.54,605311
24-May-17,38.69,38.81,38.02,38.22,327322
23-May-17,40.19,40.19,38.93,39.07,406640
22-May-17,40.79,40.91,40.42,40.50,302608
19-May-17,41.45,41.47,41.07,41.44,280006
18-May-17,41.58,41.58,40.98,41.39,198493
17-May-17,41.87,42.54,41.76,41.82,189502
16-May-17,42.68,42.72,42.23,42.36,300841
15-May-17,41.55,42.54,41.51,42.44,363469
12-May-17,40.55,40.92,40.27,40.35,336376
11-May-17,40.63,40.70,40.20,40.54,192214
10-May-17,40.21,40.85,40.17,40.73,302005
9-May-17,40.31,40.32,40.07,40.16,127698
8-May-17,40.42,40.71,40.19,40.25,265591
5-May-17,40.79,40.94,40.54,40.84,115493
4-May-17,40.74,40.93,40.56,40.93,194008
3-May-17,40.84,40.88,40.54,40.58,162532
2-May-17,40.63,40.87,40.54,40.85,382600
1-May-17,40.85,40.93,40.53,40.54,262051
28-Apr-17,40.64,40.97,40.45,40.85,218782
27-Apr-17,40.50,40.77,40.23,40.70,192496
26-Apr-17,40.89,40.89,40.43,40.44,210763
25-Apr-17,41.34,41.53,41.20,41.28,187297
24-Apr-17,40.60,40.96,40.25,40.91,267772
21-Apr-17,40.45,40.70,40.15,40.57,189340
20-Apr-17,40.39,40.79,40.30,40.74,141851
19-Apr-17,40.11,40.43,40.06,40.35,196120
18-Apr-17,40.58,40.63,39.93,40.13,228692
17-Apr-17,40.90,41.23,40.82,41.20,136944
13-Apr-17,40.62,40.91,40.37,40.47,123547
12-Apr-17,40.65,40.80,40.47,40.57,167872
