Date,Open,High,Low,Close,Volume
20-Oct-17,430.17,435.16,427.00,432.98,990334
19-Oct-17,439.59,443.00,438.00,440.94,639318
18-Oct-17,443.20,444.99,435.55,439.37,548234
17-Oct-17,444.41,448.57,442.01,442.56,644310
16-Oct-17,444.00,453.55,443.11,445.68,508714
13-Oct-17,448.50,449.74,441.04,442.96,718075
12-Oct-17,454.00,454.52,444.20,447.15,704789
11-Oct-17,459.80,460.85,448.71,452.97,1197831
10-Oct-17,469.56,472.31,460.66,461.13,655749
9-Oct-17,472.51,473.86,466.70,469.56,482766
6-Oct-17,463.39,471.00,461.91,469.95,986046
5-Oct-17,455.95,477.00,451.10,463.40,1421624
4-Oct-17,454.10,458.92,450.11,456.05,611094
3-Oct-17,463.04,463.04,451.26,455.63,596853
2-Oct-17,448.31,465.00,445.41,462.24,1175826
29-Sep-17,435.28,450.23,435.28,447.12,909611
28-Sep-17,433.29,439.04,433.29,435.11,456629
27-Sep-17,435.64,437.61,432.50,435.43,491089
26-Sep-17,440.40,442.80,433.32,434.97,453376
25-Sep-17,431.99,442.90,431.64,438.15,834103
22-Sep-17,431.12,433.77,427.04,432.72,626312
21-Sep-17,435.00,438.77,429.47,433.45,556877
20-Sep-17,431.64,438.44,429.55,438.17,692588
19-Sep-17,433.26,434.64,426.47,431.38,699266
18-Sep-17,433.48,439.02,430.05,434.64,672337
15-Sep-17,442.04,442.16,432.43,433.45,1002422
14-Sep-17,436.68,443.30,429.31,441.26,987656
13-Sep-17,445.00,445.00,433.16,437.74,1062794
12-Sep-17,448.12,448.12,440.00,444.48,881128
11-Sep-17,451.08,454.99,441.52,445.11,1984715
8-Sep-17,473.00,479.02,470.00,471.49,761263
7-Sep-17,489.00,489.00,467.00,471.92,1554416
6-Sep-17,499.69,503.33,492.87,500.22,441614
5-Sep-17,499.81,503.54,489.37,494.36,657682
1-Sep-17,498.24,505.49,497.09,504.00,699890
31-Aug-17,488.40,502.42,484.00,496.90,872340
30-Aug-17,480.51,495.85,477.97,487.12,729405
29-Aug-17,476.88,481.35,473.37,479.03,546294
28-Aug-17,483.92,486.35,477.78,479.22,831240
25-Aug-17,485.25,487.77,477.38,477.80,531653
24-Aug-17,477.27,488.82,474.34,485.26,538991
23-Aug-17,475.00,480.86,472.32,477.15,410585
22-Aug-17,470.00,483.00,469.20,478.65,503575
21-Aug-17,467.75,472.49,467.42,469.74,510675
18-Aug-17,461.90,470.86,460.56,467.98,549722
17-Aug-17,469.82,470.04,461.77,464.02,711648
16-Aug-17,475.58,475.58,467.24,468.54,383329
15-Aug-17,473.87,475.00,470.49,472.57,378514
14-Aug-17,469.97,476.80,466.99,474.54,537421
11-Aug-17,462.35,467.86,459.23,466.59,495953
10-Aug-17,470.48,472.46,459.14,460.08,573734
9-Aug-17,469.96,478.99,465.52,474.09,979959
8-Aug-17,469.18,475.25,467.35,469.68,484815
7-Aug-17,468.71,471.76,462.21,470.10,499116
4-Aug-17,469.32,473.34,466.66,468.76,771168
3-Aug-17,498.10,498.50,463.30,467.11,1208756
2-Aug-17,470.78,477.51,468.31,476.82,958199
1-Aug-17,486.60,490.17,471.26,472.00,1282126
31-Jul-17,489.67,499.14,487.13,491.62,1008967
28-Jul-17,507.01,513.42,499.04,508.71,620107
27-Jul-17,515.77,517.44,503.98,508.41,958059
26-Jul-17,513.77,518.57,510.00,515.63,369478
25-Jul-17,523.97,526.12,510.74,513.45,596286
24-Jul-17,516.94,521.77,510.70,521.22,474355
21-Jul-17,518.46,522.00,513.40,515.92,617665
20-Jul-17,510.47,524.89,509.92,521.13,772154
19-Jul-17,504.99,509.14,501.10,506.79,850765
18-Jul-17,497.64,499.98,494.37,497.63,450891
17-Jul-17,508.28,509.88,496.76,498.11,620273
14-Jul-17,507.40,509.58,498.65,504.90,608260
13-Jul-17,496.02,509.96,492.18,505.05,790120
12-Jul-17,496.20,499.32,489.09,496.99,576678
11-Jul-17,498.52,502.00,489.20,492.00,829218
10-Jul-17,497.61,500.74,489.33,499.91,888378
7-Jul-17,497.51,506.39,493.44,496.50,729067
6-Jul-17,491.76,496.35,482.51,490.19,898606
5-Jul-17,490.08,499.36,489.56,497.00,823013
3-Jul-17,494.20,498.55,484.28,487.73,603507
30-Jun-17,507.46,508.00,490.89,491.14,1267538
29-Jun-17,510.44,512.64,499.08,509.93,922249
28-Jun-17,506.51,518.00,500.75,513.19,935072
27-Jun-17,517.55,529.99,500.74,502.12,1447343
26-Jun-17,513.00,521.51,506.70,515.91,1172515
23-Jun-17,511.79,519.65,500.25,517.33,1885482
22-Jun-17,525.00,543.55,521.50,526.53,1843555
21-Jun-17,496.51,525.00,495.04,522.02,1743114
20-Jun-17,477.92,504.89,474.62,495.33,2134851
19-Jun-17,462.96,474.72,456.57,471.67,807575
16-Jun-17,468.19,470.28,453.54,459.91,1658740
15-Jun-17,474.37,475.80,461.58,469.50,797050
14-Jun-17,475.35,481.86,469.27,476.84,662457
13-Jun-17,474.38,476.50,471.63,473.67,503719
12-Jun-17,475.22,477.50,466.91,476.23,884616
9-Jun-17,482.55,487.52,473.26,475.79,1027237
8-Jun-17,481.56,486.81,478.16,485.90,595175
7-Jun-17,479.00,483.06,476.09,482.00,844113
6-Jun-17,479.30,482.30,473.44,477.73,729819
5-Jun-17,483.50,489.00,476.97,480.26,912798
2-Jun-17,466.70,484.99,465.33,480.43,1717856
1-Jun-17,460.00,470.43,459.53,466.02,1204553
31-May-17,450.32,459.30,448.09,459.06,1314054
30-May-17,455.13,458.48,448.08,448.67,865656
26-May-17,456.70,459.25,453.34,455.17,475520
25-May-17,460.04,460.04,455.02,455.70,671881
24-May-17,461.37,461.94,452.11,458.24,468844
23-May-17,462.00,464.25,458.79,461.37,573858
22-May-17,448.48,464.40,448.39,460.99,782901
19-May-17,456.06,458.49,448.00,450.01,996846
18-May-17,448.00,462.96,446.05,457.33,1107622
17-May-17,451.29,458.58,445.30,446.72,750078
16-May-17,451.79,456.74,445.80,454.75,943112
15-May-17,440.38,450.78,439.61,450.41,772102
12-May-17,441.54,452.88,438.59,442.05,1213708
11-May-17,429.79,441.71,428.85,440.43,895992
10-May-17,427.13,431.74,422.95,431.57,518969
9-May-17,422.83,428.72,421.55,427.18,567081
8-May-17,427.76,436.47,421.88,423.38,864606
5-May-17,434.79,438.47,426.40,429.00,1060607
4-May-17,410.19,437.32,410.19,434.31,2320333
3-May-17,402.00,408.12,400.39,407.03,1265473
2-May-17,396.65,402.98,392.70,402.04,884408
1-May-17,388.80,399.98,388.22,396.17,1246852
28-Apr-17,368.51,393.50,368.30,388.49,2180107
27-Apr-17,370.90,371.71,360.00,366.62,1981461
26-Apr-17,372.12,375.40,369.47,371.39,516438
25-Apr-17,373.09,376.24,370.00,372.32,711724
24-Apr-17,373.83,374.94,369.04,371.93,714988
21-Apr-17,376.40,379.20,368.81,370.12,640254
20-Apr-17,371.92,377.48,368.05,376.40,767957
19-Apr-17,368.12,371.31,366.52,370.96,501250
18-Apr-17,371.04,374.72,363.39,366.06,520307
17-Apr-17,373.00,374.36,369.10,373.45,574429
13-Apr-17,367.61,373.87,366.50,370.37,699818
12-Apr-17,367.00,372.60,364.23,366.33,660995
11-Apr-17,372.50,373.89,363.99,367.07,851473
10-Apr-17,380.01,382.89,372.83,373.26,896536
7-Apr-17,379.60,381.36,375.61,380.55,741730
6-Apr-17,379.00,381.98,376.36,379.48,1120083
5-Apr-17,382.93,384.51,375.72,377.36,772871
4-Apr-17,383.94,386.06,379.28,382.92,681157
3-Apr-17,388.00,392.75,382.26,383.19,994847
31-Mar-17,385.75,390.00,382.60,387.51,570333
30-Mar-17,394.89,397.21,385.82,386.18,967019
29-Mar-17,382.46,401.21,382.06,394.14,1945473
28-Mar-17,383.47,388.82,376.22,382.55,1651254
27-Mar-17,371.69,384.96,371.04,383.68,1386403
24-Mar-17,367.92,374.85,366.72,373.00,881363
23-Mar-17,369.19,370.73,364.44,365.02,677088
22-Mar-17,373.12,374.74,366.12,369.14,684628
21-Mar-17,382.89,383.08,370.24,370.98,1224616
20-Mar-17,380.83,385.71,377.72,382.02,576945
17-Mar-17,380.05,386.69,370.68,380.29,2839916
16-Mar-17,397.46,399.00,389.29,392.59,770860
15-Mar-17,393.64,399.72,391.83,397.80,808206
14-Mar-17,386.87,393.59,386.87,391.10,548963
13-Mar-17,389.20,389.98,384.28,388.88,572707
10-Mar-17,392.95,392.95,384.21,388.23,743795
9-Mar-17,383.18,392.24,381.43,390.14,1101669
8-Mar-17,373.59,382.69,373.50,381.37,832830
7-Mar-17,378.76,382.22,370.63,372.52,891109
6-Mar-17,378.13,383.99,376.45,381.93,1020846
3-Mar-17,375.98,379.46,371.00,378.66,513995
2-Mar-17,379.05,381.99,375.00,375.86,512279
1-Mar-17,378.00,381.92,372.52,379.05,757505
28-Feb-17,373.30,374.97,368.42,373.50,759164
27-Feb-17,361.15,373.36,359.94,373.05,538564
24-Feb-17,359.88,361.08,355.00,361.01,782594
23-Feb-17,370.99,371.22,357.22,360.96,1119121
22-Feb-17,371.61,373.16,369.12,370.22,569426
21-Feb-17,372.18,375.76,370.00,371.61,722557
17-Feb-17,372.42,375.00,369.30,371.18,775547
16-Feb-17,379.00,382.08,369.20,373.02,1277299
15-Feb-17,375.43,384.58,374.00,384.00,926277
14-Feb-17,375.95,378.32,371.60,376.52,991873
13-Feb-17,364.22,378.47,363.20,375.66,1539710
10-Feb-17,360.95,364.39,357.38,359.87,713596
9-Feb-17,347.07,366.95,347.00,360.00,1723515
8-Feb-17,355.88,359.00,351.03,353.25,876853
7-Feb-17,360.61,363.10,355.89,357.69,689902
6-Feb-17,357.86,362.45,353.59,362.00,750326
3-Feb-17,362.43,363.25,352.08,358.26,733356
2-Feb-17,361.14,364.81,357.89,360.56,579389
1-Feb-17,358.74,364.80,355.01,364.17,1033030
31-Jan-17,344.05,360.00,343.50,359.29,1052803
30-Jan-17,344.89,347.04,342.16,344.50,668429
27-Jan-17,342.34,349.97,340.96,346.50,620605
26-Jan-17,348.74,352.88,340.09,340.75,1312632
25-Jan-17,350.00,350.75,344.81,348.93,936665
24-Jan-17,355.04,356.44,347.00,347.96,905424
23-Jan-17,361.97,363.59,354.17,354.36,899779
20-Jan-17,365.67,369.75,362.07,362.56,781954
19-Jan-17,363.20,366.30,359.97,363.41,586322
18-Jan-17,363.70,365.95,358.93,362.95,473967
17-Jan-17,367.65,369.97,359.73,363.24,879176
13-Jan-17,364.76,373.48,364.44,368.16,943787
12-Jan-17,362.00,367.37,358.50,364.44,663695
11-Jan-17,371.84,379.95,361.66,364.47,1655955
10-Jan-17,356.00,375.94,355.20,373.00,1787463
9-Jan-17,359.21,360.39,349.24,355.06,1885574
6-Jan-17,360.48,361.93,354.00,358.68,3255348
5-Jan-17,381.15,385.72,380.22,380.92,628243
4-Jan-17,374.87,389.22,373.85,383.11,781487
3-Jan-17,370.84,384.94,368.44,379.70,1064460
30-Dec-16,375.30,375.30,364.92,367.09,614765
29-Dec-16,378.41,379.47,372.79,373.72,383895
28-Dec-16,387.88,387.88,376.41,378.75,545481
27-Dec-16,383.91,391.49,382.12,385.95,790907
23-Dec-16,371.67,382.31,371.65,381.78,801694
22-Dec-16,365.88,372.50,361.95,372.38,668539
21-Dec-16,370.16,372.44,364.48,365.06,559224
20-Dec-16,378.27,378.27,368.86,371.02,747230
19-Dec-16,379.82,383.28,371.27,371.75,794387
16-Dec-16,379.40,386.56,377.28,378.85,1054842
15-Dec-16,381.09,384.19,375.98,378.01,543120
14-Dec-16,382.25,386.00,376.40,381.50,868811
13-Dec-16,386.50,392.46,378.44,382.00,990677
12-Dec-16,391.99,396.68,387.00,387.10,1529344
9-Dec-16,371.13,379.50,369.77,372.83,1290897
8-Dec-16,361.80,370.49,359.50,369.15,972970
7-Dec-16,365.28,366.57,348.82,362.01,1681353
6-Dec-16,371.59,371.77,365.32,368.95,725388
5-Dec-16,375.10,377.89,369.05,369.82,661740
2-Dec-16,375.85,378.50,371.32,372.71,723571
1-Dec-16,379.48,381.97,374.42,375.56,824192
30-Nov-16,387.18,388.28,377.15,379.24,965566
29-Nov-16,391.77,394.49,386.54,387.26,752159
28-Nov-16,397.11,398.32,389.45,390.38,729768
25-Nov-16,402.34,402.34,394.50,398.16,282742
23-Nov-16,393.61,403.35,390.24,402.41,972633
22-Nov-16,406.25,407.93,395.27,398.97,918554
21-Nov-16,398.98,410.00,398.36,405.48,922765
18-Nov-16,403.54,410.64,397.02,397.48,1413411
17-Nov-16,406.14,410.11,398.02,404.56,1493382
16-Nov-16,428.00,430.92,419.94,420.08,815499
15-Nov-16,443.52,449.00,428.12,428.65,1118813
14-Nov-16,421.22,452.96,418.84,444.52,1557103
11-Nov-16,418.42,421.72,411.14,419.79,822904
10-Nov-16,422.02,431.26,418.96,423.00,1430422
9-Nov-16,385.35,420.46,383.50,418.42,3047947
8-Nov-16,362.95,374.13,361.45,367.77,1302285
7-Nov-16,347.48,366.84,344.19,365.39,1347384
4-Nov-16,325.62,351.74,325.35,341.39,1885091
3-Nov-16,343.51,346.43,331.95,336.01,1203254
2-Nov-16,346.65,346.65,341.57,343.66,722572
1-Nov-16,345.52,352.31,340.80,346.55,974897
31-Oct-16,357.21,358.55,344.85,345.02,921485
28-Oct-16,363.58,364.12,348.49,355.83,1060623
27-Oct-16,365.34,370.00,362.74,365.35,503894
26-Oct-16,367.63,367.90,360.07,363.08,484040
25-Oct-16,362.50,367.77,358.20,366.93,509344
24-Oct-16,364.51,367.12,358.76,362.25,513913
21-Oct-16,370.36,371.25,361.67,363.53,521980
20-Oct-16,368.92,373.96,368.30,371.24,346406
19-Oct-16,372.62,374.58,368.07,368.36,400030
18-Oct-16,366.42,372.85,366.07,371.53,414019
17-Oct-16,367.80,371.50,364.50,366.73,498012
14-Oct-16,378.40,379.10,370.66,371.68,590366
13-Oct-16,369.61,379.96,369.02,375.79,532407
12-Oct-16,387.54,388.80,372.02,373.47,856319
11-Oct-16,391.51,394.69,382.18,386.05,807968
10-Oct-16,392.29,396.00,388.84,393.86,732014
7-Oct-16,390.33,390.98,385.50,390.06,517011
6-Oct-16,391.39,393.00,386.59,388.60,596897
5-Oct-16,398.94,401.45,391.39,392.60,769397
4-Oct-16,403.82,406.00,394.55,397.20,558306
3-Oct-16,402.02,407.79,398.15,402.82,595124
30-Sep-16,396.44,404.98,390.56,402.02,1114288
29-Sep-16,419.05,421.77,404.60,406.36,594172
28-Sep-16,421.88,424.35,418.22,419.10,779435
27-Sep-16,405.12,421.95,402.37,421.45,964518
26-Sep-16,410.00,410.00,401.10,404.12,658631
23-Sep-16,405.57,413.62,405.57,410.39,689342
22-Sep-16,408.79,408.95,402.02,408.01,621493
21-Sep-16,407.44,410.39,398.58,406.52,751396
20-Sep-16,406.47,407.29,400.23,406.24,626928
19-Sep-16,409.86,411.05,401.45,402.83,581014
16-Sep-16,403.75,411.00,400.37,408.63,1311812
15-Sep-16,396.56,404.98,394.87,402.75,809803
14-Sep-16,391.70,401.80,391.70,397.56,659673
13-Sep-16,394.34,396.18,387.00,390.99,768156
12-Sep-16,384.30,399.57,384.27,399.51,756775
9-Sep-16,398.00,399.83,384.01,384.43,929193
8-Sep-16,398.28,404.00,396.63,401.83,672587
7-Sep-16,397.72,401.76,395.65,399.89,820022
6-Sep-16,390.94,401.40,390.15,398.31,1167004
2-Sep-16,393.25,393.97,387.02,388.64,743432
1-Sep-16,394.75,394.75,390.50,393.40,479344
31-Aug-16,396.01,397.26,390.02,392.55,568911
30-Aug-16,398.38,402.36,394.42,395.22,526904
29-Aug-16,405.15,405.99,396.58,399.38,554880
26-Aug-16,400.00,407.04,396.21,402.97,664326
25-Aug-16,404.97,410.88,392.49,400.25,830464
24-Aug-16,419.61,424.95,403.50,405.25,605157
23-Aug-16,420.15,425.00,418.36,420.61,452161
22-Aug-16,406.81,422.47,405.10,418.65,907535
19-Aug-16,409.34,410.50,403.58,404.30,701864
18-Aug-16,412.55,413.33,407.50,410.87,641759
17-Aug-16,415.25,415.82,409.00,411.68,460727
16-Aug-16,422.16,422.16,413.00,413.64,529884
15-Aug-16,422.75,425.92,422.25,422.87,368836
12-Aug-16,419.65,422.36,415.00,421.54,296555
11-Aug-16,416.02,423.44,415.02,421.35,372626
10-Aug-16,418.99,419.53,412.50,415.48,468527
9-Aug-16,420.22,423.22,417.75,419.24,491094
8-Aug-16,422.43,429.06,418.36,421.04,828603
5-Aug-16,430.35,433.40,422.00,423.00,1111549
4-Aug-16,443.29,443.99,417.50,433.40,2026865
3-Aug-16,434.70,442.29,433.56,441.37,1102775
2-Aug-16,435.27,437.85,427.09,434.90,1251045
1-Aug-16,425.09,439.00,424.01,434.00,1405860
29-Jul-16,411.33,425.88,409.99,425.12,1370477
28-Jul-16,413.81,413.97,405.54,411.04,623765
27-Jul-16,399.64,416.00,399.00,415.09,1001943
26-Jul-16,393.00,398.65,390.01,398.27,593704
25-Jul-16,391.03,395.12,387.55,394.90,386898
22-Jul-16,391.40,392.60,387.43,391.34,477812
21-Jul-16,386.25,395.42,385.62,389.52,782626
20-Jul-16,377.48,386.97,375.44,384.70,631344
19-Jul-16,381.53,382.95,374.14,377.15,605691
18-Jul-16,374.80,382.39,370.92,381.54,763616
15-Jul-16,367.88,375.20,363.45,373.81,1242475
14-Jul-16,367.02,367.02,360.06,365.27,743864
13-Jul-16,370.45,372.43,364.36,364.50,624313
12-Jul-16,377.00,379.45,368.38,368.75,741481
11-Jul-16,380.54,381.47,375.49,375.74,581838
8-Jul-16,372.60,378.85,370.21,378.35,692888
7-Jul-16,370.87,372.29,364.07,371.45,976205
6-Jul-16,357.90,372.44,355.61,371.57,1031214
5-Jul-16,362.25,363.18,355.50,359.61,652538
1-Jul-16,349.00,359.89,348.43,358.50,777083
30-Jun-16,349.55,350.24,344.75,349.23,780984
29-Jun-16,343.28,351.20,342.42,347.86,1081164
28-Jun-16,334.47,340.43,332.97,339.78,806041
27-Jun-16,335.84,341.74,329.09,331.05,1476980
24-Jun-16,341.70,350.09,338.69,339.48,1288269
23-Jun-16,355.59,358.77,352.23,357.14,701583
22-Jun-16,347.44,362.00,341.00,351.92,1797883
21-Jun-16,354.00,354.00,342.75,345.14,1183509
20-Jun-16,359.52,362.98,352.05,352.66,783990
17-Jun-16,367.31,369.87,354.00,354.21,1164253
16-Jun-16,365.80,368.62,362.92,366.52,543026
15-Jun-16,368.71,376.32,366.49,367.91,675048
14-Jun-16,366.39,371.45,359.23,366.49,1020045
13-Jun-16,371.71,375.38,366.90,367.23,855728
10-Jun-16,379.04,379.75,369.60,372.03,891097
9-Jun-16,386.41,392.63,381.08,381.08,660408
8-Jun-16,394.47,394.80,383.98,388.97,844335
7-Jun-16,400.90,402.39,394.12,394.47,664360
6-Jun-16,401.75,404.54,396.71,403.89,594625
3-Jun-16,405.83,407.00,393.21,400.75,1152972
2-Jun-16,405.35,407.57,400.31,407.13,714191
1-Jun-16,398.75,408.35,395.14,404.31,875525
31-May-16,398.36,400.47,395.00,398.93,1017432
27-May-16,398.49,398.49,389.62,396.22,547892
26-May-16,393.49,394.90,388.08,393.54,731780
25-May-16,399.95,400.99,392.91,394.49,959841
24-May-16,397.23,402.48,393.31,397.70,1109140
23-May-16,386.46,396.99,384.31,392.64,1084852
20-May-16,383.37,388.00,382.05,386.00,794990
19-May-16,387.12,394.01,379.33,383.30,1254231
18-May-16,386.04,391.49,384.30,390.28,1172010
17-May-16,392.99,393.50,382.78,386.38,1355554
16-May-16,380.00,394.47,378.66,391.95,1300982
13-May-16,364.56,371.67,361.64,369.46,1157633
12-May-16,373.05,375.00,362.39,365.64,883369
11-May-16,385.06,386.29,371.46,371.86,702395
10-May-16,377.96,387.09,374.38,385.87,741416
9-May-16,370.20,381.32,370.20,375.47,946120
6-May-16,376.36,377.43,365.93,369.95,884777
5-May-16,377.13,381.60,369.11,377.73,1500271
4-May-16,370.06,371.09,360.25,360.64,1007543
3-May-16,379.62,381.72,370.77,371.32,726955
2-May-16,377.95,385.00,369.06,384.52,729482
29-Apr-16,388.63,393.00,373.14,376.71,888951
28-Apr-16,387.11,401.78,385.00,391.30,923814
27-Apr-16,406.91,406.91,386.36,390.28,975044
26-Apr-16,406.77,411.41,404.33,406.66,430223
25-Apr-16,408.21,408.94,403.26,406.92,376440
22-Apr-16,406.61,411.58,394.50,404.38,846342
21-Apr-16,400.69,411.83,398.00,409.57,735510
20-Apr-16,406.21,406.90,396.00,399.75,979004
19-Apr-16,421.38,422.37,411.40,413.78,686704
18-Apr-16,407.38,423.95,405.59,422.38,952004
