Date,Open,High,Low,Close,Volume
20-Oct-17,79.18,79.44,78.61,79.00,462872
19-Oct-17,78.55,78.87,77.75,78.79,337627
18-Oct-17,78.88,79.13,78.46,78.87,422708
17-Oct-17,77.75,78.51,77.51,78.42,280701
16-Oct-17,77.62,78.02,77.33,77.73,449642
13-Oct-17,77.81,78.06,77.27,77.63,465815
12-Oct-17,76.90,77.64,76.80,77.59,546613
11-Oct-17,76.41,76.82,76.39,76.62,14769
10-Oct-17,76.11,76.27,75.62,76.21,443371
9-Oct-17,77.11,77.23,75.95,76.14,388460
6-Oct-17,76.93,77.36,76.76,77.25,352530
5-Oct-17,77.26,77.65,76.91,77.30,439530
4-Oct-17,76.45,77.38,76.32,77.27,507951
3-Oct-17,77.32,77.80,76.18,76.53,528983
2-Oct-17,76.94,77.44,76.56,77.41,349882
29-Sep-17,76.01,77.00,75.83,76.96,423609
28-Sep-17,76.53,76.76,75.84,76.11,445605
27-Sep-17,76.62,76.80,75.28,76.16,668693
26-Sep-17,76.76,76.99,76.28,76.30,445945
25-Sep-17,77.35,77.60,76.62,77.20,504148
22-Sep-17,77.17,77.60,77.12,77.38,601740
21-Sep-17,78.50,78.75,77.22,77.32,768930
20-Sep-17,79.59,80.04,78.96,79.60,364891
19-Sep-17,79.53,79.64,78.87,79.45,440376
18-Sep-17,79.64,79.97,79.30,79.53,439039
15-Sep-17,80.45,80.50,79.20,79.23,1256644
14-Sep-17,79.40,80.61,79.12,80.55,783510
13-Sep-17,80.79,80.85,79.22,79.61,672096
12-Sep-17,81.26,81.29,80.56,80.88,606123
11-Sep-17,80.59,81.87,80.01,81.38,720805
8-Sep-17,79.01,80.38,78.87,79.84,557663
7-Sep-17,77.76,78.86,77.07,78.82,572676
6-Sep-17,76.77,77.78,76.57,77.66,397902
5-Sep-17,77.30,77.50,76.26,76.60,850170
1-Sep-17,77.56,77.95,77.06,77.59,424652
31-Aug-17,76.00,77.68,75.75,77.58,742952
