Date,Open,High,Low,Close,Volume
20-Oct-17,62.85,63.60,62.54,63.50,348033
19-Oct-17,62.75,63.05,62.04,62.92,345671
18-Oct-17,63.79,64.05,62.45,62.84,392118
17-Oct-17,61.53,64.26,60.73,63.32,400244
16-Oct-17,61.56,63.01,60.75,61.43,338298
13-Oct-17,62.15,62.22,60.63,61.35,349009
12-Oct-17,62.65,63.12,61.74,62.06,419877
11-Oct-17,62.60,63.96,62.18,62.68,364624
10-Oct-17,64.57,64.57,62.27,62.47,431490
9-Oct-17,63.90,64.74,63.16,64.04,222909
6-Oct-17,63.49,64.60,62.46,64.10,489606
5-Oct-17,65.11,65.30,62.84,63.69,463641
4-Oct-17,63.55,65.38,63.39,64.69,333324
3-Oct-17,63.26,64.39,62.26,64.33,453470
2-Oct-17,62.70,64.77,62.00,63.31,537491
29-Sep-17,63.29,63.60,61.58,62.30,612071
28-Sep-17,63.18,63.71,62.30,62.88,583777
27-Sep-17,63.30,63.87,62.08,63.05,499955
26-Sep-17,63.85,63.92,61.01,63.21,554674
25-Sep-17,62.52,63.76,61.90,63.34,559457
22-Sep-17,64.36,65.48,62.70,62.90,567176
21-Sep-17,64.49,66.23,63.95,64.99,559773
20-Sep-17,61.18,64.47,60.92,64.42,586681
19-Sep-17,63.21,63.26,60.91,61.40,723168
18-Sep-17,62.20,62.98,60.23,62.70,1163840
15-Sep-17,65.50,65.67,61.62,62.36,1521669
14-Sep-17,68.48,69.99,63.29,64.85,1833702
13-Sep-17,76.01,77.89,69.50,70.37,2951985
12-Sep-17,67.31,77.41,67.00,76.40,6241800
11-Sep-17,88.32,89.83,86.99,88.52,308627
8-Sep-17,86.61,90.80,86.61,87.00,500701
7-Sep-17,85.84,87.49,85.00,86.59,291958
6-Sep-17,85.94,86.68,83.21,85.98,284391
5-Sep-17,86.81,87.60,84.56,85.16,289315
1-Sep-17,82.30,87.70,82.21,87.00,382324
31-Aug-17,80.56,82.36,80.56,82.25,259575
30-Aug-17,78.68,80.95,77.99,80.37,211566
29-Aug-17,77.50,79.74,77.01,78.90,234198
28-Aug-17,79.91,80.09,76.62,78.36,343605
25-Aug-17,82.05,82.13,78.52,78.63,294474
24-Aug-17,81.26,82.12,80.62,81.43,260894
23-Aug-17,81.44,83.03,79.92,81.00,132907
22-Aug-17,81.00,82.36,80.08,82.06,186870
21-Aug-17,81.02,81.53,79.65,80.43,130307
18-Aug-17,80.57,81.56,79.28,80.88,311577
17-Aug-17,83.73,85.01,81.00,81.25,240795
16-Aug-17,85.39,85.72,84.23,84.31,267453
