Date,Open,High,Low,Close,Volume
20-Oct-17,18.35,18.45,17.78,17.80,7391974
19-Oct-17,18.10,18.40,18.00,18.30,1769500
18-Oct-17,18.35,18.45,18.10,18.20,1211165
17-Oct-17,18.35,18.60,18.10,18.35,1377808
16-Oct-17,18.35,18.58,18.12,18.25,901304
13-Oct-17,17.75,18.50,17.60,18.35,694215
12-Oct-17,18.05,18.10,17.80,17.90,859632
11-Oct-17,17.95,18.05,17.80,17.95,33895
10-Oct-17,18.15,18.30,17.78,17.90,1250211
9-Oct-17,18.85,18.85,18.05,18.05,966399
6-Oct-17,18.90,19.10,18.88,18.95,398147
5-Oct-17,18.95,19.20,18.87,19.05,743513
4-Oct-17,19.05,19.30,18.90,18.90,1040555
3-Oct-17,19.25,19.25,18.65,19.00,1214063
2-Oct-17,19.30,19.45,18.90,19.25,987446
29-Sep-17,18.90,19.60,18.90,19.20,1839190
28-Sep-17,18.65,19.25,18.65,18.85,1421604
27-Sep-17,18.80,19.00,18.18,18.60,3642337
26-Sep-17,18.45,19.10,18.45,18.80,853489
25-Sep-17,18.50,18.75,18.15,18.40,548388
22-Sep-17,18.25,18.55,18.05,18.50,577339
21-Sep-17,18.00,18.40,17.98,18.30,358805
20-Sep-17,17.90,18.15,17.65,18.00,1625416
19-Sep-17,18.30,18.45,17.50,17.95,1157243
18-Sep-17,18.30,18.40,18.12,18.35,613960
15-Sep-17,18.00,18.25,17.62,18.20,1508018
14-Sep-17,17.90,18.10,17.60,17.85,873085
13-Sep-17,17.95,18.10,17.65,17.90,681217
12-Sep-17,18.25,18.40,17.90,18.00,505536
11-Sep-17,18.20,18.30,17.95,18.15,486805
8-Sep-17,18.15,18.35,17.95,18.00,794509
7-Sep-17,18.30,18.60,18.05,18.25,900496
6-Sep-17,18.40,18.50,17.88,18.35,425276
5-Sep-17,18.75,18.75,18.15,18.30,701056
1-Sep-17,18.55,18.80,18.50,18.75,477683
31-Aug-17,17.95,18.60,17.80,18.60,875509
30-Aug-17,17.45,17.98,17.30,17.90,921958
29-Aug-17,17.10,17.40,16.85,17.35,550983
28-Aug-17,17.15,17.30,17.05,17.20,541520
25-Aug-17,16.75,17.20,16.60,17.20,646928
24-Aug-17,16.60,16.85,16.50,16.65,919186
23-Aug-17,16.60,16.75,16.45,16.50,335433
22-Aug-17,16.85,17.00,16.60,16.60,304406
21-Aug-17,16.75,16.95,16.65,16.75,514711
18-Aug-17,16.60,16.90,16.55,16.75,595411
17-Aug-17,17.20,17.38,16.70,16.70,591799
16-Aug-17,17.45,17.55,17.18,17.35,1042211
15-Aug-17,17.45,17.60,17.25,17.40,521796
14-Aug-17,17.30,17.54,17.20,17.40,478444
11-Aug-17,17.10,17.30,17.00,17.15,598879
10-Aug-17,16.95,17.45,16.90,17.00,874830
9-Aug-17,17.70,17.70,16.95,17.05,1563735
8-Aug-17,17.65,18.15,17.60,17.80,3040741
7-Aug-17,18.50,18.80,17.50,17.70,1305649
4-Aug-17,16.30,17.25,16.25,17.15,976074
3-Aug-17,15.75,15.95,15.60,15.70,484732
2-Aug-17,16.10,16.10,15.65,15.80,467617
1-Aug-17,16.30,16.30,16.00,16.10,289621
31-Jul-17,-,-,16.05,16.20,491282
28-Jul-17,16.20,16.65,16.10,16.50,429700
27-Jul-17,16.55,16.55,16.05,16.20,510106
26-Jul-17,16.50,16.70,16.20,16.55,469904
25-Jul-17,16.90,16.90,16.40,16.60,372356
24-Jul-17,16.50,16.90,16.30,16.90,469888
21-Jul-17,16.60,16.60,16.35,16.45,353812
20-Jul-17,16.45,16.72,16.40,16.50,971056
19-Jul-17,16.25,16.70,16.15,16.50,1729279
18-Jul-17,16.00,16.35,15.80,16.15,455500
17-Jul-17,16.05,16.30,15.85,16.00,705502
14-Jul-17,15.90,16.15,15.90,16.10,336224
13-Jul-17,16.00,16.00,15.65,15.90,517773
12-Jul-17,15.85,16.10,15.80,15.95,464939
11-Jul-17,15.50,15.75,15.42,15.75,801418
10-Jul-17,15.35,15.65,15.20,15.50,1290770
7-Jul-17,15.05,15.35,14.80,15.30,315351
6-Jul-17,15.45,15.45,14.95,15.00,814608
5-Jul-17,15.60,15.75,15.30,15.45,384240
3-Jul-17,15.45,15.70,15.25,15.70,183287
30-Jun-17,15.45,15.55,15.25,15.35,760107
29-Jun-17,15.45,15.53,15.20,15.40,494251
28-Jun-17,15.25,15.60,15.20,15.45,484585
27-Jun-17,15.15,15.28,14.95,15.10,844328
26-Jun-17,14.85,15.28,14.65,15.15,953723
23-Jun-17,14.65,14.75,14.50,14.75,2326315
22-Jun-17,14.10,14.78,14.00,14.65,833769
21-Jun-17,14.15,14.55,14.00,14.10,1183002
20-Jun-17,14.05,14.20,13.92,14.15,1083167
19-Jun-17,14.20,14.30,14.05,14.15,587806
16-Jun-17,14.05,14.20,13.90,14.15,1359371
15-Jun-17,14.15,14.25,14.05,14.20,531357
14-Jun-17,14.45,14.45,14.20,14.25,856878
13-Jun-17,14.35,14.50,14.20,14.40,778139
