Date,Open,High,Low,Close,Volume
20-Oct-17,65.00,65.15,63.30,63.86,1537396
19-Oct-17,63.10,64.08,62.90,64.01,855028
18-Oct-17,64.00,64.76,63.25,63.68,908269
17-Oct-17,62.79,64.43,62.59,64.08,1169740
16-Oct-17,63.11,64.07,62.08,62.89,985837
13-Oct-17,61.75,63.19,61.31,63.00,1129024
12-Oct-17,61.63,62.18,60.13,61.77,1988744
11-Oct-17,57.84,63.35,57.43,61.47,3427260
10-Oct-17,57.74,58.09,57.46,57.72,704181
9-Oct-17,57.73,58.20,57.30,57.57,440747
6-Oct-17,58.04,58.46,57.14,57.51,764945
5-Oct-17,58.16,58.68,57.58,58.34,655455
4-Oct-17,58.02,58.27,57.54,58.24,899556
3-Oct-17,58.80,58.99,56.96,57.94,1533271
2-Oct-17,57.00,59.03,55.66,58.72,3076440
29-Sep-17,53.89,54.61,53.56,54.41,433184
28-Sep-17,53.50,54.59,53.18,53.96,664798
27-Sep-17,52.78,53.48,52.66,53.37,418514
26-Sep-17,52.80,53.09,51.77,52.56,1044149
25-Sep-17,52.50,53.52,52.10,52.97,676931
22-Sep-17,52.40,52.55,51.96,52.48,418083
21-Sep-17,52.87,52.87,51.66,52.36,1079105
20-Sep-17,51.57,52.95,51.41,52.84,1230816
19-Sep-17,53.21,53.21,51.17,51.79,745878
18-Sep-17,53.74,53.80,52.31,52.89,1778500
15-Sep-17,53.52,53.81,52.60,53.79,1601495
14-Sep-17,53.41,53.92,52.72,53.14,662322
13-Sep-17,52.96,53.68,52.73,53.40,864774
12-Sep-17,53.86,53.97,52.85,53.15,789458
11-Sep-17,53.76,54.62,52.91,53.64,999766
8-Sep-17,53.92,53.92,52.29,52.99,865122
7-Sep-17,51.80,54.19,51.46,54.19,996452
6-Sep-17,52.00,52.45,51.40,51.90,760896
5-Sep-17,52.37,52.40,51.02,51.88,781083
1-Sep-17,52.53,52.98,51.72,52.55,1059538
31-Aug-17,49.99,53.40,49.70,52.53,2023442
30-Aug-17,49.30,49.79,48.72,49.78,1170660
29-Aug-17,48.52,49.35,47.77,49.25,651862
28-Aug-17,47.66,48.77,47.33,48.76,1202678
25-Aug-17,48.14,48.30,47.17,47.20,605769
24-Aug-17,47.70,47.93,47.24,47.88,656342
23-Aug-17,47.13,48.42,46.99,47.65,683719
22-Aug-17,46.46,47.58,46.46,47.50,634020
21-Aug-17,46.45,46.46,45.31,46.20,752602
18-Aug-17,46.44,47.39,46.06,46.30,645370
17-Aug-17,46.70,47.17,46.20,46.37,765655
16-Aug-17,47.03,47.90,46.59,47.17,931733
15-Aug-17,45.86,47.17,45.40,46.83,1843786
14-Aug-17,46.72,47.33,45.88,45.92,645925
11-Aug-17,45.96,46.56,45.45,46.32,1009688
10-Aug-17,48.47,48.50,46.10,46.20,1092626
9-Aug-17,48.29,49.27,48.25,48.72,763682
8-Aug-17,48.86,49.87,48.50,49.06,567353
7-Aug-17,49.18,49.42,48.33,48.88,988024
4-Aug-17,49.21,49.60,48.64,49.16,373092
3-Aug-17,48.51,49.21,48.19,49.09,914988
2-Aug-17,49.15,49.66,48.06,48.50,864809
1-Aug-17,50.62,50.71,48.65,49.22,1354475
31-Jul-17,51.20,51.85,50.40,50.50,1237167
28-Jul-17,54.00,54.00,50.16,51.18,1496857
27-Jul-17,54.97,55.06,52.56,52.97,1178514
26-Jul-17,54.72,55.14,54.42,55.02,623020
25-Jul-17,55.43,55.73,54.21,54.51,1312094
24-Jul-17,54.53,55.13,54.13,55.02,878550
21-Jul-17,54.19,54.73,53.76,54.39,1701639
20-Jul-17,54.17,54.76,53.93,54.14,946455
19-Jul-17,53.95,54.73,53.56,54.00,872546
18-Jul-17,53.44,53.82,53.15,53.33,616378
17-Jul-17,53.89,54.45,53.61,53.73,684842
14-Jul-17,54.24,54.52,53.61,53.73,746068
13-Jul-17,53.73,54.84,52.82,54.09,1372993
12-Jul-17,52.30,54.00,51.97,53.74,1274893
11-Jul-17,51.26,52.01,50.74,51.78,1118845
10-Jul-17,51.39,51.92,50.27,51.28,1454179
7-Jul-17,51.37,52.23,50.80,51.37,880085
6-Jul-17,52.09,52.89,50.87,51.15,1859322
5-Jul-17,52.22,52.65,51.13,52.53,1340193
3-Jul-17,51.97,52.58,51.35,52.21,668751
30-Jun-17,53.83,53.83,51.74,51.74,1223302
29-Jun-17,54.52,54.73,52.55,53.25,1113998
28-Jun-17,52.00,55.13,50.65,54.72,3158717
27-Jun-17,56.73,57.10,51.27,51.39,4037571
26-Jun-17,55.90,57.58,53.30,56.55,8174482
23-Jun-17,62.95,63.32,61.29,61.74,1460389
22-Jun-17,63.94,64.80,63.00,63.25,1411123
21-Jun-17,62.09,63.75,61.81,63.47,1507711
20-Jun-17,61.32,63.73,61.32,61.81,1026796
19-Jun-17,57.48,63.15,57.40,61.88,3647446
16-Jun-17,64.28,64.99,63.62,64.52,838098
15-Jun-17,63.27,64.08,62.34,64.02,1277217
14-Jun-17,62.79,64.05,62.33,63.94,368983
13-Jun-17,63.26,63.98,62.55,62.94,465854
12-Jun-17,64.89,65.74,62.99,63.26,741391
9-Jun-17,64.94,65.80,64.05,64.81,751328
8-Jun-17,64.11,65.65,63.70,64.71,541245
7-Jun-17,64.97,65.42,63.57,64.21,582118
6-Jun-17,64.69,65.47,64.35,64.84,759082
5-Jun-17,66.19,66.35,64.65,65.25,821807
2-Jun-17,63.66,66.00,63.63,65.95,999439
1-Jun-17,64.00,64.85,63.02,63.50,776911
31-May-17,63.57,64.00,61.80,63.98,941818
30-May-17,65.59,65.72,63.22,63.32,632428
26-May-17,66.07,67.19,65.24,65.57,421987
25-May-17,67.86,67.97,65.47,66.02,583674
24-May-17,66.62,68.59,66.62,67.45,503525
23-May-17,66.56,67.50,65.78,66.67,358717
22-May-17,66.82,66.95,65.30,66.51,593700
19-May-17,66.93,67.94,66.40,66.60,735722
18-May-17,62.72,67.16,62.52,66.71,1043157
17-May-17,62.32,63.21,61.46,62.72,594116
16-May-17,62.75,63.49,62.24,63.41,525931
15-May-17,63.18,63.38,62.38,62.83,420593
12-May-17,62.23,63.36,62.16,63.11,453133
11-May-17,62.74,62.89,61.96,62.09,529202
10-May-17,61.54,62.83,61.06,62.52,567850
9-May-17,60.52,61.76,60.12,61.74,802474
8-May-17,61.62,61.81,59.69,60.32,842354
5-May-17,63.92,63.92,61.31,61.82,512593
4-May-17,62.90,63.87,61.58,63.74,754189
3-May-17,63.64,64.24,62.16,62.59,583113
2-May-17,67.80,68.23,63.84,64.18,861292
1-May-17,68.75,69.12,67.66,68.13,596753
28-Apr-17,68.61,71.32,67.44,68.30,1112773
27-Apr-17,67.25,68.72,66.61,68.26,447180
26-Apr-17,67.04,67.65,66.22,66.93,638542
25-Apr-17,65.85,67.00,65.59,66.80,604955
24-Apr-17,66.27,66.50,65.00,65.53,743273
21-Apr-17,66.82,67.12,65.16,65.34,453681
20-Apr-17,66.97,67.42,66.45,67.04,293323
19-Apr-17,67.28,67.36,65.97,66.56,446464
18-Apr-17,66.24,67.09,65.66,66.65,567664
17-Apr-17,65.90,66.67,65.20,66.55,308184
13-Apr-17,64.26,66.38,64.06,66.01,615467
12-Apr-17,63.43,65.13,62.91,64.30,910615
11-Apr-17,63.39,63.88,62.11,63.44,451570
10-Apr-17,64.22,64.58,63.12,63.43,355970
7-Apr-17,63.34,64.47,61.85,63.96,1295717
6-Apr-17,62.22,63.60,61.57,63.54,625072
5-Apr-17,63.20,63.92,61.65,61.89,683357
4-Apr-17,62.63,63.93,62.52,63.19,720624
3-Apr-17,62.54,64.02,62.10,62.84,752170
31-Mar-17,63.02,63.20,62.25,62.86,391388
30-Mar-17,63.73,63.99,62.94,63.06,403147
29-Mar-17,64.72,65.40,63.45,63.57,651640
28-Mar-17,64.54,65.44,64.05,64.47,448053
27-Mar-17,63.27,64.48,62.47,64.39,539357
24-Mar-17,63.45,64.78,63.11,63.69,353334
23-Mar-17,62.99,64.06,62.57,63.22,658429
22-Mar-17,62.16,63.75,61.39,63.03,799502
21-Mar-17,68.23,68.73,61.83,61.95,1208282
20-Mar-17,66.78,68.48,66.35,68.02,588606
17-Mar-17,66.46,67.30,65.74,66.72,1028309
16-Mar-17,67.26,67.83,66.48,66.74,439300
15-Mar-17,67.11,67.55,66.26,67.28,1377289
14-Mar-17,67.22,68.10,66.27,67.16,727933
13-Mar-17,68.00,68.86,67.74,68.39,494817
10-Mar-17,67.24,68.09,66.66,67.96,621241
9-Mar-17,67.43,71.10,65.21,67.10,1181140
8-Mar-17,67.21,68.43,65.83,67.43,1005909
7-Mar-17,67.04,68.14,66.55,67.12,633063
6-Mar-17,68.62,68.90,66.63,67.97,1083353
3-Mar-17,67.55,69.18,67.22,68.91,599485
2-Mar-17,68.85,70.42,67.51,67.78,983493
1-Mar-17,66.46,69.23,66.04,68.91,999715
28-Feb-17,65.78,67.86,64.51,65.65,1217811
27-Feb-17,62.80,66.00,62.26,65.92,1119826
24-Feb-17,63.14,63.22,61.50,62.73,805273
23-Feb-17,64.99,64.99,62.80,63.07,812651
22-Feb-17,65.51,65.98,64.26,64.58,885718
21-Feb-17,65.50,65.97,64.88,65.68,625405
17-Feb-17,64.93,65.51,64.28,65.50,519080
16-Feb-17,65.35,66.64,63.95,65.30,901080
15-Feb-17,63.29,65.46,62.83,65.23,954183
14-Feb-17,61.34,62.94,60.94,62.88,1383481
13-Feb-17,60.31,62.97,60.02,61.59,752566
10-Feb-17,59.50,61.89,59.00,60.16,2620167
9-Feb-17,61.76,64.57,61.75,62.81,1108790
8-Feb-17,60.23,61.64,59.28,61.51,1143482
7-Feb-17,61.54,61.69,60.03,60.79,546571
6-Feb-17,60.73,62.60,60.34,61.54,806318
3-Feb-17,60.31,61.16,59.57,61.11,444485
2-Feb-17,59.23,60.57,58.66,59.99,580965
1-Feb-17,60.30,60.54,58.63,59.69,696054
31-Jan-17,56.74,60.43,56.42,60.24,815381
30-Jan-17,58.51,58.51,56.17,57.23,557832
27-Jan-17,58.05,58.96,57.87,58.49,350954
26-Jan-17,58.82,59.85,58.00,58.05,517301
25-Jan-17,58.25,58.68,57.78,58.44,441900
24-Jan-17,58.66,59.08,57.30,58.06,602908
23-Jan-17,58.80,59.57,57.76,58.52,516488
20-Jan-17,59.36,60.26,58.55,58.79,857593
19-Jan-17,59.31,59.41,58.20,59.27,874886
18-Jan-17,58.09,59.06,57.42,59.04,958089
17-Jan-17,58.50,59.51,57.13,57.72,836126
13-Jan-17,58.95,59.69,58.26,59.12,793833
12-Jan-17,55.35,59.23,55.00,58.86,1324102
11-Jan-17,59.12,59.12,55.22,55.80,1103685
10-Jan-17,58.49,59.34,58.03,59.01,940784
9-Jan-17,58.44,59.21,57.52,58.81,1064763
6-Jan-17,55.14,59.93,55.14,57.55,2130102
5-Jan-17,55.25,55.90,50.65,54.87,3230107
4-Jan-17,52.98,55.44,52.56,55.21,1809558
3-Jan-17,53.32,54.45,52.42,53.00,1344017
30-Dec-16,53.20,53.82,52.31,52.77,813931
29-Dec-16,53.13,53.99,52.93,53.39,973213
28-Dec-16,52.26,54.24,51.65,53.08,1988820
27-Dec-16,52.87,54.70,51.63,52.36,5494058
23-Dec-16,60.43,61.99,60.25,61.86,725284
22-Dec-16,61.57,61.74,59.83,60.66,734486
21-Dec-16,62.13,63.30,61.29,61.38,553858
20-Dec-16,61.46,62.40,60.16,62.07,936483
19-Dec-16,62.66,63.18,60.98,61.33,733161
16-Dec-16,63.96,64.87,62.30,62.61,3130485
15-Dec-16,63.36,63.78,61.36,63.73,969109
14-Dec-16,63.24,63.82,61.68,62.90,804620
13-Dec-16,64.28,64.82,62.55,63.15,1001586
12-Dec-16,64.45,64.80,62.69,63.82,822226
9-Dec-16,67.46,68.80,64.81,64.87,771056
8-Dec-16,65.00,67.07,64.50,66.93,714142
7-Dec-16,65.45,66.59,62.81,65.09,1008029
6-Dec-16,66.71,67.33,65.21,66.64,787535
5-Dec-16,68.16,68.46,65.66,66.26,1009553
2-Dec-16,66.41,67.87,66.27,66.70,720130
1-Dec-16,65.26,67.98,64.18,66.71,1516518
30-Nov-16,66.30,66.49,63.95,64.81,5544443
29-Nov-16,66.45,67.24,65.41,66.38,1789010
28-Nov-16,71.39,71.56,66.88,66.99,1233454
25-Nov-16,70.92,71.87,69.84,71.85,619415
23-Nov-16,67.71,70.71,67.04,70.48,1011086
22-Nov-16,72.28,72.75,67.74,69.22,950681
21-Nov-16,71.10,72.48,70.17,72.13,1285963
18-Nov-16,73.50,73.91,69.88,70.69,1652518
17-Nov-16,71.35,73.99,70.00,73.71,1169518
16-Nov-16,71.96,73.58,70.78,70.81,1786034
15-Nov-16,69.38,73.14,68.48,72.16,1450092
14-Nov-16,67.90,69.66,66.66,69.56,1223922
11-Nov-16,67.92,68.82,66.05,68.09,1449757
10-Nov-16,69.50,75.36,64.80,67.94,3000374
9-Nov-16,62.61,69.53,62.26,69.17,3581909
8-Nov-16,59.21,60.81,58.50,59.42,1433951
7-Nov-16,56.25,59.82,55.93,59.73,1542175
4-Nov-16,57.85,58.91,55.87,56.24,1334118
3-Nov-16,56.30,57.28,55.86,57.00,1678925
2-Nov-16,55.42,56.61,55.10,56.33,1663671
1-Nov-16,52.01,55.99,51.55,55.74,1897930
31-Oct-16,50.80,52.43,50.80,51.70,877616
28-Oct-16,51.48,51.66,47.29,50.85,1524077
27-Oct-16,50.97,51.66,49.77,49.93,776454
26-Oct-16,50.58,50.70,49.79,50.33,648798
25-Oct-16,50.41,51.19,49.89,50.38,666963
24-Oct-16,50.74,51.15,49.66,50.36,889956
21-Oct-16,51.63,51.85,50.21,50.83,894223
20-Oct-16,51.18,52.03,51.12,51.60,549240
19-Oct-16,50.69,51.51,50.07,51.28,700632
18-Oct-16,50.84,51.70,50.22,50.73,723950
17-Oct-16,50.26,50.94,48.61,50.14,1309340
14-Oct-16,52.68,53.06,50.29,50.31,1078619
13-Oct-16,51.25,52.69,51.02,52.29,2536665
12-Oct-16,56.03,56.36,53.05,53.09,882567
11-Oct-16,57.25,57.83,55.62,55.99,735904
10-Oct-16,55.83,57.50,55.39,57.25,678691
7-Oct-16,54.32,55.94,54.32,55.18,623669
6-Oct-16,55.20,55.20,53.92,54.33,680615
5-Oct-16,54.60,56.06,54.23,55.51,979330
4-Oct-16,54.32,54.98,53.87,54.54,615334
3-Oct-16,53.92,54.38,53.28,54.25,782538
30-Sep-16,53.47,54.27,52.13,54.01,786242
29-Sep-16,55.32,55.51,53.03,53.29,892885
28-Sep-16,56.71,56.88,54.64,55.33,621206
27-Sep-16,55.82,57.23,55.37,56.57,607077
26-Sep-16,55.52,55.91,54.90,55.71,452458
23-Sep-16,56.10,56.45,55.30,55.83,655530
22-Sep-16,56.52,56.97,55.55,56.19,820456
21-Sep-16,55.05,56.48,54.02,56.10,743894
20-Sep-16,54.34,55.73,54.30,54.79,778956
19-Sep-16,53.81,54.60,53.41,54.08,586009
16-Sep-16,53.59,54.88,53.49,53.65,1859259
15-Sep-16,54.29,55.19,53.21,53.59,1229050
14-Sep-16,52.00,54.74,51.69,54.06,1447709
13-Sep-16,51.16,51.86,50.00,51.70,1092376
12-Sep-16,49.80,51.98,49.50,51.78,986576
9-Sep-16,50.24,51.31,49.68,50.23,1777593
8-Sep-16,49.08,50.50,48.81,50.50,1404308
7-Sep-16,47.00,49.29,46.92,49.24,1077643
6-Sep-16,44.99,46.33,44.45,46.16,992569
2-Sep-16,45.14,45.14,44.04,44.78,526182
1-Sep-16,44.72,44.97,44.13,44.90,440129
31-Aug-16,45.14,45.49,44.49,44.55,433507
30-Aug-16,45.23,46.07,45.17,45.32,531179
29-Aug-16,45.36,45.62,44.94,45.36,437056
26-Aug-16,44.14,45.32,43.71,45.30,652569
25-Aug-16,45.20,45.94,42.58,43.98,1526391
24-Aug-16,47.67,48.57,44.95,45.12,894073
23-Aug-16,47.31,48.66,47.14,47.79,782511
22-Aug-16,45.67,47.08,45.42,47.06,675968
19-Aug-16,45.70,45.81,45.09,45.38,325832
18-Aug-16,45.47,46.50,45.29,45.92,305151
17-Aug-16,45.86,46.06,44.89,45.57,477399
16-Aug-16,47.08,47.08,45.69,45.77,570154
15-Aug-16,46.99,47.69,46.77,47.15,531313
12-Aug-16,46.30,47.08,45.63,46.86,429218
11-Aug-16,46.17,46.62,45.30,46.50,393696
10-Aug-16,46.37,46.37,45.72,45.76,469967
9-Aug-16,46.81,46.81,46.03,46.43,761701
8-Aug-16,48.06,48.25,46.56,46.71,743795
5-Aug-16,48.25,48.74,47.74,47.94,717033
4-Aug-16,49.08,49.45,47.95,48.03,684166
3-Aug-16,48.51,49.14,48.02,49.01,740100
2-Aug-16,48.91,49.33,47.29,48.52,969047
1-Aug-16,47.78,49.24,47.78,49.22,940868
